id,city_id,language_key,name
112,2,km,វីឡា
189,3,km,សូណាស
266,4,km,សូលឌឺ
343,5,km,ស៊ីស្ប៉ូនី
420,6,km,សេហ្គូដេត
497,7,km,\N
574,8,km,សានជូលៀដឺឡូរី
728,10,km,សាន់តាកូឡូម៉ា
805,11,km,រ៉ានសុល
959,13,km,ប្រាត
1036,14,km,ប៉ាសដឺឡាកាសា
1113,15,km,ប៉ា
1190,16,km,អ័រឌីណូ
1267,17,km,ណាហ្គោល។
1421,19,km,មេរីតសែល
1729,23,km,\N
1960,26,km,\N
2037,27,km,\N
2114,28,km,ឡា ម៉ាសាណា
2191,29,km,\N
2268,30,km,អាល់ដូសា
2345,31,km,\N
2422,32,km,ជូប៊ឺរី
2499,33,km,ហ្វុនតាណេដា
2653,35,km,អឺស
2807,37,km,បោះជំរុំ
3038,40,km,អែល សឺរ៉ាត់
3115,41,km,សញ្ញាប័ត្រ
3192,42,km,កានីឡូ
3269,43,km,ប៊ីស៊ីសារី
3346,44,km,អាប៊ីនីយ៉ា
3423,45,km,អារីនសាល់
3500,46,km,អារ៉ាន់
3577,47,km,ណាណូ
3731,49,km,\N
3808,50,km,\N
3885,51,km,អៃស៊ីរីវ៉ាល់
4039,53,km,\N
4116,54,km,អន្ទាក់
4347,57,km,\N
