id,city_id,language_key,name
2415380,31369,mn,Виллики
2415611,31372,mn,Вернонс
2415688,31373,mn,Урлингс
2415765,31374,mn,Тыреллс
2415919,31376,mn,Тхе Диамонд
2416073,31378,mn,Табле Хилл Гордон
2416150,31379,mn,Амттан
2416381,31382,mn,Сеа Виеу Фарм
2416458,31383,mn,Сеатонс
2416920,31389,mn,Саинт Йохнстон Виллаге
2416997,31390,mn,Сент-Жонс
2417074,31391,mn,Ренфрю
2417228,31393,mn,Поттерс Виллаге
2417305,31394,mn,Пигготтс
2417459,31396,mn,Паынтерс
2417536,31397,mn,Паттерсонс Дуеллинг Хоусе
2417767,31400,mn,Пархам
2417844,31401,mn,Парес
2417998,31403,mn,Осбоурн
2418075,31404,mn,Олд Роад
2418152,31405,mn,Шинэ Винторпес
2418229,31406,mn,Ньюфилд
2418999,31416,mn,Либерта
2419076,31417,mn,Йохнсонс Поинт
2419230,31419,mn,Йеннингс
2419307,31420,mn,Хербертс
2419615,31424,mn,Саарал толгод
2420077,31430,mn,Фритаун
2420154,31431,mn,Фрееманс
2420385,31434,mn,Гэгээн Филип
2420462,31435,mn,Фалмоутх
2420539,31436,mn,Енглисх Харбоур Тоун
2420924,31441,mn,Цросбиес
2421078,31443,mn,Цраб Хилл
2421309,31446,mn,Цодрингтон
2421771,31452,mn,Хуш Модны Төгөл
2421925,31454,mn,Карлайл
2422002,31455,mn,Буцклеыс
2422233,31458,mn,Боландс
2422541,31462,mn,Бетезда
2422618,31463,mn,Бендалс
2422926,31467,mn,Барнес Хилл
2423003,31468,mn,Алл Саинтс
2423234,31471,mn,Йоллы Харбоур
2425313,31498,mn,Саинт Цларе
2425390,31499,mn,Сугар Фацторы
2425467,31500,mn,Йацкс Хилл
2425544,31501,mn,Ст. Паул Парисх
2425621,31502,mn,Барбуда Парисх
2425698,31503,mn,Ст. Георге Парисх
2425775,31504,mn,Ст. Петер Парисх
2425852,31505,mn,Ст. Мары Парисх
2425929,31506,mn,Ст. Пхилип Парисх
