id,city_id,language_key,name
2748375,35694,dz,ཟེ་ཌི་ཡ།
2748452,35695,dz,ཟ་རི་ཏབ།
2748529,35696,dz,ཛངག་ཀ་ཏུན།
2748606,35697,dz,གོ་ར་ཝན།
2748683,35698,dz,ཡེ་གྷ་ཝརཌ།
2748760,35699,dz,ཡེ་གྷེ་ན་ཝན།
2748837,35700,dz,ཡེ་གེ་ག་ན་འཛོར།
2748914,35701,dz,ཡེ་གེགས།
2749068,35703,dz,ཝོ་སི་ཏན།
2749145,35704,dz,ཝོས་ཀེ་ཊབ།
2749222,35705,dz,ཝར་ན་ཤེན།
2749299,35706,dz,ཝེ་རི་ཤེན།
2749376,35707,dz,ཝེ་རིན་ཝ་ཅཱ་གན།
2749453,35708,dz,ཝེ་རིན་ཁོ་ཏ་ནན།
2749530,35709,dz,ཝར་དཱ་ཝནཀ།
2749607,35710,dz,ཝེ་ཌི།
2749684,35711,dz,ཝའི་ཀུ་ཀུ།
2749761,35712,dz,ཝར་ད་ཤཊ།
2749838,35713,dz,ཝར་ད་ཎི་འཛོར།
2749915,35714,dz,ཝར་ཌ་ཧོ་ཝིཊ།
2749992,35715,dz,ཝ་གྷ་ཊིན།
2750069,35716,dz,ཝཧ་ར་ཝར།
2750146,35717,dz,ཨུ་ཟ་ནིས།
2750223,35718,dz,ཡུ་ཡཊ།
2750300,35719,dz,ཝོ་རོཊ་ན་ཝན།
2750454,35721,dz,ཚྭ།
2750531,35722,dz,ཊོ་ལོར།
2750608,35723,dz,ཏེག།
2750685,35724,dz,བ་གླིང་།
2750762,35725,dz,ཝ་ན་ཤེན།
2750839,35726,dz,ཝོ་རོ་ཏན།
2750916,35727,dz,ཏ་ཊེབ།
2750993,35728,dz,ཏཤ་ཏུན།
2751070,35729,dz,ཏ་ར་ཊུམ།
2751147,35730,dz,ཏན་ཛ་ཝར།
2751224,35731,dz,ཏན་ཛ་ཏབ།
2751301,35732,dz,སཱ་ཝ་རནཊ།
2751378,35733,dz,སུ་རེ་ན་ཝན།
2751455,35734,dz,སྲ་ཤེན།
2751532,35735,dz,སྤན་དར་ཡན།
2751609,35736,dz,ཉཛཻཌེ།
2751686,35737,dz,ཟན་ཀ།
2751763,35738,dz,སི་སི་ཡན།
2751840,35739,dz,སི་ས་ཝན།
2751917,35740,dz,ཤྭ་ནི་ཟོར།
2751994,35741,dz,ཤུར་ནུཀ།
2752071,35742,dz,ཤྲེ་ཝེ་ནཱནཊ།
2752148,35743,dz,ཤིཤ་ཀརཊ།
2752225,35744,dz,ཤི་ནུ་ཧ་ཡར།
2752302,35745,dz,ལུ་ས་རཊ།
2752379,35746,dz,ཤི་ཀ་ཧོག།
2752533,35748,dz,ཤེ་ན་ཏག།
2752610,35749,dz,ཤ་ཧུ་མྱན།
2752687,35750,dz,ཤ་ཏིན།
2752764,35751,dz,ཤམབ།
2752841,35752,dz,ཤ་ཀི།
2752918,35753,dz,ཤ་གྷཊ།
2752995,35754,dz,ཤ་གྷབ།
2753072,35755,dz,སེ་ཝ་ཀར།
2753149,35756,dz,སར་སི།
2753226,35757,dz,སར་ན་ཀུང༌།
2753303,35758,dz,ས་ར་ཝན།
2753380,35759,dz,སཱལ་ཝརཌ།
2753457,35760,dz,སཱ་ལིམ།
