id,city_id,language_key,name
2748430,35694,tl,Zedea
2748507,35695,tl,Zarit'ap'
2748584,35696,tl,Zangakatun
2748661,35697,tl,Goravan
2748738,35698,tl,Yeghvard
2748815,35699,tl,Egegnavan
2748892,35700,tl,Yeghegnadzor
2748969,35701,tl,Yegheg
2749123,35703,tl,Ostan
2749200,35704,tl,Osketap'
2749277,35705,tl,Vernasen
2749354,35706,tl,Verisen
2749431,35707,tl,Verin Vac'agan
2749508,35708,tl,Verin Khotanan
2749585,35709,tl,Vardavank'
2749662,35710,tl,Vedi
2749739,35711,tl,Vazeyak
2749816,35712,tl,Vardashat
2749893,35713,tl,Vardanidzor
2749970,35714,tl,Vardahovit
2750047,35715,tl,Vagatin
2750124,35716,tl,Vahravar
2750201,35717,tl,Uzhanis
2750278,35718,tl,Uyts
2750355,35719,tl,Orotnavan
2750509,35721,tl,Tsav
2750586,35722,tl,Tolors
2750663,35723,tl,Tegh
2750740,35724,tl,Tasik
2750817,35725,tl,Vanasen
2750894,35726,tl,Orotan
2750971,35727,tl,Tat'ev
2751048,35728,tl,Tastun
2751125,35729,tl,T'arat'umb
2751202,35730,tl,Tandzaver
2751279,35731,tl,Tandzatap
2751356,35732,tl,Svarants
2751433,35733,tl,Surenavan
2751510,35734,tl,Srasen
2751587,35735,tl,Spandaryan
2751664,35736,tl,Nzdeh
2751741,35737,tl,Sznak
2751818,35738,tl,Sisian
2751895,35739,tl,Sisavan
2751972,35740,tl,Shvanidzor
2752049,35741,tl,Shurnukh
2752126,35742,tl,Mga Shrvenant
2752203,35743,tl,Shishkert
2752280,35744,tl,Sinuhayr
2752357,35745,tl,Lusarat
2752434,35746,tl,Shikahogh
2752588,35748,tl,Shenatagh
2752665,35749,tl,Sahumyan
2752742,35750,tl,Satin
2752819,35751,tl,Shamb
2752896,35752,tl,Shaki
2752973,35753,tl,Shaghat
2753050,35754,tl,Shaghap
2753127,35755,tl,Sevak'ar
2753204,35756,tl,Sers
2753281,35757,tl,Sarnakunk
2753358,35758,tl,Saravan
2753435,35759,tl,Salvard
2753512,35760,tl,Sali
2753666,35762,tl,Rind
2753820,35764,tl,P'or
2753974,35766,tl,Nor Astgaberd
2754051,35767,tl,Horbateg
2754128,35768,tl,Okhtar
2754205,35769,tl,Nrnadzor
2754282,35770,tl,Noyakert
2754359,35771,tl,Nor Kyank'
2754436,35772,tl,Nor Aznaberd
2754513,35773,tl,Noravan
2754590,35774,tl,Norasenik
2754744,35776,tl,Nerkin Khotanan
2754898,35778,tl,Bargusat
2754975,35779,tl,Nerk'in Hand
2755052,35780,tl,Dzagikavan
2755129,35781,tl,Tsghuni
2755206,35782,tl,Mrgavan
2755283,35783,tl,Megri
2755437,35785,tl,Martiros
2755514,35786,tl,Tkhkut
2755591,35787,tl,Maliska
2755668,35788,tl,K'asuni
2755745,35789,tl,Lor
2755822,35790,tl,Lichk
2755899,35791,tl,Lernadzor
2755976,35792,tl,Lehvaz
2756053,35793,tl,Ishkhanasar
2756130,35794,tl,Kuris
2756207,35795,tl,Andokavan
2756284,35796,tl,Kornidzor
2756361,35797,tl,Torunik'
2756438,35798,tl,P'ok'r Vedi
2756515,35799,tl,Khoznavar
2756592,35800,tl,Khot
2756669,35801,tl,Khndzorut
2756746,35802,tl,Khndzoresk
2756823,35803,tl,Khnatsakh
2756900,35804,tl,Mga Khdrant
2756977,35805,tl,Acanan
2757054,35806,tl,Khachik
2757131,35807,tl,Kec'ut
2757208,35808,tl,Kavcut
2757362,35810,tl,Karmrasen
2757439,35811,tl,Karcevan
2757516,35812,tl,K'arahunj
2757593,35813,tl,Vanek'
2757670,35814,tl,K'arasen
2757747,35815,tl,Lusashogh
2757824,35816,tl,Karaglukh
2757901,35817,tl,Kapan
2757978,35818,tl,Kaghtsrashen
2758055,35819,tl,Kaghnut
2758132,35820,tl,K'ajaran
2758209,35821,tl,Lanjanist
2758286,35822,tl,Gogt'anik
2758363,35823,tl,Jermuk
2758440,35824,tl,Tap'erakan
2758517,35825,tl,Hermon
2758594,35826,tl,Kapuyt
2758671,35827,tl,Gudemnis
2758748,35828,tl,Hors
2758825,35829,tl,Goris
2758902,35830,tl,Gorayk'
2758979,35831,tl,Gomk'
2759056,35832,tl,Gomaran
2759133,35833,tl,Gnisik
2759210,35834,tl,Gndevaz
2759287,35835,tl,Gladzor
2759441,35837,tl,Getat'ag
2759518,35838,tl,Getap'
2759595,35839,tl,Herher
2759672,35840,tl,Geghi
2759749,35841,tl,Geghanush
2759826,35842,tl,Halidzor
2759903,35843,tl,Elp'in
2759980,35844,tl,Dzorastan
2760057,35845,tl,Tavrus
2760134,35846,tl,Ditsmayri
2760211,35847,tl,Arin
2760288,35848,tl,Davit' Bek
2760365,35849,tl,Dastakert
2760442,35850,tl,Dastak'ar
2760519,35851,tl,Darbas
2760596,35852,tl,Dalar
2760750,35854,tl,Chiva
2760827,35855,tl,Getisen
2760904,35856,tl,C'ap'ni
2761058,35858,tl,Cakaten
2761135,35859,tl,Berdik
2761212,35860,tl,Burastan
2761289,35861,tl,Akner
2761366,35862,tl,Brnakot'
2761443,35863,tl,Tsghuk
2761520,35864,tl,Bnunis
2761597,35865,tl,Berk'anus
2761674,35866,tl,Vaghatur
2761751,35867,tl,Bardzruni
2761828,35868,tl,Mutsk
2761905,35869,tl,Bardzravan
2761982,35870,tl,Balak'
2762059,35871,tl,Bagramyan
2762136,35872,tl,Azatek
2762213,35873,tl,Azatavan
2762290,35874,tl,Aygezard
2762367,35875,tl,Aygepat
2762444,35876,tl,Aygavan
2762521,35877,tl,Avsar
2762598,35878,tl,Hatsavan
2762675,35879,tl,Asotavan
2762752,35880,tl,Artsvanik
2762829,35881,tl,Artavan
2762906,35882,tl,Rasht
2762983,35883,tl,Yeghegis
2763060,35884,tl,Armas
2763137,35885,tl,Areni
2763214,35886,tl,Aravus
2763291,35887,tl,Arevis
2763368,35888,tl,Ararat
2763445,35889,tl,Ararat
2763522,35890,tl,Arajadzor
2763599,35891,tl,Antarasat
2763676,35892,tl,Angegakot'
2763753,35893,tl,Alvank'
2763830,35894,tl,Akhlatyan
2763907,35895,tl,Aghavnadzor
2763984,35896,tl,Ajabaj
2764061,35897,tl,Agvani
2764138,35898,tl,Agitu
2764215,35899,tl,Agarakadzor
2764292,35900,tl,Agarak
2764369,35901,tl,Agarak
2764831,35907,tl,Ltsen
2764908,35908,tl,Harzis
2764985,35909,tl,Dzorashen
2765062,35910,tl,Arp'i
2765524,35916,tl,Aralez
2765601,35917,tl,Urtsadzor
2765678,35918,tl,Yeraskh
2765755,35919,tl,Aghnjadzor
2765832,35920,tl,Kajarants
2765909,35921,tl,Lanjar
2765986,35922,tl,Urtsalanj
2766063,35923,tl,Mozrov
2766140,35924,tl,Artabuynk'
2766217,35925,tl,Zarinja
2766294,35926,tl,Karmirgyugh
2766371,35927,tl,Sevaberd
2766448,35928,tl,Horom
2766525,35929,tl,Margara
2766679,35931,tl,Kat'narat
2766756,35932,tl,Zuygagbyur
2766833,35933,tl,Zovasen
2766987,35935,tl,Zovaber
2767064,35936,tl,Zorakert
2767141,35937,tl,Zorak
2767218,35938,tl,Zolak'ar
2767295,35939,tl,Sot'k'
2767372,35940,tl,Zarisat
2767449,35941,tl,Zar
2767526,35942,tl,Ervandasat
2767603,35943,tl,Ernjatap'
2767680,35944,tl,Erevan
2767757,35945,tl,Erazgavors
2767834,35946,tl,Yeraskhahun
2767911,35947,tl,Eranos
2767988,35948,tl,Enok'avan
2768142,35950,tl,Yeghnik
2768219,35951,tl,Yeghegnut
2768296,35952,tl,Yeghegnut
2768373,35953,tl,Vagarsapat
2768450,35954,tl,Yeghvard
2768527,35955,tl,Yeghnajur
2768604,35956,tl,Lcavan
2768681,35957,tl,Yagdan
2768758,35958,tl,Oskevaz
2768835,35959,tl,Oskevan
2768912,35960,tl,Osket'as
2768989,35961,tl,Oskepar
2769066,35962,tl,Oskehat
2769143,35963,tl,Oskehask
2769220,35964,tl,Voghjaberd
2769297,35965,tl,Voghji
2769374,35966,tl,Akhpradzor
2769528,35968,tl,Verin Sorza
2769605,35969,tl,Verin Sasnasen
2769682,35970,tl,Zorakan
2769759,35971,tl,Verin Karmiragbyur
2769836,35972,tl,Verin Getasen
2769913,35973,tl,Verin Dvin
2769990,35974,tl,Verin Bazmaberd
2770067,35975,tl,Verin Artasat
2770144,35976,tl,Vazasen
2770221,35977,tl,Varser
2770298,35978,tl,Vardenut
2770375,35979,tl,Vardenis
2770452,35980,tl,Vardenis
2770529,35981,tl,Vardenik
2770606,35982,tl,Vardashen
2770683,35983,tl,Vardanasen
2770760,35984,tl,Vardagbyur
2770837,35985,tl,Vardak'ar
2770914,35986,tl,Vardablur
2770991,35987,tl,Vanevan
2771068,35988,tl,Vahan
2771145,35989,tl,Vahramaberd
2771222,35990,tl,Vaghashen
2771299,35991,tl,Vahagni
2771376,35992,tl,Ushi
2771453,35993,tl,Urut
2771530,35994,tl,Ujan
2771607,35995,tl,T't'ujur
2771761,35997,tl,T'umanyan
2771838,35998,tl,Tufasen
2771915,35999,tl,T't'ujur
2771992,36000,tl,Lusahovit
2772069,36001,tl,Tsovinar
2772146,36002,tl,Tsovazard
2772223,36003,tl,Tsovak
2772300,36004,tl,Tsovagyugh
2772377,36005,tl,Tsoghamarg
2772454,36006,tl,Tsilkar
2772531,36007,tl,Tsater
2772608,36008,tl,Tsapatagh
2772685,36009,tl,Tsamakasar
2772839,36011,tl,Tsakkar
2772916,36012,tl,Tsaghkunk
2772993,36013,tl,Tsaghkunk
2773070,36014,tl,Tsaghkavan
2773147,36015,tl,Verin Tsaghkavan
2773224,36016,tl,Tsaghkashen
2773301,36017,tl,Tsaghkashen
2773378,36018,tl,Tsaghkashat
2773455,36019,tl,Tsaghkasar
2773532,36020,tl,Tsaghkahovit
2773609,36021,tl,Tsaghkaber
2773686,36022,tl,Tsaghkadzor
2773763,36023,tl,Tretuk'
2773840,36024,tl,Tavus
2773917,36025,tl,T'orosgyug
2773994,36026,tl,Torfavan
2774071,36027,tl,T'lik
2774148,36028,tl,T'egenik'
2774225,36029,tl,T'egut
2774302,36030,tl,Teger
2774379,36031,tl,Tsovasar
2774456,36032,tl,T'avsut
2774533,36033,tl,Tasir
2774687,36035,tl,Gegasar
2774764,36036,tl,Berdasen
2774918,36038,tl,Tandzut
2775072,36040,tl,Tallbisah
2775149,36041,tl,Getahovit
2775226,36042,tl,Goghovit
2775303,36043,tl,Sverdlov
2775380,36044,tl,Suser
2775457,36045,tl,Step'anavan
2775534,36046,tl,Spitak
2775611,36047,tl,Spandaryan
2775688,36048,tl,Pagagbyur
2775842,36050,tl,Alaskert
2775919,36051,tl,Sorik
2775996,36052,tl,Solak
2776073,36053,tl,Sizavet
2776150,36054,tl,Sis
2776227,36055,tl,Sip'an
2776304,36056,tl,Pagakn
2776381,36057,tl,Shoghakat
2776458,36058,tl,Shnogh
2776535,36059,tl,Sirakavan
2776612,36060,tl,Sirak
2776689,36061,tl,Shgharshik
2776766,36062,tl,Senkani
2776843,36063,tl,Senavan
2776920,36064,tl,Senavan
2776997,36065,tl,Senavan
2777074,36066,tl,Sahumyan
2777151,36067,tl,Satvan
2777228,36068,tl,Satjrek'
2777305,36069,tl,Samut
2777382,36070,tl,Shamlugh
2777459,36071,tl,Samiram
2777536,36072,tl,Shaghik
2777613,36073,tl,Sevk'ar
2777690,36074,tl,Sevan
2777767,36075,tl,Semyonovka
2777844,36076,tl,Verin Sasunik
2777921,36077,tl,Sarukhan
2777998,36078,tl,Sarnagbyur
2778075,36079,tl,Sarigyug
2778152,36080,tl,Sarc'apet
2778229,36081,tl,Saratovka
2778306,36082,tl,Saratak
2778383,36083,tl,Sarapat
2778460,36084,tl,Saramej
2778537,36085,tl,Argalant
2778614,36086,tl,Argalant
2778691,36087,tl,Argalant
2778768,36088,tl,Argalant
2778845,36089,tl,Nor Khachakap
2778922,36090,tl,Sarakap
2778999,36091,tl,Sarahart'
2779076,36092,tl,Kaniasir
2779153,36093,tl,Sanahin
2779230,36094,tl,Gegakert
2779307,36095,tl,Salut
2779384,36096,tl,Sagmosavan
2779461,36097,tl,Rya t'aza
2779538,36098,tl,Geghashen
2779615,36099,tl,Ranc'par
2779692,36100,tl,Pushkino
2779769,36101,tl,Ptgni
2779846,36102,tl,Ptghunk
2779923,36103,tl,P'satavan
2780000,36104,tl,Prosyan
2780077,36105,tl,Privolnoye
2780154,36106,tl,P'ok'r Sepasar
2780231,36107,tl,P'ok'r Sariar
2780308,36108,tl,P'ok'r Masrik
2780385,36109,tl,P'ok'r Mant'as
2780462,36110,tl,Poqr Ayrum
2780539,36111,tl,Zoravan
2780616,36112,tl,P'ok'rasen
2780693,36113,tl,Ptgavan
2780770,36114,tl,Petrovka
2780847,36115,tl,Pemzasen
2780924,36116,tl,P'arpi
2781001,36117,tl,Paravak'ar
2781078,36118,tl,P'arak'ar
2781155,36119,tl,P'anik
2781232,36120,tl,P'ambak
2781309,36121,tl,P'ambak
2781386,36122,tl,Hovuni
2781463,36123,tl,Hovtasen
2781540,36124,tl,Hovnanadzor
2781617,36125,tl,Hovit
2781694,36126,tl,Osakan
2781771,36127,tl,Mijnatun
2781848,36128,tl,Orgov
2781925,36129,tl,Hobardzi
2782002,36130,tl,Sardarapat
2782079,36131,tl,Ohanavan
2782156,36132,tl,Odzun
2782233,36133,tl,Nurrnus
2782310,36134,tl,Noyemberyan
2782387,36135,tl,Novoseltsovo
2782464,36136,tl,Nor Kyank'
2782541,36137,tl,Nor Kharberd
2782618,36138,tl,Nor Gyug
2782695,36139,tl,Nor Gegi
2782772,36140,tl,Getik
2782849,36141,tl,Norasen
2782926,36142,tl,Norasen
2783003,36143,tl,Norasen
2783080,36144,tl,Norasen
2783157,36145,tl,Norasen
2783234,36146,tl,Nor Art'ik
2783311,36147,tl,Nor Armavir
2783465,36149,tl,Noramut
2783542,36150,tl,Noramarg
2783619,36151,tl,Norakert
2783696,36152,tl,Norakert
2783773,36153,tl,Noratus
2783850,36154,tl,Nohchacan
2783927,36155,tl,Norabak
2784004,36156,tl,Nigavan
2784081,36157,tl,Dastadem
2784158,36158,tl,Nerk'in Sorza
2784235,36159,tl,Nerk'in Sasnasen
2784312,36160,tl,Nerk'in Karmiragbyur
2784389,36161,tl,Nerk'in Getasen
2784466,36162,tl,Nerk'in Bazmaberd
2784543,36163,tl,Artsvanist
2784620,36164,tl,Aknagbyur
2784774,36166,tl,Mga Neghot
2784851,36167,tl,Navur
2784928,36168,tl,Nalbandyan
2785005,36169,tl,Sirakamut
2785082,36170,tl,Nahapetavan
2785159,36171,tl,Musayelyan
2785236,36172,tl,Basen
2785313,36173,tl,Kaypak
2785390,36174,tl,Ad Dar Qibal al `Ulya
2785467,36175,tl,Hovtamej
2785544,36176,tl,Mrgastan
2785621,36177,tl,Mrgasen
2785698,36178,tl,Mrgasat
2785775,36179,tl,Mrganush
2785852,36180,tl,Yeghipatrush
2785929,36181,tl,Movses
2786006,36182,tl,Mkhchyan
2786083,36183,tl,Mirak'
2786160,36184,tl,Mikhayelovka
2786237,36185,tl,Mgart'
2786314,36186,tl,Mets Sepasar
2786391,36187,tl,Mets Sariar
2786468,36188,tl,Mets Parni
2786545,36189,tl,Mets Masrik
2786622,36190,tl,Mets Mantash
2786699,36191,tl,Mets Ayrum
2786776,36192,tl,Metsavan
2786853,36193,tl,Metsamor
2786930,36194,tl,Merdzavan
2787007,36195,tl,Melikgyugh
2787084,36196,tl,Meghrashen
2787161,36197,tl,Meghrashat
2787238,36198,tl,Megvahovit
2787315,36199,tl,Meghradzor
2787392,36200,tl,Medovka
2787469,36201,tl,Mayakovski
2787546,36202,tl,Mastara
2787623,36203,tl,Az Zanami
2787700,36204,tl,Martuni
2787777,36205,tl,Martuni
2787854,36206,tl,Mart
2787931,36207,tl,Marmarasen
2788008,36208,tl,Marmasen
2788085,36209,tl,Marmarik
2788162,36210,tl,Margahovit
2788239,36211,tl,Maralik
2788393,36213,tl,Bovadzor
2788470,36214,tl,Mayisyan
2788547,36215,tl,Gtasen
2788624,36216,tl,Madina
2788701,36217,tl,Lusagbyur
2788778,36218,tl,Lusagbyur
2788855,36219,tl,Lusakert
2788932,36220,tl,Lusagyugh
2789009,36221,tl,Lusagyugh
2789086,36222,tl,Lusadzor
2789163,36223,tl,Lukasin
2789240,36224,tl,Lorut
2789317,36225,tl,Alto Libertad
2789394,36226,tl,Lchkadzor
2789471,36227,tl,Lichk
2789548,36228,tl,Lernut
2789625,36229,tl,Lernavan
2789702,36230,tl,Lernarot
2789779,36231,tl,Lernapat
2789856,36232,tl,Lernapar
2789933,36233,tl,Lernagyug
2790010,36234,tl,Lernantsk
2790087,36235,tl,Lernanist
2790164,36236,tl,Lernakert
2790241,36237,tl,Lernakert
2790318,36238,tl,Lermontovo
2790395,36239,tl,Khoronk
2790472,36240,tl,Lejan
2790549,36241,tl,Lchashen
2790626,36242,tl,Lchap
2790703,36243,tl,Lanjik
2790780,36244,tl,Lanjaghbyur
2790857,36245,tl,Debedavan
2790934,36246,tl,Zovk'
2791011,36247,tl,Hatis
2791088,36248,tl,Garnaric
2791165,36249,tl,Urasar
2791242,36250,tl,Kutakan
2791319,36251,tl,Kut
2791396,36252,tl,Kurt'an
2791473,36253,tl,Arjhovit
2791550,36254,tl,Kruglaya siska
2791627,36255,tl,K'uc'ak
2791704,36256,tl,Krasen
2791781,36257,tl,Krasar
2791858,36258,tl,Koti
2791935,36259,tl,Kotayk'
2792012,36260,tl,Kosh
2792089,36261,tl,Gorgoc'
2792166,36262,tl,Koghb
2792243,36263,tl,Getavan
2792320,36264,tl,Dzyunashogh
2792397,36265,tl,Vanadzor
2792474,36266,tl,Amrakits
2792551,36267,tl,Khnkoyan
2792628,36268,tl,Hnaberd
2792705,36269,tl,Hnaberd
2792782,36270,tl,Khashtarak
2792859,36271,tl,Khachpar
2792936,36272,tl,Khacharzan
2793013,36273,tl,Khachaghbyur
2793090,36274,tl,K'et'i
2793167,36275,tl,Kak'avasar
2793244,36276,tl,Ghazanchi
2793321,36277,tl,Katnaghbyur
2793398,36278,tl,Katnaghbyur
2793475,36279,tl,Katnaghbyur
2793552,36280,tl,Kat'najur
2793629,36281,tl,Karnut
2793706,36282,tl,Karmravan
2793783,36283,tl,Karmrasen
2793860,36284,tl,Karmrasen
2793937,36285,tl,Karmrak'ar
2794014,36286,tl,Koges
2794091,36287,tl,K'arinj
2794168,36288,tl,Karenis
2794245,36289,tl,Karcagbyur
2794322,36290,tl,Karbi
2794399,36291,tl,K'arasamb
2794476,36292,tl,Karanlukh
2794553,36293,tl,K'arakert
2794707,36295,tl,Karadzor
2794784,36296,tl,K'araberd
2794861,36297,tl,K'araberd
2794938,36298,tl,Kaputan
2795015,36299,tl,Kaps
2795092,36300,tl,K'anak'eravan
2795169,36301,tl,Kanac'ut
2795323,36303,tl,Kamo
2795400,36304,tl,Gavar
2795477,36305,tl,Kamkhut
2795554,36306,tl,Kalavan
2795631,36307,tl,K'agsi
2795708,36308,tl,Kakhakn
2795785,36309,tl,Kakavadzor
2795862,36310,tl,Kachachkut
2795939,36311,tl,Ddmasar
2796016,36312,tl,Jaghatsadzor
2796093,36313,tl,Itsakar
2796170,36314,tl,Isahakyan
2796247,36315,tl,Irind
2796324,36316,tl,Mayisyan
2796401,36317,tl,Sahumyan
2796478,36318,tl,Dastadem
2796555,36319,tl,Hogmik
2796632,36320,tl,Ijevan
2796709,36321,tl,Hrazdan
2796786,36322,tl,Hovtun
2796863,36323,tl,Armavir
2796940,36324,tl,Hayanist
2797017,36325,tl,Hatsik
2797094,36326,tl,Haghartsin
2797171,36327,tl,Gyumri
2797248,36328,tl,Tsaghkut
2797325,36329,tl,Gyulagarak
2797402,36330,tl,Kamaris
2797479,36331,tl,Kanch
2797556,36332,tl,Gusanagyug
2797633,36333,tl,Ghukasavan
2797710,36334,tl,Gegamasar
2797787,36335,tl,Gugark'
2797864,36336,tl,Tsiatsan
2797941,36337,tl,sus
2798095,36339,tl,Goght
2798172,36340,tl,Gogavan
2798249,36341,tl,Gogaran
2798403,36343,tl,Gazaravan
2798480,36344,tl,Aznvadzor
2798557,36345,tl,Getk'
2798634,36346,tl,Mga kirant
2798711,36347,tl,Getazat
2798788,36348,tl,Getasen
2798865,36349,tl,Getap'
2798942,36350,tl,Getap'
2799019,36351,tl,Getamej
2799096,36352,tl,Gargar
2799173,36353,tl,Gegarot
2799250,36354,tl,Gegard
2799327,36355,tl,Geganist
2799404,36356,tl,Geganist
