id,city_id,language_key,name
4073922,52909,bg,Зенон Видела Дорна
4074076,52911,bg,Зелаыа
4074153,52912,bg,Сарате
4074230,52913,bg,Запиола
4074461,52916,bg,Естацион Ыукуери
4074692,52919,bg,Ыесо Оесте
4074769,52920,bg,Естацион Ыеруа
4075077,52924,bg,Ыатаыти Цалле
4075231,52926,bg,Ыапеыу
4075385,52928,bg,Ыахапе
4075462,52929,bg,Уайлд
4075539,52930,bg,Цолониа Уанда
4075770,52933,bg,Вивората
4075924,52935,bg,Вирреыес
4076540,52943,bg,Вилла Сан Марциал
4076617,52944,bg,Сан Хосе
4076925,52948,bg,Вилларс
4077002,52949,bg,Вилла Роса
4077079,52950,bg,Вилла Лагуна Ла Брава
4077233,52952,bg,Вилла Реал
4077387,52954,bg,Вилла Паранацито
4077464,52955,bg,Вилла Оцампо
4077695,52958,bg,Вилянуева
4077926,52961,bg,Мария Гранде
4078003,52962,bg,Вилла Мантеро
4078080,52963,bg,Вила Едуардо Мадеро
4078157,52964,bg,Вилла Лузуриага
4078388,52967,bg,Вилла Лиа
4078542,52969,bg,Вилла Хернандариас
4078696,52971,bg,Вилла Гуиллермина
4078773,52972,bg,Виллагуаы
4078927,52974,bg,Вилла Геселл
4079158,52977,bg,Вила Еспаня
4079235,52978,bg,Вилла Есцолар
4079466,52981,bg,Вила Елиза
4079543,52982,bg,Вила Елиза
4079620,52983,bg,Вилла Цацикуе
4079774,52985,bg,Вилла Доминицо
4080082,52989,bg,Вилла де Маыо
4080159,52990,bg,Вилла дел Росарио
4080313,52992,bg,Вилла Цордоба
4080544,52995,bg,Вилла Босцх
4081160,53003,bg,Вилла Ана
4081237,53004,bg,Валентин Алсина
4081545,53008,bg,Виеытес
4081622,53009,bg,Виктория
4081853,53012,bg,Виценте Лопез
4081930,53013,bg,Виценте Цасарес
4082007,53014,bg,Вероница
4082238,53017,bg,Веллосо
4082469,53020,bg,Вейнтицино де Майо
4082700,53023,bg,Валериа дел Мар
4082777,53024,bg,Вагуес
4082931,53026,bg,Урибеларреа
4083008,53027,bg,Урдинарраин
4083239,53030,bg,Удакиола
4083316,53031,bg,Убайаы
4083624,53035,bg,Турдера
4083701,53036,bg,Тристан Суарез
4084163,53042,bg,Трес Ломас
4084240,53043,bg,Трес Лагунас
4084394,53045,bg,Трес Ескинас
4084625,53048,bg,Трес Цапонес
4084856,53051,bg,Тортугуитас
4084933,53052,bg,Торес
4085010,53053,bg,Естацион Торрент
4085241,53056,bg,Йорге Борн
4085318,53057,bg,Толоса
4085395,53058,bg,Тобуна
4085703,53062,bg,Тигре
4085857,53064,bg,Темперлеы
4085934,53065,bg,Тедин Урибуру
4086165,53068,bg,Тартагал
4086319,53070,bg,Тапиалес
4086396,53071,bg,Тапебицуа
4086473,53072,bg,Тандил
4086550,53073,bg,Тамангуеыу
4086627,53074,bg,Талита
4087012,53079,bg,Такуаренди
4087166,53081,bg,Мисион Тацаагле
4087243,53082,bg,Табосси
4087320,53083,bg,Ла Таблада
4087397,53084,bg,Табаы
4087474,53085,bg,Суипацха
4087628,53087,bg,Цолониа Пандо
4087705,53088,bg,Соса
4087782,53089,bg,Солис
4087859,53090,bg,Сол де Маыо
4088013,53092,bg,Соланет
