id,city_id,language_key,name
6170030,80131,fi,Aousserd
6170184,80133,fi,Ausserpuhret
6170261,80134,fi,Aussermanzing
6170338,80135,fi,Ausserkasten
6170415,80136,fi,Ausserjebing
6170492,80137,fi,Ausserhorgersteig
6170569,80138,fi,Ausserhalbach
6170877,80142,fi,Ausserfragant
6171031,80144,fi,Aussere Kainisch
6171108,80145,fi,Ausseregg
6171185,80146,fi,Aussere Einode
6171262,80147,fi,Ausserbraz
6171339,80148,fi,Ausseraigen
6171416,80149,fi,Aurolzmunster
6171493,80150,fi,Auratsberg
6171570,80151,fi,Aurachkirchen
6171647,80152,fi,Aurach am Hongar
6171878,80155,fi,Auhof
6172032,80157,fi,Augsdorf
6172109,80158,fi,Auggenthal
6172186,80159,fi,Aug
6172340,80161,fi,Aug
6172417,80162,fi,Aufhausen
6172494,80163,fi,Aufham
6172648,80165,fi,Auffach
6172725,80166,fi,Auersthal
6172802,80167,fi,Auersbach
6172879,80168,fi,Auersbach
6172956,80169,fi,Auern
6173033,80170,fi,Auern
6173110,80171,fi,Auerling
6173264,80173,fi,Auerbach
6173341,80174,fi,Auerbach
6173418,80175,fi,Auerbach
6173495,80176,fi,Auerbach
6173572,80177,fi,Auen
6173649,80178,fi,Auedt
6173726,80179,fi,Aue
6173957,80182,fi,Thal-Aue
6174034,80183,fi,Audorf
6174111,80184,fi,Audorf
6174188,80185,fi,Auberg
6174265,80186,fi,Au bei Gaishorn am See
6174342,80187,fi,Au an der Traun
6174419,80188,fi,Au am Leithaberge
6174573,80190,fi,Au
6174650,80191,fi,Au
6174727,80192,fi,Au
6174804,80193,fi,Au an der Donau
6174958,80195,fi,Au
6175112,80197,fi,Au
6175189,80198,fi,Au
6175266,80199,fi,Au
6175343,80200,fi,Au
6175574,80203,fi,Au
6176113,80210,fi,Atzmannsdorf
6176267,80212,fi,Atzing
6176344,80213,fi,Atzing
6176421,80214,fi,Atzesberg
6176498,80215,fi,Atzesberg
6176575,80216,fi,Atzesberg
6176652,80217,fi,Atzersdorf
6176729,80218,fi,Atzensberg
6176806,80219,fi,Atzenbrugg
6176883,80220,fi,Atzelsdorf
6176960,80221,fi,Atzelsdorf
6177037,80222,fi,Atzelsdorf
6177191,80224,fi,Atzbach
6177268,80225,fi,Attersee
6177345,80226,fi,Attenreith
6177499,80228,fi,Attendorf
6177576,80229,fi,Attendorf
6177730,80231,fi,Asten
6177807,80232,fi,Asten
6177961,80234,fi,Astatt
6178038,80235,fi,Assach
6178115,80236,fi,Aspoltsberg
6178192,80237,fi,Aspeth
6178269,80238,fi,Aspersdorf
6178346,80239,fi,Asperhofen
6178423,80240,fi,Asparn an der Zaya
6178500,80241,fi,Asparn
6178577,80242,fi,Aspang Markt
6178654,80243,fi,Aspach
6178731,80244,fi,Asing
