id,city_id,language_key,name
5204962,67597,to,Falenipeki
5205270,67601,to,Mitterweng
5205501,67604,to,Oberweng
5205732,67607,to,Schwaighof
5206656,67619,to,Kematen
5207118,67625,to,Boder
5207349,67628,to,Bruckmuhl
5208350,67641,to,Eggendorf am Wagram
5208427,67642,to,Utzenlaa
5208504,67643,to,Buttendorf
5208581,67644,to,Baumgarten
5208658,67645,to,Reichersberg
5208735,67646,to,Einsiedl
5208966,67649,to,Holzleiten
5209428,67655,to,Hobersbach
5210275,67666,to,Irenental
5212277,67692,to,Einode
5214125,67716,to,Glor
5214433,67720,to,Mayrwinkl
5215357,67732,to,Gleinkerau
5215819,67738,to,Hinterberg
5216435,67746,to,Neulassing
5216512,67747,to,Fuchslucken
5216820,67751,to,Sonnberg
5216897,67752,to,Neusiedl
5216974,67753,to,Treschmitz
5217128,67755,to,Moos
5217359,67758,to,Siteini
5217436,67759,to,Satenipeki
5217513,67760,to,Strechau
5217667,67762,to,Satenipeki
5217821,67764,to,Kosslbach
5217975,67766,to,Rettenbach
5218052,67767,to,Roith
5218129,67768,to,Steinbruch
5218206,67769,to,Kreutern
5218283,67770,to,Lindau
5218360,67771,to,Hinterstein
5218437,67772,to,Sulzbach
5218668,67775,to,Platten
5219669,67788,to,Edt
5219746,67789,to,Gschwandt
5219977,67792,to,Mosern
5220131,67794,to,Reith
5220516,67799,to,Potschen
5220593,67800,to,Sarstein
5220824,67803,to,ʻIta
5221748,67815,to,Lampersbach
5221825,67816,to,Lehen
5221902,67817,to,Laubichl
5222287,67822,to,Eulersberg
5223673,67840,to,Alpfahrt
5223750,67841,to,Winkl
5224058,67845,to,Sonnberg
5224828,67855,to,Kleusipeki
5224905,67856,to,Laideregg
5225752,67867,to,Haidberg
5226445,67876,to,Hanif
5230141,67924,to,Hallmoos
5230988,67935,to,Schattau
5231219,67938,to,Niederuntersberg
5231373,67940,to,Oberhof
5231450,67941,to,Altenhof
5231527,67942,to,Maierhof
5231681,67944,to,Kleinarl
5231912,67947,to,Au
5232374,67953,to,Bergl
