id,city_id,language_key,name
5204964,67597,uk,Фаґренберг
5205272,67601,uk,Миттеруенг
5205503,67604,uk,Обервенг
5205734,67607,uk,Сцхуаигхоф
5206658,67619,uk,Кематен
5207120,67625,uk,Бодер
5207351,67628,uk,Бруцкмухл
5208352,67641,uk,Еггендорф ам Уаграм
5208429,67642,uk,Утзенлаа
5208506,67643,uk,Буттендорф
5208583,67644,uk,Баумгартен
5208660,67645,uk,Реицхерсберг
5208737,67646,uk,Еинсиедл
5208968,67649,uk,Холзлеитен
5209430,67655,uk,Хоберсбацх
5210277,67666,uk,Иренентал
5212279,67692,uk,Еиноде
5214127,67716,uk,Глор
5214435,67720,uk,Майрвінкл
5215359,67732,uk,Глеинкерау
5215821,67738,uk,Хинтерберг
5216437,67746,uk,Неулассинг
5216514,67747,uk,Фуцхслуцкен
5216822,67751,uk,Соннберг
5216899,67752,uk,Неусиедл
5216976,67753,uk,Тресцхмитз
5217130,67755,uk,Моос
5217361,67758,uk,Штейн
5217438,67759,uk,Шаттенберг
5217515,67760,uk,Стрецхау
5217669,67762,uk,Шаттенберг
5217823,67764,uk,Косслбацх
5217977,67766,uk,Реттенбацх
5218054,67767,uk,Роитх
5218131,67768,uk,Стеинбруцх
5218208,67769,uk,Креутерн
5218285,67770,uk,Ліндау
5218362,67771,uk,Хинтерстеин
5218439,67772,uk,Зульцбах
5218670,67775,uk,Платтен
5219671,67788,uk,Едт
5219748,67789,uk,Гшвандт
5219979,67792,uk,Мосерн
5220133,67794,uk,Реитх
5220518,67799,uk,Потсцхен
5220595,67800,uk,Сарстеин
5220826,67803,uk,Ангер
5221750,67815,uk,Ламперсбацх
5221827,67816,uk,Лехен
5221904,67817,uk,Лаубицхл
5222289,67822,uk,Еулерсберг
5223675,67840,uk,Алпфахрт
5223752,67841,uk,Вінкл
5224060,67845,uk,Соннберг
5224830,67855,uk,Кройцберг
5224907,67856,uk,Лаидерегг
5225754,67867,uk,Хаидберг
5226447,67876,uk,Ханіф
5230143,67924,uk,Халлмоос
5230990,67935,uk,Сцхаттау
5231221,67938,uk,Ниедерунтерсберг
5231375,67940,uk,Оберхоф
5231452,67941,uk,Алтенхоф
5231529,67942,uk,Маиерхоф
5231683,67944,uk,Клеинарл
5231914,67947,uk,Ау
5232376,67953,uk,Бергл
5232453,67954,uk,Миттерретзбацх
5232607,67956,uk,Зиернреитх
5232684,67957,uk,Реитх
5233223,67964,uk,Гретзль
5233531,67968,uk,Грунау
5233685,67970,uk,Уиллингс
5233762,67971,uk,Маркл
5233839,67972,uk,Вальдберг
5233916,67973,uk,Неустадт
5233993,67974,uk,Лерцхенфелд
5235071,67988,uk,Еделстауден
5236072,68001,uk,Вайссенбах
5237997,68026,uk,Санкт Анна
5239691,68048,uk,Клеинфраннацх
5240076,68053,uk,Сиебинг
5240307,68056,uk,Хоф
5241616,68073,uk,Обербургфриед
5244388,68109,uk,Йахрбацх
5245158,68119,uk,Гонітз
5246159,68132,uk,Поллауберг
5247083,68144,uk,Хаслацх ан дер Стиефинг
5249624,68177,uk,Тецхенсдорф
5251318,68199,uk,Оедграбен
5253089,68222,uk,Станг беи Хатзендорф
5253628,68229,uk,Бергл
5255938,68259,uk,Оберкорнбацх
5257016,68273,uk,Стеингруб
5257555,68280,uk,Едерсграбен
5259480,68305,uk,Реитинг
5259711,68308,uk,Пернреитх
5261405,68330,uk,Сцхнееберг
5262637,68346,uk,Неухаус ам Клаусенбацх
5263176,68353,uk,Неустифт
5263561,68358,uk,Груенвальд
5266025,68390,uk,Сицхауф
5267257,68406,uk,Клаппинг
5268258,68419,uk,Уеиссенберг
5269259,68432,uk,Алла
5271184,68457,uk,Патзен
5271877,68466,uk,Уалдпрецхт
5272416,68473,uk,Груисла
5272878,68479,uk,Клоцхберг
5273802,68491,uk,Стерз
5274649,68502,uk,Петерсберг
5274726,68503,uk,Гумпенберг
5274803,68504,uk,Оберхаусберг
5275265,68510,uk,Миллстатт
5275342,68511,uk,Цвельфаксинг
5275496,68513,uk,Зуисцхенберген
5275573,68514,uk,Цвінцен
