id,city_id,language_key,name
6714880,87207,et,Yunta
6715034,87209,et,Yundi
6715265,87212,et,Yumali
6715342,87213,et,Yuendumu
6715573,87216,et,Youngs
6715881,87220,et,Yornup
6716112,87223,et,Yorketown
6716189,87224,et,York
6716266,87225,et,Yoongarillup
6716420,87227,et,Yirrkala
6716651,87230,et,Yerecoin
6716882,87233,et,Yelverton
6717113,87236,et,Yeelanna
6717190,87237,et,Yealering
6717498,87241,et,Yarloop
6717729,87244,et,Yanmah
6717806,87245,et,Yankalilla
6717883,87246,et,Kyan Pin
6718268,87251,et,Yallunda Flat
6718422,87253,et,Yallingup
6718499,87254,et,Yalgoo
6718807,87258,et,Wyndham
6718884,87259,et,Wynarka
6719038,87261,et,Wyalkatchem
6719269,87264,et,Wundowie
6719423,87266,et,Wudinna
6719500,87267,et,Wubin
6719808,87271,et,Woomera
6719962,87273,et,Wool Bay
6720039,87274,et,Woogenellup
6720193,87276,et,Woodside
6720578,87281,et,Woodchester
6720655,87282,et,Woodanilling
6720732,87283,et,Wonnerup
6720809,87284,et,Wongulla
6720886,87285,et,Wongan Hills
6721040,87287,et,Wokurna
6721117,87288,et,Wokalup
6721348,87291,et,Witchcliffe
6721425,87292,et,Wistow
6721502,87293,et,Wisanger
6721579,87294,et,Wirrulla
6721656,87295,et,Wirrabara
6721887,87298,et,Windsor
6722118,87301,et,Wiluna
6722349,87304,et,Wilmington
6722426,87305,et,Willyaroo
6722503,87306,et,Willunga
6722811,87310,et,Williamstown
6722965,87312,et,Williams
6723119,87314,et,Wilga
6723196,87315,et,Wild Horse Plains
6723350,87317,et,Wickepin
6723504,87319,et,Whyalla
6723735,87322,et,Whites Flat
6723812,87323,et,Whim Creek
6724197,87328,et,West Toodyay
6724274,87329,et,Westonia
6724659,87334,et,Wellington Mill
6724736,87335,et,Wellington East
6724813,87336,et,Wellington
6725198,87341,et,Weetulta
6725352,87343,et,Wauraltee
6725506,87345,et,Wattle Flat
6725737,87348,et,Watheroo
6725814,87349,et,Waterloo
6725891,87350,et,Wasleys
6726276,87355,et,Warramboo
6726507,87358,et,Waroona
6726584,87359,et,Warooka
6726738,87361,et,Ward Belt
6726892,87363,et,Warburton
6726969,87364,et,Warburto
6727123,87366,et,Wannamal
6727200,87367,et,Wanilla
6727277,87368,et,Wangary
6727354,87369,et,Wandering
6727431,87370,et,Wandearah East
6727662,87373,et,Walpole
6727816,87375,et,Wall Flat
6727893,87376,et,Wallaroo Mines
6727970,87377,et,Wallaroo
6728047,87378,et,Walker Flat
6728124,87379,et,Walkaway
6728201,87380,et,Walgoolan
6728355,87382,et,Waikerie
6728432,87383,et,Wagin
6728894,87389,et,Wadderin
6728971,87390,et,Vine Vale
6729125,87392,et,Victor Harbor
6729202,87393,et,Verdun
6729279,87394,et,Venus Bay
6729741,87400,et,Urania
6729895,87402,et,Uraidla
6729972,87403,et,Ungarra
6730280,87407,et,Two Wells
6730434,87409,et,Warmun
6730511,87410,et,Tungkillo
6730588,87411,et,Tumby Bay
6731050,87417,et,Truro
6731358,87421,et,Trayning
6731820,87427,et,Tooperang
6732205,87432,et,Toodyay
6732282,87433,et,Tincurrin
6732436,87435,et,Tickera
6732590,87437,et,Three Springs
6732667,87438,et,The Range
6733129,87444,et,Terowie
6733360,87447,et,Tenterden
6733514,87449,et,Tennant Creek
6733591,87450,et,Templers
6733668,87451,et,Telowie
6733822,87453,et,Tea Tree Gully
6733976,87455,et,Taylorville
6734130,87457,et,Tarlee
6734361,87460,et,Tarcowie
6734515,87462,et,Tanunda
6734592,87463,et,Tanami
6734669,87464,et,Tammin
6734746,87465,et,Tambellup
6735054,87469,et,Tailem Bend
6735131,87470,et,Swan Reach
6735208,87471,et,Swanport
6735747,87478,et,Streaky Bay
6735824,87479,et,Strathalbyn
6736363,87486,et,Stockwell
6736440,87487,et,Stockport
6736517,87488,et,Stirling
6736825,87492,et,Stansbury
6736902,87493,et,Springton
