id,city_id,language_key,name
6714901,87207,lb,Yunta
6715055,87209,lb,Yundi
6715286,87212,lb,Yumali
6715363,87213,lb,Yuendumu
6715594,87216,lb,Jonk
6715902,87220,lb,Yornup
6716133,87223,lb,Yorketown
6716210,87224,lb,York
6716287,87225,lb,Yoongarillup
6716441,87227,lb,Yirrkala
6716672,87230,lb,Yerecoin
6716903,87233,lb,Yelverton
6717134,87236,lb,Yeelanna
6717211,87237,lb,Yealering
6717519,87241,lb,Yarloop
6717750,87244,lb,Yanmah
6717827,87245,lb,Yankalilla
6717904,87246,lb,Kyan Pin
6718289,87251,lb,Yallunda Flat
6718443,87253,lb,Yallingup
6718520,87254,lb,Yalgoo
6718828,87258,lb,Wyndham
6718905,87259,lb,Wynarka
6719059,87261,lb,Wyalkatchem
6719290,87264,lb,Wundowie
6719444,87266,lb,Wudinna
6719521,87267,lb,Wubin
6719829,87271,lb,Woomera
6719983,87273,lb,Wool Bay
6720060,87274,lb,Woogenellup
6720214,87276,lb,Woodside
6720599,87281,lb,Woodchester
6720676,87282,lb,Woodanilling
6720753,87283,lb,Wonnerup
6720830,87284,lb,Wongulla
6720907,87285,lb,Wongan Hills
6721061,87287,lb,Wokurna
6721138,87288,lb,Wokalup
6721369,87291,lb,Witchcliffe
6721446,87292,lb,Wistow
6721523,87293,lb,Wisanger
6721600,87294,lb,Wirrulla
6721677,87295,lb,Wirrabara
6721908,87298,lb,Windsor
6722139,87301,lb,Wiluna
6722370,87304,lb,Wilmington
6722447,87305,lb,Willyaroo
6722524,87306,lb,Willunga
6722832,87310,lb,Williamstown
6722986,87312,lb,Williams
6723140,87314,lb,Wilga
6723217,87315,lb,Wild Horse Plains
6723371,87317,lb,Wickepin
6723525,87319,lb,Whyalla
6723756,87322,lb,Whites Flat
6723833,87323,lb,Whim Creek
6724218,87328,lb,West Toodyay
6724295,87329,lb,Westonia
6724680,87334,lb,Wellington Mill
6724757,87335,lb,Wellington East
6724834,87336,lb,Wellington
6725219,87341,lb,Weetulta
6725373,87343,lb,Wauraltee
6725527,87345,lb,Wattle Flat
6725758,87348,lb,Watheroo
6725835,87349,lb,Waterloo
6725912,87350,lb,Wasleys
6726297,87355,lb,Warramboo
6726528,87358,lb,Waroona
6726605,87359,lb,Warooka
6726759,87361,lb,Ward Belt
6726913,87363,lb,Warburton
6726990,87364,lb,Warburto
6727144,87366,lb,Wannamal
6727221,87367,lb,Wanilla
6727298,87368,lb,Wangary
6727375,87369,lb,Wandering
6727452,87370,lb,Wandearah East
6727683,87373,lb,Walpole
6727837,87375,lb,Wall Flat
6727914,87376,lb,Wallaroo Mines
6727991,87377,lb,Wallaroo
6728068,87378,lb,Walker Flat
6728145,87379,lb,Walkaway
6728222,87380,lb,Walgoolan
6728376,87382,lb,Waikerie
6728453,87383,lb,Wagin
6728915,87389,lb,Wadderin
6728992,87390,lb,Vine Vale
