id,city_id,language_key,name
6714929,87207,th,ยุนตะ
6715083,87209,th,ยุนดิ
6715314,87212,th,ยุมะลิ
6715391,87213,th,ยเุนดุมุ
6715622,87216,th,หนุ่มๆ
6715930,87220,th,โยรนุป
6716161,87223,th,โยรเกโตวน
6716238,87224,th,ยอร์ก
6716315,87225,th,โยโงะริลลุป
6716469,87227,th,ยิรรกะละ
6716700,87230,th,เยเรคอยน์
6716931,87233,th,เยลเวอร์ตัน
6717162,87236,th,เยลันนา
6717239,87237,th,เยะเลริง
6717547,87241,th,ยาร์ลูป
6717778,87244,th,ยันมาห์
6717855,87245,th,ยะนกะลิลละ
6717932,87246,th,ยะนิเนเ
6718317,87251,th,ยะลลุนดะฟละต
6718471,87253,th,ยะลลิงุป
6718548,87254,th,ยะลโกโ
6718856,87258,th,วินด์แฮม
6718933,87259,th,วยนะรกะ
6719087,87261,th,วยะลกะตเชม
6719318,87264,th,วุนโดวเิ
6719472,87266,th,วุดินนะ
6719549,87267,th,วุบิน
6719857,87271,th,วูเมร่า
6720011,87273,th,วูลเบย์
6720088,87274,th,โวโเกเนลลุป
6720242,87276,th,วูดไซด์
6720627,87281,th,โวโดเชซเตร
6720704,87282,th,โวโดะนิลลิง
6720781,87283,th,โวนเนรุป
6720858,87284,th,โวงุลละ
6720935,87285,th,โวงะนกิลลซ
6721089,87287,th,โวกุรนะ
6721166,87288,th,โวกะลุป
6721397,87291,th,วิตชจลิฟเฟ
6721474,87292,th,วิซโตว
6721551,87293,th,วิซะเงร
6721628,87294,th,วิรรุลละ
6721705,87295,th,วิรระบะระ
6721936,87298,th,วินด์เซอร์
6722167,87301,th,วิลุนะ
6722398,87304,th,วิลมิงตัน
6722475,87305,th,วิลลยะโรโ
6722552,87306,th,วิลลุงะ
6722860,87310,th,วิลลิะมซโตวน
6723014,87312,th,วิลเลียมส์
6723168,87314,th,วิลก้า
6723245,87315,th,วิลดโกรเซปละินซ
6723399,87317,th,วิจเกปิน
6723553,87319,th,วายยะล่า
6723784,87322,th,วกิเตซฟละต
6723861,87323,th,วิมครีก
6724246,87328,th,เวซตโตโดยะย
6724323,87329,th,เวซโตนิะ
6724708,87334,th,เวลลิงโตนมิลล
6724785,87335,th,เวลลิงโตนเะซต
6724862,87336,th,เวลลิงตัน
6725247,87341,th,วีตุลตา
6725401,87343,th,วะุระลเตเ
6725555,87345,th,วะตตเลฟละต
6725786,87348,th,วะเทโรโ
6725863,87349,th,วอเตอร์ลู
6725940,87350,th,วะซเลยซ
6726325,87355,th,วะรระมโบโ
6726556,87358,th,วารูนา
6726633,87359,th,วารุคะ
6726787,87361,th,วะรดเบลต
6726941,87363,th,วอร์เบอร์ตัน
6727018,87364,th,วะรบุรโต
6727172,87366,th,วะนนะมะล
6727249,87367,th,วะนิลละ
6727326,87368,th,วะงะรย
6727403,87369,th,วะนเดริง
6727480,87370,th,วันเดียร่าอีสท์
6727711,87373,th,วะลโปเล
6727865,87375,th,วะลลฟละต
6727942,87376,th,วะลละโรโมิเนซ
6728019,87377,th,วะลละโรโ
6728096,87378,th,วะลเกรฟละต
6728173,87379,th,วะลกะวะย
6728250,87380,th,วัลกูแลน
6728404,87382,th,วะิเกรเิ
6728481,87383,th,วากิน
6728943,87389,th,วะดเดริน
6729020,87390,th,ฤิเนฤะเล
6729174,87392,th,วิกเตอร์ฮาเบอร์
6729251,87393,th,เวอร์ดัน
6729328,87394,th,เฤนุซบะย
6729790,87400,th,ุระนิะ
6729944,87402,th,ุระิดละ
6730021,87403,th,ุงะรระ
6730329,87407,th,ตโวเวลลซ
6730483,87409,th,วะรมุน
6730560,87410,th,ตุงกิลโล
6730637,87411,th,ตุมบยบะย
6731099,87417,th,ตรุโร
6731407,87421,th,ตระยนิง
6731869,87427,th,โตโเประง
6732254,87432,th,ทู๊ดเยย์
6732331,87433,th,ทินเคอร์ริน
6732485,87435,th,ติจเกระ
6732639,87437,th,ทเรเซปริงซ
6732716,87438,th,เทระเง
6733178,87444,th,เตโรวเิ
6733409,87447,th,เตนเตรเดน
6733563,87449,th,เตนนะนตจเรเก
6733640,87450,th,เตมปเลรซ
6733717,87451,th,เตโลวเิ
6733871,87453,th,เตะตเรเกุลลย
6734025,87455,th,ตะยโลรฤิลเล
6734179,87457,th,ตะรเลเ
6734410,87460,th,ตะรโจวเิ
6734564,87462,th,ตะนุนดะ
6734641,87463,th,ทานามิ
6734718,87464,th,ตะมมิน
6734795,87465,th,ตะมเบลลุป
6735103,87469,th,ตะิเลมเบนด
6735180,87470,th,ซวะนเระช
6735257,87471,th,ซวะนโปรต
6735796,87478,th,ซตเระกยบะย
6735873,87479,th,ซตระทะลบยน
6736412,87486,th,ซโตจกเวลล
6736489,87487,th,ซโตจกโปรต
6736566,87488,th,สเตอร์ลิง
6736874,87492,th,ซตะนซบุรย
6736951,87493,th,ซปริงโตน
6737105,87495,th,ซเปนเจรซบโรโก
6737336,87498,th,ซปะลดิง
6737567,87501,th,โซุทตะมมิน
6737644,87502,th,เควสดิ้งใต้
6737798,87504,th,โซุทกุมมินิน
6737952,87506,th,โซุทกิลเกรระน
6738029,87507,th,กาลามันดาใต้
6738106,87508,th,โซุเทรนจโรซซ
6738183,87509,th,โซุเทรนบโรโก
6738568,87514,th,ซโนวโตวน
6738645,87515,th,ซโมกยบะย
6738953,87519,th,เชอร์ล็อก
6739184,87522,th,ท่อนไม้เชียโอ๊ค
6739261,87523,th,เดนแฮม
6739338,87524,th,ซกะจกเลโตน
6739492,87526,th,เซดะน
6739569,87527,th,เซโจนดฤะลเลย
6739723,87529,th,ซโจตตจเรเก
6739954,87532,th,ซจะดดะน
6740031,87533,th,ซะนดซโตเน
6740185,87535,th,ซะนดิละนดซ
6740262,87536,th,ซะนเดรซโตน
6740339,87537,th,ซะนเดรกโรเฤ
6740493,87539,th,ซะลเตรซปริงซ
6740647,87541,th,ซะลโมนกุมซ
6740724,87542,th,ซะลิซบุรย
6741032,87546,th,ซะดดเลโวรท
6741263,87549,th,รุดะลล
6741340,87550,th,โรอบยโดวนซ
6741417,87551,th,โรวละนดฟละต
6741571,87553,th,โรทซะย
6741648,87554,th,โรเซโวรทย
6741725,87555,th,โรเซโตวน
6741802,87556,th,โรสเดล
6741879,87557,th,โรซา บรูค
6741956,87558,th,โรแลนด์
6742033,87559,th,โรเโบุรเน
6742187,87561,th,ร็อคลีห์
6742264,87562,th,โรจกิงกะม
6742418,87564,th,โรเบรตซโตวน
6742495,87565,th,โรเบ
6742572,87566,th,ริเวอร์ตัน
6742803,87569,th,ไรนี่
6742957,87571,th,เรเเฤซปละินซ
6743188,87574,th,เรดฮิลล์
6743265,87575,th,เรดครีก
6743342,87576,th,เรดบะนกซ
6743496,87578,th,ระเฤนซโทรเป
6743650,87580,th,ระนโฟรด
6743804,87582,th,ระมโจ
6743881,87583,th,ควอร์น
6744035,87585,th,ควินนินัป
6744189,87587,th,ควินดาลัพ
6744343,87589,th,\N
6744497,87591,th,ควอลโก้
6744574,87592,th,กุะิระดิง
6744728,87594,th,พีเกอรี่
6745113,87599,th,พรอสเปกต์ ฮิลล์
6745190,87600,th,ควินตัน
6745344,87602,th,ราคาท่าเรือ
6745421,87603,th,โปรตวะเกฟเิลด
6745498,87604,th,โปรตฤินเจนต
6745575,87605,th,พอร์ตวิกตอเรีย
6745652,87606,th,โปรตริจกะบย
6745729,87607,th,โปรตปิรเิ
6745806,87608,th,โปรตเนิลล
6745883,87609,th,โปรตโมโโรวเิ
6746114,87612,th,พอร์ทลินคอล์น
6746191,87613,th,โปรตเกนนย
6746268,87614,th,พอร์ต จูเลีย
6746422,87616,th,โปรตเกดละนด
6746499,87617,th,โปรตเกรเมิน
6746653,87619,th,พอร์ตคลินตัน
6746730,87620,th,โปรตบโรุคโตน
6746884,87622,th,พอร์ทออกัสตา
6746961,87623,th,โปโรงุรุป
6747115,87625,th,โปปะนยินนิง
6747192,87626,th,พูนินดี
6747269,87627,th,โปโเชระ
6747423,87629,th,โปนเด
6747500,87630,th,ปอมปูตา
6747577,87631,th,โปินตตุรโตน
6747654,87632,th,โปินตซตุรต
6747731,87633,th,โปินตซะมโซน
6747808,87634,th,โปินตปะซซ
6747962,87636,th,ปิทะระ
6748193,87639,th,ปินเกรโตนซปละินซ
6748270,87640,th,พินจาร์รา
6748347,87641,th,ปิงรุป
6748424,87642,th,ปิเงลลย
6748501,87643,th,ปิงะริง
6748578,87644,th,ปิเนรย
6748655,87645,th,ปิเนโปินต
6748732,87646,th,ไพน์ครีก
6749194,87652,th,ปเิซเซฤิลเล
6749271,87653,th,แยกพิกตัน
6749425,87655,th,ปิะวะนิง
6749579,87657,th,เปเตรโบโรุค
6749656,87658,th,เพิร์ท
6749733,87659,th,เปรโปนดะ
6749887,87661,th,เปเรนโจริ
6749964,87662,th,เปโนง
6750041,87663,th,เพนน์ชอว์
6750195,87665,th,เพมเบอร์ตัน
