id,city_id,language_key,name
8175617,106177,sw,Zvornik
8175694,106178,sw,Zvirovici
8175848,106180,sw,Zvirici
8176002,106182,sw,Zupcici
8176079,106183,sw,Zupca
8176233,106185,sw,Zunovica
8176464,106188,sw,Zubovici
8176541,106189,sw,Zubovici
8176618,106190,sw,Zubovici
8176695,106191,sw,Zubici
8177080,106196,sw,Zlosela
8177234,106198,sw,Zlijebac
8177465,106201,sw,Zivinice
8177696,106204,sw,Zitomislici
8177773,106205,sw,Zirovic
8178004,106208,sw,Zgosca
8178158,106210,sw,Zgon
8178235,106211,sw,Zepce
8178312,106212,sw,Zepa
8178389,106213,sw,Zenkovici
8178466,106214,sw,Zenik
8178543,106215,sw,Zenica
8178697,106217,sw,Zeljusa
8178851,106219,sw,Zelece
8179005,106221,sw,Gornje Zedanjsko
8179082,106222,sw,Zdrimci
8179236,106224,sw,Zdralovici
8179467,106227,sw,Zavidovici
8179544,106228,sw,Zavalje
8179698,106230,sw,Zastinje
8179852,106232,sw,Zaselje
8180006,106234,sw,Zasavica
8180160,106236,sw,Zarkovina
8180545,106241,sw,Zanesovici
8180622,106242,sw,Zaluzje
8180930,106246,sw,Zakovo
8181084,106248,sw,Zahici
8181238,106250,sw,Zagrade
8181777,106257,sw,Zabrisce
8181854,106258,sw,Zabrge
8182239,106263,sw,Zaborak
8182393,106265,sw,Zabljak
8182470,106266,sw,Zabilje
8182547,106267,sw,Vuksic Gornji
8182624,106268,sw,Vukovo
8182778,106270,sw,Vukovije Gornje
8182855,106271,sw,Vukovije Donje
8182932,106272,sw,Vukovici
8183009,106273,sw,Vukotici
8183240,106276,sw,Vukicevci
8183394,106278,sw,Vukanovici
8183625,106281,sw,Vuckovci
8183779,106283,sw,Vucipolje
8183933,106285,sw,Vucilovac
8184010,106286,sw,Vrzerala
8184087,106287,sw,Vrtoce
8184241,106289,sw,Vrse
8184318,106290,sw,Vrpolje Ljubomir
8184395,106291,sw,Vrpec
8184472,106292,sw,Vrnojevici
8184626,106294,sw,Vrnograc
8184857,106297,sw,Vrioci
8184934,106298,sw,Vrilo
8185088,106300,sw,Vrhpolje
8185165,106301,sw,Vrhovine
8185396,106304,sw,Vrelo
8185704,106308,sw,Vrbovik
8185781,106309,sw,Vrbica
8185858,106310,sw,Vrbanjci
8185935,106311,sw,Vrbanja
8186166,106314,sw,Vrazici
8186474,106318,sw,Vranovici
8186705,106321,sw,Vranici
8186859,106323,sw,Vranduk
8186936,106324,sw,Vranduk
8187013,106325,sw,Vrancici
8187244,106328,sw,Voljevac
8187321,106329,sw,Voljevica
8187475,106331,sw,Vojkovici
8187629,106333,sw,Nekhvoroshcha
8187706,106334,sw,Vodenica
8187860,106336,sw,Vlaskovo
8188014,106338,sw,Vlasinje
8188091,106339,sw,Vlasenica
8188322,106342,sw,Vlaknica
8188553,106345,sw,Vlahovici
8189092,106352,sw,Vitlaci
8189169,106353,sw,Vitkovici
8189246,106354,sw,Vitkovici
8189323,106355,sw,Vitina
8189400,106356,sw,Vitez
8189631,106359,sw,Visoko
8189785,106361,sw,Visnjica
8190016,106364,sw,Visnjevo
8190093,106365,sw,Visici
8190170,106366,sw,Visegrad
8190247,106367,sw,Vinska
8190324,106368,sw,Viniste
8190401,106369,sw,Vinica
8190478,106370,sw,Vinac
8190632,106372,sw,Vilesi
8190863,106375,sw,Vihovici
8191248,106380,sw,Vidovice
8191325,106381,sw,Vidosi
8191556,106384,sw,Vesela
8191710,106386,sw,Velja Meda
8191787,106387,sw,Velino Selo
8192095,106391,sw,Veliko Cajno
8192249,106393,sw,Veliki Skocaj
8192326,106394,sw,Veliki Ogradenik
8192403,106395,sw,Veliki Mosunj
8192480,106396,sw,Veliki Kablici
8192557,106397,sw,Veliki Guber
8192634,106398,sw,Veliki Dubovik
8193019,106403,sw,Velika Kladusa
8193481,106409,sw,Velecevo
8193789,106413,sw,Vedasic
8193866,106414,sw,Vecici
8194020,106416,sw,Varvara
8194097,106417,sw,Varosluk
8194251,106419,sw,Vares
8194405,106421,sw,Varalici
8194636,106424,sw,Vakuf
8194944,106428,sw,Uvorici
8195175,106431,sw,Uvac
8195252,106432,sw,Ustipraca
8195329,106433,sw,Ustikolina
8195483,106435,sw,Usora
8196099,106443,sw,Ulice
8196330,106446,sw,Ugorsko
8196407,106447,sw,Ugljevik
8196484,106448,sw,Ugljara
8196869,106453,sw,Tuzla
8196946,106454,sw,Tusnjici
8197177,106457,sw,Turkovici
8197254,106458,sw,Turija
8197331,106459,sw,Turici
8197485,106461,sw,Turcinovici
8197562,106462,sw,Turbe
8197716,106464,sw,Turalici
8198101,106469,sw,Tulovici
8198409,106473,sw,Trzanj
8198486,106474,sw,Trzacka Rastela
8198563,106475,sw,Trtorici
8198717,106477,sw,Trnovo
8198794,106478,sw,Trnovica
8198948,106480,sw,Trnova
8199025,106481,sw,Trncina
8199102,106482,sw,Trn
8199179,106483,sw,Tribic
8199256,106484,sw,Trestenica Donja
8199333,106485,sw,Tresnjeva Glava
8199487,106487,sw,Trebizat
8199641,106489,sw,Trebinje
8200026,106494,sw,Trbuk
8200103,106495,sw,Travnik
8200180,106496,sw,Tramosnjik
8200257,106497,sw,Tosici
8200334,106498,sw,Torlakovac
8200565,106501,sw,Topcic Polje
8200642,106502,sw,Tomina
8200796,106504,sw,Tolisa
8200873,106505,sw,Tokoljak
8200950,106506,sw,Toji
8201258,106510,sw,Tisina
8201335,106511,sw,Tisina
8201412,106512,sw,Tinja Gornja
8201489,106513,sw,Tinja Donja
8201643,106515,sw,Teslic
8201797,106517,sw,Tesanj
8201874,106518,sw,Tepcici
8201951,106519,sw,Tegare
8202028,106520,sw,Tasovcici
8202105,106521,sw,Tarevo
8202182,106522,sw,Tarevci
8202259,106523,sw,Tarcin
8202413,106525,sw,Svrake
8202490,106526,sw,Svodna
8202567,106527,sw,Svitava
8202952,106532,sw,Sutina
8203029,106533,sw,Surmanci
8203722,106542,sw,Suhi Dol
8203799,106543,sw,Suhaca
8204107,106547,sw,Stuparici
8204184,106548,sw,Stupari
8204492,106552,sw,Studenci
8204569,106553,sw,Stubica
8204646,106554,sw,Strupnic
8204877,106557,sw,Struge
8205031,106559,sw,Strijezevo
8205108,106560,sw,Strizevo
8205262,106562,sw,Strepci
8205416,106564,sw,Strazbenica
8205493,106565,sw,Strane
8205878,106570,sw,Stolac
8205955,106571,sw,Stojkovici
8206109,106573,sw,Stojcici
8206186,106574,sw,Stivor
8206263,106575,sw,Stipanjici
8206494,106578,sw,Starposle
8206802,106582,sw,Stari Teocak
8206879,106583,sw,Starina
8206956,106584,sw,Stari Martinac
8207033,106585,sw,Stari Majdan
8207264,106588,sw,Stara Rijeka
8207649,106593,sw,Srnice Gornje
8207880,106596,sw,Srhinje
8207957,106597,sw,Sretnice
8208034,106598,sw,Sreflije
8208111,106599,sw,Srednja Trnova
8208188,106600,sw,Srednja Jurkovica
8208265,106601,sw,Srebrenik
8208342,106602,sw,Srebrenica
8208419,106603,sw,Srdevici
8208496,106604,sw,Srdani
8208573,106605,sw,Srbac
8208650,106606,sw,Spiljani
8208804,106608,sw,Spahici
8208881,106609,sw,Sovrle
8209035,106611,sw,Sopotnik
8209112,106612,sw,Sopotnica
8209266,106614,sw,Solakovici
8209805,106621,sw,Sokolac
8209882,106622,sw,Soko
8210036,106624,sw,Snjegotina Donja
8210267,106627,sw,Smrekovica
8210498,106630,sw,Smajici
8210575,106631,sw,Slivno
8210883,106635,sw,Slipcici
8211268,106640,sw,Slatina
8211345,106641,sw,Slatina
8211961,106649,sw,Skradno
8212269,106653,sw,Knezevo
8212423,106655,sw,Skelani
8212500,106656,sw,Sjenina
8212654,106658,sw,Sizje
8212962,106662,sw,Šiprage
8213039,106663,sw,Sipovo
8213193,106665,sw,Sinokos
8213347,106667,sw,Sikulje
8213578,106670,sw,Sijekovac
8213655,106671,sw,Sibovi
8213809,106673,sw,Serici
8214040,106676,sw,Seonica
8214117,106677,sw,Seona
8214194,106678,sw,Seoci
8214271,106679,sw,Seoce
8214579,106683,sw,Senkovici
8214733,106685,sw,Semizovac
8214964,106688,sw,Seljublje
8215195,106691,sw,Sekovici
8215272,106692,sw,Sehovina
8215349,106693,sw,Sehovci
8215426,106694,sw,Sedlari
8216119,106703,sw,Satorovici
8216350,106706,sw,Sase
8216581,106709,sw,Sarajlije
8216658,106710,sw,Sarayevo
8216735,106711,sw,Sapna
8216812,106712,sw,Sanski Most
8216889,106713,sw,Sanica Donja
8216966,106714,sw,Sanica
8217197,106717,sw,Samarevac
8217351,106719,sw,Sadovace
8217736,106724,sw,Sabici
8218121,106729,sw,Rumboci
8218275,106731,sw,Rudo
8218429,106733,sw,Rudice
8218737,106737,sw,Rogousici
8218814,106738,sw,Rogatica
8218968,106740,sw,Rjecica Gornja
8219045,106741,sw,Rjecica Donja
8219122,106742,sw,Rizvanovici
8219199,106743,sw,Ripci
8219276,106744,sw,Ripac
8219430,106746,sw,Recica
8219507,106747,sw,Ricice
8219815,106751,sw,Resanovci
8220277,106757,sw,Razljevo
8220354,106758,sw,Razboj Ljevcanski
8220431,106759,sw,Ravno
8220816,106764,sw,Ravne Donje
8220893,106765,sw,Ravne
8221124,106768,sw,Ravan
8221201,106769,sw,Ratkovici
8221355,106771,sw,Rat
8221509,106773,sw,Rastani
8221740,106776,sw,Rosko Polje
8221894,106778,sw,Donji Rasinevac
8221971,106779,sw,Rasevo
8222048,106780,sw,Raseljke
8222356,106784,sw,Rapovine
8222433,106785,sw,Rapatnica
8222510,106786,sw,Rapace
8222587,106787,sw,Rankovici
8222664,106788,sw,Rakovcani
8222741,106789,sw,Rakova Noga
8222895,106791,sw,Rakino Brdo
8222972,106792,sw,Rajseva
8223280,106796,sw,Ragale
8223665,106801,sw,Radinovici
8223742,106802,sw,Radaslije
8223973,106805,sw,Putovici
8224050,106806,sw,Putesevica
8224127,106807,sw,Pusmulici
8224281,106809,sw,Puracic
8224358,106810,sw,Puraci
8224435,106811,sw,Pulac
8224512,106812,sw,Puhovac
8224589,106813,sw,Novi Travnik
8224974,106818,sw,Prusac
8225051,106819,sw,Prud
8225128,106820,sw,Prozor
8225282,106822,sw,Prosjek
8225513,106825,sw,Prosici
8225590,106826,sw,Prolog
8225667,106827,sw,Prokosovici
8225744,106828,sw,Prohici
8225898,106830,sw,Prnjavor
8226129,106833,sw,Prisoje
8226283,106835,sw,Prisap
8226437,106837,sw,Priluka
8226668,106840,sw,Prijedor
8226745,106841,sw,Prijecani
8226822,106842,sw,Prijanovici
8226976,106844,sw,Prijakovci
8227207,106847,sw,Pridvorci
8227361,106849,sw,Pricani
8227515,106851,sw,Priboj
8227592,106852,sw,Pribitkovici
8227669,106853,sw,Pribinici
8228131,106859,sw,Preocica
8228516,106864,sw,Praka
8228747,106867,sw,Potok
8228824,106868,sw,Potoci
8228901,106869,sw,Potocari
8228978,106870,sw,Potocani
8229055,106871,sw,Potocani
8229132,106872,sw,Potkraj
8229286,106874,sw,Posusje
8229671,106879,sw,Poprati
8229902,106882,sw,Popovici
8230056,106884,sw,Popovi
8230210,106886,sw,Ponjevici
8230287,106887,sw,Ponirak
8230518,106890,sw,Pomol
8230672,106892,sw,Polje Slavka Gavrancica
8230749,106893,sw,Polje Bijela
8230903,106895,sw,Poljanice
8231134,106898,sw,Pokrajcici
8231365,106901,sw,Pogorioci
8231519,106903,sw,Podvinje
8231596,106904,sw,Podvinjci
8231750,106906,sw,Podstijena
8231827,106907,sw,Podromanija
8231981,106909,sw,Donji Podpec
8232058,106910,sw,Podovi
8232289,106913,sw,Podosoje
8232443,106915,sw,Podorasje
8232597,106917,sw,Podlugovi
8232674,106918,sw,Podlug
8233136,106924,sw,Podhum
8233444,106928,sw,Podgradina
8233521,106929,sw,Podgradina
8233598,106930,sw,Podgrade
8233675,106931,sw,Podgorje
8233752,106932,sw,Podgorani
8233829,106933,sw,Podgora
8233983,106935,sw,Podgaj
8234368,106940,sw,Podbrde
8234445,106941,sw,Podborje
8234522,106942,sw,Podbor
8234599,106943,sw,Podastinje
