id,city_id,language_key,name
15653490,203293,bg,Мабанда
15653721,203296,bg,Кибаго
15654106,203301,bg,Мугина
15655030,203313,bg,Вянда
15656031,203326,bg,Киремба
15656108,203327,bg,Гисума
15657032,203339,bg,Макамба
15658880,203363,bg,Каыогоро
15659034,203365,bg,Букемба
15660189,203380,bg,Гихаро
15660266,203381,bg,Мпинга-Каыове
15660343,203382,bg,Ныанза
15661729,203400,bg,Матана
15664116,203431,bg,Бурури
15665040,203443,bg,Румонге
15665194,203445,bg,Манга
15665502,203449,bg,Мутамбу
15665656,203451,bg,Кабези
15666734,203465,bg,Мухута
15667658,203477,bg,Магара
15667735,203478,bg,Мваро
15668120,203483,bg,Кайокве
15668582,203489,bg,Гисози
15669121,203496,bg,Бисоро
15669198,203497,bg,Мугамба
15670122,203509,bg,Ныарусанге
15670276,203511,bg,Макебуко
15670430,203513,bg,Гисхуби
15671123,203522,bg,Букирасази
15671739,203530,bg,Бутаганзуа
15672817,203544,bg,Мусонгати
15673125,203548,bg,Ныабитсинда
15673510,203553,bg,Кинийня
15673741,203556,bg,Музинда
15673972,203559,bg,Мубимби
15674203,203562,bg,Гатумба
15674357,203564,bg,Исале
15674434,203565,bg,Бужумбура
15674588,203567,bg,Бунамвая
15674819,203570,bg,Рутегама
15674896,203571,bg,Муренгуко
15674973,203572,bg,Киганда
15675281,203576,bg,Мугонгоманга
15675358,203577,bg,Рвибага
15675974,203585,bg,Гихета
15676051,203586,bg,Ндава
15676205,203588,bg,Гитега
15676590,203593,bg,Ныабиханга
15676975,203598,bg,Занандоре
15677052,203599,bg,Ныабикере
15677668,203607,bg,Руыиги
15681210,203653,bg,Бверу
15688217,203744,bg,Цендайуру
15688448,203747,bg,Гисуру
15689141,203756,bg,Гисагара
15690142,203769,bg,Мисхиха
15690219,203770,bg,Кигамба
15690912,203779,bg,Гисагара
15690989,203780,bg,Чанаком
15692760,203803,bg,Бухиныуза
15697919,203870,bg,Мвакиро
15704079,203950,bg,Бухига
15709315,204018,bg,Бугеныузи
15710008,204027,bg,Каруси
15711548,204047,bg,Русхомбо
15716091,204106,bg,Мутумба
15719864,204155,bg,Мусигати
15720018,204157,bg,Бубанза
15720942,204169,bg,Мпанда
15721173,204172,bg,Гиханга
15722020,204183,bg,Мванхузи
15722405,204188,bg,Бутаганзуа
15723329,204200,bg,Букеые
15723791,204206,bg,Мбуые
15724099,204210,bg,Гахомбо
15724176,204211,bg,Муханга
15724253,204212,bg,Рухороро
15724561,204216,bg,Гихогази
15724638,204217,bg,Гасеныи
15724946,204221,bg,Мутахо
15726178,204237,bg,Букинаныана
15727564,204255,bg,Мугина
15727718,204257,bg,Ругомбо
15728103,204262,bg,Цибитоке
15728180,204263,bg,Мурви
15728950,204273,bg,Буганда
15729720,204283,bg,Кайумба
15729874,204285,bg,Мабаыи
15730413,204292,bg,Нтега
15730798,204297,bg,Марангара
15731029,204300,bg,Киремба
15731183,204302,bg,Ныамуренза
15731568,204307,bg,Мвумба
15731953,204312,bg,Гасхикануа
15732030,204313,bg,Нгози
15732184,204315,bg,Тангара
15732954,204325,bg,Цендайуру
15733339,204330,bg,Мутсинда
15733878,204337,bg,Киримба
15734032,204339,bg,Кабароре
15734417,204344,bg,Бусига
15735033,204352,bg,Каыанза
15735418,204357,bg,Гахомбо
15736034,204365,bg,Гатара
15737574,204385,bg,Бвамбарангве
15738036,204391,bg,Бутихинда
15738575,204398,bg,Муыинга
15739114,204405,bg,Гисанзе
15739422,204409,bg,Гасхохо
15739499,204410,bg,Гасорве
15740038,204417,bg,Гитарамука
15740269,204420,bg,Бусони
15740346,204421,bg,Бугабира
15740731,204426,bg,Кирундо
15741347,204434,bg,Гитобе
15741655,204438,bg,Вумби-Букуба
15742117,204444,bg,Рутову
15742348,204447,bg,Рутана
15742887,204454,bg,Бурамби
15742964,204455,bg,Бураза
15743041,204456,bg,Мукике
15743118,204457,bg,Схомбо
15743195,204458,bg,Гитераныи
