id,city_id,language_key,name
16038877,208298,bs,Tutong
16038954,208299,bs,Kampung Tumpuan Ugas
16039031,208300,bs,Kampung Temada
16039185,208302,bs,Serija
16039339,208304,bs,Rasau
16039416,208305,bs,Kampung Rampayoh
16039570,208307,bs,Kampung Panaga
16039647,208308,bs,Muara
16039724,208309,bs,Kampung Labi
16039801,208310,bs,Kuala Belait
16039878,208311,bs,Kampung Wasan
16039955,208312,bs,Kampung Ukong
16040032,208313,bs,Kampung Tunggulian
16040109,208314,bs,Kampung Tanah Jambu
16040417,208318,bs,Kampung Tarap Bau
16040494,208319,bs,Telisai
16040571,208320,bs,Telamba
16040725,208322,bs,Kampung Tanjong Nangka
16040879,208324,bs,Kampung Tanjong Maya
16041187,208328,bs,Liang
16041264,208329,bs,Kampung Sungai Lampai
16041341,208330,bs,Kampung Kilugus
16041418,208331,bs,Sungai Hanching
16041649,208334,bs,Kampung Sungai Besar
16041803,208336,bs,Kampung Sumbiling Lama
16042034,208339,bs,Kampung Sinaut
16042111,208340,bs,Sinarubai
16042188,208341,bs,Kampung Sibut
16042265,208342,bs,Kampung Sebakit
16042342,208343,bs,Kampung Serusop
16042496,208345,bs,Serasa
16042573,208346,bs,Sengkurong
16042650,208347,bs,Kampung Semabat
16042727,208348,bs,Kampung Selayun
16042881,208350,bs,Kampung Bukit Sawat
16042958,208351,bs,Sengkarai
16043112,208353,bs,Salambigar
16043189,208354,bs,Kampung Sabun
16043266,208355,bs,Kampung Riong
16043420,208357,bs,Kampung Rimba
16043728,208361,bs,Rambai
16043805,208362,bs,Kampung Putat
16043959,208364,bs,Kampong Meragang
16044421,208370,bs,Kampung Perumpong
16044729,208374,bs,Kampung Peninjau
16044806,208375,bs,Kampung Penapar
16044883,208376,bs,Penanjong
16044960,208377,bs,Kampung Penabai
16045114,208379,bs,Kampung Pelambaian
16045191,208380,bs,Pengkalan Batu
16045345,208382,bs,Kampung Kumbang Pasang
16045422,208383,bs,Kampung Parit
16045653,208386,bs,Kampung Panchor Murai
16045807,208388,bs,Kampung Pangkalan Ra'an
16046038,208391,bs,Kampong Pangkalan Mau
16046115,208392,bs,Perumahan Negara Panchor
16046192,208393,bs,Panchor Papan
16046269,208394,bs,Panchor Dulit
16046423,208396,bs,Pad Nunok
16046731,208400,bs,Mulaut
16046808,208401,bs,Kampong Mulaut
16047039,208404,bs,Mentiri
16047270,208407,bs,Kampung Mata-Mata
16047347,208408,bs,Madewa
16047424,208409,bs,Kampung Lupak Luas
16047501,208410,bs,Lumapas
16047578,208411,bs,Kampung Lugu
16047732,208413,bs,Lubok Pulau
16047809,208414,bs,Kampung Luagan Dudok
16048040,208417,bs,Kampung Limau Manis
16048117,208418,bs,Kampung Lilas
16048194,208419,bs,Kampung Lepong
16048271,208420,bs,Layong
16048348,208421,bs,Lamunin
16048425,208422,bs,Kampong Lambak A
16048579,208424,bs,Kupang
16048656,208425,bs,Kampung Kuala Ungar
16048733,208426,bs,Kampung Kuala Tutong
16048810,208427,bs,Kuala Abang
16048887,208428,bs,Kota Batu
16049041,208430,bs,Kiudang
16049118,208431,bs,Kampong Kiajong
16049195,208432,bs,Keriam
16049272,208433,bs,Kampung Kenua
16049734,208439,bs,Katok
16049811,208440,bs,Katimahar
16049888,208441,bs,Kampung Kasat
16049965,208442,bs,Kapok
16050042,208443,bs,Kampung Kandang
16050196,208445,bs,Junjongan
16050273,208446,bs,Kampung Jerudong
16050350,208447,bs,Kampung Jangsak
16050427,208448,bs,Kampung Ikas
16050504,208449,bs,Kampung Pangkalan Gadong
16050658,208451,bs,Kampung Pancha Delima
16050735,208452,bs,Kampung Danau
16051043,208456,bs,Kampung Bokok
16051120,208457,bs,Kampung Bakiau
16051197,208458,bs,Bukit Sulang
16051274,208459,bs,Bukit Panggal
16051505,208462,bs,Kampung Bukit
16051582,208463,bs,Kampung Buang Tawar
16051659,208464,bs,Kampung Buang Sakar
16051813,208466,bs,Kampong Birau
16051890,208467,bs,Kampong Bintauran
16052044,208469,bs,Kampung Beribi
16052275,208472,bs,Kampung Benutan
16052429,208474,bs,Kampung Bebatik
16052506,208475,bs,Kampung Baong
16052583,208476,bs,Batu Marang
16052660,208477,bs,Kampong Batu Lapan
16052814,208479,bs,Kampung Batu Ampar
16052891,208480,bs,Batong
16052968,208481,bs,Kampung Batang Duri
16053661,208490,bs,Kampung Amo
