id,city_id,language_key,name
22787004,295936,ca,Skarchevo
22787389,295941,ca,Indura
22787466,295942,ca,Gavrilovka
22787543,295943,ca,Balazhevichi
22787774,295946,ca,Skidel'
22787928,295948,ca,Usohskaa Buda
22788082,295950,ca,Mikolce
22788544,295956,ca,Ziatkovichi
22788621,295957,ca,Zyabrovka
22788775,295959,ca,Zyabliny
22788852,295960,ca,Ziabki
22789006,295962,ca,Zvyagi
22789083,295963,ca,Zvanyets
22789160,295964,ca,Zvon'
22789391,295967,ca,Zvenyatskoye
22789468,295968,ca,Zvancatka
22790007,295975,ca,Zubrevichi
22790161,295977,ca,Zubovo
22790315,295979,ca,Zubki
22790392,295980,ca,Zubelevichi
22790546,295982,ca,Zubarevshchina
22790854,295986,ca,Zasintsy
22791085,295989,ca,Zori
22791162,295990,ca,Zenuki
22791316,295992,ca,Zalatuha
22791547,295995,ca,Zoloteevo
22791701,295997,ca,Znamenka
22792009,296001,ca,Zinovichi
22792240,296004,ca,Zimnitskiye
22792702,296010,ca,Zhichin
22792933,296013,ca,Zhūrovka
22793010,296014,ca,Zhurikhi
22793087,296015,ca,Zhurevichi
22793318,296018,ca,Zhuravnyky
22793703,296023,ca,Zhuravichy
22793934,296026,ca,Zuravok
22794011,296027,ca,Zuprany
22794396,296032,ca,Zhukovshchina
22794473,296033,ca,Zhukovo
22795397,296045,ca,Zhuknyeva
22795782,296050,ca,Zhukevitx
22795859,296051,ca,Zubrovo
22795936,296052,ca,Zhovnino
22796090,296054,ca,Zhortay
22796244,296056,ca,Zhornawka
22796398,296058,ca,Zhomoydz
22796475,296059,ca,Zhelvinets
22796937,296065,ca,Jhodzishki
22797014,296066,ca,Jódzina
22797091,296067,ca,Zhmurawka
22797245,296069,ca,Zlobin
22797553,296073,ca,Jitomlia
22797630,296074,ca,Zytnavicy
22797707,296075,ca,Zhitlin
22797784,296076,ca,Zhit'kovo
22797861,296077,ca,Zytkavicy
22797938,296078,ca,Zhitin
22798092,296080,ca,Zhirovichi
22798169,296081,ca,Kamenitsa-Jirovetskaya
22798246,296082,ca,Zyrmuny
22798477,296085,ca,Zhilikhovo
22798631,296087,ca,Zhilichi
22798708,296088,ca,Zhylichy
22798785,296089,ca,Zhilichi
22799170,296094,ca,Zhyhalki
22799247,296095,ca,Zhhunskaya Buda
22799324,296096,ca,Zhgun'
22799555,296099,ca,Zhevan'
22799632,296100,ca,Zhornovka
22799786,296102,ca,Jhernoseki
22799940,296104,ca,Zheremets
22800171,296107,ca,Zarabkovicy
22800556,296112,ca,Zhamyslawl'
22800710,296114,ca,Zaludok
22800941,296117,ca,Zhelezki
22801172,296120,ca,Zhelezinka
22801403,296123,ca,Zhdehyeli
22801557,296125,ca,Ždanovičy
22801788,296128,ca,Zhazhelka
22801865,296129,ca,Zhavoronki
22802173,296133,ca,Zhary
22802250,296134,ca,Zhary
22802481,296137,ca,Malaya Zhernovka
22802789,296141,ca,Zhankovichi
22803174,296146,ca,Zhakhovich
22803482,296150,ca,Zabinka
22803559,296151,ca,Zabinka
22803713,296153,ca,Zabin
22803867,296155,ca,Zaber
22803944,296156,ca,Zhabchitsy
22804329,296161,ca,Denovishki
22804483,296163,ca,Zvenyachyn
22804560,296164,ca,Zenevichi
22804791,296167,ca,Zelva
22805253,296173,ca,Zyalyony Mokh
22805638,296178,ca,Zeleny Dub
22805715,296179,ca,Zyalyonka
22805792,296180,ca,Zyalyony Bor
22805869,296181,ca,Zelenochi
22806023,296183,ca,Zyelyankovichy
22806254,296186,ca,Zyelyanyevichy
22806562,296190,ca,Zelenaya Roshcha
22806870,296194,ca,Zdudichi
22806947,296195,ca,Zdzitava
22807024,296196,ca,Zbyshin
22807101,296197,ca,Zburaz
22807178,296198,ca,Zboysk
22807332,296200,ca,Zbocna
22807563,296203,ca,Zbirogi
22807640,296204,ca,Zbárow
22807717,296205,ca,Zazhevitx
22807871,296207,ca,Zazheche
22807948,296208,ca,Zazezhe
22808102,296210,ca,Zazer'e
22808641,296217,ca,Zaymishche
22809103,296223,ca,Strazhi
22809334,296226,ca,Zayamochnoye
22809488,296228,ca,Zayamnaye
22809873,296233,ca,Zavoyt'
22810027,296235,ca,Zavod-Virovaya
22810181,296237,ca,Zavodskaa Slabada
22810643,296243,ca,Zavitaa
22810720,296244,ca,Zavishino
22810951,296247,ca,Zavidovka
22811028,296248,ca,Zavidchitsy
22811105,296249,ca,Zavich'ye
22811182,296250,ca,Zavyersha
22811259,296251,ca,Zavershany
22811644,296256,ca,Zavyachellye
22811798,296258,ca,Zavutstsye
22811952,296260,ca,Zatur'a
22812029,296261,ca,Zatitova Sloboda
22812106,296262,ca,Zatsen'
22812260,296264,ca,Zaton
22812414,296266,ca,Zatish'ye
22812876,296272,ca,Zatsyaklyassye
22813107,296275,ca,Zasulle
22813184,296276,ca,Zastruzhe
22813261,296277,ca,Zastadolle
22813415,296279,ca,Zastenok-Usterkhi
22813492,296280,ca,Torí
22813646,296282,ca,Zastsyenki
22813800,296284,ca,Zastave
22813877,296285,ca,Zastarin'ye
22814108,296288,ca,Zastarynne
22814185,296289,ca,Zaspa
22814262,296290,ca,Zasówye
22814416,296292,ca,Zaslawye
22814570,296294,ca,Zaskorki
22814647,296295,ca,Ushkovychi
22814724,296296,ca,Zosimy
22814878,296298,ca,Zashir'ye
22815109,296301,ca,Zashcheb'ye
22815186,296302,ca,Zasyetstsye
22815340,296304,ca,Zarytovo
22815417,296305,ca,Zarudav'ye
22815571,296307,ca,Zarudichi
