id,city_id,language_key,name
31197235,405159,tl,Te Tautua
31197312,405160,tl,Omoka
31197389,405161,tl,Vaipae
31197466,405162,tl,Tukao
31197620,405164,tl,Tengatangi Village
31197774,405166,tl,Tauhunu
31198236,405172,tl,Ngatiarua
31198775,405179,tl,Avarua
31198852,405180,tl,Arutanga
31199006,405182,tl,Areora
31199083,405183,tl,Amuri
31199160,405184,tl,Palmerston
31199699,405191,tl,Tautu
31199853,405193,tl,Nikaupara
31199930,405194,tl,Reureu
31200392,405200,tl,Mangarei
31200469,405201,tl,Motu Koe
31200546,405202,tl,Moto Kavata
31200700,405204,tl,Matara
31201008,405208,tl,Uejima
