id,city_id,language_key,name
31201133,405210,lt,Zapallar
31201210,405211,lt,Yungay
31201287,405212,lt,Yumbel
31201364,405213,lt,Yerbas Buenas
31201441,405214,lt,Vinja del Maras
31201518,405215,lt,Viljarika
31201595,405216,lt,Vilja Alemana
31201672,405217,lt,Vila Alegrė
31201749,405218,lt,Vilcun
31201826,405219,lt,Vikunija
31201903,405220,lt,Viktorija
31201980,405221,lt,Vichuquen
31202057,405222,lt,Valparaisas
31202134,405223,lt,Valjenaras
31202211,405224,lt,Valdivija
31202365,405226,lt,Tucapel
31202442,405227,lt,Treguaco
31202519,405228,lt,Traiguen
31202596,405229,lt,Tortel
31202673,405230,lt,Tomė
31202750,405231,lt,Tolten
31202827,405232,lt,Tokopilija
31202904,405233,lt,Tirua
31202981,405234,lt,Timaras
31203058,405235,lt,Tiltil
31203135,405236,lt,Tierra Amarilla
31203212,405237,lt,Teodoro Schmidt
31203289,405238,lt,Teno
31203366,405239,lt,Temukas
31203443,405240,lt,Tarapaca
31203597,405242,lt,Taltal
31203674,405243,lt,Talkahuanas
31203751,405244,lt,Talka
31203828,405245,lt,Talagante
31204059,405248,lt,Socoroma
31204136,405249,lt,Sierra Gorda
31204290,405251,lt,San Vicente de Tagua Tagua
31204367,405252,lt,Čilės Santjagas
31204444,405253,lt,Santa Maria
31204521,405254,lt,Santa Chuana
31204675,405256,lt,Santa Kruzas
31204752,405257,lt,Santa Barbara
31204829,405258,lt,San Rosendo
31204906,405259,lt,San Ramonas
31204983,405260,lt,San Rafaelis
31205060,405261,lt,San Pedro de Atakama
31205137,405262,lt,San Pedro
31205291,405264,lt,San Pablo
31205368,405265,lt,San Nikolas
31205445,405266,lt,San Juan de la Costa
31205599,405268,lt,S Jose de Maipo
31205676,405269,lt,San Javier
31205753,405270,lt,San Gregorio
31205830,405271,lt,San Francisco de Mostazal
31205907,405272,lt,San Felipė
31205984,405273,lt,San Fabian de Alico
31206061,405274,lt,San Estebanas
31206138,405275,lt,San Clemente
31206215,405276,lt,San Karlosas
31206292,405277,lt,San Bernardas
31206369,405278,lt,San Antonijus
31206446,405279,lt,San Antonijus
31206523,405280,lt,Salamanka
31206600,405281,lt,Sagrada Familia
31206677,405282,lt,Romeral
31206754,405283,lt,Rio Negro
31206831,405284,lt,Rio Bueno
31206985,405286,lt,Retiro
31207062,405287,lt,Requinoa
31207139,405288,lt,Rengo
31207216,405289,lt,Renca
31207293,405290,lt,Renaico
31207370,405291,lt,Rauco
31207447,405292,lt,Ranquil
31207524,405293,lt,Rankagva
31207601,405294,lt,Quistagama
31207678,405295,lt,Quirihue
31207755,405296,lt,Quintero
31207832,405297,lt,Quinta de Tilcoco
31207986,405299,lt,Quinchao
31208063,405300,lt,Kilpė
31208140,405301,lt,Kiljota
31208217,405302,lt,Quillon
31208294,405303,lt,Quilleco
31208448,405305,lt,Quillagua
31208525,405306,lt,Quilicura
31208602,405307,lt,Quile
31208679,405308,lt,Quilaco
31208756,405309,lt,Quemchi
31208833,405310,lt,Queilen
31208910,405311,lt,Putrė
31208987,405312,lt,Putaendo
31209064,405313,lt,Purranque
31209141,405314,lt,Puren
31209218,405315,lt,Puqueldon
31209295,405316,lt,Punta Arenasas
31209372,405317,lt,Punitaqui
31209449,405318,lt,Pumanque
31209603,405320,lt,Puerto Viljamsas
31209757,405322,lt,Puerto Varasas
31209834,405323,lt,Saavedra
31209911,405324,lt,Quellon
31209988,405325,lt,Puerto Octay
31210065,405326,lt,Puerto Natalesas
31210142,405327,lt,Puerto Montas
31210219,405328,lt,Puerto Sisnesas
31210296,405329,lt,Puerto Aisenas
31210373,405330,lt,Puente Alto
31210450,405331,lt,Pukonas
31210527,405332,lt,Puchuncavi
31210604,405333,lt,Providencia
31210758,405335,lt,Poso Almontė
31210835,405336,lt,Porvenir
31210912,405337,lt,Portezuelo
31210989,405338,lt,Poconchile
31211066,405339,lt,Lago Ranco
31211143,405340,lt,Placilla
31211220,405341,lt,Pitrufquen
31211297,405342,lt,Pisagua
31211374,405343,lt,Pirque
31211451,405344,lt,Pinto
31211528,405345,lt,Pičilemas
31211605,405346,lt,Pichidegua
31211682,405347,lt,Pica
31211759,405348,lt,Peumo
31211836,405349,lt,Petorca
31211990,405351,lt,Perquenco
31212067,405352,lt,Peralillo
31212144,405353,lt,Penco
31212221,405354,lt,Pencahue
31212298,405355,lt,Penalolen
31212375,405356,lt,Penaflor
31212452,405357,lt,Pemuco
31212529,405358,lt,Pelarco
31212606,405359,lt,Parral
31212683,405360,lt,Paredoncito
31212760,405361,lt,Papudo
31212837,405362,lt,Panquehue
31212914,405363,lt,Panguipulli
31212991,405364,lt,Palmilla
31213068,405365,lt,Palena
31213145,405366,lt,Paine
31213222,405367,lt,Paillaco
31213299,405368,lt,Paiguano
31213376,405369,lt,Padre Las Casas
31213453,405370,lt,Padre Hurtado
31213530,405371,lt,Pachica
31213684,405373,lt,Ovaljė
31213761,405374,lt,Osornas
31213838,405375,lt,Olmue
31213915,405376,lt,Ollague
31213992,405377,lt,Olivaras
31214069,405378,lt,Oficina Victoria
31214146,405379,lt,Maria Elena
31214223,405380,lt,Nueva Imperial
31214300,405381,lt,Heroica Caborca
31214377,405382,lt,Niquen
31214454,405383,lt,Ninhue
31214531,405384,lt,Negrete
31214608,405385,lt,Navidad
31214685,405386,lt,Nancagua
31214839,405388,lt,Nacimiento
31214916,405389,lt,Mulchen
31214993,405390,lt,Moquella
31215070,405391,lt,Monte Patrija
31215301,405394,lt,Molina
31215455,405396,lt,Melipilla
31215532,405397,lt,Melipeuco
31215609,405398,lt,Mejillones
31215686,405399,lt,Maullin
31215763,405400,lt,Maule
31215840,405401,lt,Matilla
31215917,405402,lt,Maria Pinto
31216071,405404,lt,Marchihue
31216148,405405,lt,Mamina
31216225,405406,lt,Maitencillo
31216302,405407,lt,Maipu
31216379,405408,lt,Mafil
31216456,405409,lt,Macul
31216533,405410,lt,Machali
31216610,405411,lt,Lumaco
31216687,405412,lt,Lota
31216764,405413,lt,Los Vilosas
31216841,405414,lt,Los padažai
31217072,405417,lt,Los Perales
31217149,405418,lt,Los Muermos
31217226,405419,lt,Los Molles
31217303,405420,lt,Los Lagos
31217380,405421,lt,Los Condores
31217457,405422,lt,Los Cerrillos
31217765,405426,lt,Los Anchelesas
31217842,405427,lt,Los Andesas
31217919,405428,lt,Los Alamosas
31217996,405429,lt,Lonquimay
31218073,405430,lt,Longavi
31218150,405431,lt,Loncoche
31218227,405432,lt,Lolol
31218304,405433,lt,Lo Gallardo
31218381,405434,lt,Barnechea
31218458,405435,lt,Llanquihue
31218535,405436,lt,Llaillay
31218612,405437,lt,Linderos
31218689,405438,lt,Linaresas
31218766,405439,lt,Limaxina
31218843,405440,lt,Limache
31218920,405441,lt,Licanten
31218997,405442,lt,Lebu
31219074,405443,lt,Lautaro
31219151,405444,lt,La Unjonas
31219228,405445,lt,La Tirana
31219459,405448,lt,La Serena
31219536,405449,lt,Las Kabras
31219690,405451,lt,Lareina
31219767,405452,lt,La Pampa
31219844,405453,lt,Lanco
31219921,405454,lt,Lampa
31219998,405455,lt,La Ligva
31220075,405456,lt,Laja
31220152,405457,lt,La Huayca
31220306,405459,lt,La Higuera
31220383,405460,lt,La Granja
31220460,405461,lt,Lago Verde
31220537,405462,lt,Florida
31220614,405463,lt,La Florida
31220691,405464,lt,La Floresta
31220768,405465,lt,La Estrella
31220845,405466,lt,La Kruzas
31220922,405467,lt,La Kalera
31221230,405471,lt,Isla de Maipo
31221307,405472,lt,Ikikė
31221461,405474,lt,Iloca
31221538,405475,lt,Iljapelis
31221615,405476,lt,Hurtado
31221692,405477,lt,Huaskas
31221769,405478,lt,Huara
31221846,405479,lt,Hualpen
31221923,405480,lt,Hualane
31222000,405481,lt,Ichuelasas
31222154,405483,lt,Huatacondo
31222308,405485,lt,Hualqui
31222462,405487,lt,Guadalao
31222539,405488,lt,Graneros
31222616,405489,lt,Gorbea
31222693,405490,lt,General Lagos
31222770,405491,lt,Galvarino
31222847,405492,lt,Futrono
31222924,405493,lt,Futaleufu
31223001,405494,lt,Fresia
31223078,405495,lt,Freirina
31223155,405496,lt,Freire
31223232,405497,lt,Estacion Colina
31223309,405498,lt,Esquina
31223386,405499,lt,Lo Espejo
31223463,405500,lt,Ercilla
31223617,405502,lt,Empedrado
31223694,405503,lt,El Tabo
31223771,405504,lt,El Sauce
31223848,405505,lt,El Rincon
31223925,405506,lt,El Quisco
31224079,405508,lt,El Monte
31224233,405510,lt,El Emboque
31224387,405512,lt,El Carmen
31224541,405514,lt,El Asilo
31224618,405515,lt,Donihue
31224695,405516,lt,Diego de Almagro
31224849,405518,lt,Dalkahuė
31224926,405519,lt,Cuya
31225003,405520,lt,Kuriko
31225157,405522,lt,Curepto
31225234,405523,lt,Curarrehue
31225311,405524,lt,Curanilahue
31225388,405525,lt,Curaco de Velez
31225465,405526,lt,Curacavi
31225542,405527,lt,Curacautin
31225619,405528,lt,Cunco
31225696,405529,lt,Culitrin
31225773,405530,lt,Coya
31225927,405532,lt,Corral
31226004,405533,lt,Koronelis
31226081,405534,lt,Kokimbas
31226235,405536,lt,Kopjapo
31226312,405537,lt,Contulmo
31226389,405538,lt,Konstitucija
31226466,405539,lt,Concon
31226543,405540,lt,Konsepsjonas
31226697,405542,lt,Kombarbala
31226774,405543,lt,Coltauco
31226851,405544,lt,Collipulli
31226928,405545,lt,Colina
31227082,405547,lt,Colchane
31227159,405548,lt,Colbun
31227236,405549,lt,Coinco
31227313,405550,lt,Coihueco
31227390,405551,lt,Colhue
31227544,405553,lt,Kojaikė
31227621,405554,lt,Coelemu
31227698,405555,lt,Codpa
31227775,405556,lt,Codegua
31227852,405557,lt,Kokreinas
31228006,405559,lt,Cochamo
31228083,405560,lt,Cobquecura
31228160,405561,lt,Chusmiza
31228237,405562,lt,Chonchi
31228314,405563,lt,Cholchol
31228468,405565,lt,Chimbarongo
31228545,405566,lt,Chillan Viejo
31228622,405567,lt,Čiljanas
31228776,405569,lt,Čile Čikas
31228853,405570,lt,Chiguayante
31228930,405571,lt,Chepica
31229007,405572,lt,Chillepin
31229161,405574,lt,Chapiquilta
31229238,405575,lt,Chanco
31229315,405576,lt,Čanjaralis
31229392,405577,lt,Chanavayita
31229546,405579,lt,Čaitenas
31229623,405580,lt,Chada
31229700,405581,lt,Kaukvenesas
31229777,405582,lt,Catemu
31229854,405583,lt,Kastras
31229931,405584,lt,Casablanca
31230008,405585,lt,Kartachena
31230162,405587,lt,Carahue
31230239,405588,lt,Caracoles
31230316,405589,lt,Canela
31230393,405590,lt,Camina
31230470,405591,lt,Kameronas
31230547,405592,lt,Camarones
31230624,405593,lt,Calle Larga
31230701,405594,lt,Kaldera
31230778,405595,lt,Calbuco
31230855,405596,lt,Kalama
31230932,405597,lt,Cabrero
31231009,405598,lt,Cabildo
31231086,405599,lt,Bulnes
31231163,405600,lt,Buin
31231240,405601,lt,Belenas
31231317,405602,lt,Baquedano
31231394,405603,lt,Arika
31231471,405604,lt,Arauco
31231548,405605,lt,Antuco
31231625,405606,lt,Antofagasta
31231702,405607,lt,Angolis
31231779,405608,lt,Andakoljas
31231856,405609,lt,Ankudas
31231933,405610,lt,Alto Hospicio
31232010,405611,lt,Alto del Karmenas
31232087,405612,lt,Algarrobo
31232318,405615,lt,Canete
31232472,405617,lt,Hanga Roa
31232626,405619,lt,San Pedro de la Paz
31232703,405620,lt,Recoleta
31232780,405621,lt,La Pintana
31232857,405622,lt,Lo Prado
31232934,405623,lt,Torres del Paine
31233011,405624,lt,San Fernando
31233088,405625,lt,Vallenar
31233165,405626,lt,Puro Chile
31233242,405627,lt,Santa Rosa
31233396,405629,lt,Timaukel
31233473,405630,lt,Termas del Flaco
31233627,405632,lt,Vilja O'Higinsas
31233858,405635,lt,El Llolly
31234089,405638,lt,Santa Rosa Grande
31234166,405639,lt,Santa Rosa Chica
31234243,405640,lt,Dollinco
31234474,405643,lt,Puerto Las Rosas
31234628,405645,lt,Los Chilcos
31234705,405646,lt,Puerto Nuevo
31234782,405647,lt,Arquilhue
31235167,405652,lt,Hueinahue
31235398,405655,lt,Filuco
31235629,405658,lt,Kahuapanas
31235783,405660,lt,Entre Lagos
31236091,405664,lt,Puerto Chalupa
31236630,405671,lt,Piedras Negras
31236784,405673,lt,Las Gaviotas
31236938,405675,lt,San Manuelis
31237477,405682,lt,Gualpin
31237708,405685,lt,Santa Ana
31238401,405694,lt,Corte Alto
31238555,405696,lt,El Porvenir
31239094,405703,lt,Coipue
31239171,405704,lt,Santa Cecilija
31239479,405708,lt,Santa Amelija
31239710,405711,lt,Caupolican
31239864,405713,lt,La Frontera
31240172,405717,lt,Mune Bajo
31240942,405727,lt,Las Vegasas
31241173,405730,lt,Tres Esquinas
31241866,405739,lt,Boroa Norte
31241943,405740,lt,Boroa Sur
31242405,405746,lt,Huellanto
31243098,405755,lt,Santa Victoria
31243252,405757,lt,Piren Bajo
31243483,405760,lt,Nancul
31245485,405786,lt,Cuyinhue
31245870,405791,lt,Dollinco
31246024,405793,lt,Loncotraro
31247333,405810,lt,San Pedro
31247949,405818,lt,Melefquen
31248026,405819,lt,El Mirador
31248257,405822,lt,Puerto Calafquen
31248642,405827,lt,Los Pinosas
31249104,405833,lt,Catripulli
31249566,405839,lt,Santa Fė
31250028,405845,lt,La Montana
31250336,405849,lt,Dollinco
31250490,405851,lt,Puyumen
31250567,405852,lt,Los Pellines
31250644,405853,lt,Calfuco
31250952,405857,lt,Santa Elvira
31251260,405861,lt,Kalėdų Senelis Izabelė
31251491,405864,lt,Los Ciruelos
31251568,405865,lt,Los Robles
31253416,405889,lt,Huidif
31253493,405890,lt,Santa Julija
31253647,405892,lt,Las Huellas
31253724,405893,lt,Punahue
31253955,405896,lt,El Vergel
31254263,405900,lt,La Pena
31254802,405907,lt,Santa Elena
31255495,405916,lt,San Guillermo
31255572,405917,lt,Pucara
31255726,405919,lt,La Pellinada
31256496,405929,lt,La Primavera
31256958,405935,lt,Namoncahue
31257420,405941,lt,Bellavista
31257574,405943,lt,Conquil
31257959,405948,lt,Quetroleufu
31258421,405954,lt,Altamira
31259037,405962,lt,Kandelarija
31259191,405964,lt,El vulkanas
31259345,405966,lt,El Turbio
31259422,405967,lt,Villa San Pedro
31259576,405969,lt,Llafenco
31259653,405970,lt,Coilaco Alto
31260423,405980,lt,Refugio Villarrica
31260577,405982,lt,Las Rosas
31260731,405984,lt,Loncofilo
31260885,405986,lt,Huililco
31260962,405987,lt,Huincapalihue
31261270,405991,lt,Reduccion Quinco
31261347,405992,lt,Reduccion Melilahuen
31261578,405995,lt,San Chosė
31261732,405997,lt,La Chepica
31261809,405998,lt,Cajon Negro
31262733,406010,lt,Conaripe Alto
31262810,406011,lt,Conaripe Bajo
31263272,406017,lt,Llonquen
31263811,406024,lt,Reduccion Punahue
31263965,406026,lt,Truful
31264042,406027,lt,Quebrada Honda
31264889,406038,lt,Kanada
31264966,406039,lt,Mapunanco
31265120,406041,lt,Plazuela
31265197,406042,lt,Las Piedras
31265274,406043,lt,Jauja
31265351,406044,lt,Amargos
31265736,406049,lt,Pemehue
31265813,406050,lt,Reduccion Malla Quepuca
31266044,406053,lt,El Banco
31266121,406054,lt,Los Guindos
31266275,406056,lt,Encinar
31266352,406057,lt,La Selva
31266660,406061,lt,Baltimorė
31266891,406064,lt,Santa Klara
31267045,406066,lt,Prado de Cato
31267430,406071,lt,Ontario
31267507,406072,lt,Las Mariposas
31267584,406073,lt,La Selva
31267738,406075,lt,Manzanar
31267892,406077,lt,Frutillar
31268046,406079,lt,Santa Marta
31268200,406081,lt,Callin
31268277,406082,lt,Tolguaca
31268508,406085,lt,San Pedro
31268662,406087,lt,San Luisas
31268739,406088,lt,Santa Teresa
31268816,406089,lt,El Rosario
31268893,406090,lt,Mirafloresas
31269124,406093,lt,Huillinlebu
31269201,406094,lt,Pehuenco
31269278,406095,lt,Balseadero Caracoles
31269509,406098,lt,Zapadores
31269663,406100,lt,Dillo
31270048,406105,lt,Reduccion Cheuque
31270125,406106,lt,Reduccion Amaza
31270202,406107,lt,Reduccion Lincopan
31270356,406109,lt,La Reserva
31270510,406111,lt,Santa Elena
31270741,406114,lt,Reduccion Corrotue
31270818,406115,lt,El Manzano
31271434,406123,lt,La Angostura
31271819,406128,lt,Tres Esquinas
31271896,406129,lt,San Antonijus
31271973,406130,lt,Los Aromos
31272127,406132,lt,Santa Ema
31272666,406139,lt,Las Vertientes
31274360,406161,lt,San Lorenzo
