id,city_id,language_key,name
31201138,405210,ms,Zapallar
31201215,405211,ms,Yungay
31201292,405212,ms,Yumbel
31201369,405213,ms,Yerbas Buenas
31201446,405214,ms,Vina del Mar
31201523,405215,ms,Villarrica
31201600,405216,ms,Villa Alemana
31201677,405217,ms,Villa Alegre
31201754,405218,ms,Vilcun
31201831,405219,ms,Vicuna
31201908,405220,ms,Victoria
31201985,405221,ms,Vichuquen
31202062,405222,ms,Balparaiso
31202139,405223,ms,Vallenar
31202216,405224,ms,Valdivia
31202370,405226,ms,Tucapel
31202447,405227,ms,Treguaco
31202524,405228,ms,Traiguen
31202601,405229,ms,Tortel
31202678,405230,ms,Tome
31202755,405231,ms,Tolten
31202832,405232,ms,Tocopilla
31202909,405233,ms,Tirua
31202986,405234,ms,Timar
31203063,405235,ms,Tiltil
31203140,405236,ms,Tierra Amarilla
31203217,405237,ms,Teodoro Schmidt
31203294,405238,ms,Teno
31203371,405239,ms,Temuco
31203448,405240,ms,Tarapaca
31203602,405242,ms,Taltal
31203679,405243,ms,Talcahuano
31203756,405244,ms,Talca
31203833,405245,ms,Talagante
31204064,405248,ms,Socoroma
31204141,405249,ms,Sierra Gorda
31204295,405251,ms,San Vicente de Tagua Tagua
31204372,405252,ms,Santiago
31204449,405253,ms,Santa Maria
31204526,405254,ms,Santa Juana
31204680,405256,ms,Santa Cruz
31204757,405257,ms,Santa Barbara
31204834,405258,ms,San Rosendo
31204911,405259,ms,San Ramon
31204988,405260,ms,San Rafael
31205065,405261,ms,San Pedro de Atacama
31205142,405262,ms,San Pedro
31205296,405264,ms,San Pablo
31205373,405265,ms,San Nicolas
31205450,405266,ms,San Juan de la Costa
31205604,405268,ms,S Jose de Maipo
31205681,405269,ms,San Javier
31205758,405270,ms,San Gregorio
31205835,405271,ms,San Francisco de Mostazal
31205912,405272,ms,San Felipe
31205989,405273,ms,San Fabian de Alico
31206066,405274,ms,San Esteban
31206143,405275,ms,San Clemente
31206220,405276,ms,San Carlos
31206297,405277,ms,San Bernardo
31206374,405278,ms,San Antonio
31206451,405279,ms,San Antonio
31206528,405280,ms,Salamanca
31206605,405281,ms,Sagrada Familia
31206682,405282,ms,Romeral
31206759,405283,ms,Rio Negro
31206836,405284,ms,Rio Bueno
31206990,405286,ms,Retiro
31207067,405287,ms,Requinoa
31207144,405288,ms,Rengo
31207221,405289,ms,Renca
31207298,405290,ms,Renaico
31207375,405291,ms,Rauco
31207452,405292,ms,Ranquil
31207529,405293,ms,Rancagua
31207606,405294,ms,Quistagama
31207683,405295,ms,Quirihue
31207760,405296,ms,Quintero
31207837,405297,ms,Quinta de Tilcoco
31207991,405299,ms,Quinchao
31208068,405300,ms,Quilpue
31208145,405301,ms,Quillota
31208222,405302,ms,Quillon
31208299,405303,ms,Quilleco
31208453,405305,ms,Quillagua
31208530,405306,ms,Quilicura
31208607,405307,ms,Quile
31208684,405308,ms,Quilaco
31208761,405309,ms,Quemchi
31208838,405310,ms,Queilen
31208915,405311,ms,Putre
31208992,405312,ms,Putaendo
31209069,405313,ms,Purranque
31209146,405314,ms,Puren
31209223,405315,ms,Puqueldon
31209300,405316,ms,Punta Arenas
31209377,405317,ms,Punitaqui
31209454,405318,ms,Pumanque
31209608,405320,ms,Puerto Williams
31209762,405322,ms,Puerto Varas
31209839,405323,ms,Saavedra
31209916,405324,ms,Quellon
31209993,405325,ms,Puerto Octay
31210070,405326,ms,Puerto Natales
31210147,405327,ms,Puerto Montt
31210224,405328,ms,Puerto Cisnes
31210301,405329,ms,Puerto Aisen
31210378,405330,ms,Puente Alto
31210455,405331,ms,Pucon
31210532,405332,ms,Puchuncavi
31210609,405333,ms,Providencia
31210763,405335,ms,Pozo Almonte
31210840,405336,ms,Porvenir
31210917,405337,ms,Portezuelo
31210994,405338,ms,Poconchile
31211071,405339,ms,Lago Ranco
31211148,405340,ms,Placilla
31211225,405341,ms,Pitrufquen
31211302,405342,ms,Pisagua
31211379,405343,ms,Pirque
31211456,405344,ms,Pinto
31211533,405345,ms,Pichilemu
31211610,405346,ms,Pichidegua
31211687,405347,ms,Pica
31211764,405348,ms,Peumo
31211841,405349,ms,Petorca
31211995,405351,ms,Perquenco
31212072,405352,ms,Peralillo
31212149,405353,ms,Penco
31212226,405354,ms,Pencahue
31212303,405355,ms,Penalolen
31212380,405356,ms,Penaflor
31212457,405357,ms,Pemuco
31212534,405358,ms,Pelarco
31212611,405359,ms,Parral
31212688,405360,ms,Paredoncito
31212765,405361,ms,Papudo
31212842,405362,ms,Panquehue
31212919,405363,ms,Panguipulli
31212996,405364,ms,Palmilla
31213073,405365,ms,Palena
31213150,405366,ms,Paine
31213227,405367,ms,Paillaco
31213304,405368,ms,Paiguano
31213381,405369,ms,Padre Las Casas
31213458,405370,ms,Padre Hurtado
31213535,405371,ms,Pachica
31213689,405373,ms,Ovalle
31213766,405374,ms,Osorno
31213843,405375,ms,Olmue
31213920,405376,ms,Ollague
31213997,405377,ms,Olivar
