id,city_id,language_key,name
35477317,460745,is,Changchun
35477779,460751,is,Changchi
35477933,460753,is,Changcheng
35478395,460759,is,Changbu
35478472,460760,is,Changbu
35478934,460766,is,Changba
35479088,460768,is,Chang'an
35479165,460769,is,Chang'an
35479242,460770,is,zhang an cun
35479473,460773,is,Chang' anying
35479550,460774,is,rong an
35479704,460776,is,Chang'an
35479858,460778,is,chan de zhen
35480089,460781,is,Chalukou
35480320,460784,is,cha lu
35480474,460786,is,Chaling
35480551,460787,is,cha ling cheng guan zhen
35481090,460794,is,cha kou
35481398,460798,is,cha jianling
35481475,460799,is,cha jian
35481629,460801,is,Chaizhuang
35481706,460802,is,Chai Badan
35481783,460803,is,chai qiao
35482168,460808,is,chai hu zhen
35482322,460810,is,Chaigou
35482399,460811,is,Chaicun
35482938,460818,is,cha he
35483015,460819,is,Chahe
35483169,460821,is,Chahe
35483400,460824,is,cha he zhen
35483477,460825,is,Chagzonggoin
35483554,460826,is,cha gugang
35483708,460828,is,Chafang
35484093,460833,is,cha dong
35484247,460835,is,Chadian
35484324,460836,is,cha dian zi
35484478,460838,is,Chadian
35484632,460840,is,Chadian
35484709,460841,is,long xing
35484786,460842,is,Chadian
35484940,460844,is,Chadi
35485479,460851,is,Chabaihu
35485710,460854,is,cha an pu
35486018,460858,is,ce yu
35486172,460860,is,ce wu zhen
35486403,460863,is,cai ri ma
35486480,460864,is,hengfeng
35486788,460868,is,cen he zhen
35486942,460870,is,Cengang
35487019,460871,is,cen xi
35487250,460874,is,ce cun zhen
35487481,460877,is,Caozili
35488482,460890,is,Caozhangzhuang
35488790,460894,is,caoyuan
35489175,460899,is,Caoxian
35489252,460900,is,Caoxia
35489329,460901,is,caoxi
35489868,460908,is,cao tan
35489945,460909,is,cao tanzhen
35490022,460910,is,cao ta
35490176,460912,is,Caoshi
35490484,460916,is,Caoqiao
35490946,460922,is,caopie
35491100,460924,is,Caodipan
35491254,460926,is,cao yan zhen
35491331,460927,is,cao miao zi
