id,city_id,language_key,name
45413023,589780,lt,ban xi
45413100,589781,lt,huang sha tan
45413177,589782,lt,xu jia zhuang
45413254,589783,lt,long shang
45413562,589787,lt,ai men
45413716,589789,lt,huang bai
45413947,589792,lt,lei jia shan
45414178,589795,lt,genzhu
45414255,589796,lt,han keng
45414332,589797,lt,hao heng
45414486,589799,lt,shang ping
45414640,589801,lt,huang jin jin
45414717,589802,lt,shang luo pai
45414794,589803,lt,cun li
45414871,589804,lt,ye fang
45415333,589810,lt,wu zhang ping
45415641,589814,lt,yan qian
45415718,589815,lt,zhang de ling
45415949,589818,lt,da yang
45416026,589819,lt,xia guan liao
45416334,589823,lt,qing tang
45416411,589824,lt,zuo keng
45416565,589826,lt,shui kou
45416642,589827,lt,guan xia ke
45416796,589829,lt,hu tou
45417027,589832,lt,keng kou
45417181,589834,lt,Sikeng Shezucun
45417412,589837,lt,lin pu she
45417720,589841,lt,henglu
45417874,589843,lt,Banshan
45418028,589845,lt,zaohetian
45418105,589846,lt,wu ceng
45418336,589849,lt,da ling
45418644,589853,lt,li pai
45419029,589858,lt,qing ping
45419183,589860,lt,ye liao
45419260,589861,lt,han gu
45419568,589865,lt,chucha keng
45419645,589866,lt,chou lu
45419799,589868,lt,dong shan
45419876,589869,lt,gao ping
45419953,589870,lt,zhang keng
45420030,589871,lt,chen jia
45420107,589872,lt,xia cun
45420261,589874,lt,Huangdi
45420492,589877,lt,Wujia
45420646,589879,lt,lin gao ao
45420954,589883,lt,Rudicun
45421031,589884,lt,sha ping
45421108,589885,lt,da ping de
45421185,589886,lt,jiang kou
45421262,589887,lt,ma yuan ting
45421339,589888,lt,zhiping she zu
45421416,589889,lt,Xianan
45421570,589891,lt,ma liao
45421724,589893,lt,Wubeipai
45421878,589895,lt,ding keng kou cun
45422032,589897,lt,qing yao
45422109,589898,lt,Fo' anbei
45422263,589900,lt,Ranjiangpai
45422417,589902,lt,Qixia
45422494,589903,lt,Qishang
45422571,589904,lt,Zhudi
45422725,589906,lt,Lukeng
45422879,589908,lt,Kexi
45423033,589910,lt,Qunguang
45423572,589917,lt,Hongyuan
45423803,589920,lt,Qishang
45423880,589921,lt,Kengli
45423957,589922,lt,jixia cun
45424034,589923,lt,Wenfang
45424188,589925,lt,Chenfang
45424419,589928,lt,tian liao xia
45424496,589929,lt,xia caocun
45424573,589930,lt,Huqishang
45424727,589932,lt,Chengongduan
45424804,589933,lt,Gaoqikeng
45424881,589934,lt,Yulongpu
45424958,589935,lt,Hejiayuan
45425343,589940,lt,ma tang
45425420,589941,lt,zhai xia tang
45425574,589943,lt,he bei
45425805,589946,lt,xiao long tang
45425959,589948,lt,ling gan
45426267,589952,lt,yu fang
45427653,589970,lt,liao wu ping
45427730,589971,lt,li fang
45427807,589972,lt,bu yun
45427884,589973,lt,yuan shan
45427961,589974,lt,da yuan
45428269,589978,lt,xin ji
45428423,589980,lt,qing jia
45428577,589982,lt,huang jiao
45428731,589984,lt,shi zhong
45428808,589985,lt,shu keng
45428885,589986,lt,xia xiao ji tou
45429347,589992,lt,qing shan
45429424,589993,lt,lian gang
45429809,589998,lt,yao fang
45429963,590000,lt,baita
45430040,590001,lt,shi xia
45430194,590003,lt,louxia
45430502,590007,lt,ge xi
45430579,590008,lt,ya mu keng
45430656,590009,lt,she keng
