id,city_id,language_key,name
32523075,422378,mt,zongzhai zhen
32523460,422383,mt,zong jia
32523537,422384,mt,zong ga
32523768,422387,mt,Żito
32524307,422394,mt,Zhugkyung
32524461,422396,mt,Żowagoin
32525077,422404,mt,Żoinda
32525231,422406,mt,zhiqu
32525616,422411,mt,Zhefang
32525693,422412,mt,zhe dao
32526155,422418,mt,zhang feng
32526309,422420,mt,Żhamog
32526463,422422,mt,Zham
32526694,422425,mt,zha dong
32526848,422427,mt,zepuxian
32527002,422429,mt,xu ji
32527233,422432,mt,Żaring
32527464,422435,mt,zha qing
32527849,422440,mt,Żangguy
32527926,422441,mt,Żala
32528003,422442,mt,Żaindainxoi
32528234,422445,mt,Żadoi
32528465,422448,mt,yu men dong
32528619,422450,mt,Yukuriawat
32528696,422451,mt,Zibihu
32528773,422452,mt,ye ge
32529312,422459,mt,yue puhu
32529389,422460,mt,yongkang shi
32529620,422463,mt,ying pan zhen
32530159,422470,mt,ye yi ke
32530236,422471,mt,ye niu gou
32530390,422473,mt,Yenġisar
32530544,422475,mt,yan duo
32530929,422480,mt,Qaghiliq
32531776,422491,mt,Yantak
32532161,422496,mt,yang kang
32532469,422500,mt,Ya'ngan
32532623,422502,mt,yan chi wan
32533316,422511,mt,Xungmai
32533547,422514,mt,xue shan
32533701,422516,mt,Xuelin
32534240,422523,mt,Quxu
32534471,422526,mt,Xiwu
32534548,422527,mt,xi tie shan zhen
32534625,422528,mt,Xireg
32534702,422529,mt,Xinyuan
32535318,422537,mt,xin ba
32535395,422538,mt,meng ka
32535626,422541,mt,ri ka ze
32535703,422542,mt,xi dong zhen
32536088,422547,mt,Xiao Surmang
32536627,422554,mt,xiang ri de
32536704,422555,mt,Xialaxiu
32536858,422557,mt,xia he qing
32536935,422558,mt,Xia Dawo
32537012,422559,mt,Xia Boingor
32537243,422562,mt,xie xiong
32537320,422563,mt,xin ji
32537397,422564,mt,Xekar
32537474,422565,mt,Xegar
32537705,422568,mt,Xarsingma
32537782,422569,mt,Xarag
32537936,422571,mt,xiang da
32538706,422581,mt,wu qia
32539938,422597,mt,Wendong
32540169,422600,mt,Waxxari
32540400,422603,mt,wangdan
32540477,422604,mt,wangda
32541555,422618,mt,Tunggar
32541632,422619,mt,Tungdor
32541709,422620,mt,tu manta lei
32542325,422628,mt,Darya Boyi
32542633,422632,mt,Tomorlog
32542710,422633,mt,Toding
32543403,422642,mt,teng yue
32543865,422648,mt,Tashqorghan
32544019,422650,mt,ta ti rang
32544712,422659,mt,Tanglag
