id,city_id,language_key,name
64477002,837364,ny,er dui zhai
64477079,837365,ny,zhou jia po
64477849,837375,ny,Wulipati
64482623,837437,ny,gao lu
64483470,837448,ny,hong fangzi
64483855,837453,ny,lao fangzi
64485703,837477,ny,mao ni po
64486011,837481,ny,xin chang ba zi
64489476,837526,ny,cai zi tian ba
64490400,837538,ny,ling jiang
64491247,837549,ny,qi ke shu
64493249,837575,ny,ao qiao di
64493326,837576,ny,xin qi
64494943,837597,ny,guo jia zhai
64510112,837794,ny,yuan jia zhai
64524203,837977,ny,zhu guan
64526513,838007,ny,deng jia zhai
64528746,838036,ny,li guan
64529439,838045,ny,xiao bang zhai
64532134,838080,ny,shang zhai
64535522,838124,ny,wang jia yuan
64549074,838300,ny,san ke shu
64551153,838327,ny,ba guan
64551230,838328,ny,ye ji zhai
64553078,838352,ny,mei tanyao
64553694,838360,ny,qin cai tian
64554310,838368,ny,Pingbu
64555696,838386,ny,hei po
64558006,838416,ny,ba li tun
64560624,838450,ny,ping ba chong
64564628,838502,ny,tang bian
64569556,838566,ny,chen liang
64576794,838660,ny,long shan
64577718,838672,ny,gu sa
64580952,838714,ny,xia bai zao
64582107,838729,ny,li muzhai
64585572,838774,ny,xin lou
64586111,838781,ny,gu gang
64588036,838806,ny,lao maotou
64593272,838874,ny,bai lang
64607286,839056,ny,wang jia yuan
64630078,839352,ny,la an da zhai
64639395,839473,ny,shui li ping
64738032,840754,ny,he jia miao
64741497,840799,ny,hetao ping
64757436,841006,ny,nan muyuan
64784771,841361,ny,tou niu shi
64785002,841364,ny,si mao
64829277,841939,ny,min zhu
64898038,842832,ny,wa zi ping
64972882,843804,ny,guan men shi
65000987,844169,ny,liang mian yan
65022624,844450,ny,yan di xia
65085841,845271,ny,zhou jia yuan
65116333,845667,ny,gui jia zhai
65192948,846662,ny,shu mutang
65193102,846664,ny,qing tun
65206423,846837,ny,pao mulin
65212198,846912,ny,fengxiang ping
65217203,846977,ny,tong muzhai
65249620,847398,ny,niu tang zhai
65257089,847495,ny,wantang
65257397,847499,ny,liang zhuzhai
65258629,847515,ny,yangjia zhai
65260708,847542,ny,xia shui cao
65267715,847633,ny,liang zi zhai
65267792,847634,ny,Ma Yan Chaung
65292278,847952,ny,la ha mi
65324464,848370,ny,pugao
65822654,854840,ny,ping cha
65895650,855788,ny,ye jia zhuang
65912898,856012,ny,zhuan ni
65936229,856315,ny,ma wei
65963795,856673,ny,jiao tong
65975807,856829,ny,jian caozhai
66006607,857229,ny,gun dou
66006684,857230,ny,jia wu cun
66006761,857231,ny,lao sha gou
66006838,857232,ny,fen bai
66006992,857234,ny,mei yu
66007377,857239,ny,liang dong
66007608,857242,ny,Liji
66007685,857243,ny,banniao
66040718,857672,ny,gui na
