id,city_id,language_key,name
45413037,589780,ro,ban xi
45413114,589781,ro,huang sha tan
45413191,589782,ro,xu jia zhuang
45413268,589783,ro,long shang
45413576,589787,ro,ai men
45413730,589789,ro,huang bai
45413961,589792,ro,lei jia shan
45414192,589795,ro,genzhu
45414269,589796,ro,han keng
45414346,589797,ro,hao heng
45414500,589799,ro,shang ping
45414654,589801,ro,huang jin jin
45414731,589802,ro,shang luo pai
45414808,589803,ro,cun li
45414885,589804,ro,ye fang
45415347,589810,ro,wu zhang ping
45415655,589814,ro,yan qian
45415732,589815,ro,zhang de ling
45415963,589818,ro,da yang
45416040,589819,ro,xia guan liao
45416348,589823,ro,qing tang
45416425,589824,ro,zuo keng
45416579,589826,ro,shui kou
45416656,589827,ro,guan xia ke
45416810,589829,ro,hu tou
45417041,589832,ro,keng kou
45417195,589834,ro,Sikeng Shezucun
45417426,589837,ro,lin pu she
45417734,589841,ro,henglu
45417888,589843,ro,Banshan
45418042,589845,ro,zaohetian
45418119,589846,ro,wu ceng
45418350,589849,ro,da ling
45418658,589853,ro,li pai
45419043,589858,ro,qing ping
45419197,589860,ro,ye liao
45419274,589861,ro,han gu
45419582,589865,ro,chucha keng
45419659,589866,ro,chou lu
45419813,589868,ro,dong shan
45419890,589869,ro,gao ping
45419967,589870,ro,zhang keng
45420044,589871,ro,chen jia
45420121,589872,ro,xia cun
45420275,589874,ro,Huangdi
45420506,589877,ro,Wujia
45420660,589879,ro,lin gao ao
45420968,589883,ro,Rudicun
45421045,589884,ro,sha ping
45421122,589885,ro,da ping de
45421199,589886,ro,jiang kou
45421276,589887,ro,ma yuan ting
45421353,589888,ro,zhiping she zu
45421430,589889,ro,Xianan
45421584,589891,ro,ma liao
45421738,589893,ro,Wubeipai
45421892,589895,ro,ding keng kou cun
45422046,589897,ro,qing yao
45422123,589898,ro,Fo' anbei
45422277,589900,ro,Ranjiangpai
45422431,589902,ro,Qixia
45422508,589903,ro,Qishang
45422585,589904,ro,Zhudi
45422739,589906,ro,Lukeng
45422893,589908,ro,Kexi
45423047,589910,ro,Qunguang
45423586,589917,ro,Hongyuan
45423817,589920,ro,Qishang
45423894,589921,ro,Kengli
45423971,589922,ro,jixia cun
45424048,589923,ro,Wenfang
45424202,589925,ro,Chenfang
45424433,589928,ro,tian liao xia
45424510,589929,ro,xia caocun
45424587,589930,ro,Huqishang
45424741,589932,ro,Chengongduan
45424818,589933,ro,Gaoqikeng
45424895,589934,ro,Yulongpu
45424972,589935,ro,Hejiayuan
45425357,589940,ro,ma tang
45425434,589941,ro,zhai xia tang
45425588,589943,ro,Hebei
45425819,589946,ro,xiao long tang
45425973,589948,ro,ling gan
45426281,589952,ro,yu fang
45427667,589970,ro,liao wu ping
45427744,589971,ro,li fang
45427821,589972,ro,bu yun
45427898,589973,ro,yuan shan
45427975,589974,ro,da yuan
45428283,589978,ro,xin ji
45428437,589980,ro,qing jia
45428591,589982,ro,huang jiao
45428745,589984,ro,shi zhong
45428822,589985,ro,shu keng
45428899,589986,ro,xia xiao ji tou
45429361,589992,ro,qing shan
45429438,589993,ro,lian gang
45429823,589998,ro,yao fang
45429977,590000,ro,baita
45430054,590001,ro,shi xia
45430208,590003,ro,louxia
45430516,590007,ro,ge xi
45430593,590008,ro,ya mu keng
45430670,590009,ro,she keng
45430747,590010,ro,tian fu
45430901,590012,ro,huang shi keng
45431055,590014,ro,wu shang
45431132,590015,ro,huang fang
45431286,590017,ro,da lu kou
45431363,590018,ro,xin qian pai
45431517,590020,ro,gao lai
45431594,590021,ro,wu jia zhai
45431671,590022,ro,ban cun
45431825,590024,ro,chi tu gang
45431979,590026,ro,liao fang
45432210,590029,ro,ma wu ping
45432287,590030,ro,xiang yang
45432364,590031,ro,kuangchang
45432518,590033,ro,xia yao fan
45432903,590038,ro,he lin
45433057,590040,ro,he keng
45433134,590041,ro,shang ping
45433442,590045,ro,yu long gang
45433596,590047,ro,tao jia shan
45433673,590048,ro,Qingkou
45433827,590050,ro,baishi wei
45433904,590051,ro,li jia bian
45433981,590052,ro,gu keng
45434058,590053,ro,huang bai yang
45434135,590054,ro,he yuan
45434443,590058,ro,da feng keng
45434674,590061,ro,nan shan
45434751,590062,ro,yuan jia ting
45434905,590064,ro,san jiao wei
45435136,590067,ro,yang zhuang
45435290,590069,ro,wu lu keng
45435598,590073,ro,he pai
45435983,590078,ro,shu cao
45436445,590084,ro,Cunli
45436522,590085,ro,Yangfang
45436676,590087,ro,Yudikeng
45436753,590088,ro,Yanqian
45436830,590089,ro,Linfang
45436907,590090,ro,xie de
45437061,590092,ro,zhang de
45437292,590095,ro,Yangduan
45437677,590100,ro,gong fang cun
45437985,590104,ro,Daqiao
45438216,590107,ro,Luoyuan
45438370,590109,ro,Shuidijia
45438524,590111,ro,Dinglishang
45438909,590116,ro,tie shi cun
45438986,590117,ro,xia ke cun
45439063,590118,ro,Qitou
45439140,590119,ro,Zhangjiashi
45439294,590121,ro,Xigang
45439448,590123,ro,Guanfang
45439602,590125,ro,Zhugang
45439679,590126,ro,Caokeng
45439756,590127,ro,Dapingtou
45439833,590128,ro,Hengtangbei
45440064,590131,ro,Nitan
45440141,590132,ro,Jueping
45440449,590136,ro,Xiaokengcun
45440526,590137,ro,Wenshang
45440603,590138,ro,Fangke
45440680,590139,ro,Shenshui
45440757,590140,ro,Shangmo
45440911,590142,ro,Youtianshang
45441065,590144,ro,Shangshuyuan
45441142,590145,ro,Bakouqiao Shangbu
45441219,590146,ro,Wangjia
45441296,590147,ro,Maxie' ao
45441373,590148,ro,Datangke
45441450,590149,ro,Daozhuangtang
45441758,590153,ro,Chentian
45441835,590154,ro,Langjunqiao
45441912,590155,ro,Qixing
45442066,590157,ro,Xiazengjia
45442220,590159,ro,Laowuxia
45442374,590161,ro,Zhangshucun
45442451,590162,ro,Tongxiecun
45442605,590164,ro,Zhangyangcun
45442759,590166,ro,Yaoxia
45442990,590169,ro,Zhumakeng
45443221,590172,ro,Longgangcun
45444299,590186,ro,Tangke
45444607,590190,ro,Guobei
45444992,590195,ro,Ailingbei
45445223,590198,ro,Shuangxicun
45445300,590199,ro,Laifangcun
45445377,590200,ro,Changke
45445454,590201,ro,Shunhuacun
45445608,590203,ro,Jiangbachang
45445839,590206,ro,Bianjiecun
45445916,590207,ro,Dongkengcun
45445993,590208,ro,Shangluxie
45446147,590210,ro,Shabei
45446224,590211,ro,Zhongshe
45446301,590212,ro,Shiliangcun
45446378,590213,ro,Raojiabei
45446455,590214,ro,Zhushubei
45446609,590216,ro,Yangxi
45446686,590217,ro,Keshuxiang
45446763,590218,ro,tou pi zhen
45447302,590225,ro,Libiqi
45447610,590229,ro,Xiaguikeng
45447687,590230,ro,Shuidong
45447764,590231,ro,Nantian
45447918,590233,ro,Wangshapai
45448457,590240,ro,Xinmincun
45448534,590241,ro,Xinwuxia
45449073,590248,ro,Xinpeng
45450074,590261,ro,Xiazhuang
45450767,590270,ro,Shipingshang
45450998,590273,ro,Dapingtou
45451075,590274,ro,Guolukeng
45451306,590277,ro,Hengkeng
45451383,590278,ro,Zhujia
45451460,590279,ro,Luokeng
45451537,590280,ro,Liantang
45451614,590281,ro,Liutian
45451691,590282,ro,Yangliudong
45451768,590283,ro,Zhaixia
45451845,590284,ro,Poxia
45451922,590285,ro,Shangshan
45452076,590287,ro,Shantang
45452153,590288,ro,Yaoliqian
45452384,590291,ro,Wushixia
45452461,590292,ro,Wangkeng
45452615,590294,ro,Guangfangkou
45452769,590296,ro,Xiling
45452923,590298,ro,Xiazhuang
45453077,590300,ro,Xiatangyuan
45453154,590301,ro,Dapingtou
45453385,590304,ro,Diaozikeng
45453462,590305,ro,Luoce
45453539,590306,ro,Xiaheng
45453616,590307,ro,Lantian
45453693,590308,ro,Liaoyuan
45453924,590311,ro,Lizhuang
45454155,590314,ro,Gaomulingxia
45454232,590315,ro,Shang' an
45454309,590316,ro,Getengzui
45454463,590318,ro,Jiutian
45454540,590319,ro,Tianyuanshan
45454617,590320,ro,Longtou
45454771,590322,ro,Xiacun
45454848,590323,ro,Aobei
45455079,590326,ro,Shitousheng
45455233,590328,ro,Qiancun
45455310,590329,ro,Gaoqiu
45455541,590332,ro,Gaikeng
45455618,590333,ro,Hulingzui
45455772,590335,ro,Gaosheng
45455849,590336,ro,Libixing
45455926,590337,ro,Xinfang
