id,city_id,language_key,name
101878804,1323102,hy,Զարծերո
101879189,1323107,hy,Զապոտե
101879728,1323114,hy,Զապոտալ
101882962,1323156,hy,Վենեծիա
101883193,1323159,hy,Վենադո
101883655,1323165,hy,Վարաբլանծա
101884117,1323171,hy,Ուվիտա
101884348,1323174,hy,ՈՒրինամա
101884502,1323176,hy,ՈՒպալա
101884579,1323177,hy,Լա Ունիոն
101885349,1323187,hy,Տուրրուծարես
101885426,1323188,hy,Տուրրիալբա
101886119,1323197,hy,Տուկուրիկե
101886350,1323200,hy,Տրոնադորա
101887274,1323212,hy,Տրես Րիոս
101887890,1323220,hy,Տորտուգուերո
101888660,1323230,hy,Տոբոսի
101889122,1323236,hy,Տիլարան
101889507,1323241,hy,Լա Տիգրա
101890046,1323248,hy,Տիեռա Բլանկա
101890970,1323260,hy,Ել Տեձար
101891817,1323271,hy,Թամբոր
101892356,1323278,hy,Տածարես
101893049,1323287,hy,Տաբարծիա
101894050,1323300,hy,Սիխաոլա
101894358,1323304,hy,Սիկիրես
101894897,1323311,hy,Սիերրա
101895821,1323323,hy,Սարդինալ
101896052,1323326,hy,Սարծհի Սուր
101896129,1323327,hy,Սարչի
101896206,1323328,hy,Սարապիկի
101896437,1323331,hy,Սան Վիտո
101896668,1323334,hy,Սան Վիսենտե
101897053,1323339,hy,Սանտո Դոմինգո
101897130,1323340,hy,Սանտո Դոմինգո
101897361,1323343,hy,Սանտյագո
101897592,1323346,hy,Սանտյագո
101898978,1323364,hy,Սանտա Ռոզա
101900210,1323380,hy,Սանտա Մարիա
101900672,1323386,hy,Սանտա Լյուսիա
101901673,1323399,hy,Սանտա Էլենա
101902135,1323405,hy,Սանտա Կրուզ
101903213,1323419,hy,Սանտա Անա
101903983,1323429,hy,Սան Ռամոն
101904753,1323439,hy,Սան Րաֆաել Արրիբա
101905215,1323445,hy,Սան Ռաֆայել դե Գուատուսո
101905831,1323453,hy,Սան Ռաֆայել
101905908,1323454,hy,Սան Ռաֆայել
101906216,1323458,hy,Սան Ռաֆայել
101906524,1323462,hy,Սան Ռաֆայել
101906755,1323465,hy,Սան Ռաֆայել
101907448,1323474,hy,Սան Ռաֆայել
101907910,1323480,hy,Սան Պեդրո
101908141,1323483,hy,Սան Պեդրո
101908449,1323487,hy,Սան Պեդրո
101908757,1323491,hy,Սան Պաբլո
101908911,1323493,hy,Սան Պաբլո
101908988,1323494,hy,Սան Պաբլո
101909450,1323500,hy,Սան Միգել
101909989,1323507,hy,Սան Միգել
101910297,1323511,hy,Սան Մատեո
101910528,1323514,hy,Սան Մարկոս
101911298,1323524,hy,Սան Լուիս
101911991,1323533,hy,Սան Լորենցո
101913223,1323549,hy,Սան Խուան դե Դիոս
101914301,1323563,hy,Սան Խուան
101914840,1323570,hy,Սան Ձոսեծիտո
101915071,1323573,hy,Սան Խոսե
101915687,1323581,hy,Սան Խոսե
101917381,1323603,hy,Սան Իսիդրո
101917612,1323606,hy,Սան Իսիդրո
101917997,1323611,hy,Սան Իսիդրո
101918074,1323612,hy,Սան Իգնասիո
