id,city_id,language_key,name
102226372,1327616,es,Zulueta
102226449,1327617,es,Zorrilla
102226603,1327619,es,Zaza del Medio
102226757,1327621,es,Zayas
102226988,1327624,es,Zarzal
102227142,1327626,es,Zaragoza
102227373,1327629,es,Zapatero
102227835,1327635,es,Yerba de Guinea
102227989,1327637,es,Yateritas
102228297,1327641,es,Yarayabo
102228528,1327644,es,Yara
102228913,1327649,es,Yaguaramas
102229298,1327654,es,Yaguajay
102229683,1327659,es,Yacabo Abajo
102229914,1327662,es,William Soler
102229991,1327663,es,Wilfredo Pagés
102230145,1327665,es,Vuelta Larga
102231454,1327682,es,Viñales
102231531,1327683,es,Vilorio
102232378,1327694,es,Victoria
102232917,1327701,es,Vicente
102233071,1327703,es,Vicana Abajo
102233225,1327705,es,Viana
102233302,1327706,es,Vertientes
102233687,1327711,es,Vereda Nueva
102233764,1327712,es,Venezuela
102233995,1327715,es,Venegas
102234149,1327717,es,Pedro Ballester
102234226,1327718,es,Velasco
102234303,1327719,es,Veguita
102234380,1327720,es,Veguitas
102234457,1327721,es,Veguitas
102234919,1327727,es,Vegas
102235150,1327730,es,Vega de Palma
102235458,1327734,es,Vega Alta
102235612,1327736,es,Vázquez
102235766,1327738,es,Varadero
102236459,1327747,es,Uvero
102236613,1327749,es,Urbano Noris
102236844,1327752,es,Unión de Reyes
102236998,1327754,es,Unidad Proletaria
102237075,1327755,es,Unis
102237460,1327760,es,Tunas de Zaza
102237691,1327763,es,Tumba Cuatro
102237845,1327765,es,Tuinucú
102237999,1327767,es,Troya
102238230,1327770,es,Triunvirato
102238461,1327773,es,Trinidad
102239693,1327789,es,Torriente
102239770,1327790,es,Gran parque natural Topes de Collantes
102240001,1327793,es,Tínima
102241387,1327811,es,Tapaste
102241772,1327816,es,Tamarindo
102242080,1327820,es,Tahón
102242157,1327821,es,Taguayabón
102242234,1327822,es,Taguasco
102242311,1327823,es,Taco Taco
102242465,1327825,es,Tacajó
102242542,1327826,es,Tabor
102242696,1327828,es,El Tablon
102243158,1327834,es,Batabanó
102243235,1327835,es,Sumidero
102243543,1327839,es,Soroa
102244236,1327848,es,Soledad
102244544,1327852,es,Pepito Tey
102245083,1327859,es,Sola
102245237,1327861,es,Sofía
102246161,1327873,es,Sitiecito
102246469,1327877,es,Vitoria
102246623,1327879,es,Silverita
102246777,1327881,es,Siguaney
102247316,1327888,es,Sierra Morena
102247470,1327890,es,Siboney
102247624,1327892,es,Sibanicú
102247701,1327893,es,Sevilla Arriba
102247778,1327894,es,Sevilla
102248009,1327897,es,Senado
102248086,1327898,es,Sempré
102248163,1327899,es,Seibabo
102248702,1327906,es,Loma Blanca
102249241,1327913,es,Sao Grande
102249472,1327916,es,Sao Arriba
102249549,1327917,es,San Vicente
102250011,1327923,es,Santo Tomás
102250396,1327928,es,Santo Domingo
102250935,1327935,es,Santiago de las Vegas
102251012,1327936,es,Santiago de Cuba
102251089,1327937,es,Santiago de Cartagena
102251243,1327939,es,Melilla
102254477,1327981,es,Santa Rita
102254939,1327987,es,Pueblo Nuevo
102255632,1327996,es,Santa Marta
102256171,1328003,es,Santa María
102256787,1328011,es,Santa Lucía
102256941,1328013,es,Santa Lucía
102259405,1328045,es,Santa Cruz del Sur
102259482,1328046,es,Santa Cruz de los Pinos
102259559,1328047,es,Santa Cruz del Norte
102260021,1328053,es,Santa Clara
102261099,1328067,es,Santa Ana
102261792,1328076,es,Santa Ana
102262177,1328081,es,San Serapio
102262331,1328083,es,San Ramón
102262562,1328086,es,San Ramón
102262716,1328088,es,San Rafael
102263563,1328099,es,Las Biajacas
102263794,1328102,es,San Pedro de Mayabón
102263948,1328104,es,San Pedro
102265026,1328118,es,San Pablo
102265180,1328120,es,San Nicolás de Bari
102265257,1328121,es,San Nicolás
102265719,1328127,es,San Miguel del Padrón
102265796,1328128,es,San Miguel de los Baños
102265873,1328129,es,San Miguel de Bagá
102267413,1328149,es,San Manuel
102268029,1328157,es,San Luis
102268106,1328158,es,San Luis
102269184,1328172,es,San Juan y Martínez
102269569,1328177,es,San Juan de los Yeras
102270339,1328187,es,San José de Marcos
102270570,1328190,es,San José de los Ramos
102270724,1328192,es,San José de las Lajas
102271263,1328199,es,San José
102271340,1328200,es,San José
102272726,1328218,es,San Jorge
102273265,1328225,es,San Gerónimo
102274266,1328238,es,Sanguily
102274574,1328242,es,San Francisco de Paula
102274728,1328244,es,San Francisco
102275498,1328254,es,San Francisco
102275575,1328255,es,San Fernando de Camarones
102276114,1328262,es,San Felipe
102276268,1328264,es,San Felipe
102276730,1328270,es,San Enrique
102276884,1328272,es,Sandino
102277038,1328274,es,San Diego del Valle
102277115,1328275,es,San Diego de Los Baños
102277423,1328279,es,Sancti Spíritus
102277577,1328281,es,San Cristóbal
102278655,1328295,es,San Blás
102279194,1328302,es,San Antonio de Río Blanco
102279271,1328303,es,San Antonio del Sur
102279348,1328304,es,San Antonio de los Baños
102279425,1328305,es,Vueltas
102279502,1328306,es,San Antonio de las Vegas
102279579,1328307,es,Cabezas
102279810,1328310,es,San Antonio
102280734,1328322,es,San Antonio
102281042,1328326,es,San Antón
102281119,1328327,es,San Andrés
102281350,1328330,es,San Andrés
102281427,1328331,es,San Andrés
102282043,1328339,es,San Agustín
102282736,1328348,es,Salvador Rosales
102283583,1328359,es,Sagua la Grande
102283660,1328360,es,Sagua de Tánamo
102283814,1328362,es,Sabino Hernández
102284276,1328368,es,Sabanilla
102284892,1328376,es,Sabanazo
102285893,1328389,es,Sábalo
102286201,1328393,es,El Rosario
102286586,1328398,es,Rosa Marina
102287279,1328407,es,Rodrigo
102287510,1328410,es,Rodas
102288280,1328420,es,Río Seco
102288357,1328421,es,Río Seco
102288742,1328426,es,Río Grande
102289127,1328431,es,Río Feo
102289435,1328435,es,Río Cauto
102289897,1328441,es,La Palma
102290205,1328445,es,Reynold García
102291283,1328459,es,El Tronco
102291591,1328463,es,Celimar
102291822,1328466,es,San Juan de los Remedios
102291899,1328467,es,Remate de Arioza
102292284,1328472,es,Regla
102292438,1328474,es,Refugio
102292669,1328477,es,Redención
102293208,1328484,es,El Realéngo
102293285,1328485,es,Real Campiña
102293670,1328490,es,Ranchuelo
102293978,1328494,es,Rancho Veloz
102294132,1328496,es,Rancho Grande
102294902,1328506,es,Rafael Freyre
102295133,1328509,es,Quivicán
102295210,1328510,es,Quintín Banderas
102295595,1328515,es,Quiebra Hacha
102296057,1328521,es,Quemado de Güines
102296904,1328532,es,El Purio
102296981,1328533,es,Puriales de Caujerí
102297212,1328536,es,El Purial
102297443,1328539,es,Punto Nuevo
102297751,1328543,es,Punta Gorda
102297905,1328545,es,Punta de la Sierra
102298521,1328553,es,Punta Alegre
102298829,1328557,es,Puerto Rico Libre
102298983,1328559,es,Puerto Padre
102299060,1328560,es,Puerto Manatí
102299291,1328563,es,Puerto Carúpano
102299368,1328564,es,Puerto Boniato
102299676,1328568,es,Puerta de Golpe
102301139,1328587,es,Perseverancia
102301216,1328588,es,Primero de Enero
102301678,1328594,es,Pozo Redondo
102302987,1328611,es,Potrerillo
102305220,1328640,es,Puente troncoencefálico
102305374,1328642,es,Pompita
102305759,1328647,es,El Corojo
102306760,1328660,es,Playa La Panchita
102307145,1328665,es,Playa Girón
102307299,1328667,es,Playa el Morrillo
102307376,1328668,es,Playa del Cajío
102307607,1328671,es,Boca de Camarioca
102307838,1328674,es,Playa de Baracoa
102307915,1328675,es,Platanico
102308454,1328682,es,Placetas
102308762,1328686,es,La Piragua
102308839,1328687,es,Pipián
102309147,1328691,es,Pino Gordo
102309455,1328695,es,Pinar del Río
102309840,1328700,es,Pina
102309994,1328702,es,Pilotos
102310071,1328703,es,Estrada
102310225,1328705,es,Pilón
102310456,1328708,es,Pijirigua
102310533,1328709,es,Piedrecitas
102310841,1328713,es,Piedra
102311072,1328716,es,Pesquería
102311688,1328724,es,Perico
102311919,1328727,es,Perea
102312920,1328740,es,Pedroso
102313151,1328743,es,Pedro Pí
102313228,1328744,es,Pedro Betancourt
102313305,1328745,es,Pedrín Troya
102314152,1328756,es,Paso Real de San Diego
102314229,1328757,es,Paso Quemado
102314614,1328762,es,Paso del Medio
102314922,1328766,es,Paredes
102315307,1328771,es,Paraguay
102315461,1328773,es,Paradero de Mangas
102315538,1328774,es,Paradero de Lugareño
102315615,1328775,es,Paradero de Camarones
102315692,1328776,es,Panchito Gómez Toro
102316000,1328780,es,Pálpite
102316077,1328781,es,Palo Seco
102316385,1328785,es,Palos
102316847,1328791,es,Palmira
102317001,1328793,es,Palma Soriano
102317078,1328794,es,Palma Sola
102319542,1328826,es,Palenque
102319619,1328827,es,El Palenque
102320081,1328833,es,Pablo
102320235,1328835,es,Osvaldo Herrera
102320697,1328841,es,Oriente Rebelde
102320774,1328842,es,Oriente
102321159,1328847,es,Omaja
102323084,1328872,es,Oceguera
102323161,1328873,es,Occitania
102323623,1328879,es,Nuevitas
102323700,1328880,es,Nueva Paz
102323931,1328883,es,Nueva Gerona
102324470,1328890,es,Niquero
102324855,1328895,es,Niceto Pérez
102324932,1328896,es,Lengua de Pájaros
102325240,1328900,es,Nela
102325317,1328901,es,Neiva
102325548,1328904,es,Nazareno
102325933,1328909,es,Emilio Córdova
102326780,1328920,es,Narcisa
102327242,1328926,es,Najasa
102327781,1328933,es,Mota
102328166,1328938,es,Morón
102328628,1328944,es,Mordazo
102328936,1328948,es,Monte Verde
102329244,1328952,es,Monte Oscuro
102330861,1328973,es,Modelo
102331015,1328975,es,Moa
102331323,1328979,es,Miraflores
102331477,1328981,es,Mir
102331631,1328983,es,Motembo
102331708,1328984,es,Minas de Matahambre
102331785,1328985,es,Las Minas
102332093,1328989,es,Minas
102332940,1329000,es,México
102333402,1329006,es,Mercedita
102333710,1329010,es,Las Mercedes
102333864,1329012,es,Meneses
102334095,1329015,es,Menelao Mora
102334249,1329017,es,Isabel Rubio
102334326,1329018,es,Melones
102334634,1329022,es,Julio Antonio Mella
102335096,1329028,es,Melena del Sur
102335635,1329035,es,Media Luna
102335943,1329039,es,Mayarí Arriba
102336020,1329040,es,Mayarí
102336097,1329041,es,Mayarí
102336251,1329043,es,Mayajigua
102336482,1329046,es,Máximo Gómez
102336944,1329052,es,Matías
102337175,1329055,es,Matanzas
102337329,1329057,es,Matahambre
102337406,1329058,es,Mataguá
102337637,1329061,es,Mata
102338176,1329068,es,Martí
102338253,1329069,es,Martí
102338330,1329070,es,Marroquí
102338407,1329071,es,Mariel
102338638,1329074,es,María Rodríguez
102338715,1329075,es,Marianao
102338946,1329078,es,María Luisa
102339716,1329088,es,La Margarita
102340563,1329099,es,Mapos
