id,city_id,language_key,name
102944183,1336938,kl,Statos-Agios Fotios
102944260,1336939,kl,Pano Pyrgos
102944337,1336940,kl,Nea Dimmata
102944414,1336941,kl,Protaras
102944722,1336945,kl,Agios Nikolaos
102944799,1336946,kl,Kapsalos
102945030,1336949,kl,Agios Georgios
102945261,1336952,kl,Zygi
102945338,1336953,kl,Zoopigi
102945415,1336954,kl,Zakaki
102945492,1336955,kl,Ypsonas
102945569,1336956,kl,Giolou
102945646,1336957,kl,Aigialusa
102945723,1336958,kl,Gialia
102945800,1336959,kl,Gerovasa
102945877,1336960,kl,Geroskipou (kvartal)
102945954,1336961,kl,Gerolakkos
102946031,1336962,kl,Germasogeia
102946108,1336963,kl,Geri
102946185,1336964,kl,Gerasa
102946262,1336965,kl,Gerani
102946339,1336966,kl,Gerakies
102946416,1336967,kl,Genagra
102946493,1336968,kl,Xylotymvou
102946570,1336969,kl,Xylofagou
102946647,1336970,kl,Xyliatos
102946801,1336972,kl,Tseri
102946878,1336973,kl,Frodisia
102946955,1336974,kl,Vretsia
102947032,1336975,kl,Vouno
102947109,1336976,kl,Vouni
102947186,1336977,kl,Oroklini
102947263,1336978,kl,Voni
102947340,1336979,kl,Vokolida
102947417,1336980,kl,Vyzakia
102947494,1336981,kl,Vitsada
102947571,1336982,kl,Vikla
102947648,1336983,kl,Vavla
102947725,1336984,kl,Vavatsinia
102947802,1336985,kl,Vatili
102947879,1336986,kl,Vothylakas
102947956,1336987,kl,Vasileia
102948033,1336988,kl,Vasili
102948110,1336989,kl,Vasa
102948187,1336990,kl,Vasa
102948264,1336991,kl,Variseia
102948341,1336992,kl,Tymvou
102948418,1336993,kl,Tsada
102948495,1336994,kl,Trypimeni
102948572,1336995,kl,Troulloi
102948649,1336996,kl,Troodos
102948726,1336997,kl,Treis Elies
102948803,1336998,kl,Trimithousa
102948880,1336999,kl,Tremithousa
102948957,1337000,kl,Trimithi
102949034,1337001,kl,Trimiklini
102949188,1337003,kl,Trikomo
102949265,1337004,kl,Tremetousia
102949342,1337005,kl,Trapeza
102949419,1337006,kl,Trachypedoula
102949496,1337007,kl,Trachoni
102949573,1337008,kl,Trachoni
102949650,1337009,kl,Tochni
102949727,1337010,kl,Timi
102949804,1337011,kl,Thermeia
102949881,1337012,kl,Theletra
102949958,1337013,kl,Tersefanou
102950035,1337014,kl,Tera
102950112,1337015,kl,Temvria
102950189,1337016,kl,Templos
102950266,1337017,kl,Tavrou
102950343,1337018,kl,Tala
102950420,1337019,kl,Syrianochori
102950497,1337020,kl,Sygkrasi
102950574,1337021,kl,Sykopetra
102950728,1337023,kl,Stylloi
102950805,1337024,kl,Strovolos
102950882,1337025,kl,Stroumpi
102950959,1337026,kl,Strongylos
102951036,1337027,kl,Steni
102951113,1337028,kl,Stavrokonnou
102951267,1337030,kl,Spitali
102951344,1337031,kl,Spilia
102951421,1337032,kl,Spathariko
102951498,1337033,kl,Sotira
102951575,1337034,kl,Sotira
102951652,1337035,kl,Softades
102951729,1337036,kl,Skouriotissa
102951806,1337037,kl,Skoulli
102951883,1337038,kl,Skylloura
102951960,1337039,kl,Skarinou
102952037,1337040,kl,Sysklipos
102952114,1337041,kl,Sinta
102952191,1337042,kl,Sinaoros
102952268,1337043,kl,Simou
102952345,1337044,kl,Silikou
102952422,1337045,kl,Sia
102952499,1337046,kl,Selladi tou Appi
102952576,1337047,kl,Agios Ioannis Selemani
102952653,1337048,kl,Saranti
102952730,1337049,kl,Sarama
102952807,1337050,kl,Sanida
102952884,1337051,kl,Santalaris
102952961,1337052,kl,Salamiou
102953115,1337054,kl,Rizokarpaso
102953269,1337056,kl,Pyrgos
102953346,1337057,kl,Pyrga
102953423,1337058,kl,Pyla
102953500,1337059,kl,Psimolofou
102953577,1337060,kl,Psyllatos
102953654,1337061,kl,Psevdas
102953731,1337062,kl,Psematismenos
102953808,1337063,kl,Psathi
102953885,1337064,kl,Prodromos
102953962,1337065,kl,Prodromi
102954039,1337066,kl,Praitori
102954116,1337067,kl,Prastio
102954193,1337068,kl,Prastio
102954270,1337069,kl,Prastio
102954347,1337070,kl,Prastio
102954424,1337071,kl,Potamitissa
102954501,1337072,kl,Potamiou
102954578,1337073,kl,Potamia
102954655,1337074,kl,Potami
102954732,1337075,kl,Pomos
102954809,1337076,kl,Polystypos
102954886,1337077,kl,Politiko
102954963,1337078,kl,Politiit
102955040,1337079,kl,Polemi
102955194,1337081,kl,Platanistasa
102955271,1337082,kl,Platanissos
102955348,1337083,kl,Platanisteia
102955502,1337085,kl,Platani
102955656,1337087,kl,Pigenia
102955733,1337088,kl,Pissouri
102955810,1337089,kl,Pileri
102955887,1337090,kl,Fterikoudi
102955964,1337091,kl,Ftericha
102956041,1337092,kl,Frenaros
102956118,1337093,kl,Fota
102956195,1337094,kl,Flamoudi
102956272,1337095,kl,Fyti
102956349,1337096,kl,Foinikas
102956426,1337097,kl,Foinikaria
102956503,1337098,kl,Foini
102956580,1337099,kl,Filousa Krisokhous
102956657,1337100,kl,Filousa Kelokedharon
102956734,1337101,kl,Fyllia
102956811,1337102,kl,Fikardou
102956888,1337103,kl,Fasoula
102956965,1337104,kl,Fasoula
102957042,1337105,kl,Farmakas
102957119,1337106,kl,Falia
102957196,1337107,kl,Pegeia
102957273,1337108,kl,Petrofani
102957350,1337109,kl,Petra tou Digeni
102957427,1337110,kl,Petra
102957504,1337111,kl,Perivolimi
102957581,1337112,kl,Perivolimi
102957658,1337113,kl,Peristeronari
102957812,1337115,kl,Peristerona
102957889,1337116,kl,Peristerona
102957966,1337117,kl,Pergamos
102958043,1337118,kl,Pera Pedi
102958120,1337119,kl,Pera Chorio
102958197,1337120,kl,Pera
102958274,1337121,kl,Pentageia
102958351,1337122,kl,Pentalia
102958428,1337123,kl,Pentakomo
102958505,1337124,kl,Pelendri
102958582,1337125,kl,Pelathousa
102958659,1337126,kl,Pedoulas
102958736,1337127,kl,Patriki
102958890,1337129,kl,Parekklisia
102958967,1337130,kl,Paramytha
