id,city_id,language_key,name
109840262,1426497,to,Yding
109840416,1426499,to,Ydby
109840801,1426504,to,Vaerum
109840878,1426505,to,Vaerslev
109840955,1426506,to,Vroue
109841417,1426512,to,Vrinners
109841648,1426515,to,Vridsted
109841725,1426516,to,Vridslosemagle
109841956,1426519,to,Vrensted
109842649,1426528,to,Vraby
109842803,1426530,to,Vra
109843188,1426535,to,Vostrup
109843804,1426543,to,Vor Frue
109843881,1426544,to,Vordingborg
109843958,1426545,to,Vorde
109844112,1426547,to,Vorbasse
109844343,1426550,to,Vonsbaek
109844420,1426551,to,Vonge
109844497,1426552,to,Volstrup
109844882,1426557,to,Volling
109845113,1426560,to,Vollerup
109845421,1426564,to,Voldum
109845652,1426567,to,Voldby
109846037,1426572,to,Vojens
109846191,1426574,to,Vognsild
109846268,1426575,to,Vogn
109846345,1426576,to,Voervadsbro
109846422,1426577,to,Voersa
109846499,1426578,to,Voerladegard
109846653,1426580,to,Voer
109846730,1426581,to,Voel
109846807,1426582,to,Vodstrup
109846884,1426583,to,Vodskov
109847192,1426587,to,Vivild
109847500,1426591,to,Vive
109847731,1426594,to,Viuf
109847885,1426596,to,Vittrup
109848116,1426599,to,Vitten
109848193,1426600,to,Vittarp
109848347,1426602,to,Vistoft
109848424,1426603,to,Vissing
109848501,1426604,to,Vissenbjerg
109848732,1426607,to,Visby
109848809,1426608,to,Visby
109848886,1426609,to,Visborg
109849117,1426612,to,Virring
109849194,1426613,to,Virring
109849271,1426614,to,Virklund
109849348,1426615,to,Virket
109849425,1426616,to,Vipperod
109850272,1426627,to,Vinkel
109850503,1426630,to,Vindinge
109850580,1426631,to,Vindinge
109850811,1426634,to,Vinderup
109850965,1426636,to,Vinderslev
109851042,1426637,to,Vinderod
109851196,1426639,to,Vindekilde
109851427,1426642,to,Vindeby
109851812,1426647,to,Vindbyholt
109851889,1426648,to,Vindblaes
109851966,1426649,to,Vind
109852120,1426651,to,Vilsund Vest
109852197,1426652,to,Vilsted
109852274,1426653,to,Vilslev
109852351,1426654,to,Vilsbaek
109852428,1426655,to,Vils
109852582,1426657,to,Villingerod
109852890,1426661,to,Villerslev
109853275,1426666,to,Vildbjerg
109853506,1426669,to,Vigersted
109853583,1426670,to,Vigerslev
109853737,1426672,to,Vig
109854122,1426677,to,Vidstrup
109854353,1426680,to,Videbaek
109854430,1426681,to,Viby
109854507,1426682,to,Viby
109854738,1426685,to,Viborg
109854815,1426686,to,Viboge
109855123,1426690,to,Vaeggerlose
109855200,1426691,to,Vetterslev
109855431,1426694,to,Vestervig
109855585,1426696,to,Vester Vedsted
109855662,1426697,to,Vester Vandet
109855816,1426699,to,Vester Ulslev
109855970,1426701,to,Vester Torup
109856432,1426707,to,Vester Sottrup
109856509,1426708,to,Vester Snogbaek
109856894,1426713,to,Vester Skerninge
109856971,1426714,to,Vester Saby
109857202,1426717,to,Vester Orum
109857279,1426718,to,Vestero Havn
