id,city_id,language_key,name
110346778,1433076,ar,ياياس دي فياجاما
110348164,1433094,ar,يَمَسَ
110348626,1433100,ar,ياغوات
110349550,1433112,ar,يَبَكَُ َررِبَ
110351090,1433132,ar,ڤِللَ ڤَسقُِز
110351244,1433134,ar,ڤِللَ تَپَِ
110351321,1433135,ar,ڤِللَ سِندَ
110351475,1433137,ar,ڤِللَرپَندُ
110351629,1433139,ar,ڤِللَ رِڤَ
110352245,1433147,ar,فيلا جاراجوا
110352322,1433148,ar,ڤِللَ ِسَبِلَ
110352630,1433152,ar,فيلا هيرموسا
110352707,1433153,ar,فيلا جويرا
110352784,1433154,ar,فيلا جونزاليز
110353015,1433157,ar,فيلا ديل كارمن
110353246,1433160,ar,فيلا بيسونو
110353323,1433161,ar,فيلا باو
110353554,1433164,ar,فيلا التاجراسيا
110353939,1433169,ar,فيسنتي نوبل
110354478,1433176,ar,فيراجوا أريبا
110355710,1433192,ar,فاليخويلو
110360176,1433250,ar,تيريو أريبا
110360792,1433258,ar,تييرا نويفا
110362332,1433278,ar,تيناريس
110363025,1433287,ar,تامبوريل
110363102,1433288,ar,تامايو
110363718,1433296,ar,تَبَرَ َررِبَ
110363795,1433297,ar,تَبَرَ َبَجُ
110364873,1433311,ar,سوسوا
110368184,1433354,ar,سان فيكتور أريبا
110368723,1433361,ar,سانتو دومينغو
110368954,1433364,ar,سانتياغو دي لوس كابالييروس
110369493,1433371,ar,سانتا ريتا
110370263,1433381,ar,سانتانا
110371341,1433395,ar,سانتا كروز ديل سيبو
110371418,1433396,ar,سانتا كروز دي باراهونا
110371880,1433402,ar,سمانا
110372881,1433415,ar,سان رافال دل يوما
110373266,1433420,ar,سان رافائيل
110373343,1433421,ar,سان بيدرو دي ماكوريس
110374806,1433440,ar,سان خوان دي لا ماغوانا
110375191,1433445,ar,سان خوسيه دي أوكوا
110375345,1433447,ar,سان خوسيه دي لاس ماتاس
110377116,1433470,ar,سان جريجوريو دي نيغوا
110377193,1433471,ar,سان فرانسيسكو دي ماكوريس
110378117,1433483,ar,سان فرناندو دي مونتي كريستي
110378194,1433484,ar,بويرتو بلاتا
110378964,1433494,ar,سانشيز
