id,city_id,language_key,name
110346808,1433076,kk,Ыаыас де Виайама
110348194,1433094,kk,Ыамаса
110348656,1433100,kk,Ыагуате
110349580,1433112,kk,Ыабацао Арриба
110351120,1433132,kk,Вилла Васкуез
110351274,1433134,kk,Вилла Тапиа
110351351,1433135,kk,Вилла Синда
110351505,1433137,kk,Вилларпандо
110351659,1433139,kk,Вилла Рива
110352275,1433147,kk,Вилла Жарагуа
110352352,1433148,kk,Вилла Исабела
110352660,1433152,kk,Вилла Хермоса
110352737,1433153,kk,Вилла Гуера
110352814,1433154,kk,Вилла Гонзалез
110353045,1433157,kk,Вилла Элиза
110353276,1433160,kk,Вилла Бисоно
110353353,1433161,kk,Вилла Бао
110353584,1433164,kk,Вилла Алтаграциа
110353969,1433169,kk,Виценте Нобле
110354508,1433176,kk,Верагуа Арриба
110355740,1433192,kk,Валлейуело
110360206,1433250,kk,Тирео Арриба
110360822,1433258,kk,Тьерра Нуева
110362362,1433278,kk,Тенарес
110363055,1433287,kk,Тамборил
110363132,1433288,kk,Тамаыо
110363748,1433296,kk,Табара Арриба
110363825,1433297,kk,Табара Абайо
110364903,1433311,kk,Сосуа
110368214,1433354,kk,Сан Вицтор Арриба
110368753,1433361,kk,Санто-Доминго
110368984,1433364,kk,Сантьяго-де-лос-Кабальерос
110369523,1433371,kk,Санта-Рита
110370293,1433381,kk,Сантана
110371371,1433395,kk,Санта-Крус-де-Эль-Сейбо
110371448,1433396,kk,Санта-Крус-де-Барахона
110371910,1433402,kk,Самана
110372911,1433415,kk,Сан Рафаел дел Ыума
110373296,1433420,kk,Сан-Рафаэль
110373373,1433421,kk,Сан-Педро-де-Макорис
110374836,1433440,kk,Сан-Хуан-де-ла-Магуана
110375221,1433445,kk,Сан-Хосе-де-Окоа
110375375,1433447,kk,Сан Йосе де Лас Матас
110377146,1433470,kk,Сан Грегорио де Нигуа
110377223,1433471,kk,Сан-Франсиско-де-Макорис
110378147,1433483,kk,Сан-Фернандо-де-Монте-Кристи
110378224,1433484,kk,Пуэрто-Плата
110378994,1433494,kk,Санчес
110380149,1433509,kk,Сальвалеон-де-Игуэй
110380457,1433513,kk,Тенекскалсинго
110380765,1433517,kk,Салcедо
110381073,1433521,kk,Сайаноа
110381843,1433531,kk,Сан-Игнасио-де-Сабанета
110383383,1433551,kk,Сабана Ыегуа
110385308,1433576,kk,Сабана Ларга
110385770,1433582,kk,Сабана Ларга
110386155,1433587,kk,Сабана Иглесиа
110386309,1433589,kk,Сабана Гранде де Паленкуе
110386463,1433591,kk,Сабана Гранде де Боыа
110386848,1433596,kk,Сабана Гранде
110389466,1433630,kk,Сабана дел Пуерто
110390698,1433646,kk,Сабана де ла Мар
110392161,1433665,kk,Сабана Буеы
110395087,1433703,kk,Рио Верде Арриба
110395626,1433710,kk,Рио Сан Йуан
110396165,1433717,kk,Рио Лимпио
110396550,1433722,kk,Рио-Гранде
110397628,1433736,kk,Рио Арриба
110400939,1433779,kk,Ринкон
110401170,1433782,kk,Рестаурацион
110405097,1433833,kk,Ранцхо де ла Гуардиа
110405713,1433841,kk,Ранцхо Арриба
110405867,1433843,kk,Ранцхо Арриба
110406791,1433855,kk,Рамон Сантана
110407946,1433870,kk,Квискея
110410333,1433901,kk,Пунта Марина
110410795,1433907,kk,Пунал
