id,city_id,language_key,name
112903338,1466278,ca,Zefta
112903723,1466283,ca,Zawyat Umm ar Rakham
112908189,1466341,ca,Zaafarana
112912270,1466394,ca,Ar Rashidiyah
112912886,1466402,ca,Tura
112913425,1466409,ca,Tunaydah
112913502,1466410,ca,Tuna al-Djebel
112914426,1466422,ca,Tukh
112915273,1466433,ca,Tirah
112915350,1466434,ca,Timayy al-Imdid
112915504,1466436,ca,Tima
112915889,1466441,ca,Akoris
112916582,1466450,ca,Tufium
112917429,1466461,ca,Tantā
112918661,1466477,ca,Tammuh
112918738,1466478,ca,Tamiyah
112920278,1466498,ca,tlkha
112920663,1466503,ca,Tala
112921202,1466510,ca,Tahta
112922049,1466521,ca,Taha al-Amidah
112923281,1466537,ca,Taba
112923820,1466544,ca,Suknà
112924128,1466548,ca,Sumusta com a Sultani
112924205,1466549,ca,Sumusta al-Waqf
112924513,1466553,ca,Sohag
112924975,1466559,ca,Oasis de Siwa
112925360,1466564,ca,Senyors al Layyanah
112925514,1466566,ca,Sinnuris
112927131,1466587,ca,Sedment al-Djebel
112927362,1466590,ca,Sidi Salim
112927439,1466591,ca,Sidi Ghazi
112927593,1466593,ca,Sidi Barani
112927824,1466596,ca,Sidfa
112928209,1466601,ca,Shushah
112930134,1466626,ca,Shubrakhit
112931443,1466643,ca,Shubrā al-Khaymah
112932444,1466656,ca,Shirbin
112933830,1466674,ca,Shibin al-Qanatir
112933907,1466675,ca,Shibin al-Kawm
112935601,1466697,ca,Sharuna
112935909,1466701,ca,Xarm al xeic
112936525,1466709,ca,Xanhur
112937141,1466717,ca,Shamma
112939220,1466744,ca,Sawadah
112939990,1466754,ca,Saqultah
112940144,1466756,ca,Saqqara
112941299,1466771,ca,Sanhur
112941915,1466779,ca,Tanis
112942916,1466792,ca,Sebenitos
112942993,1466793,ca,Samalut
112944764,1466816,ca,Xois
112946381,1466837,ca,Safur
112947151,1466847,ca,Saft al-Laban
112948229,1466861,ca,Sais
112949692,1466880,ca,Rosetta
112949769,1466881,ca,ras gharb
112949846,1466882,ca,Ras el-Barr
112950385,1466889,ca,Rafah
112950616,1466892,ca,Quwaysina
112950693,1466893,ca,Qutur
112951001,1466897,ca,Kus
112952464,1466916,ca,Qena
112952541,1466917,ca,Qiman al-`Arus
112952849,1466921,ca,Coptos
112954389,1466941,ca,Farafra
112955852,1466960,ca,Qantir
112956160,1466964,ca,Kalyub
112956314,1466966,ca,Qillin
112957238,1466978,ca,Qaha
112957931,1466987,ca,Nuweiba
112961088,1467028,ca,Nikla al-`Inab
112962782,1467050,ca,Zawyet al-Maiyitin
112977258,1467238,ca,Naqadah
112980492,1467280,ca,Nag Hammadi
112984111,1467327,ca,Nag al-Madamud
112998279,1467511,ca,Nabaruh
112998510,1467514,ca,Mutubas
112998587,1467515,ca,Mut
113002206,1467562,ca,Mit Salsil
113002976,1467572,ca,Mit Nama
113005440,1467604,ca,Mit Habib
113005748,1467608,ca,Mit Ghamr
113006133,1467613,ca,Mit Damsis
113010522,1467670,ca,Mit Abu Ghalib
113011369,1467681,ca,Mir
113012909,1467701,ca,Minyat an Nasr
113013448,1467708,ca,mnya alqmh
113013525,1467709,ca,Munuf
113019531,1467787,ca,Munsha'at Abu 'Umar
113021610,1467814,ca,Matay
113022149,1467821,ca,Mashtul com Suq
113023073,1467833,ca,Mersa Matruh
113023227,1467835,ca,Marsa Alam
113025614,1467866,ca,Manshiyat al-Qanatir
113026769,1467881,ca,Manfalut
113026846,1467882,ca,Mandishah
113027154,1467886,ca,Mallawi
113029618,1467918,ca,Mahallat Damanah
113030542,1467930,ca,Magaghah
113030696,1467932,ca,Ciutat 6 d'Octubre
113030850,1467934,ca,Madinat com Sadat
113031004,1467936,ca,Al 'Ashir min Ramadà
113032929,1467961,ca,Kufur com Suliyah
113033776,1467972,ca,Ash Shaykh Zuwayd
113034238,1467978,ca,Kerdasa
113036856,1468012,ca,Kom Ombo
113037472,1468020,ca,Kawm Matay
113038011,1468027,ca,Kawm Hamadah
113048637,1468165,ca,Kafr Shukr
113050716,1468192,ca,Kafr Saqr
113052025,1468209,ca,Kafr Sa'd
113058108,1468288,ca,Kafr Mahdi
113058724,1468296,ca,kfr kla albab
113061034,1468326,ca,Kafr Ibrash
113070197,1468445,ca,Kafr az Zayyat
113075741,1468517,ca,Com Salahat
113080207,1468575,ca,Kafr al-Sheikh
113087907,1468675,ca,Kafr al-Kurdi
113093143,1468743,ca,Kafr al-Hajj Shirbini
113094683,1468763,ca,Kafr al Bazat
113094914,1468766,ca,Kafr al-Battikh
113095222,1468770,ca,Kafr al Bashbishah
113100381,1468837,ca,Kafr ad Dawwar
113108620,1468944,ca,Juhaynah
113109390,1468954,ca,Girga
113109544,1468956,ca,Jinah
113111392,1468980,ca,Jazirat adh Dhahab
113112162,1468990,ca,Jarajús
113113317,1469005,ca,Jabal an Nur
113119477,1469085,ca,`Izbat al-Burj
113120709,1469101,ca,Itay al Barud
113120863,1469103,ca,Itsa
113121633,1469113,ca,Esna
113121864,1469116,ca,Ismant
113122326,1469122,ca,Ishnin an Nasara
113124405,1469149,ca,Heracleòpolis Magna
113124482,1469150,ca,Ihnasiyah
113125098,1469158,ca,Idku
113125252,1469160,ca,Edfú
113125945,1469169,ca,Ibshaway
113126099,1469171,ca,Ibshaq al-Ghazal
113127639,1469191,ca,Helwan
113128871,1469207,ca,Hijazah
113128948,1469208,ca,Hihya
113129564,1469216,ca,Hawsh 'Isa
113133029,1469261,ca,Fuwwah
113134723,1469283,ca,Farshut
113134954,1469286,ca,Faraskur
113135493,1469293,ca,Faqus
113135801,1469297,ca,Fayid
113149045,1469469,ca,`Izbat al-Maks al-Qibli
113171529,1469761,ca,Dimru
113182386,1469902,ca,El-Roda
113185697,1469945,ca,Durunkah
113185928,1469948,ca,Damieta
113186313,1469953,ca,Diyarb Najm
113186852,1469960,ca,Dosoq
113187083,1469963,ca,dshna
113187160,1469964,ca,Dishasha
113187468,1469968,ca,Dirin
113188854,1469986,ca,Dikirnis
113188931,1469987,ca,Dikiran
113189701,1469997,ca,Dahab
113189855,1469999,ca,Dayr al-Maymun
113190163,1470003,ca,Dayrut
113190394,1470006,ca,Dayr Mawas
113190471,1470007,ca,Dayr Jabal a Tayr
113190702,1470010,ca,Dayr com Sanquriyah
113190933,1470013,ca,Dayr al-Jarnus
113191087,1470015,ca,Deir al-Bersha
113191318,1470018,ca,Dayr Abu Hinnis
113194475,1470059,ca,Daraw
113195553,1470073,ca,Dandara
113195784,1470076,ca,Damshir
113196554,1470086,ca,Damanhūr
113197016,1470092,ca,Dalas
113198248,1470108,ca,Bush
113198633,1470113,ca,Port Saïd
113198710,1470114,ca,Safaga
113199095,1470119,ca,Burj al-Arab
113200558,1470138,ca,Biyala
113200635,1470139,ca,Biahmu
113201636,1470152,ca,brqash
113201790,1470154,ca,Birmània
113201944,1470156,ca,Birkat com a Sab'
113203561,1470177,ca,blqas
113203946,1470182,ca,Bilifya
113204100,1470184,ca,Bilbeis
113205024,1470196,ca,Biba
113205871,1470207,ca,Bawit
113206256,1470212,ca,Basyun
113206410,1470214,ca,Basunah
113208027,1470235,ca,Barís
113209875,1470259,ca,Bani Wallams
113210260,1470264,ca,Bani 'Ubayd
113210414,1470266,ca,Bani Suwayf
113212185,1470289,ca,Bani Murr
113212724,1470296,ca,Bani Mazar
113214495,1470319,ca,Aldea Beni Hasan
113215111,1470327,ca,Bani Hallah
113215804,1470336,ca,Bani Bakhit
113217190,1470354,ca,Banha
113217806,1470362,ca,Bàltim
113218037,1470365,ca,Balat
113219654,1470386,ca,Behbeit el-Hagar
113220809,1470401,ca,Az Zayniyah Qibli
113221810,1470414,ca,Zagazig
113222426,1470422,ca,Az Zabu
113222657,1470425,ca,Al 'Ayn com Sukhnah
113222734,1470426,ca,Awsim
113226892,1470480,ca,El Tor
113228663,1470503,ca,Tell al-Kabir
113229048,1470508,ca,A Talibiyah
113229741,1470517,ca,Atfih
113230203,1470523,ca,Assiut
113230357,1470525,ca,Assuan
113230434,1470526,ca,Suez
113231435,1470539,ca,Com Sinbillawayn
113231897,1470545,ca,As Siba'iyah
113233052,1470560,ca,Com Sarw
113233437,1470565,ca,Com Santah
113234515,1470579,ca,Sallum
113236055,1470599,ca,Com Sahil
113236517,1470605,ca,Com Saff
113238673,1470633,ca,Ash Shuhada'
113239366,1470642,ca,Ash Shaykh Ziyad
113240675,1470659,ca,Antinòupolis
113243755,1470699,ca,Ashmun
113246604,1470736,ca,Ar Raqaqinah
113247374,1470746,ca,Ar Rahmaniyah
113247990,1470754,ca,Ar Radisiyah Qibli
113248221,1470757,ca,Armant
113252148,1470808,ca,Un Nazlah
113255074,1470846,ca,`Amrit
113255382,1470850,ca,Al Yasiniyah
113255767,1470855,ca,Al-Wasitah
113255998,1470858,ca,alwqf
113257384,1470876,ca,Luxor
113258231,1470887,ca,Al-Qusiya
113258385,1470889,ca,El-Quseir
113258847,1470895,ca,Al Qurayn
113260387,1470915,ca,Cinòpolis
113260464,1470916,ca,alqayat
113260772,1470920,ca,Al-Qatayi`
113260926,1470922,ca,Al-Qassasin
113261465,1470929,ca,Al-Qasr
113262774,1470946,ca,Al-Qantarah al-Sharqiyya
113262851,1470947,ca,alqnayat
113263005,1470949,ca,Al-Qanatir al-Khayriyah
113263621,1470957,ca,Al-Qalamun
113263852,1470960,ca,Al-Qal'ah
113263929,1470961,ca,El Caire
113266701,1470997,ca,Al-Minyā
113267856,1471012,ca,Al Maymun
113268395,1471019,ca,Al-Matariyah
113269319,1471031,ca,Al-Ma'sarah al-Mahattah
113269781,1471037,ca,Al-Ma'sarah
113269935,1471039,ca,almrj
113270397,1471045,ca,Al-Maraghah
