id,city_id,language_key,name
112903379,1466278,no,Zifta
112903764,1466283,no,Zawyat Umm ar Rakham
112908230,1466341,no,Zaafarana
112912311,1466394,no,Ar Rashidiyah
112912927,1466402,no,Tura
112913466,1466409,no,Tunaydah
112913543,1466410,no,Tunah al Jabal
112914467,1466422,no,Tukh
112915314,1466433,no,Tirah
112915391,1466434,no,Timayy al-Imdid
112915545,1466436,no,Tima
112915930,1466441,no,Tihna al Jabal
112916623,1466450,no,Tud
112917470,1466461,no,Tanta
112918702,1466477,no,Tammuh
112918779,1466478,no,Tamiyah
112920319,1466498,no,Talkha
112920704,1466503,no,Tala
112921243,1466510,no,Tahta
112922090,1466521,no,Taha al-A`midah
112923322,1466537,no,Taba
112923861,1466544,no,Sukna
112924169,1466548,no,Sumusta som sultani
112924246,1466549,no,Sumusta al-Waqf
112924554,1466553,no,Sohag
112925016,1466559,no,Siwa
112925401,1466564,no,Sirs al Layyanah
112925555,1466566,no,Sinnuris
112927172,1466587,no,Sidmant al Jabal
112927403,1466590,no,Sidi Salim
112927480,1466591,no,Sidi Ghazi
112927634,1466593,no,Sidi Barrani
112927865,1466596,no,Sidfa
112928250,1466601,no,Shushah
112930175,1466626,no,Shubrakhit
112931484,1466643,no,Shubra El Kheima
112932485,1466656,no,Shirbin
112933871,1466674,no,Shibin al-Qanatir
112933948,1466675,no,Shibin El Kom
112935642,1466697,no,Sharunah
112935950,1466701,no,Sharm el Sheikh
112936566,1466709,no,Shanhur
112937182,1466717,no,Shamma
112939261,1466744,no,Sawadah
112940031,1466754,no,Saqultah
112940185,1466756,no,Saqqara
112941340,1466771,no,Sanhur
112941956,1466779,no,Tanis
112942957,1466792,no,Samannud
112943034,1466793,no,Samalut
112944805,1466816,no,Sakha
112946422,1466837,no,Safur
112947192,1466847,no,Saft al Laban
112948270,1466861,no,Sais (Egypt)
112949733,1466880,no,Rosetta (by)
112949810,1466881,no,ras gharb
112949887,1466882,no,Ras el-Barr
112950426,1466889,no,Rafah
112950657,1466892,no,Quwaysina
112950734,1466893,no,Qutur
112951042,1466897,no,Qus
112952505,1466916,no,Qena
112952582,1466917,no,Qiman al-Arus
