id,city_id,language_key,name
116144816,1508375,et,Waal
116144970,1508377,et,Ferfer
116145047,1508378,et,Fadhigaradle
116146741,1508400,et,Ziway
116151207,1508458,et,Zeha
116153902,1508493,et,Zaban Harbey
116154210,1508497,et,yubǝdo
116154518,1508501,et,Yit'a
116154595,1508502,et,Yismala Giyorgis
116154826,1508505,et,Yisak'o
116154980,1508507,et,Yirga Ch'efe
116155057,1508508,et,Yirga 'Alem
116161140,1508587,et,Yeka
116161679,1508594,et,Yegonfoy
116164066,1508625,et,yayu
116164913,1508636,et,Yaya
116166376,1508655,et,Yabelo
116170149,1508704,et,Wik'ro
116170688,1508711,et,Wich'ale
116170996,1508715,et,Wezemi
116174538,1508761,et,Werota
116175539,1508774,et,Werji
116176771,1508790,et,Were Ilu
116178003,1508806,et,Warder
116178388,1508811,et,Werabu
116179158,1508821,et,Wenji
116179620,1508827,et,Wendo Genet
116179774,1508829,et,Wendo
116180313,1508836,et,Wenago
116181314,1508849,et,Welk'it'e
116182623,1508866,et,Welench'iti
116183547,1508878,et,Weldiya
116186627,1508918,et,Wegidi
116188552,1508943,et,Wedeso
116194404,1509019,et,Waka
116210651,1509230,et,Turmi
116214270,1509277,et,Tulu Bolo
116220353,1509356,et,Tore
116220738,1509361,et,T'ora
116221277,1509368,et,tole
116223125,1509392,et,T'is Isat
116225743,1509426,et,Tilili
116226513,1509436,et,Tikil Dingay
116231364,1509499,et,Tepi
116231595,1509502,et,Tenta
116237062,1509573,et,Teferi Ber
116239372,1509603,et,Tarch'a Sodo
116243992,1509663,et,Suntu
116248458,1509721,et,Solemo
116250152,1509743,et,Sodo
116252693,1509776,et,Sire
116256004,1509819,et,Sigigo
116257929,1509844,et,Shuti
116258160,1509847,et,Shuna
116258545,1509852,et,Shugala
116259315,1509862,et,Shone
116261009,1509884,et,Shire
116261317,1509888,et,Shinkurt
116261394,1509889,et,Shinile
116262087,1509898,et,Shilabo
116263242,1509913,et,Sheraro
116263473,1509916,et,Sheno
116265321,1509940,et,Shehet
116266476,1509955,et,Shebe
116266938,1509961,et,Shashemene
116267015,1509962,et,Shashamane
116267785,1509972,et,Shambu
116268093,1509976,et,Shakiso
116269864,1509999,et,Sewde
116271327,1510018,et,Serja
116272251,1510030,et,Serego
116273098,1510041,et,Serak'o
116274946,1510065,et,Sendafa
116275716,1510075,et,Semema
116277487,1510098,et,Sela Dingay
116277564,1510099,et,Sek'ot'a
116279951,1510130,et,Sek'a
116280028,1510131,et,Sehki
116281568,1510151,et,Segeg
116283493,1510176,et,Sebeta
116285572,1510203,et,Okuna-Kijang
116286419,1510214,et,Scec Hosc
116289576,1510255,et,Sambodere
116291732,1510283,et,Saja
116292271,1510290,et,Sagure
116296891,1510350,et,Robit
116296968,1510351,et,Robit
116297584,1510359,et,Robe
116297661,1510360,et,Robi
116297738,1510361,et,Bialerog
116300356,1510395,et,Recha
116302204,1510419,et,Rama
116302358,1510421,et,Rahele
116306054,1510469,et,Orbatte
116306901,1510480,et,omo nada
116308595,1510502,et,Oghin
116309519,1510514,et,Odo Adegaye
116310443,1510526,et,Oda Alelu
116316218,1510601,et,Nek'emte
116316295,1510602,et,Nejo
116316911,1510610,et,Negele
116317835,1510622,et,Nefas Mewch'a
116318605,1510632,et,Nazret
116323071,1510690,et,Mulu
116323610,1510697,et,Muldata
116324534,1510709,et,Muke Dugda
116326613,1510736,et,mota
116326921,1510740,et,Morsito
116328461,1510760,et,Molale
116328923,1510766,et,Mojo
116329077,1510768,et,Mojo
116330386,1510785,et,Mizan Teferi
116330540,1510787,et,Mito
116333158,1510821,et,Mini'ita
116334467,1510838,et,Miil
116334775,1510842,et,Mik'imat' Ariwa
116335622,1510853,et,Migira
116335930,1510857,et,Mi'eso
116339087,1510898,et,Metu
116340165,1510912,et,Metemma
116340242,1510913,et,Mataka
116340473,1510916,et,Metegol
116341089,1510924,et,Metahara
116342783,1510946,et,Mesk'ela
116343861,1510960,et,Mesba Mariam
116344015,1510962,et,Mertule Maryam
116344092,1510963,et,Merti
116344477,1510968,et,Mersa
116346633,1510996,et,Mer'awi
116346710,1510997,et,Meraro
116346787,1510998,et,Merar
116350945,1511052,et,Mendi
116351330,1511057,et,Mendelo
116351946,1511065,et,Mena
116353563,1511086,et,Melka Jebdu
116353948,1511091,et,Melka Chireti
116354179,1511094,et,Meliyu
116354872,1511103,et,Melca Daboch
116356335,1511122,et,Mek'i
116356566,1511125,et,Mek’ele
116356951,1511130,et,Mekane Selam
116357336,1511135,et,Meka
116357413,1511136,et,Mejo
116358106,1511145,et,Mehal Meda
116359338,1511161,et,Mega
116360647,1511178,et,meda walabu
116361879,1511194,et,Mechara
116362110,1511197,et,Mecarre
116365113,1511236,et,Maych'ew
116366961,1511260,et,Masha
116367808,1511271,et,Maruf
116368039,1511274,et,Maru
116368193,1511276,et,Maru
116370272,1511303,et,Manta
116370349,1511304,et,Manso
116370734,1511309,et,Mangui
116371966,1511325,et,Mambuk
116372351,1511330,et,Mallic
116373506,1511345,et,Maksenyit
116373814,1511349,et,Majete
116374892,1511363,et,Mai Ciogonte
116375354,1511369,et,Mahdere Maryam
116376278,1511381,et,Madira Gebeya
116376355,1511382,et,Madley
116378357,1511408,et,Lumame
116379897,1511428,et,Lots'e
116381745,1511452,et,Logiya
116382130,1511457,et,Lobuni
116382823,1511466,et,Limiti
116384979,1511494,et,Leyto
116387982,1511533,et,Leku
116393988,1511611,et,Lalibela
116396683,1511646,et,K'wat
116397068,1511651,et,Kuyu
116397376,1511655,et,Ulmera
116397453,1511656,et,Kuye
116400071,1511690,et,Fantaweina
116400533,1511696,et,K'urk'ura
116401534,1511709,et,Kure
116403613,1511736,et,K'una
116405769,1511764,et,Kuekuertlue
116406154,1511769,et,Kuhila
116407232,1511783,et,Kubalge
116414624,1511879,et,Korem
116416318,1511901,et,K'orbeta
116418012,1511923,et,Konso
116420399,1511954,et,Kolobo
116420630,1511957,et,K'olito
116421323,1511966,et,K'ola Diba
116421554,1511969,et,kokosa
116423094,1511989,et,Kofele
116425404,1512019,et,Kitime
116428869,1512064,et,K'ilenti
116431025,1512092,et,Kibre Mengist
116431410,1512097,et,Kibet
116431718,1512101,et,Adele Keyke
116431795,1512102,et,K'ey Gedel
116436646,1512165,et,Kero
116439495,1512202,et,Keraru
116439726,1512205,et,K'eranyo
116440111,1512210,et,K'erada
116440727,1512218,et,K'enyi
116441959,1512234,et,Kemise
116442113,1512236,et,K'emet'e
116442498,1512241,et,komǝbolǝca
116443422,1512253,et,Kemba
116444885,1512272,et,Kele
116445347,1512278,et,K'elafo
116448581,1512320,et,K'ech'ema
116449120,1512327,et,Kebri Dahar
116449197,1512328,et,K'ebri Beyah
116450044,1512339,et,K'ebalenka
116450275,1512342,et,K'ayi
116450737,1512348,et,K'at'ila
116450968,1512351,et,K'at'a
116452431,1512370,et,Karamile
116452585,1512372,et,Kara K'ore
116455203,1512406,et,Kake
116455742,1512413,et,Kachisi
116458899,1512454,et,Jinka
116459669,1512464,et,Jimma
116460362,1512473,et,Jijira
116460670,1512477,et,Jijiga
116460901,1512480,et,Jigmathia
116465136,1512535,et,Jelo Belina
116465752,1512543,et,Jeju
116467754,1512569,et,Jarso
116469602,1512593,et,Jajura
116469910,1512597,et,Jagenfoy
116471450,1512617,et,Iteya
116473991,1512650,et,Irba
116474761,1512660,et,Intich'o
116475377,1512668,et,Inseno
116475993,1512676,et,Injibara
116478072,1512703,et,Indo
116478380,1512707,et,Indibir
116479150,1512717,et,Shire Inda Selassie
116480305,1512732,et,Indabaguna
116483231,1512770,et,Ilu Danse
116486850,1512817,et,Ijaji
116487158,1512821,et,Ihud Gebeya
116488159,1512834,et,Iesembet
116489468,1512851,et,Idaga Hamus
116490238,1512861,et,Ibnat
116491316,1512875,et,Huruta
116494550,1512917,et,hosaʿǝna
116497399,1512954,et,Hirna
116498323,1512966,et,Humera
116499324,1512979,et,Hidaga Barya
116500479,1512994,et,Hena
116501557,1513008,et,Hayk'
116503867,1513038,et,Hartishek
116503944,1513039,et,Harshin
116505869,1513064,et,Haro Boru
116506485,1513072,et,Haro
116508410,1513097,et,Haria
116508641,1513100,et,Hargele
116509103,1513106,et,Harawa
116509411,1513110,et,Harer
116510720,1513127,et,Harbu
116511028,1513131,et,Harardighet
116511490,1513137,et,Hara Gebeya
116513030,1513157,et,Hamus Gebeya
116513954,1513169,et,Hammero
116516187,1513198,et,Halela Aluia
116518189,1513224,et,Hagere Selam
116518266,1513225,et,Hagere Hiywet
116519344,1513239,et,Hadero
116519498,1513241,et,Hadami
116519652,1513243,et,Hach'o
116521808,1513271,et,Gut'mera
116522963,1513286,et,El Bahay
116523040,1513287,et,Gursum
116524888,1513311,et,Gurbete
116525658,1513321,et,Gur Amba
116526428,1513331,et,Guracha
116528276,1513355,et,Gundo Meskel
116531664,1513399,et,Gulele
116537670,1513477,et,Komtikas
116543907,1513558,et,gorǝgora
116544600,1513567,et,Gore
116545370,1513577,et,Gorandu
116545447,1513578,et,Gora Keteba
116547449,1513604,et,Gonfi K'edida
116547988,1513611,et,Gonder
116559307,1513758,et,Gode
116561617,1513788,et,Gobesa
116562926,1513805,et,Goba
116563773,1513816,et,Waliso
116564620,1513827,et,Gishe Abay
116568008,1513871,et,Ghinnir
116568855,1513882,et,Ginch'i
116569163,1513886,et,Gimja Bet Maryam
116569625,1513892,et,Gimbicho
116569933,1513896,et,Gimbi
116570549,1513904,et,Raqo
116571473,1513916,et,Gidole
116572936,1513935,et,Gibe
116574322,1513953,et,Giadabele
116574630,1513957,et,Ghio
116575015,1513962,et,Ghibie
116575323,1513966,et,Gheriale
116575708,1513971,et,Gherber Offer
116577325,1513992,et,Ghedes Micael
116578326,1514005,et,Gawane
116578711,1514010,et,Getema
116579019,1514014,et,gasuba
116579404,1514019,et,Geisha
116580867,1514038,et,Gergember
116585564,1514099,et,Genet
116588490,1514137,et,Gelila
116588798,1514141,et,Gelemso
116589799,1514154,et,Geladi
116590569,1514164,et,Gedo
116591724,1514179,et,Gedeb
116591955,1514182,et,Gedeb
116592725,1514192,et,Gechi
116593264,1514199,et,Gebre Guracha
116594111,1514210,et,Gebezi
116596421,1514240,et,Gatira
116597807,1514258,et,Gargiere
116601118,1514301,et,Gangeletta
116602273,1514316,et,gamǝbela
116602966,1514325,et,Galira
116605892,1514363,et,Gado
116607355,1514382,et,Gabdie
116607740,1514387,et,Gabagaba
116608356,1514395,et,Fursi
116608895,1514402,et,Pinyudo
116609280,1514407,et,Funyan Bira
116611513,1514436,et,Fofa
116613130,1514457,et,Finote Selam
116614054,1514469,et,Filtu
116614285,1514472,et,Filakit
116614516,1514475,et,Fik
116615132,1514483,et,Fiche
116617134,1514509,et,Feres Bet
116617442,1514513,et,Ferek'esa
116618905,1514532,et,Felege Neway
116619290,1514537,et,Felana
116622678,1514581,et,Faille
116623217,1514588,et,Fafa
116624680,1514607,et,Erer
116625296,1514615,et,Enzan
116626990,1514637,et,Golwayn
116628607,1514658,et,Elanle
116634074,1514729,et,Ejere
116634767,1514738,et,Efeson
116635306,1514745,et,Echene
116637077,1514768,et,Dure
116637385,1514772,et,Durame
116638925,1514792,et,Duleta
116641851,1514830,et,Dufa
116642544,1514839,et,Duch'e
116642852,1514843,et,Dubulu
116642929,1514844,et,Dubti
116643699,1514854,et,Dubai
116643853,1514856,et,Dubai
116644931,1514870,et,Dowreta
116645470,1514877,et,Doro Wayu
116645624,1514879,et,Doroba
116646548,1514891,et,Dongoro K'ere
116646933,1514896,et,Doncoschi
116647241,1514900,et,Doelluek
116647318,1514901,et,Dolo Odo
116647549,1514904,et,Dolo
116648242,1514913,et,Doketu
116648858,1514921,et,Dofo
116649320,1514927,et,Dodola
116649474,1514929,et,Dodi
116652631,1514970,et,Dire Dawa
116659869,1515064,et,dila
116661024,1515079,et,Dihun
116666953,1515156,et,Dibate
116668262,1515173,et,Dewele
116669417,1515188,et,Dessie
116669494,1515189,et,Dese
116672574,1515229,et,Derba
116672728,1515231,et,Derba
116673498,1515241,et,Dera
116673575,1515242,et,dera
116675577,1515268,et,Dengel Ber
116677348,1515291,et,Denan
116678657,1515308,et,Dembi Dolo
116679812,1515323,et,Dembech'a
116680351,1515330,et,Delgi
116682815,1515362,et,Dejen
116683585,1515372,et,Degolo
116684124,1515379,et,Degem Hambiso
116684432,1515383,et,Degeh Bur
116685741,1515400,et,Dedo
116686126,1515405,et,Deder
116687666,1515425,et,Bishoftu
116687897,1515428,et,Debre Werk'
116688667,1515438,et,Debre Tabor
116688744,1515439,et,Debre Sina
116689283,1515446,et,Debre Mark'os
116690130,1515457,et,Debre Birhan
116693441,1515500,et,Debark'
116694365,1515512,et,Daye
116699447,1515578,et,Danot
116700371,1515590,et,danǝgǝla
116703990,1515637,et,Dalocha
116711921,1515740,et,Dabat
116718466,1515825,et,Ciro
116725781,1515920,et,Chinahsen
116727090,1515937,et,Ch'iko
116727475,1515942,et,Sifra
116731633,1515996,et,Ch'ench'a
116733250,1516017,et,Chelenko
116733558,1516021,et,Ch'elelek'tu
116735329,1516044,et,Cheha
116746725,1516192,et,Butajira
116750421,1516240,et,Burka
116751114,1516249,et,Bure
116754502,1516293,et,Bulk'i
116756658,1516321,et,Bu'i
116764358,1516421,et,Kandis
116765898,1516441,et,Bonke
116765975,1516442,et,Boni
116766283,1516446,et,Bonga
116768208,1516471,et,Bolo
116768670,1516477,et,Bole
116771057,1516508,et,Boh
116771211,1516510,et,Bogol Manyo
116771904,1516519,et,Bodoacio
116772058,1516521,et,Podiltsi
116784070,1516677,et,Bike
116786072,1516703,et,Bichena
116792694,1516789,et,Bere Baka
116793233,1516796,et,Berbere
116796544,1516839,et,bale hawasa
116798161,1516860,et,Bek'oji
116800086,1516885,et,Beigi
116800779,1516894,et,Begi
116801626,1516905,et,Bedesa
116801780,1516907,et,Bedesa
116801857,1516908,et,Bedesa
116802319,1516914,et,Bedele
116805399,1516954,et,Bati
116810789,1517024,et,Bambesi
116812637,1517048,et,Balch'
116813561,1517060,et,Beko
116813638,1517061,et,Bako
116813715,1517062,et,Bako
116814562,1517073,et,Bahoch
116815024,1517079,et,bahǝr-dar
116817873,1517116,et,Babile
116820260,1517147,et,Aysha
116820953,1517156,et,Aykel
116821492,1517163,et,Ayer
116822262,1517173,et,Ayana
116823648,1517191,et,Aweday
116824187,1517198,et,Awash
116824341,1517200,et,hawasa
116828114,1517249,et,At'aye
116829346,1517265,et,asosa
116831579,1517294,et,Asendabo
116831656,1517295,et,Asela
116832349,1517304,et,Asbe Teferi
116832503,1517306,et,Asaita
116832657,1517308,et,Asasa
116832811,1517310,et,Asale
116834890,1517337,et,Aro Genda
116836122,1517353,et,Arjo
116837046,1517365,et,Ari
116838201,1517380,et,Arerti
116838509,1517384,et,Arere
116839587,1517398,et,Areka
116842205,1517432,et,Arbe Gona
116842667,1517438,et,Arba Minch
116843591,1517450,et,Ararso Areda
116845439,1517474,et,araabia
116845901,1517480,et,Ara Ali
116847595,1517502,et,Ankober
116850444,1517539,et,And Iyela
116856989,1517624,et,Ambo
116857990,1517637,et,Amba Selis
116858760,1517647,et,Amba Giorgis
116860531,1517670,et,Amajo
116861994,1517689,et,Aliyu Amba
116864304,1517719,et,'Alem T'ena
116864458,1517721,et,'Alem Ketema
116864997,1517728,et,'Alemaya
116865998,1517741,et,Alefa
116866306,1517745,et,Ale
116867384,1517759,et,alamata
116869309,1517784,et,Aksum
116876932,1517883,et,Hagere Maryam
116878549,1517904,et,agaro
116878626,1517905,et,Agarfa
116881706,1517945,et,Afersa
116882014,1517949,et,Afder
116882168,1517951,et,Afdem
116882476,1517955,et,afamǝbo
116883015,1517962,et,adǝwa
116883708,1517971,et,Adola
116887096,1518015,et,Adis Zemen
116887404,1518019,et,Adis K'idame
116889868,1518051,et,Adis 'Alem
116890022,1518053,et,Addis Abeba
116891562,1518073,et,Adi Momena
116897029,1518144,et,Adi Gudom
116897106,1518145,et,adigǝrat
116898646,1518165,et,Adigala
116899801,1518180,et,Adi Da'iro
116905422,1518253,et,Adet
116906115,1518262,et,Adere
116908117,1518288,et,Addi Onfito
116908656,1518295,et,Addi Colo
116912737,1518348,et,Adaba
116913584,1518359,et,Ach'lat'
116917973,1518416,et,Abosa
116918281,1518420,et,Abomsa
116918358,1518421,et,Abomsa
116919205,1518432,et,Abiyu
116919513,1518436,et,Abiy Adi
116920976,1518455,et,Abeyi
116923825,1518492,et,Abderafi
116927290,1518537,et,Abala
116927675,1518542,et,Aba Golja Ager
116930139,1518574,et,Harawa
116930370,1518577,et,Qorof
116931756,1518595,et,El Bahal
116934990,1518637,et,Kahandhale
116935067,1518638,et,Lasoano
116935144,1518639,et,Neefkuceliye
116935221,1518640,et,Yamarugley
116938532,1518683,et,Arepok
116938609,1518684,et,Awdah
116938686,1518685,et,Shaguby
116939687,1518698,et,Duuban
116940842,1518713,et,Badreh
116948927,1518818,et,samara
116949004,1518819,et,Potia
116950005,1518832,et,Sodo
116955010,1518897,et,Chere
116955934,1518909,et,Dog'ya
116956473,1518916,et,Uoat
116958013,1518936,et,Bokholle
116961401,1518980,et,Khidi
116963557,1519008,et,Kobo
116965251,1519030,et,Gerbota
116967022,1519053,et,Amibara
116968408,1519071,et,Debe Weyin
116972412,1519123,et,Arsi Negele
116974645,1519152,et,Digih Habar Es
116975800,1519167,et,Kirkos
116977725,1519192,et,Burayu
116977802,1519193,et,Guder
116977879,1519194,et,May Cadera
116977956,1519195,et,Mehoni
116978033,1519196,et,Shinshicho
116978110,1519197,et,Wonji
116978187,1519198,et,Worabe
116978264,1519199,et,Adebaye
116978341,1519200,et,Damboya
116978418,1519201,et,Ginja Bet
116978495,1519202,et,Gutin
116978572,1519203,et,Kercha
116978649,1519204,et,Wacha
116978726,1519205,et,Wegeda
116978957,1519208,et,dimǝtu
116979034,1519209,et,badesa
116979111,1519210,et,bomǝbe
116979188,1519211,et,gununo
116979265,1519212,et,halale
116979342,1519213,et,baqǝlo sano
116979419,1519214,et,Lasho
116979496,1519215,et,Tebela
116979573,1519216,et,paraco
116979650,1519217,et,hobica bada
116979727,1519218,et,sanǝto
116979804,1519219,et,Gara Godo
116979958,1519221,et,bitana
116980343,1519226,et,Lera
116980651,1519230,et,Demberona
116981113,1519236,et,Selamber
116981729,1519244,et,Haro Resa
116984116,1519275,et,Wichiro
116984270,1519277,et,Gololcha
116988120,1519327,et,Robeyo
116988582,1519333,et,Tola
116992586,1519385,et,Gende Gubo
116993048,1519391,et,Chalechale
