id,city_id,language_key,name
120937604,1570619,et,Luce
120937681,1570620,et,Luce
120937758,1570621,et,Lucciana
120937835,1570622,et,Lucbardez-et-Bargues
120937912,1570623,et,Luçay-le-Mâle
120937989,1570624,et,Luçay-le-Libre
120938143,1570626,et,Lucarré
120938220,1570627,et,Luc-Armau
120938451,1570630,et,Luc
120938528,1570631,et,Luc
120938605,1570632,et,Luc-la-Primaube
120938682,1570633,et,Luc
120938759,1570634,et,Luby-Betmont
120938836,1570635,et,Lubret-Saint-Luc
120938913,1570636,et,Luble
120938990,1570637,et,Lubine
120939067,1570638,et,Lubilhac
120939221,1570640,et,Lubey
120939298,1570641,et,Lubersac
120939375,1570642,et,Lubecourt
120939452,1570643,et,Lubbon
120939529,1570644,et,L'Ubac
120939683,1570646,et,Luant
120939760,1570647,et,Lozzi
120939914,1570649,et,Lozon
120939991,1570650,et,Lozinghem
120940222,1570653,et,Loze
120940299,1570654,et,Lozay
120940376,1570655,et,Lozane
120940453,1570656,et,Loyettes
120940530,1570657,et,Loye-sur-Arnon
120940607,1570658,et,Loyes
120940684,1570659,et,Loyat
120940761,1570660,et,Loxeville
120940915,1570662,et,Lovagny
120940992,1570663,et,Lozy
120941069,1570664,et,Louzouer
120941146,1570665,et,Louzignac
120941223,1570666,et,Louzes
120941377,1570668,et,Louze
120941454,1570669,et,Louzac-Saint-André
120941531,1570670,et,Louye
120941608,1570671,et,Louy
120941685,1570672,et,Louvroil
120941762,1570673,et,Louvres
120941839,1570674,et,Louvrechy
120941916,1570675,et,Louvois
120941993,1570676,et,Louvilliers-les-Perche
120942070,1570677,et,Louvilliers-en-Drouais
120942147,1570678,et,Louville-la-Chenard
120942224,1570679,et,Louvil
120942301,1570680,et,Louvigny
120942378,1570681,et,Louvigny
120942455,1570682,et,Louvigny
120942532,1570683,et,Louvigny
120942609,1570684,et,Louvignies-Quesnoy
120942763,1570686,et,Louvigné-du-Désert
120942840,1570687,et,Louvigné-de-Bais
120942917,1570688,et,Louvigne
