id,city_id,language_key,name
120937654,1570619,tk,Luce
120937731,1570620,tk,Luce
120937808,1570621,tk,Lucciana
120937885,1570622,tk,Lucbardez-et-Bargues
120937962,1570623,tk,Lucay-le-Male
120938039,1570624,tk,Lucay-le-Libre
120938193,1570626,tk,Lucarre
120938270,1570627,tk,Luc-Armau
120938501,1570630,tk,Luk
120938578,1570631,tk,Luk
120938655,1570632,tk,Luc-la-Primaube
120938732,1570633,tk,Luk
120938809,1570634,tk,Luby-Betmont
120938886,1570635,tk,Lubret-Saint-Luc
120938963,1570636,tk,Luble
120939040,1570637,tk,Lubine
120939117,1570638,tk,Lubilhac
120939271,1570640,tk,Lubey
120939348,1570641,tk,Lubersac
120939425,1570642,tk,Lubecourt
120939502,1570643,tk,Lubbon
120939579,1570644,tk,L'Ubac
120939733,1570646,tk,Luant
120939810,1570647,tk,Lozzi
120939964,1570649,tk,Lozon
120940041,1570650,tk,Lozinghem
120940272,1570653,tk,Loze
120940349,1570654,tk,Lozay
120940426,1570655,tk,Lozane
120940503,1570656,tk,Loyettes
120940580,1570657,tk,Loye-sur-Arnon
120940657,1570658,tk,Loyes
120940734,1570659,tk,Loyat
120940811,1570660,tk,Loxeville
120940965,1570662,tk,Lovagny
120941042,1570663,tk,Lozy
120941119,1570664,tk,Louzouer
120941196,1570665,tk,Louzignac
120941273,1570666,tk,Louzes
120941427,1570668,tk,Louze
120941504,1570669,tk,Louzac-Saint-Andre
120941581,1570670,tk,Louye
120941658,1570671,tk,Louy
120941735,1570672,tk,Louvroil
120941812,1570673,tk,Louvres
120941889,1570674,tk,Louvrechy
120941966,1570675,tk,Louvois
120942043,1570676,tk,Louvilliers-les-Perche
120942120,1570677,tk,Luvillier-en-Druais
120942197,1570678,tk,Louville-la-Chenard
120942274,1570679,tk,Louvil
120942351,1570680,tk,Louvigny
120942428,1570681,tk,Louvigny
120942505,1570682,tk,Louvigny
120942582,1570683,tk,Louvigny
120942659,1570684,tk,Louvignies-Quesnoy
120942813,1570686,tk,Louvigne-du-Desert
120942890,1570687,tk,Louvigne-de-Bais
120942967,1570688,tk,Louvigne
120943044,1570689,tk,Louvie-Soubiron
120943121,1570690,tk,Louviers
120943198,1570691,tk,Louvieres-en-Auge
120943275,1570692,tk,Louvieres
120943352,1570693,tk,Louvieres
120943429,1570694,tk,Louvie-Juzon
120943506,1570695,tk,Louvicamp
120943583,1570696,tk,Louvetot
120943660,1570697,tk,Louvetot
120943737,1570698,tk,Louversey
120943814,1570699,tk,Louverne
120943891,1570700,tk,Louvergny
120943968,1570701,tk,Louvercy
120944045,1570702,tk,Louvenne
120944122,1570703,tk,Louvencourt
120944199,1570704,tk,Louvemont
120944276,1570705,tk,Louveciennes
120944353,1570706,tk,Louvatange
120944430,1570707,tk,Louvaines
120944507,1570708,tk,Louvagny
120944584,1570709,tk,Loutzviller
120944892,1570713,tk,Loutey
120944969,1570714,tk,Loutehel
120945046,1570715,tk,Loussous-Debat
120945123,1570716,tk,Louslitges
120945277,1570718,tk,Lourze
120945354,1570719,tk,Loury
120945431,1570720,tk,Lourties-Monbrun
120945508,1570721,tk,Lourquen
120945585,1570722,tk,Louroux-Hodement
120945662,1570723,tk,Louroux-de-Bouble
120945739,1570724,tk,Louroux-de-Beaune
120945816,1570725,tk,Louroux-Burbonnais
120945893,1570726,tk,Lourouer-Saint-Laurent
120945970,1570727,tk,Lournand
120946124,1570729,tk,Lourme
120946201,1570730,tk,L'Ourme
120946278,1570731,tk,Lourmarin
120946355,1570732,tk,Lourmais
120946432,1570733,tk,Luresse
120946509,1570734,tk,Loures-Barousse
120946586,1570735,tk,Lourenties
120946663,1570736,tk,Lourdy
120946740,1570737,tk,Lourdoueix-Saint-Pierre
120946817,1570738,tk,Lourdueix-Saint-Michel
120946894,1570739,tk,Lourdios-Ichere
120946971,1570740,tk,Lourdes
120947048,1570741,tk,Lourdes
120947125,1570742,tk,Lourches
120947202,1570743,tk,Louppy-sur-Loison
120947279,1570744,tk,Louppy-sur-Chee
120947356,1570745,tk,Louppy-le-Chateau
120947433,1570746,tk,Loupmont
120947510,1570747,tk,Louplande
120947664,1570749,tk,Loupian
120947741,1570750,tk,Loupiac-de-la-Reole
120947818,1570751,tk,Loupiac
120947895,1570752,tk,Loupiac
120947972,1570753,tk,Loupiac
120948049,1570754,tk,Loupiac
120948126,1570755,tk,Loupiac
120948203,1570756,tk,Loupia
120948280,1570757,tk,Loupfougeres
120948357,1570758,tk,Loupes
120948434,1570759,tk,Loupershouse
120948511,1570760,tk,Loupeigne
120948588,1570761,tk,Loumeuil
120948665,1570762,tk,Loume
120948742,1570763,tk,Loulle
120948819,1570764,tk,Loulay
120948973,1570766,tk,Loulans-Verchamp
120949050,1570767,tk,Louit
120949127,1570768,tk,Louisfert
120949204,1570769,tk,Louin
120949281,1570770,tk,Louignac
120949358,1570771,tk,Louhossoa
120949435,1570772,tk,Louhans
120949512,1570773,tk,Los Griegos
120949589,1570774,tk,Lougratte
120949666,1570775,tk,Louge-sur-Maire
120949820,1570777,tk,Louey
120949897,1570778,tk,Loueuse
120949974,1570779,tk,Louestault
120950051,1570780,tk,Louesme
120950128,1570781,tk,Louesme
120950205,1570782,tk,Louerre
120950282,1570783,tk,Louer
120950359,1570784,tk,Loue
120950436,1570785,tk,Loudun
120950513,1570786,tk,Loudrefing
120950667,1570788,tk,Loudet
120950744,1570789,tk,Loudes
120950898,1570791,tk,Loudenvielle
120950975,1570792,tk,Loudeac
120951052,1570793,tk,Loucrup
120951129,1570794,tk,Louchy-Montfand
120951206,1570795,tk,Louches
120951437,1570798,tk,Louchats
120951668,1570801,tk,Loucelles
120951822,1570803,tk,Louce
120951899,1570804,tk,Loubressac
120951976,1570805,tk,Loublande
120952130,1570807,tk,Loubille
120952207,1570808,tk,Loubigne
120952361,1570810,tk,Loubieres
120952515,1570812,tk,Loubieng
120952592,1570813,tk,Loubeyrat
120952669,1570814,tk,Loubes-Bernac
120952746,1570815,tk,Loubert
120952823,1570816,tk,Loubersan
120952900,1570817,tk,Loubers
120952977,1570818,tk,Loubens-Lauragais
120953054,1570819,tk,Loubens
120953131,1570820,tk,Loubens
120953208,1570821,tk,Loubejac
120953285,1570822,tk,Loubedat
120953516,1570825,tk,Loubaresse
120953670,1570827,tk,Loubalie
120953747,1570828,tk,Loubajac
120953824,1570829,tk,Louatre
120953901,1570830,tk,Louargat
120954055,1570832,tk,Louans
120954132,1570833,tk,Louannec
120954209,1570834,tk,Louan-Villegruis-Fontaine
120954286,1570835,tk,Louailles
120954440,1570837,tk,Lottinghen
120954594,1570839,tk,Lothey
120954671,1570840,tk,Lostroff
120954748,1570841,tk,Lostanges
120954825,1570842,tk,Losse
120954979,1570844,tk,L'Ospedale
120955133,1570846,tk,Losne
120955287,1570848,tk,Los Masos
120955441,1570850,tk,Loscouet-sur-Meu
120955595,1570852,tk,Lortet
120955749,1570854,tk,\N
120955826,1570855,tk,Lorris
120955903,1570856,tk,Lorrez-le-Bocage-Preaux
120955980,1570857,tk,Lorquin
120956057,1570858,tk,Loromontzey
120956134,1570859,tk,Lornay
120956365,1570862,tk,L'Ormeteau
120956442,1570863,tk,Lormes
120956519,1570864,tk,L'Ormenay
120956673,1570866,tk,L'Ormeau
120956904,1570869,tk,Lormaye
120956981,1570870,tk,Lormaison
120957058,1570871,tk,Lorleau
120957135,1570872,tk,Lorlanges
120957212,1570873,tk,Loriol-sur-Drome
120957289,1570874,tk,Loriol-du-Comtat
120957366,1570875,tk,Lorigne
120957443,1570876,tk,Lorignac
120957520,1570877,tk,Loriges
120957597,1570878,tk,Lorient
120957751,1570880,tk,Lorgues
120957828,1570881,tk,Lorgies
120957905,1570882,tk,Lorges
120958059,1570884,tk,Lorey
120958136,1570885,tk,Loreux
120958290,1570887,tk,Lorette
120958444,1570889,tk,Loreto-di-Casinca
120958521,1570890,tk,Lorentzen
120958752,1570893,tk,Lore
120958983,1570896,tk,Lorcy
120959060,1570897,tk,Lorcieres
120959291,1570900,tk,L'Orbrie
120959368,1570901,tk,Loray
120959445,1570902,tk,Lor
