id,city_id,language_key,name
129737329,1684901,is,Vandreblokken
129737791,1684907,is,Utoqqarmiut
129737868,1684908,is,Upernavik
129738099,1684911,is,Ukkusissat
129738330,1684914,is,Ujaraat
129738792,1684920,is,Tiniteqilaaq
129739023,1684923,is,Tasiusaq
129739100,1684924,is,Tasiusaq
129739254,1684926,is,Upernavik Kujalleq
129739331,1684927,is,Kangerlussuaq
129739562,1684930,is,Skjöldungen
129739716,1684932,is,Sisimiut
129739870,1684934,is,Sermiligaaq
129740024,1684936,is,Sarfannguit
129740178,1684938,is,Saqqaq
129740409,1684941,is,Saattut
129740563,1684943,is,Oqaatsut
129741179,1684951,is,Qeqertarsuaq
129741256,1684952,is,Qeqertarsuaq
129741333,1684953,is,Qeqertaq
129741564,1684956,is,Qassiarsuk
129741641,1684957,is,Qasigiannguit
129741718,1684958,is,Qaqortoq
129741872,1684960,is,Qaarsut
129741949,1684961,is,Kangersuatsiaq
129742334,1684966,is,Paamiut
129742411,1684967,is,Nuuk
129742565,1684969,is,Nuugaatsiaq
129742950,1684974,is,Niaqornaq
129743027,1684975,is,Niaqornaarsuk
129743181,1684977,is,Neria
129743412,1684980,is,Narsarsuaq
129743566,1684982,is,Narsaq
129743720,1684984,is,Napasoq
129743797,1684985,is,Nanortalik
129743874,1684986,is,Naajat
129744105,1684989,is,Maniitsoq
129744182,1684990,is,Manermiut
129744259,1684991,is,Maarmorilik
129744413,1684993,is,Kuummiit
129744490,1684994,is,Kulusuk
129744567,1684995,is,Kullorsuaq
129744721,1684997,is,Nuussuaq
129745106,1685002,is,Kapisillit
129745722,1685010,is,Kangaatsiaq
129745876,1685012,is,Kangaamiut
129746261,1685017,is,Ittoqqortoormiit
129746338,1685018,is,Itilleq
129746569,1685021,is,Isortoq
129746723,1685023,is,Ilulissat
129746877,1685025,is,Illorsuit
129747262,1685030,is,Ikerasak
129747570,1685034,is,Ikerasaarsuk
129747801,1685037,is,Ikamiut
129747955,1685039,is,Iginniarfik
129748109,1685041,is,Kitsissuarsuit
129748263,1685043,is,Kangilinnguit
129748494,1685046,is,Narsarmijit
129748571,1685047,is,Qeqertarsuatsiaat
129748879,1685051,is,Ilimanaq
129749110,1685054,is,Attu
129749187,1685055,is,Atammik
129749418,1685058,is,Arsuk
129749957,1685065,is,Tasiilaq
129750034,1685066,is,Alluitsup Paa
129750111,1685067,is,Akunnaaq
129750419,1685071,is,Aasivik
129750496,1685072,is,Aasiaat
129750573,1685073,is,Aappilattoq
129750881,1685077,is,Uummannaq
129750958,1685078,is,Aappilattoq
129751035,1685079,is,Eqalugaarsuit
129751112,1685080,is,Upernavissuaq
129751343,1685083,is,Siorapaluk
129751420,1685084,is,Savissivik
129751959,1685091,is,Qaanaaq
129752267,1685095,is,Nunat
129752806,1685102,is,Summit Camp
