id,city_id,language_key,name
130431792,1693920,is,Vieux-Habitants
130431946,1693922,is,Vieux-Fort
130432023,1693923,is,Vieux Bourg
130432870,1693934,is,Valeau
130432947,1693935,is,Trois-Rivieres
130433178,1693938,is,Terre-de-Haut
130433255,1693939,is,Petites Anses
130433409,1693941,is,Subercazeaux
130434410,1693954,is,Saint-Louis
130434641,1693957,is,Saint-Francois
130434795,1693959,is,Sainte-Rose
130435103,1693963,is,Sainte-Marie
130435488,1693968,is,Sainte-Anne
130435565,1693969,is,Saint-Claude
130435642,1693970,is,Saint-Charles
130435950,1693974,is,Ruillier
130436258,1693978,is,Rifflet
130437413,1693993,is,Poyen
130437721,1693997,is,Port-Louis
130438106,1694002,is,Port Blanc
130438337,1694005,is,Pointe-Noire
130438491,1694007,is,Pointe-à-Pitre
130439569,1694021,is,Petit-Canal
130439646,1694022,is,Petit-Bourg
130440108,1694028,is,Parnasse
130441032,1694040,is,Morne-à-l'Eau
130441417,1694045,is,Montalegre
130443496,1694072,is,Madeleine
130443727,1694075,is,Longmont
130444805,1694089,is,Les Basses
130444882,1694090,is,Les Abymes
130445113,1694093,is,Le Moule
130445498,1694098,is,Le Gosier
130446653,1694113,is,Lamentin
130446730,1694114,is,La Martiniere
130447654,1694126,is,La Boucan
130449040,1694144,is,Guillocheau
130449964,1694156,is,Beausejour
130450503,1694163,is,Grand-Bourg
130450734,1694166,is,Goyave
130450811,1694167,is,Gourbeyre
130452120,1694184,is,Ferry
130453352,1694200,is,Dorilas
130454045,1694209,is,Deshaies
130454122,1694210,is,Descostiers
130454276,1694212,is,Desbonnes
130454892,1694220,is,Clugny
130455893,1694233,is,Capesterre-Belle-Eau
130455970,1694234,is,Capesterre-de-Marie-Galante
130457202,1694250,is,Boyer
130458126,1694262,is,Bonne Mere
130459127,1694275,is,Bichemin
130460898,1694298,is,Basse-Terre
130461437,1694305,is,Baillif
130461668,1694308,is,Baie-Mahault
130461899,1694311,is,Anse-Bertrand
130462515,1694319,is,Tambour
130462669,1694321,is,Perú
130465056,1694352,is,Cafeiere Vincent
130466057,1694365,is,Chantilly
130466365,1694369,is,Daubin
130467597,1694385,is,Faugas
130468598,1694398,is,Diane
130468983,1694403,is,La Deboulee
130470138,1694418,is,Bellevue
130471216,1694432,is,Pinaud
130471755,1694439,is,Le Boyer
130472602,1694450,is,Bonnardel
130473372,1694460,is,Piton
130473526,1694462,is,D'Aubin
130473757,1694465,is,Saint-Val
130473911,1694467,is,Viard
130474681,1694477,is,Comperou
130475220,1694484,is,Bourbier
130475759,1694491,is,Le Gite
130476298,1694498,is,Fort Royal
130476914,1694506,is,Massieux
130478377,1694525,is,La Sarde
130478531,1694527,is,Poirier
130478685,1694529,is,Morne Jesus
130478993,1694533,is,Moreau
130480764,1694556,is,Saint-Denis
130482458,1694578,is,Grand Riviere
130482843,1694583,is,Mont d'Or
130484999,1694611,is,Cite Lignieres
130486308,1694628,is,Monteran
130486539,1694631,is,Dugommier
130487001,1694637,is,Sainte-Anne
130487232,1694640,is,Trou aux Chats
130487309,1694641,is,Trou aux Chiens
130487463,1694643,is,Morne Sale
130488079,1694651,is,Grande Chasse
130490466,1694682,is,Reduit
130491467,1694695,is,Grand Marigot
130491698,1694698,is,La Rose
130493546,1694722,is,Pages
130497011,1694767,is,Devarieux
130497473,1694773,is,David
130497627,1694775,is,Petite Fontaine
130497935,1694779,is,Vieux Cote
130498936,1694792,is,Mora
130499090,1694794,is,Kancel
130499552,1694800,is,Tassy
130499937,1694805,is,Papin
130500091,1694807,is,Lapalin
130500476,1694812,is,Mompierre
130501554,1694826,is,Bel Etang
130502632,1694840,is,Rochel
130504249,1694861,is,Cambourg
130505019,1694871,is,Barthel
130506482,1694890,is,Gaillarbois
130506867,1694895,is,Petit Havre
130507329,1694901,is,Liard Saint-Robert
130507714,1694906,is,Gilles Arcon
130508638,1694918,is,Masselas
130508715,1694919,is,Barot
130509254,1694926,is,Vallet
130510486,1694942,is,Belle Plaine
130511025,1694949,is,Belbois
130511487,1694955,is,Bourgelac
130513720,1694984,is,Potens
130514028,1694988,is,Lalane
130515106,1695002,is,Catherinette
130516646,1695022,is,Bacoul
130518417,1695045,is,Cinq Cents Pas
130521266,1695082,is,Saint-Jacques
130522421,1695097,is,Le Mouillage
130523268,1695108,is,Godet
130523730,1695114,is,Charropin
130524423,1695123,is,Bonne Terre
130525501,1695137,is,Sans Fenetre
130525886,1695142,is,Bonfils
130526040,1695144,is,Matouba
130526733,1695153,is,Reduit
