id,city_id,language_key,name
131728157,1710756,fr,Voutrouvi
131728234,1710757,fr,Limni
131728465,1710760,fr,Lefka
131729004,1710767,fr,Kalami
131729081,1710768,fr,Kampos
131729235,1710770,fr,Misampella
131729389,1710772,fr,Dosoula
131729774,1710777,fr,Néa Dáfni
131729851,1710778,fr,Kalývia
131729928,1710779,fr,Kastri
131730467,1710786,fr,Kalyvia Astra
131730852,1710791,fr,Nisaki
131731160,1710795,fr,Káto Karyótes
131731237,1710796,fr,Áno Meriá (Samothrace)
131731545,1710800,fr,Kallirróï (Kilkís)
131731699,1710802,fr,Dívouno
131731776,1710803,fr,Stathmós Mourión
131731853,1710804,fr,Gournes
131732007,1710806,fr,Agios Konstantinos
131732084,1710807,fr,Anthoúpoli (Thessalonique)
131732469,1710812,fr,Nea Kardia
131732546,1710813,fr,Moni Analipseos
131732623,1710814,fr,Spinaris
131732700,1710815,fr,Agia Kyriaki
131732777,1710816,fr,Girokomeio
131732931,1710818,fr,Palaiochori
131733239,1710822,fr,Dafni
131733778,1710829,fr,Tsatsouleïka
131733855,1710830,fr,Nerochori
131734317,1710836,fr,Ágios Nikólaos
131734625,1710840,fr,Flampouria
131734779,1710842,fr,Tsouka
131735010,1710845,fr,Kókkali
131735164,1710847,fr,Petrothálassa Ermiónis
131735472,1710851,fr,Várvogli
131736242,1710861,fr,Kanalos
131736319,1710862,fr,Skreiko
131736473,1710864,fr,Pigadaki
131736704,1710867,fr,Kastriotissa
131736781,1710868,fr,Katharovouni
131736935,1710870,fr,Falangias
131737012,1710871,fr,Mavrorachi
131737089,1710872,fr,Psila Alonia
131737166,1710873,fr,Petalona
131737320,1710875,fr,"Mosynopolis, Maximianopolis, Maximianoupolis"
131737397,1710876,fr,Théodotakeika
131737474,1710877,fr,Arcea Alicarna
131737551,1710878,fr,Tzanes
131737705,1710880,fr,Chelonaria
131738013,1710884,fr,Agios Konstantinos
131738321,1710888,fr,Kato Koritiani
131738398,1710889,fr,Pigadi
131738706,1710893,fr,Mourterí
131738783,1710894,fr,Chilí
131738860,1710895,fr,Ano Kera
131738937,1710896,fr,Mavros Longos
131739091,1710898,fr,Agia Sotira
131739245,1710900,fr,Paralía Velíkas
131739399,1710902,fr,Ágios Konstantínos
131739476,1710903,fr,Xinós
131739861,1710908,fr,"Ágios Vassílios (Ladá, Messénie)"
131740169,1710912,fr,Káto Lefkós
131740323,1710914,fr,Kallenes
131740477,1710916,fr,Lakki
131741324,1710927,fr,`Orfi
131741401,1710928,fr,Kotino
131741478,1710929,fr,Koutsomytis
131741940,1710935,fr,Stirigma
131742017,1710936,fr,Soula
131742094,1710937,fr,Prosilio
131742171,1710938,fr,Chryso
131742325,1710940,fr,Ayios Nikolaos
131742710,1710945,fr,Karavoulaiika
131743018,1710949,fr,Kasidiaris
131743095,1710950,fr,Romaïka
131743788,1710959,fr,Kato Strefi
131743942,1710961,fr,Pournari
131744019,1710962,fr,Lalka
131744096,1710963,fr,Nea Xanthogeia
131744173,1710964,fr,Neos Agios Athanasios
131744481,1710968,fr,Lagada
131744558,1710969,fr,Agia Triada
131744712,1710971,fr,Skamnia
131745097,1710976,fr,Pérouléika
131745328,1710979,fr,Psaropouli
131745482,1710981,fr,Trigono
131745713,1710984,fr,Potamochori
131745790,1710985,fr,Zoumbouli
131745867,1710986,fr,Ano Zoumbouli
131745944,1710987,fr,Oasi
131746098,1710989,fr,Káto Aséa
131746252,1710991,fr,Nea Viniani
131746406,1710993,fr,Ágios Panteleímon
131746791,1710998,fr,Chamiló
131746868,1710999,fr,Charádra
131746945,1711000,fr,Mikrós Kéchros
131747099,1711002,fr,Tsoúkka
131747176,1711003,fr,Monastíri
131747330,1711005,fr,Agios Vlasis
131747484,1711007,fr,Klima
131748100,1711015,fr,Kefales
131748177,1711016,fr,Kato Monokarya
131748562,1711021,fr,Niselia
131749255,1711030,fr,Agios Georgios
131749486,1711033,fr,Ágios Vassílios
131749794,1711037,fr,Ágios Ioánnis
131749871,1711038,fr,Agios Ioannis
131750025,1711040,fr,Ágios Nektários
131750564,1711047,fr,Agios Panteleimon
131750718,1711049,fr,Exo Yialos
131751103,1711054,fr,Ágios Symeón
131751180,1711055,fr,Agios Fokas
131751642,1711061,fr,Aerolimin
131751719,1711062,fr,Aerolimin
131751796,1711063,fr,Aérodrome
131752258,1711069,fr,Alonia Seladon
131752412,1711071,fr,Ammoudes
131752566,1711073,fr,Chondri Ammos
131752720,1711075,fr,Anemomylia
131752874,1711077,fr,Análipsi
131753182,1711081,fr,Kakkavos
131753259,1711082,fr,Agios Dimitrios
131753413,1711084,fr,Apothikes
131753490,1711085,fr,Kallikomo
131754337,1711096,fr,Kyparissi
131754414,1711097,fr,Arpakia
131754799,1711102,fr,Fytema
131754876,1711103,fr,Foinikas
131755030,1711105,fr,Aspro
131755338,1711109,fr,Achlia
131755415,1711110,fr,Plakes
131755646,1711113,fr,Pteri
131756031,1711118,fr,Lakkes
131756108,1711119,fr,Marathos III
131756493,1711124,fr,Stathmós
131756801,1711128,fr,Vrisia
131757186,1711133,fr,Tsairi
131757263,1711134,fr,Metóchion Prodrómou
131757340,1711135,fr,Kolimbi
131757417,1711136,fr,Kámbos
131757494,1711137,fr,Mikró Palládio
131757725,1711140,fr,Fititikes Esties
131757802,1711141,fr,Néa Pétra
131758187,1711146,fr,Al Mudayris
131758572,1711151,fr,Μικρόν Τύμπανον
131758649,1711152,fr,Daphné
131758726,1711153,fr,Ágios Nikólaos
131758803,1711154,fr,Paralía Panteleímonos
131758880,1711155,fr,Ayia Varvara
131759111,1711158,fr,Néa Kastania
131759265,1711160,fr,Epano Kampos
131759419,1711162,fr,Káto Ágios Pétros
131759496,1711163,fr,Stivári
131759573,1711164,fr,Koútsi
131759650,1711165,fr,Sotires
131759804,1711167,fr,Ayios Vlassios
131759881,1711168,fr,Trakhi
131759958,1711169,fr,Aspous
131760035,1711170,fr,Achille
131760189,1711172,fr,Loutro
131760420,1711175,fr,Mela
131760574,1711177,fr,Koukoumavles
131760805,1711180,fr,Laggeri
131760882,1711181,fr,Pyrgaki
131760959,1711182,fr,Panayia
131761113,1711184,fr,Paralia
131761190,1711185,fr,Tzimeika
131761421,1711188,fr,Paralía Tolofónos
131761498,1711189,fr,Néo Pedino
131761575,1711190,fr,Petsofas
131761729,1711192,fr,Órmos Panórmou
131761960,1711195,fr,Karnari
131762345,1711200,fr,Agía Marína
131762961,1711208,fr,Myltsi
131763038,1711209,fr,Orkos
131763269,1711212,fr,Stavroudaki
131763731,1711218,fr,Bali
131763885,1711220,fr,Playia
131764116,1711223,fr,Valtaki
131764424,1711227,fr,Marathias
131764578,1711229,fr,Karavas Loggastras
131764732,1711231,fr,Épano Chora
131764886,1711233,fr,Soulina
131764963,1711234,fr,Kampos
131765040,1711235,fr,Perataria
131765194,1711237,fr,Kataskinoseis Agiou Dimitriou
