id,city_id,language_key,name
132988762,1727127,sm,Xitole
132988993,1727130,sm,Viana
132989224,1727133,sm,Velingara Dulo
132990610,1727151,sm,Unsire
132991380,1727161,sm,Uncomene
132991919,1727168,sm,Unal
132992381,1727174,sm,Umpaba
132992766,1727179,sm,Umba
132993151,1727184,sm,Umaro Balde
132993767,1727192,sm,Ufoia Ura
132993844,1727193,sm,Ufoia Saje Embalo
132994075,1727196,sm,Ufoia Baciro
132994306,1727199,sm,Uenquem
132994460,1727201,sm,Uelingara Solo
132994537,1727202,sm,Uelingara
132994691,1727204,sm,Uelingara
132995153,1727210,sm,Udamo
132995230,1727211,sm,Ucunhe
132995461,1727214,sm,Uato Mandinga
132996154,1727223,sm,Uassa
132997232,1727237,sm,Uana Porto
132997463,1727240,sm,Uali Sacha
132999619,1727268,sm,Tite
132999850,1727271,sm,Tingaga
133000620,1727281,sm,Tendinto
133002545,1727306,sm,Tanene
133002622,1727307,sm,Tanene
133003084,1727313,sm,Tambandinto
133004085,1727326,sm,Talata
133005009,1727338,sm,Tabanca Velha
133005163,1727340,sm,Tabanca Nova
133005471,1727344,sm,Tabajenque
133006703,1727360,sm,Sumacunda
133007396,1727369,sm,Sucuta
133007627,1727372,sm,Sucuta
133008782,1727387,sm,Sonaco
133008936,1727389,sm,Som
133009475,1727396,sm,Sitato
133009552,1727397,sm,Sissaucunda Samanco
133009706,1727399,sm,Sira Murlel
133009783,1727400,sm,Sirael
133009860,1727401,sm,Sintra
133010399,1727408,sm,Sinchuro Paraual
133012016,1727429,sm,Sincha Ulo
133012401,1727434,sm,Sincha Uacho
133013248,1727445,sm,Sincha Talata
133013325,1727446,sm,Sincha Talata
133013633,1727450,sm,Sincha Suncaro
133014788,1727465,sm,Sincha Seidi
133015943,1727480,sm,Sincha Sambaro
133016790,1727491,sm,Sincha Sambael
133017945,1727506,sm,Sincha Sajori
133018022,1727507,sm,Sincha Sajo
133018176,1727509,sm,Sincha Saido
133018330,1727511,sm,Sincha Sabo
133018484,1727513,sm,Sincha Queuto
133019023,1727520,sm,Sincha Queba
133019100,1727521,sm,Sincha Purom
133019331,1727524,sm,Sincha Porto
133019716,1727529,sm,Sincha Pate
133020101,1727534,sm,Sincha Ninha
133020486,1727539,sm,Sincha Nambo
133020871,1727544,sm,Sincha Monta
133023874,1727583,sm,Sincha Madina
133025414,1727603,sm,Sincha Jujo
133026107,1727612,sm,Sincha Jaucunda
133026569,1727618,sm,Sincha Jai
133026723,1727620,sm,Sincha Issa Seidi
133027031,1727624,sm,Sincha Inde
133027570,1727631,sm,Sincha Iero Jaga
133027878,1727635,sm,Sincha Iero
133028494,1727643,sm,Sincha Geba
133030034,1727663,sm,Sincha Faja
133030111,1727664,sm,Sincha Faco
133031189,1727678,sm,Sincha Dulde
133031343,1727680,sm,Sincha Dua
133031420,1727681,sm,Sincha Doma
133031651,1727684,sm,Sincha Dembuel
133032806,1727699,sm,Sincha Demba Ja
133034808,1727725,sm,Sincha Coi
133035424,1727733,sm,Sincha Carimo
133035501,1727734,sm,Sincha Capassa
133035732,1727737,sm,Sincha Cantaba
133036040,1727741,sm,Sincha Camisa
133037041,1727754,sm,Sincha Buco
133037195,1727756,sm,Sincha Braima
133039274,1727783,sm,Sincha Bilal
133039890,1727791,sm,Sincha Bambe
133039967,1727792,sm,Sincha Bambe
133041507,1727812,sm,Sincha Alfa
133041738,1727815,sm,Sincha Alage
133043201,1727834,sm,Sima
133044433,1727850,sm,Serracao Amaro
133045280,1727861,sm,Vaai
133046204,1727873,sm,Sau
133046820,1727881,sm,Sare Ura
133046897,1727882,sm,Sare Ula
133048360,1727901,sm,Sare Saco
133048437,1727902,sm,Sare Saba
133049130,1727911,sm,Sare Nhanhala
133049207,1727912,sm,Sare Nhado
133050516,1727929,sm,Sare Mancama
133051209,1727938,sm,Sare Juma
133051594,1727943,sm,Sare Jaube
133052672,1727957,sm,Sare Ina
133053057,1727962,sm,Sare Ieroba
133054135,1727976,sm,Sare Donha
133054751,1727984,sm,Sare Demba Jicoi
133055059,1727988,sm,Sare Demba
133055136,1727989,sm,Sare Demba
133055213,1727990,sm,Sare Delo Maunde
133055444,1727993,sm,Sare Dabel
133055598,1727995,sm,Sare Cuta Penda
133056060,1728001,sm,Sare Chumo
133056445,1728006,sm,Sare Carajo
133057292,1728017,sm,Sare Birai
133057446,1728019,sm,Sare Baradi
133059448,1728045,sm,Sao Joao
133059679,1728048,sm,Sao Domingos
133060295,1728056,sm,Santanja
133060680,1728061,sm,Santambato
133061835,1728076,sm,Sanjalo
133062297,1728082,sm,Sangue Bololi
133062528,1728085,sm,Sangare
133063529,1728098,sm,Sana Jau
133063914,1728103,sm,Samoje
133065608,1728125,sm,Sambalicunda
133065839,1728128,sm,Samba Jau
133066301,1728134,sm,Sambacunda
133066763,1728140,sm,Samba Cande
133067918,1728155,sm,Saludinca
133068149,1728158,sm,Saliquinhe
133068534,1728163,sm,Salia
133069458,1728175,sm,Saiamcototo
133069689,1728178,sm,Safim
133071075,1728196,sm,Reino de Pintampil
133071614,1728203,sm,Reino de Bandim
133071922,1728207,sm,Raba
133072538,1728215,sm,Quissem
133072692,1728217,sm,Quirafo
133072769,1728218,sm,Quintungul
133073000,1728221,sm,Quinhamel
133073154,1728223,sm,Quilum
133074155,1728236,sm,Quetuba
133074463,1728240,sm,Quessasse
133074540,1728241,sm,Quessaque
133074848,1728245,sm,Queroane
133075079,1728248,sm,Queroane
133075387,1728252,sm,Querene
133076311,1728264,sm,Quenhaque
133076927,1728272,sm,Queneba
133077158,1728275,sm,Queneba
133077697,1728282,sm,Quecene
133077851,1728284,sm,Quebo
133078390,1728291,sm,Purenha
133079391,1728304,sm,Priame
133079699,1728308,sm,Prabis
133079853,1728310,sm,Port Saint John's
133080469,1728318,sm,Pontia
133080777,1728322,sm,Ponta Vicente de Mata
133081547,1728332,sm,Ponta Teixeira
133081701,1728334,sm,Ponta Sinoi
133081855,1728336,sm,Ponta Simao
133082163,1728340,sm,Ponta Romao
133082240,1728341,sm,Ponta Rocha
133083164,1728353,sm,Ponta Nova de Saja
133084088,1728365,sm,Ponta Nova
133084165,1728366,sm,Ponta Nova
133085397,1728382,sm,Ponta Joaquim Pereira
133085936,1728389,sm,Ponta Isaac
133086860,1728401,sm,Ponta Filipe
133087630,1728411,sm,Ponta Danga
133088169,1728418,sm,Ponta Conselho
133088323,1728420,sm,Ponta Camilo
133088708,1728425,sm,Ponta Boa Esperanca
133089786,1728439,sm,Ponta Augusto Hopfer
133090094,1728443,sm,Ponta Augusto Barreto
133090325,1728446,sm,Ponta Amaro
133091249,1728458,sm,Polibaque
133091634,1728463,sm,Pobreza
133092635,1728476,sm,Pirada
133093482,1728487,sm,Pichilal
133093636,1728489,sm,Piche Fulbe
133093713,1728490,sm,Pitche
133093944,1728493,sm,Piana
133094098,1728495,sm,Petora
133094483,1728500,sm,Petabe
133096254,1728523,sm,Peconha
133096331,1728524,sm,Pecomal
133096408,1728525,sm,Pechusse
133097486,1728539,sm,Pate Jau
133098025,1728546,sm,Pate Baliel
133098795,1728556,sm,Paroldade
133100412,1728577,sm,Paiai Numba
133100566,1728579,sm,Pahamo
133100874,1728583,sm,Pache
133100951,1728584,sm,Pacaque
133101336,1728589,sm,Ossor
133102568,1728605,sm,Ocozinho
133103107,1728612,sm,Nova Sintra
133103800,1728621,sm,Nhunanca
133104647,1728632,sm,Nhelem
133104955,1728636,sm,Nharsaba
133105725,1728646,sm,Nhanfa
133105802,1728647,sm,Nhane
133106264,1728653,sm,Nhambala
133106957,1728662,sm,Nhai
133107034,1728663,sm,Nhago
133107188,1728665,sm,Nhae
133107342,1728667,sm,Nhacra
133107958,1728675,sm,Nhabijao Bedinca
133108266,1728679,sm,Nemazinho
133108343,1728680,sm,Nemataba
133109036,1728689,sm,Nema
133111654,1728723,sm,Missira Balanta
133112347,1728732,sm,Missira
133112809,1728738,sm,Missira
133114118,1728755,sm,Meneque
133114195,1728756,sm,Meneque
133115427,1728772,sm,Mata
133117044,1728793,sm,Mantasegui
133117506,1728799,sm,Mansoa
133118661,1728814,sm,Mansaba
133119585,1728826,sm,Mandonhe
133119893,1728830,sm,Mancanji
133120817,1728842,sm,Mampata
133122819,1728868,sm,Madina Sori
133124051,1728884,sm,Madina Mandinga
133124128,1728885,sm,Madina Mandinga
133124821,1728894,sm,Madina Iero Balde
133124975,1728896,sm,Madina Fode
133125206,1728899,sm,Madina Dongo
133125283,1728900,sm,Madina do Boe
133125437,1728902,sm,Madina Demba Gano
133126361,1728914,sm,Madina Banjara
133127593,1728930,sm,Medina
133127824,1728933,sm,Medina
133127978,1728935,sm,Madelife
133128363,1728940,sm,Macademba
133130211,1728964,sm,Leto
133130442,1728967,sm,Lenqueto
133130596,1728969,sm,Lenqueto
133131674,1728983,sm,Lamo Coli
133131751,1728984,sm,Lamba
133132136,1728989,sm,Lala Balanta
133132290,1728991,sm,Lala
133133060,1729001,sm,Jugudul
133133676,1729009,sm,Jombocari
133133753,1729010,sm,Jolo Papel
133134446,1729019,sm,Joao Monteirozinho
133134677,1729022,sm,Jimba
133134908,1729025,sm,Jetuntum
133135370,1729031,sm,Jaucunda
133135524,1729033,sm,Jaubecuta
133135678,1729035,sm,Jatadaca
133135909,1729038,sm,Jaribe
133137295,1729056,sm,Jaljalto
133138373,1729070,sm,Jabicunda
133139066,1729079,sm,Jabada
133139913,1729090,sm,Irabato
133140144,1729093,sm,Iolabute
133140991,1729104,sm,Intacha
133141838,1729115,sm,Inorei
133142069,1729118,sm,Injassane Balanta
133142300,1729121,sm,Inhoda
133142454,1729123,sm,Inhafe
133142608,1729125,sm,Ingore
133143455,1729136,sm,Inchula
133143686,1729139,sm,Incassol
133144302,1729147,sm,Imbunga
133146920,1729181,sm,Ieiel
133147074,1729183,sm,Ida Mandinga
133147382,1729187,sm,Iastem
133147998,1729195,sm,Iama
133148306,1729199,sm,Helacunda
