id,city_id,language_key,name
133342717,1731724,mt,Tsuen Wan
133342794,1731725,mt,Yung Shue Wan
133342871,1731726,mt,Yung Shue Long
133343179,1731730,mt,Pulmun Kwu Sheung Tan
133343410,1731733,mt,Yuen Ng Fan
133343487,1731734,mt,Yuen Long San Hui
133343564,1731735,mt,Yuen Long Kau Hui
133343641,1731736,mt,Yuen Long
133344026,1731741,mt,Yue Kwong Chuen
133344257,1731744,mt,Yi Pei Chun
133344642,1731749,mt,Yin Ngam
133344873,1731752,mt,ying pan
133345258,1731757,mt,Yeung Uk Tsuen
133345489,1731760,mt,Yau Yat Chuen
133345643,1731762,mt,Yau Tong
133345720,1731763,mt,Yau Ma Tei
133345874,1731765,mt,Yau Ma Hom
133346490,1731773,mt,Wu Nga Lok Yeung
133347722,1731789,mt,Wong Tai Sin
133348415,1731798,mt,Wong Keng Tei
133349262,1731809,mt,Wong Chuk Hang San Wai
133349878,1731817,mt,Wo Hop Shek
133350032,1731819,mt,Wo Che
133350109,1731820,mt,Wing Ping Tsuen
133350186,1731821,mt,Wing Ning Wai
133351264,1731835,mt,Wang Leng Tau
133351495,1731838,mt,Wan Chai
133351880,1731843,mt,Wah Fu
133352496,1731851,mt,Tung Tau Tsuen
133352727,1731854,mt,Tung Sam Kei
133353112,1731859,mt,Tung Kok Wai
133353266,1731861,mt,Tung Chan Wai
133353420,1731863,mt,Tuen Tsz Wai
133353497,1731864,mt,Tuen Mun San Hui
133353651,1731866,mt,Tuen Mun
133353728,1731867,mt,Tsz Wan Shan
133355191,1731886,mt,Tsiu Keng Pang Uk
133355807,1731894,mt,Tsing Yi Town
133356269,1731900,mt,Tsing Chuen Wai
133356654,1731905,mt,Tseung Kwan O
133357116,1731911,mt,Tsat Sing Kong
133357655,1731918,mt,Lil Tei Wan
133358117,1731924,mt,Tong Min Tsuen
133358656,1731931,mt,To Kwa Wan
133358887,1731934,mt,Tiu Keng Leng
133359118,1731937,mt,tian wan
133359195,1731938,mt,Tin Shui Wai
133359503,1731942,mt,Tin Sam
133360119,1731950,mt,Ting Kok
133360196,1731951,mt,Ting Kau
133360735,1731958,mt,Ta Pang Po
133360812,1731959,mt,Tan Shan Tsuen
133361582,1731969,mt,Tai Wo Ping
133361813,1731972,mt,Tai Wo Hau
133361890,1731973,mt,Tai Wo
133363122,1731989,mt,Tai Tei Tong
133363507,1731994,mt,Tai Shui Hang
133364277,1732004,mt,Tai Po Kau San Wai
133364354,1732005,mt,Tai Po Kau Lo Wai
133364431,1732006,mt,Tai Po Kau
133364508,1732007,mt,Tai Po
133364970,1732013,mt,Tai Om
133365047,1732014,mt,Tai O
133365278,1732017,mt,Tai Mong Tsai
133365432,1732019,mt,Tai Mei Tuk
133366279,1732030,mt,Tai Kok Tsui
133367049,1732040,mt,Tai Hang Hau
133368204,1732055,mt,So Kwun Wat Tsuen
133368281,1732056,mt,So Kwun Wat
133368512,1732059,mt,Sok Kwu Wan
133368666,1732061,mt,Siu Lek Yuen
133369205,1732068,mt,Siu Chik Sha
133369282,1732069,mt,Siu A Chau Tsuen
133369359,1732070,mt,Sin Yan Tseng
133370206,1732081,mt,Shui Pin Wai
133370437,1732084,mt,shui wei
133370514,1732085,mt,Shui Lau Tin
133370899,1732090,mt,Shuen Wan
133370976,1732091,mt,Shouson Hill
133371669,1732100,mt,Sheung Wong Yi Au
133372593,1732112,mt,Sheung Shui
133373055,1732118,mt,Sheung Kwai Chung Wai
133374056,1732131,mt,Shek Wai Kok
133374518,1732137,mt,Shek Pik Au
133374672,1732139,mt,Shek Pai Wan Estate
133374749,1732140,mt,Shek Pai Tau
133374826,1732141,mt,Shek O
133375057,1732144,mt,Shek Lei
133375211,1732146,mt,Shek Lau Po
133375519,1732150,mt,Shek Kok Tsui
133375904,1732155,mt,Shau ​​Kei Wan
133376212,1732159,mt,sha tian
133376289,1732160,mt,Sha Tau Kok Tan Ka
133376366,1732161,mt,Sha Tau Kok
133377444,1732175,mt,Shan Liu
133377906,1732181,mt,Sham Tseng
133377983,1732182,mt,Sham Shui Po
133378137,1732184,mt,Sham Chung
133379061,1732196,mt,Sau Mau Ping
133379754,1732205,mt,San Uk Tsai
133379985,1732208,mt,San Uk
133380062,1732209,mt,San Tsuen
133380447,1732214,mt,San Tong
133380524,1732215,mt,San Tin
133380832,1732219,mt,San Tin
133381063,1732222,mt,san tou
133381448,1732227,mt,San Pulmun Tsuen
133381679,1732230,mt,San Keng
133382295,1732238,mt,Sam Long Tsuen
133382603,1732242,mt,Sam A Tsuen
133382834,1732245,mt,Sai Wan Ho
133382911,1732246,mt,Sai Wan
133383681,1732256,mt,Sai O
133383758,1732257,mt,Sai O
133383912,1732259,mt,Sai Kung Tuk
133383989,1732260,mt,Sai Kung
133384143,1732262,mt,Bajja tal-barriera
133384528,1732267,mt,Pui O
133385067,1732274,mt,Pok Fu Lam
133385298,1732277,mt,Ping Yeung
133385375,1732278,mt,ping dun
133385606,1732281,mt,ping shan
133385991,1732286,mt,Peng Chau
133386838,1732297,mt,Pak Tin
133387377,1732304,mt,Pak Shek Kok
133387993,1732312,mt,Pak Sha O Ha Yeung
133388378,1732317,mt,Pak Mong
133389610,1732333,mt,pai chang
133389995,1732338,mt,Nim Yuen
133390765,1732348,mt,Ngong Ping
133390919,1732350,mt,Nga Yiu Tau
133391227,1732354,mt,Ngau Wu Tok
133391304,1732355,mt,Ngau Tau Kok
133391843,1732362,mt,Ngau Liu
133391920,1732363,mt,Ngau Liu
133392998,1732377,mt,San Tung Chung Hang
133393075,1732378,mt,New Kowloon
133393614,1732385,mt,Nam Shan Mei
133393999,1732390,mt,Nam On Fong
133394230,1732393,mt,Nam Hang Tsuen
133395231,1732406,mt,Nai Chung
133395693,1732412,mt,Muk Kiu Tau
133395770,1732413,mt,Mui Wo Kau Tsuen
133395847,1732414,mt,Mui Tsz Lam
