id,city_id,language_key,name
136061818,1767037,mt,Zubogy
136061972,1767039,mt,Zsurk
136062049,1767040,mt,Zsujta
136062126,1767041,mt,East Norriton
136063281,1767056,mt,Zsarolyan
136063512,1767059,mt,Zsaka
136063666,1767061,mt,Zsadany
136064436,1767071,mt,Ziliz
136064513,1767072,mt,Zemplenagard
136064744,1767075,mt,Zarank
136064898,1767077,mt,Zalkod
136064975,1767078,mt,Zajta
136065129,1767080,mt,Zahony
136065283,1767082,mt,Zagyvarekas
136065668,1767087,mt,Zadorfalva
136065976,1767091,mt,Zabar
136067208,1767107,mt,Vizsoly
136068594,1767125,mt,Visznek
136068671,1767126,mt,Viszlo
136068748,1767127,mt,Vysotsk
136068825,1767128,mt,Visonta
136069441,1767136,mt,Vilyvitany
136069826,1767141,mt,`Ilman
136070904,1767155,mt,Vezseny
136071212,1767159,mt,Veszto
136071366,1767161,mt,Verpelet
136072983,1767182,mt,Vekerd
136073291,1767186,mt,Vegegyhaza
136073753,1767192,mt,Vecs
136073984,1767195,mt,Watthana
136074369,1767200,mt,Vasmegyer
136074908,1767207,mt,Vasarosnameny
136076140,1767223,mt,Vargahaz
136076217,1767224,mt,Vardomb
136076294,1767225,mt,Varboc
136076371,1767226,mt,Varbo
136076448,1767227,mt,Varaszo
136076756,1767231,mt,Vancsod
136076833,1767232,mt,Vamosujfalu
136076910,1767233,mt,Vamospercs
136076987,1767234,mt,Vamosoroszi
136077064,1767235,mt,Vamosatya
136077295,1767238,mt,Vallaj
136077834,1767245,mt,Vajdacska
136077911,1767246,mt,Vaja
136078142,1767249,mt,Vagashuta
136078296,1767251,mt,Vadna
136078835,1767258,mt,Tiushka
136079451,1767266,mt,Uozu
136079528,1767267,mt,Uppony
136079913,1767272,mt,Ujtikos
136081915,1767298,mt,Ujszentmargita
136081992,1767299,mt,Ujszentivan
136082069,1767300,mt,Ujszasz
136082223,1767302,mt,Ujszalonta
136082531,1767306,mt,Ujlorincfalva
136082685,1767308,mt,Ujleta
136082839,1767310,mt,Ujkigyos
136083070,1767313,mt,Ujkenez
136083147,1767314,mt,Ujiraz
136083378,1767317,mt,Ujfeherto
136083609,1767320,mt,Ujdombrad
136083686,1767321,mt,Ujcsanalos
136084148,1767327,mt,Tyukod
136084225,1767328,mt,Tuzser
136084456,1767331,mt,Turricse
136084687,1767334,mt,Turkeve
136084764,1767335,mt,Turistvandi
136084995,1767338,mt,Tunyogmatolcs
136085380,1767343,mt,Trizs
136085688,1767347,mt,Totujfalu
136085765,1767348,mt,Totkomlos
136086612,1767359,mt,Toszeg
136086843,1767362,mt,Torokszentmiklos
136087074,1767365,mt,Tornyospalca
136087151,1767366,mt,Tornyosnemeti
136087228,1767367,mt,Tornaszentjakab
136087305,1767368,mt,Tornaszentandras
136087382,1767369,mt,Tornanadaska
136087536,1767371,mt,Tornakapolna
136087613,1767372,mt,Tornabarakony
136088229,1767380,mt,Tomorkeny
136088306,1767381,mt,Tomor
136088460,1767383,mt,Tomajmonostora
136088768,1767387,mt,Todd
136088845,1767388,mt,Tolcsva
136089307,1767394,mt,Tokaj
136089615,1767398,mt,Tofalu
136089846,1767401,mt,Tivadar
136090000,1767403,mt,Tisztaberek
136090154,1767405,mt,Tiszavid
136090231,1767406,mt,Tiszavasvari
136090308,1767407,mt,Tiszavarkony
136090385,1767408,mt,Tiszavalk
136090462,1767409,mt,Tiszaujvaros
136090539,1767410,mt,Tiszaug
136090616,1767411,mt,Tiszatenyo
136090693,1767412,mt,Tiszatelek
136090770,1767413,mt,Tiszatarjan
136090847,1767414,mt,Tiszatardos
136090924,1767415,mt,Tiszasziget
136091001,1767416,mt,Tiszaszentmarton
136091078,1767417,mt,Tiszaszentimre
136091232,1767419,mt,Tiszaszalka
136091309,1767420,mt,Tiszasuly
136091386,1767421,mt,Tiszasas
136091463,1767422,mt,Tiszaroff
136091617,1767424,mt,Tiszarad
136091694,1767425,mt,Tiszapuspoki
136091925,1767428,mt,Tiszapalkonya
136092079,1767430,mt,Tiszaors
136092156,1767431,mt,Tiszananai Tanyak
136092233,1767432,mt,Tiszanana
