id,city_id,language_key,name
154654749,2008504,et,Aengtelor
154655981,2008520,et,Bonak
154657290,2008537,et,Tethun
154657906,2008545,et,Ekateta
154658445,2008552,et,Oeltulu
154660139,2008574,et,Koa
154660832,2008583,et,Kusbese
154660909,2008584,et,Nunu
154662064,2008599,et,Takari
154662526,2008605,et,Tubunain
154663527,2008618,et,Palampal
154663604,2008619,et,Timursabah
154663758,2008621,et,Salegading
154663835,2008622,et,Naikan
154663989,2008624,et,Bukabu
154664066,2008625,et,Campor
154664374,2008629,et,Daleman
154666222,2008653,et,Ares Tengah
154666530,2008657,et,Bata Tengah
154666761,2008660,et,Gunong
154666838,2008661,et,Keles Timur
154666992,2008663,et,Dajalorong
154667223,2008666,et,Bun Barat
154667454,2008669,et,Burneh
154667916,2008675,et,Tajan
154668147,2008678,et,Kaceng
154668455,2008682,et,Tengah
154668609,2008684,et,Laok
154668686,2008685,et,Daja
154669148,2008691,et,Betangan
154669687,2008698,et,Daja
154670380,2008707,et,Banasare Barat
154670611,2008710,et,Banakaja
154670919,2008714,et,Karang
154671381,2008720,et,Korbak
154671766,2008725,et,Gununglajang
154671997,2008728,et,Kleker
154672151,2008730,et,Cetok
154672536,2008735,et,Keleleng
154672767,2008738,et,Kombang
154673075,2008742,et,Karangpocok
154673306,2008745,et,Jungjungan
154673691,2008750,et,Cangkreng
154673768,2008751,et,Oro
154674615,2008762,et,Bungereng
154675462,2008773,et,Giring Barat
154675616,2008775,et,Ganjur
154675693,2008776,et,Lalangon
154675924,2008779,et,Senmasen
154677387,2008798,et,Tubuhue
154677618,2008801,et,Tualubu
154678003,2008806,et,Kuatnana
154679081,2008820,et,Hane
154679928,2008831,et,Kampungtengah
154680236,2008835,et,Taekas
154680852,2008843,et,Oehumusu
154682084,2008859,et,Kafterud
154683008,2008871,et,Tubunaen
154683239,2008874,et,Oebai
154685010,2008897,et,Noesoe
154685395,2008902,et,Neonmat
154686781,2008920,et,Oetune
154687012,2008923,et,Oemanu
154687397,2008928,et,Tuaneten
154688475,2008942,et,Kobebesah
154688629,2008944,et,Seohau
154688706,2008945,et,Mnelalete
154689091,2008950,et,Pusu
154690400,2008967,et,Tuanalepe
154691170,2008977,et,Oece
154691324,2008979,et,Naensaet
154693326,2009005,et,Siso
154696021,2009040,et,Nunbaki
154696406,2009045,et,Nefome
154696560,2009047,et,Neofbaun
154697715,2009062,et,Nefonaek
154698408,2009071,et,Oenunu
154698639,2009074,et,Oekamusa
154699178,2009081,et,Numeto
154699640,2009087,et,Sakteo
154700025,2009092,et,Nifuboko
154700333,2009096,et,Kampungbaru
154700410,2009097,et,Rote
154700564,2009099,et,Oeana
154701950,2009117,et,Oeklopo
154702027,2009118,et,Nonohonis
154702104,2009119,et,Oefau
154702566,2009125,et,Kotabaru
154702643,2009126,et,Taubneno
154702720,2009127,et,Oekefan
154702797,2009128,et,Nunumeu Timur
154703567,2009138,et,Oepuah
154706108,2009171,et,Polo Satu
154706724,2009179,et,Kusi
154706955,2009182,et,Minowa
154707417,2009188,et,Oepula
154708341,2009200,et,Oebesa
154708572,2009203,et,Talondang
154708649,2009204,et,Bulubarat
154708803,2009206,et,Perreng
154709111,2009210,et,Gunungpapan
154709419,2009214,et,Gunung Timur
154710728,2009231,et,Pandaringan Barat
154710882,2009233,et,Canggetelo
154711498,2009241,et,Panjeran
154711729,2009244,et,Jurak Lao'
154711960,2009247,et,Jurgang Timur
154713038,2009261,et,Marang
154713115,2009262,et,Teramu
154713962,2009273,et,Kayukembang
154714655,2009282,et,Noom Timur
154714963,2009286,et,Sumurmesse
154715425,2009292,et,Togu
154715964,2009299,et,Pangtinggi
154716349,2009304,et,Jandir
154716888,2009311,et,Ares Tengah
154717119,2009314,et,Mandala
154718505,2009332,et,Dikkodik
154718582,2009333,et,Pangabasen
154719352,2009343,et,Batujaran
154719660,2009347,et,Dajalorong
154719737,2009348,et,Kramat
154719814,2009349,et,Ahadan
154719891,2009350,et,Panggung
154719968,2009351,et,Raas
154720122,2009353,et,Banjeru
154722201,2009380,et,Neto
154722663,2009386,et,Oefatu
154724434,2009409,et,Melahue
154725743,2009426,et,Hoi
154726051,2009430,et,Naukae
154726590,2009437,et,Tetaf
154727360,2009447,et,Supul
154727745,2009452,et,Noebesa
154728284,2009459,et,Tumu
154728900,2009467,et,Nobinobi
154729131,2009470,et,Fatuelolo
154729747,2009478,et,Luu
154731364,2009499,et,Noefau
154731441,2009500,et,Sopo
154731672,2009503,et,Neosob
154733058,2009521,et,Oemollo
154733289,2009524,et,Talmanu
154733828,2009531,et,Ajaobaki
154734059,2009534,et,Tunbesi
154734675,2009542,et,Tutem
154735137,2009548,et,Besnakeh
154735907,2009558,et,Obesi
154736677,2009568,et,Lalin
154737293,2009576,et,Beskolen
154737832,2009583,et,Tobu
154738140,2009587,et,Bosen
154739603,2009606,et,Bestamuti
154742452,2009643,et,Bijeli
154743222,2009653,et,Laob
154744839,2009674,et,Bijeli
154746610,2009697,et,Toifae
154748227,2009718,et,Oeoh
154748304,2009719,et,Nifunaibesi
154748843,2009726,et,Polen
154749074,2009729,et,Nelabesa
154749921,2009740,et,Kolo
154750537,2009748,et,Oemeu Dua
154752077,2009768,et,Oelet
154753925,2009792,et,Biito
154756158,2009821,et,Kuaeno
154756851,2009830,et,Oetua
154757236,2009835,et,Oeekam
154757775,2009842,et,Pisan
154758930,2009857,et,Oesapi
154759238,2009861,et,Partikan
154759546,2009865,et,Jerukporot
154759777,2009868,et,Sekolan
154760239,2009874,et,Kalerker
154760701,2009880,et,Samburat
154760855,2009882,et,Tekay
154761240,2009887,et,Karangkeng
154761933,2009896,et,Ares Tengah
154762010,2009897,et,Pandian
154762318,2009901,et,Bungin-Bungin
154762549,2009904,et,Tengah
154763319,2009914,et,Ares Tengah
154763473,2009916,et,Dungkek Laok
154763627,2009918,et,Budagan
154763935,2009922,et,Daja Lorong
154764320,2009927,et,Ginyang
154764705,2009932,et,Somorpenang
154764859,2009934,et,Patandun
154765783,2009946,et,Poja
154766168,2009951,et,Ngabungan
154766245,2009952,et,Jenang
154766476,2009955,et,Ares Tengah
154767015,2009962,et,Jurangara
154767246,2009965,et,Petong
154767708,2009971,et,Polay
154768940,2009987,et,Muesanaik
154769248,2009991,et,Saenam
154769941,2010000,et,Oesena
154770018,2010001,et,Oenaek
154770172,2010003,et,Fatufaun
154770403,2010006,et,Eban
154770480,2010007,et,Seoam
154770942,2010013,et,Suanae
154771789,2010024,et,Oenaik
154772328,2010031,et,Binab
154772944,2010039,et,Oenam
154773329,2010044,et,Fatubijael
154774561,2010060,et,Nunsena
154775100,2010067,et,Bijaepasu
154775485,2010072,et,Metkono
154776332,2010083,et,Oebaki
154777333,2010096,et,Kampungtengah
154778026,2010105,et,Fatumuti
154778180,2010107,et,Pakaebena
154778950,2010117,et,Kiuola
154779258,2010121,et,Bijeli
154781029,2010144,et,Galtek
154782415,2010162,et,Talaga
154783339,2010174,et,Taen Tengah
154783493,2010176,et,Saekuku
154784109,2010184,et,Kasmabaki
154785110,2010197,et,Kaem
154785803,2010206,et,Letkole
154787035,2010222,et,Taimaman
154789114,2010249,et,Meobesi
154789422,2010253,et,Bitobe
154790577,2010268,et,Sahan
154790885,2010272,et,Fatupael
154791039,2010274,et,Leloboko
154791347,2010278,et,Oelbanu
154791578,2010281,et,Anoek
154791963,2010286,et,Fatumetan
154794196,2010315,et,Oepula
154794812,2010323,et,Hueknutu
154795428,2010331,et,Binafun
154796814,2010349,et,Oenenas
154797815,2010362,et,Huelkail
154798200,2010367,et,Talaga
154798662,2010373,et,Nonggunong
154798893,2010376,et,Tanamera
154799355,2010382,et,Daleman
154799586,2010385,et,Pocok
154799817,2010388,et,Kemuning
154801742,2010413,et,Klebu
154801896,2010415,et,Guder Lao
154801973,2010416,et,Kengkang
154802127,2010418,et,Koatas Lao
154802512,2010423,et,Prengbatu
154802743,2010426,et,Jambuir Timur
154803051,2010430,et,Rokoro
154804052,2010443,et,Fatumnasi
154805207,2010458,et,Nifu
154805746,2010465,et,Oehala
154806208,2010471,et,Leloboko
154806516,2010475,et,Liliana
154808210,2010497,et,Nefokoko
154808441,2010500,et,Bona
154808672,2010503,et,Huineno
154809211,2010510,et,Pabungkon Daja
154810058,2010521,et,Nunsena
154810674,2010529,et,Nenas
154810905,2010532,et,Nepo
154811367,2010538,et,Alasmalang
154812214,2010549,et,Timurembung
154812368,2010551,et,Poteran
154812599,2010554,et,Karangnangka
154812830,2010557,et,Kiukasen
154814216,2010575,et,Kairane
154814755,2010582,et,Tapen
154814986,2010585,et,Fatukanutu
154815679,2010594,et,Oekanoa
154816064,2010599,et,Tanbira
154817296,2010615,et,Buka
154817450,2010617,et,Fuskou
154818066,2010625,et,Hauhena
154818759,2010634,et,Boitimu
154819914,2010649,et,Oekero
154821300,2010667,et,Mandar
154821993,2010676,et,Timurlorong
154822070,2010677,et,Tampakdandang
154822378,2010681,et,Gerelayang
154822609,2010684,et,Sumbernangka Tengah
154822686,2010685,et,Bara
154822763,2010686,et,Temor
154822917,2010688,et,Parse
154823148,2010691,et,Duko Tengah
154823456,2010695,et,Utarapasar
154823918,2010701,et,Kettep
154824303,2010706,et,Karpate
154824534,2010709,et,Anyar
154824611,2010710,et,Nyangkleng
154825381,2010720,et,Pasarbaru
154825766,2010725,et,Beting
154826459,2010734,et,Pasar
154827152,2010743,et,Wakaf
154827460,2010747,et,Bantilan
154827845,2010752,et,Batuputih Atas
154827999,2010754,et,Oehaunu
154829616,2010775,et,Oetaman
154830155,2010782,et,Polo
154830309,2010784,et,Luluf
154830540,2010787,et,Panite
154831464,2010799,et,Toifeu
154831618,2010801,et,Aeka
154832080,2010807,et,Bikoen
154832619,2010814,et,Tuinana
154833620,2010827,et,Tabu
154833774,2010829,et,Naip
154833928,2010831,et,Nunmanu
154834544,2010839,et,Oenoah
154834775,2010842,et,Suman
154836238,2010861,et,Kafterud
154838163,2010886,et,Kotai
154839472,2010903,et,Tutnae
154840781,2010920,et,Fauthanin
154842398,2010941,et,Kuanfatu
154843245,2010952,et,Lani
154843630,2010957,et,Kakan
154844323,2010966,et,Kusi
154844708,2010971,et,Onaklete
154845093,2010976,et,Oni
154845709,2010984,et,Niupmetan
154845786,2010985,et,Sbake
154846710,2010997,et,Tumu
154847942,2011013,et,Belua
