id,city_id,language_key,name
174517192,2266458,ar,رَمَپُر
174517423,2266461,ar,پُروَ سهُِدَت
174517500,2266462,ar,گَنجَ
174517577,2266463,ar,مالكبور
174517654,2266464,ar,پُروَ دِڤدَت
174517731,2266465,ar,كَزِپُر
174518193,2266471,ar,محمودبور
174518424,2266474,ar,سهُِدَسپُر
174518501,2266475,ar,نَكتِپُر
174518732,2266478,ar,دهَرمدَسپُر
174518809,2266479,ar,پُروَ بهَگتِن
174518886,2266480,ar,بانجاون
174519194,2266484,ar,بِرَُلِ
174519502,2266488,ar,خانبور
174520195,2266497,ar,گَنجَ
174520426,2266500,ar,َبَنپُر
174520503,2266501,ar,پُروَ رَمدَيَل
174520580,2266502,ar,پُروَ گُسهَِن
174521350,2266512,ar,نَندَپُر
174521427,2266513,ar,دهَرَمپُر سََدَت
174521812,2266518,ar,كِسهُندَسپُر
174521966,2266520,ar,فاتح بور
174522120,2266522,ar,َكهَرِ پُروَ
174522197,2266523,ar,باراسبور
174522351,2266525,ar,پُروَ ُُدهبِهَرِ
174522428,2266526,ar,ساريثي
174522505,2266527,ar,پُروَ نَگِسَر
174522582,2266528,ar,پُروَ سهُِنَرَيَن
174522736,2266530,ar,بوروا ميارام
174522890,2266532,ar,بهادوخار
174523121,2266535,ar,ميرزابور
174523198,2266536,ar,إيتورا
174523275,2266537,ar,بينيبور
174523429,2266539,ar,كهِرَِندهَپُر
174523506,2266540,ar,پُروَ رَمَُتَر
174523660,2266542,ar,پُروَ تِكَِت
174523737,2266543,ar,سوخابور
174523891,2266545,ar,داديرا
174523968,2266546,ar,پُروَ پَتَك
174524276,2266550,ar,َلَوَلپُر
174524353,2266551,ar,يَدگَرپُر
174524661,2266555,ar,رَمپُر سَردهَ
174524892,2266558,ar,دُگَُلِ
174525046,2266560,ar,مِترسِنپُر
174525200,2266562,ar,پُروَ بِسهُنَته
174525431,2266565,ar,بَهُرَنپُر
174525508,2266566,ar,بَِسِنگه
174525585,2266567,ar,كهَك بَِسِنگه
174525816,2266570,ar,ناراوان
174525970,2266572,ar,نارايان بور
174526201,2266575,ar,سَرَِ كهَِمَل
174526278,2266576,ar,مُهتسهَمپُر
174526355,2266577,ar,سانثيبور
174526663,2266581,ar,پُروَ مَنُ
174526740,2266582,ar,كَرمَن
174526894,2266584,ar,پُروَ گُبِند
174526971,2266585,ar,سُرجِبِروَ
174527048,2266586,ar,مودرا
174527125,2266587,ar,بهَوَنِپُر
174527279,2266589,ar,سارج بور
174527356,2266590,ar,پُركهِپُر
174527510,2266592,ar,پُروَ دَيَل
174527587,2266593,ar,گَنگَُلِ
174527664,2266594,ar,ماهيشبور
174527895,2266597,ar,بوروا لالا
174528588,2266606,ar,پُروَ پَهَلوَن
174528742,2266608,ar,سَمَهَ كَلَ
174528896,2266610,ar,پُروَ ِسرِ
174529204,2266614,ar,سانيثو
174529743,2266621,ar,پَرَ كهَن
174529820,2266622,ar,شاتيا
174530282,2266628,ar,گَنجرِ
174530667,2266633,ar,بنكاتوا
174531206,2266640,ar,دِوَ پَتتِ
174531360,2266642,ar,كهَكَِوَ
174531591,2266645,ar,ساكاتبور
174531668,2266646,ar,ڤِديَپُر
174531745,2266647,ar,ماتيا
174531822,2266648,ar,غاياسبور
174531899,2266649,ar,َنجَنَ
174531976,2266650,ar,هَردَسپُر
174532053,2266651,ar,شيربور
174532438,2266656,ar,بوروا بينيمادو
174532515,2266657,ar,پُروَ رَمدِن سِنگه
174532746,2266660,ar,پُروَ دُرگَ
174532900,2266662,ar,پُروَ كَسِهِ
174533362,2266668,ar,نَتهَنپُر
174534286,2266680,ar,بهَوَنِپُر
174534594,2266684,ar,مَهرَِ
174534748,2266686,ar,پُروَ بُدهِ
174534979,2266689,ar,پُروَ ُپَدهَِ
