id,city_id,language_key,name
191361179,2485211,ca,Kalyanpur
191361256,2485212,ca,Raghunathpur
191361410,2485214,ca,Maidi Kalan
191361564,2485216,ca,Maidi Khurd
191361641,2485217,ca,Sohjana
191361795,2485219,ca,Pilkhi
191362026,2485222,ca,Gauspur
191362257,2485225,ca,Mahmuda
191362488,2485228,ca,Molna Chak
191362565,2485229,ca,Rupaspur
191362719,2485231,ca,Kapasia
191362796,2485232,ca,Sunri
191362873,2485233,ca,Banauli
191362950,2485234,ca,Kharij Jama
191363027,2485235,ca,Mian Bigha
191363181,2485237,ca,Andwas
191363258,2485238,ca,Karmu Bigha
191363335,2485239,ca,Molnadih
191363412,2485240,ca,Chhabilapur
191363489,2485241,ca,Lodipur
191363720,2485244,ca,Madhukar Chak
191363797,2485245,ca,Beldar Bigha
191363874,2485246,ca,Chainpur
191363951,2485247,ca,Malisanr
191364028,2485248,ca,Katalpura
191364105,2485249,ca,Dogi
191364182,2485250,ca,Rohua
191364259,2485251,ca,Nemthu
191364336,2485252,ca,Ammakuan
191364413,2485253,ca,Ratana
191364644,2485256,ca,Arhanpura
191364875,2485259,ca,Jethauna
191364952,2485260,ca,Tilari
191365029,2485261,ca,Kasi Bigha
191365183,2485263,ca,Chausandi
191365260,2485264,ca,Habi Chak
191365337,2485265,ca,Singhaul
191365414,2485266,ca,Bahuara
191365568,2485268,ca,Baraini
191365645,2485269,ca,Nekpur
191365722,2485270,ca,Katari
191365799,2485271,ca,Thera
191365876,2485272,ca,Mora
191365953,2485273,ca,Nima
191366030,2485274,ca,Mahuwala
191366107,2485275,ca,Muzaffarpur
191366184,2485276,ca,Jati Bhagwanpur
191366261,2485277,ca,Fatehpur
191366415,2485279,ca,Pilkhi
191366646,2485282,ca,Udaipur
191367108,2485288,ca,Basuain
191367185,2485289,ca,Nonhi
191367493,2485293,ca,Raja Bigha
191367570,2485294,ca,Chandaura
191367724,2485296,ca,Majaitha
191367801,2485297,ca,Satokhri
191368109,2485301,ca,Nansu Bigha
191368186,2485302,ca,Miar
191368263,2485303,ca,Kishunai Bigha
191368340,2485304,ca,Birju Bigha
191368417,2485305,ca,Gobdiha
191368648,2485308,ca,Barhauna
191368725,2485309,ca,Kharij Jama
191368802,2485310,ca,Barnausa
191368879,2485311,ca,Bahera
191369033,2485313,ca,Dilu Bigha
191369110,2485314,ca,Doda Chak
191369264,2485316,ca,Eksari
191369572,2485320,ca,Halim Chak
191369803,2485323,ca,Bhui
191369880,2485324,ca,Kurthaul
191369957,2485325,ca,Sikandra
191370034,2485326,ca,Gorawan
191370188,2485328,ca,Bisu Bigha
191370419,2485331,ca,Janaro
191370496,2485332,ca,Kandwa Bigha
191370573,2485333,ca,Bichhakol
191370804,2485336,ca,Dumari
191370881,2485337,ca,Muzaffarpur
191370958,2485338,ca,Daudpur
191371035,2485339,ca,Mobarakpur
191371112,2485340,ca,Dharhara
191371189,2485341,ca,Daya Bigha
191371343,2485343,ca,Maijra
191371497,2485345,ca,Daha Ghat
191371805,2485349,ca,Chhakauri Bigha
191371882,2485350,ca,Ramganj
191372036,2485352,ca,Bhagwanpur
191372113,2485353,ca,Balchand Bigha
191372267,2485355,ca,Qutlupur
191372344,2485356,ca,Bara
191372421,2485357,ca,Karjara
191372575,2485359,ca,Umrao Bigha
191372729,2485361,ca,Saure
191372806,2485362,ca,Benia Bigha
191372883,2485363,ca,Padum Bigha
191372960,2485364,ca,Nohsa
191373037,2485365,ca,Bakatmal Bigha
191373114,2485366,ca,Radha Bigha
191373191,2485367,ca,Inayatpur
191373268,2485368,ca,Sidhi Bigha
