id,city_id,language_key,name
188480462,2447799,en,Kelanganahalli
188480539,2447800,en,Timmalapuram
188480616,2447801,en,Nagalapuram
188480693,2447802,en,Lingadahalu
188480770,2447803,en,Uddihalu
188480847,2447804,en,Bommanahalu
188480924,2447805,en,Upparahalu
188481001,2447806,en,Ambapuram
188481078,2447807,en,Ganigera
188481155,2447808,en,Jakkalavadki
188481309,2447810,en,Nallampalle
188481463,2447812,en,Hulikere
188481540,2447813,en,Kanakuppe
188481617,2447814,en,Ajjanahalli
188481694,2447815,en,Chennaganahalli
188481771,2447816,en,Chitranaikanahalli
188481848,2447817,en,Mallasamudra
188481925,2447818,en,Devarahalli
188482079,2447820,en,Basapura
188482233,2447822,en,Tallakere
188482310,2447823,en,Konapuram
188482387,2447824,en,Rangasamudram
188482618,2447827,en,Adaguppa
188482695,2447828,en,Karisurayyadoddi
188483003,2447832,en,Udegolam
188483080,2447833,en,Virapuram
188483157,2447834,en,Pulukunta
188483234,2447835,en,Gonabhavi
188483311,2447836,en,Gummaghatta
188483388,2447837,en,Gundiganahalli
188483465,2447838,en,Vepalaparti
188483619,2447840,en,Kappatalinganahalli
188483696,2447841,en,Gollahatti
188483850,2447843,en,Eradukera
188483927,2447844,en,Govindayyadoddi
188484004,2447845,en,Chalimenahalli
188484081,2447846,en,Ajjayyadoddi
188484158,2447847,en,Kalugodu
188484389,2447850,en,Rangachedu
188484543,2447852,en,Belodu
188484620,2447853,en,Netrahalli
188484697,2447854,en,Baginayakanahalli
188484774,2447855,en,Rayampalle
188484928,2447857,en,Vadrahonnuru
188485005,2447858,en,Kontanahalli
188485082,2447859,en,Gopalapuram
188485236,2447861,en,Avuladatla
188485313,2447862,en,Marempalle
188485390,2447863,en,Devareddipalle
188485467,2447864,en,Rekulakunta
188485621,2447866,en,Bhupasamudram
188485698,2447867,en,Kannepalle
188485775,2447868,en,Errampalle
188485929,2447870,en,Gudipalle
188486006,2447871,en,Muddalapuram
188486083,2447872,en,Bhairasamudrum
188486160,2447873,en,Nagireddipalle
188486237,2447874,en,Errakondapuram
188486314,2447875,en,Brahmasamudram
188486391,2447876,en,Nanjapuram
188486468,2447877,en,Mamaduru
188486699,2447880,en,Vaderahalli
188486776,2447881,en,Bomberahalli
188486853,2447882,en,Nallurahalli
188487161,2447886,en,Visweswarapura
188487238,2447887,en,Purlehalli
188487315,2447888,en,Suranahalli
188487469,2447890,en,Allapura
188487546,2447891,en,Chenamanagatihalli
188487623,2447892,en,Janjargunte
188487700,2447893,en,Chattekamba
188487854,2447895,en,Haravigondanahalli
188487931,2447896,en,Halgondanahalli
188488008,2447897,en,Nagondanahalli
188488085,2447898,en,Kyatagondanahalli
188488162,2447899,en,Modur
188488239,2447900,en,Kamasamudra
188488316,2447901,en,Gudehalli
188488393,2447902,en,Mailanahalli
188488470,2447903,en,Kasavigondanahalli
188488547,2447904,en,Budihalli
188488624,2447905,en,Renukapura
188488701,2447906,en,Bhoganahalli
