id,city_id,language_key,name
189905120,2466301,fi,Paharpur
189905197,2466302,fi,Nagla Tula
189905274,2466303,fi,Niwari Kalan
189905351,2466304,fi,Tarwa Ismailpur
189905659,2466308,fi,Sitaura
189905813,2466310,fi,Shekhpur Radharsingh
189906121,2466314,fi,Indarpur
189906352,2466317,fi,Niwari Khurd
189906429,2466318,fi,Indraokhi
189906583,2466320,fi,Sabalpur
189906660,2466321,fi,Hasanpur Ahiran
189906737,2466322,fi,Jagmohanpur
189906814,2466323,fi,Rahmanpur
189906968,2466325,fi,Aheripur
189907122,2466327,fi,Birpur Salempur
189907276,2466329,fi,Darbatpur
189907430,2466331,fi,Rampur Khuapur
189907661,2466334,fi,Chakarpur
189907738,2466335,fi,Balampur
189907892,2466337,fi,Rahatpur
189908354,2466343,fi,Chandupur
189908585,2466346,fi,Jagarnathpur
189908662,2466347,fi,Bhadsan
189908739,2466348,fi,Barwai
189908816,2466349,fi,Sanphar
189908893,2466350,fi,Sheopur
189909047,2466352,fi,Sahabpur Baindi
189909355,2466356,fi,Darbaspur
189909432,2466357,fi,Hazratpur
189909586,2466359,fi,Muhari
189909817,2466362,fi,Rasulpur Sujan Singh
189910279,2466368,fi,Chatkapur
189910510,2466371,fi,Gianpur Partab Singh
189910587,2466372,fi,Shahbazpur
189910741,2466374,fi,Amauta
189910818,2466375,fi,Sarai Imilia
189910895,2466376,fi,Malgawan
189911049,2466378,fi,Niamatpur
189911126,2466379,fi,Jajpur
189911203,2466380,fi,Gopalpur
189911357,2466382,fi,Shahpur
189911434,2466383,fi,Rajpur
189911511,2466384,fi,Gohani Khurd
189911588,2466385,fi,Harauli Bahdurpur
189911665,2466386,fi,Ramnagar
189911896,2466389,fi,Kaithuli
189912127,2466392,fi,Ikbalpur
189912204,2466393,fi,Mirpur Pitam Singh
189912512,2466397,fi,Chandnapur Dayal Singh
189912589,2466398,fi,Muradganj
189913205,2466406,fi,Jalupur
189913359,2466408,fi,Turkpur Bhagwan Das
189913436,2466409,fi,Purwa Dori
189913590,2466411,fi,Chapta
189913667,2466412,fi,Alipur
189913898,2466415,fi,Tidwa Biku
189914129,2466418,fi,Haidarpur
189914206,2466419,fi,Bilawan
189914514,2466423,fi,Bahadurpur Uncha
189914591,2466424,fi,Surjanpur
189914668,2466425,fi,Birhuni
189914899,2466428,fi,Muazzampur
189915053,2466430,fi,Bewra Nawalpur
189915207,2466432,fi,Chandpur
189915284,2466433,fi,Halipur
189915438,2466435,fi,Atsu
189915592,2466437,fi,Bisalpur
189915823,2466440,fi,Bighapur
189915900,2466441,fi,Rasulpur Kalan
189916054,2466443,fi,Ballapur
189916131,2466444,fi,Ajuapur
189916285,2466446,fi,Ratanpur Gadhia
189916439,2466448,fi,Rurua Auraiya
189916593,2466450,fi,Mudena Ramdutt
189916670,2466451,fi,Phutatal
189916747,2466452,fi,Puranpur
189916824,2466453,fi,Baghua
189916901,2466454,fi,Bhainsaul
189916978,2466455,fi,Nalhpur
189917055,2466456,fi,Ghangarpur
189917132,2466457,fi,Chandpura
189917209,2466458,fi,Rampur Bais
189917286,2466459,fi,Nagla Andhiari
189917363,2466460,fi,Manakpur
189917517,2466462,fi,Gansipur
189917671,2466464,fi,Misripur
189917825,2466466,fi,Mohmadabad
189918056,2466469,fi,Tehrajpur
189918133,2466470,fi,Purwa Khuman
189918287,2466472,fi,Ladhaura
189918441,2466474,fi,Chhachhund
189918518,2466475,fi,Gapkapur
189918826,2466479,fi,Nagaria
189918903,2466480,fi,Turkpur
189918980,2466481,fi,Lalpur
189919057,2466482,fi,Ghasara
189919134,2466483,fi,Subhanpur
189919904,2466493,fi,Baundepur
189919981,2466494,fi,Gunauli
189920058,2466495,fi,Mahrajpur Phaphund
189920135,2466496,fi,Bansi
189920212,2466497,fi,Salempur
189920289,2466498,fi,Bajhera
189920366,2466499,fi,Birpur
189920520,2466501,fi,Dasehra
189920597,2466502,fi,Amala
189920674,2466503,fi,Purwa Faqir
189920751,2466504,fi,Sainpur
189920828,2466505,fi,Rampur Kunwar
189920905,2466506,fi,Chandraua Phaphund
189920982,2466507,fi,Purwa Asa
189921059,2466508,fi,Mirgawan
189921136,2466509,fi,Kasimnagar
189921213,2466510,fi,Palhari
189921290,2466511,fi,Nagla Bhadauria
189921367,2466512,fi,Bhurepur
189921444,2466513,fi,Salhapur
189921598,2466515,fi,Fatehpur Laknmi
189921675,2466516,fi,Purwa Arusi
189922060,2466521,fi,Fatehpur Baini
189922137,2466522,fi,Tikampur
189922214,2466523,fi,Makhanpur
189922291,2466524,fi,Adhasi
189922368,2466525,fi,Jua
189922522,2466527,fi,Sadullapur
189922676,2466529,fi,Bharrapur
189922830,2466531,fi,Taharpur
189922907,2466532,fi,Dharampur
189922984,2466533,fi,Sundaria Alampur
189923061,2466534,fi,Hajipura
189923215,2466536,fi,Gadanpur
189923446,2466539,fi,Singlamau
189923600,2466541,fi,Kazipur
189923677,2466542,fi,Nagla Pathak
189923754,2466543,fi,Akbarpur Danda
189923831,2466544,fi,Uncha
189924293,2466550,fi,Khoela
189924447,2466552,fi,Jagiwanpur
189924755,2466556,fi,Tilakpur
189924832,2466557,fi,Udampur
189924986,2466559,fi,Sikhola
189925063,2466560,fi,Dewarpur
189925294,2466563,fi,Bakarpur
189925371,2466564,fi,Bakharia
189925525,2466566,fi,Sainpur
189925602,2466567,fi,Kabirpur
189925679,2466568,fi,Talaipur
189925756,2466569,fi,Malakpur
189925987,2466572,fi,Nasirabad
189926218,2466575,fi,Baraua
189926603,2466580,fi,Gopalpur
189926680,2466581,fi,Ranipur
189926988,2466585,fi,Binarpur
189927296,2466589,fi,Badhua
189927373,2466590,fi,Bhaupur Phaphund
189927527,2466592,fi,Taiyabpur
189927681,2466594,fi,Lahrai
189927758,2466595,fi,Mamrezpur Al
189927835,2466596,fi,Pata
189928066,2466599,fi,Kamara
189928220,2466601,fi,Sarai Khati
189928297,2466602,fi,Dadusarai
189928374,2466603,fi,Rajuamau
189928451,2466604,fi,Deoraon
189928528,2466605,fi,Purwa Raisingh
189928682,2466607,fi,Kuchaili
189928759,2466608,fi,Purwa Makai
189928913,2466610,fi,Sohni
189929067,2466612,fi,Aili
189929144,2466613,fi,Purwa Bharamal
189929452,2466617,fi,Fatehpur Ramu
189929606,2466619,fi,Naglamotiram
189929760,2466621,fi,Surjanpur
189930068,2466625,fi,Makara
189930222,2466627,fi,Pali Khurd
189930299,2466628,fi,Sadiqpur
189930684,2466633,fi,Nagla Bhupe
189930915,2466636,fi,Tilokpur
189931069,2466638,fi,Bhanpur
189931146,2466639,fi,Sarai Chonri
189931223,2466640,fi,Lahariapur
189931454,2466643,fi,Jarpura
189931685,2466646,fi,Sawangi
189931762,2466647,fi,Kawadsi
189931839,2466648,fi,Chincholi
189931916,2466649,fi,Shiwni
189931993,2466650,fi,Navkawada
189932070,2466651,fi,Mugoli
189932147,2466652,fi,Sakhar
189932224,2466653,fi,Matholi
189932301,2466654,fi,Usgaon
189932378,2466655,fi,Pandharkawada
189932455,2466656,fi,Jugad
189932763,2466660,fi,Dhanora
189932840,2466661,fi,Pipri
189932917,2466662,fi,Jitapur
189932994,2466663,fi,Kurli
189933071,2466664,fi,Marad
189933225,2466666,fi,Gowari
189933379,2466668,fi,Yenak
189933456,2466669,fi,Chanakh
189933533,2466670,fi,Sangoda
189933610,2466671,fi,Paramdoh
189933687,2466672,fi,Chikhli
189933764,2466673,fi,Takli
189933841,2466674,fi,Gadegaon
189933918,2466675,fi,Sonarli
189934149,2466678,fi,Borgaon
189934380,2466681,fi,Nandgaon
189934534,2466683,fi,Bori
189934765,2466686,fi,Pipri
189934842,2466687,fi,Murti
189934919,2466688,fi,Pathri
189934996,2466689,fi,Kalman
189935073,2466690,fi,Wanoja
189935150,2466691,fi,Naranda
189935458,2466695,fi,Avarpuri
189935535,2466696,fi,Hirapur
189935689,2466698,fi,Talodi
189935766,2466699,fi,Bakardi
189935843,2466700,fi,Nimni
189936074,2466703,fi,Nanda
