id,city_id,language_key,name
157104823,2040323,is,Thang
157104900,2040324,is,Kýla
157105054,2040326,is,Gangasagar
157105208,2040328,is,Kilakarai
157105285,2040329,is,Zuvvaladinne
157105362,2040330,is,Zunheboto
157105593,2040333,is,Zulakallu
157106209,2040341,is,Ziro
157106286,2040342,is,Zirapur
157106363,2040343,is,Zirad
157106825,2040349,is,Zawar
157106902,2040350,is,Zawal
157107056,2040352,is,Zangareddigudem
157107210,2040354,is,Zamania
157107287,2040355,is,Zaladanki
157107441,2040357,is,Zainabad
157107595,2040359,is,Zaidpur
157107672,2040360,is,Zahirabad
157107903,2040363,is,Zafarabad
157107980,2040364,is,Yusufwadgaon
157108519,2040371,is,Yol
157109135,2040379,is,Yerur
157109212,2040380,is,Yerupalem
157109366,2040382,is,Yermala
157109443,2040383,is,Elmakoey
157109520,2040384,is,Yergara
157109597,2040385,is,Yercaud
157109751,2040387,is,Erandeshwar
157109828,2040388,is,Yeola
157110213,2040393,is,Yellareddy
157110290,2040394,is,Yellapura
157110367,2040395,is,Yellandu
157110598,2040398,is,Delogozda
157110675,2040399,is,Yelgaon
157110752,2040400,is,Yeldari
157110906,2040402,is,Yelbarga
157110983,2040403,is,Yelabara
157111137,2040405,is,Yelandur
157111445,2040409,is,Yedrami
157111830,2040414,is,Yechagam
157112138,2040418,is,Yavatmal
157112215,2040419,is,Yavat
157112292,2040420,is,Yaval
157112446,2040422,is,Yarnal
157112600,2040424,is,Yargatti
157112677,2040425,is,Yarada
157112908,2040428,is,Yenkanchi
157113216,2040432,is,Yandigeri
157113293,2040433,is,Yanam
157113370,2040434,is,Yamunanagar
157113524,2040436,is,Yamkanmardi
157113832,2040440,is,Yalladabagi
157113909,2040441,is,Yaliyur
157113986,2040442,is,Yarok
157114063,2040443,is,Yaingangpokpi
157114217,2040445,is,Yagati
157114294,2040446,is,Yadwad
157114525,2040449,is,Yadiki
157114602,2040450,is,Yadgud
157114679,2040451,is,Yadgir
157114833,2040453,is,Xelvona
157114910,2040454,is,Xeldem
157115218,2040458,is,Wondh
157115372,2040460,is,Wokha
157115834,2040466,is,Bekriya
157115911,2040467,is,Wihigaon
157116219,2040471,is,Weir
157116296,2040472,is,Wellington
157116604,2040476,is,Wazirpur
157116681,2040477,is,Wazirganj
157116758,2040478,is,Wazirganj
157117297,2040485,is,Wataman
157117605,2040489,is,Wasi
157117682,2040490,is,Washim
157117759,2040491,is,Wasan
157117913,2040493,is,Wasa
157118221,2040497,is,Warud
157118529,2040501,is,Warora
157118606,2040502,is,Vadodra
157118683,2040503,is,Barmaður
157118760,2040504,is,War Khas
157118837,2040505,is,Warisnagar
157118914,2040506,is,Warisaliganj
157119068,2040508,is,Wari Godri
157119299,2040511,is,Waregaon
157119376,2040512,is,Wardhari
157119530,2040514,is,Wardha
157119684,2040516,is,Wara Seoni
157119761,2040517,is,Warangal
157119992,2040520,is,Wanpartí
157120146,2040522,is,Wankaner
157120223,2040523,is,Wani
157120531,2040527,is,Wangjing
157120685,2040529,is,Wangepalli
157120916,2040532,is,Wandli
157120993,2040533,is,Wanch
157121224,2040536,is,Wamleshwar
157121301,2040537,is,Wamanpalli
157121378,2040538,is,Walwad
157121455,2040539,is,Walvad
157121532,2040540,is,Walur
157121609,2040541,is,Waluj Buzurg
157121917,2040545,is,Walpur
157122071,2040547,is,Walki
157122148,2040548,is,Walgaon
157122302,2040550,is,Walasan
