id,city_id,language_key,name
164522498,2136656,sr,Падхегаон
164522575,2136657,sr,Нандпур
164522652,2136658,sr,Малкапур
164522729,2136659,sr,Амбода
164522806,2136660,sr,Нимгаон
164522883,2136661,sr,Келапур
164522960,2136662,sr,Йамни
164523037,2136663,sr,Цхикни
164523114,2136664,sr,Асхти
164523191,2136665,sr,Пимпалгаон
164523268,2136666,sr,Дханоди
164523345,2136667,sr,Ихора
164523422,2136668,sr,Сханкарпур
164523499,2136669,sr,Нарсапур
164523653,2136671,sr,Боримахал
164523884,2136674,sr,Катри
164523961,2136675,sr,Схингнапур
164524038,2136676,sr,Малкапур
164524115,2136677,sr,Мавални
164524192,2136678,sr,Каматхуада
164524269,2136679,sr,Нилай
164524346,2136680,sr,Тарода
164524423,2136681,sr,Сонкхас
164524500,2136682,sr,Кхутала
164524654,2136684,sr,Гхоти
164524731,2136685,sr,Цхапарда
164524808,2136686,sr,Белона
164524962,2136688,sr,Попхални
164525039,2136689,sr,Ганда
164525116,2136690,sr,Хирди
164525193,2136691,sr,Датапур
164525270,2136692,sr,Раса
164525347,2136693,sr,Карак
164525424,2136694,sr,Канхоли
164525501,2136695,sr,Сарапдхари
164525655,2136697,sr,Дург
164525809,2136699,sr,Схерад
164525886,2136700,sr,Иарад
164525963,2136701,sr,Схели
164526194,2136704,sr,Таслот
164526348,2136706,sr,Девнала
164526502,2136708,sr,Пидха
164526656,2136710,sr,Пидхапод
164526810,2136712,sr,Ганесхуади
164527041,2136715,sr,Витхалвади
164527272,2136718,sr,Ватбори
164527426,2136720,sr,Белори
164527580,2136722,sr,Гандхинагар
164527734,2136724,sr,Палоти
164527888,2136726,sr,Антаргаонпод
164527965,2136727,sr,Сахеббори
164528042,2136728,sr,Прадханбори
164528119,2136729,sr,Ар Раддах
164528196,2136730,sr,Кусал
164528273,2136731,sr,Мусал
164528427,2136733,sr,Пипалсенда
164528504,2136734,sr,Марегаон
164528581,2136735,sr,Кинват
164528889,2136739,sr,Кодпакханди
164528966,2136740,sr,Кхадки
164529043,2136741,sr,Подгавхан
164529120,2136742,sr,Нимгавхан
164529505,2136747,sr,Мандав
164529582,2136748,sr,Райур
164529659,2136749,sr,Еклара
164529736,2136750,sr,Лохара
164529813,2136751,sr,Варна
164529890,2136752,sr,Јалка
164529967,2136753,sr,Крусхнапур
164530198,2136756,sr,Сонурли
164530275,2136757,sr,Андхбори
164530352,2136758,sr,Тирјхада
164530429,2136759,sr,Дотра
164530506,2136760,sr,Амла
164530583,2136761,sr,Патхрад
164530660,2136762,sr,Мањар Вагхед
164530737,2136763,sr,Нимбора
164530814,2136764,sr,Пимпалгаон
164530968,2136766,sr,Дахегаон
164531045,2136767,sr,Борйаи
164531122,2136768,sr,Умри
164531276,2136770,sr,Барадгаон
164531353,2136771,sr,Валинагар
164531430,2136772,sr,Тулйапур
164531507,2136773,sr,Гангапур
