id,city_id,language_key,name
168631992,2190026,th,ดันซิงห์ปูร์
168632069,2190027,th,ราซัลปูร์
168632146,2190028,th,ลัดดาวัลย์
168632223,2190029,th,วาฮิดปูร์
168632300,2190030,th,ธานิปูร์
168632377,2190031,th,โคราริ
168632454,2190032,th,ซินด์ปูร์
168632685,2190035,th,ชะกะลิปุร
168632839,2190037,th,สุลตานปุระ
168632916,2190038,th,ชะกระซุลปุร
168632993,2190039,th,คาทอลี
168633070,2190040,th,ซะุปุร
168633147,2190041,th,อัยยะฮ์
168633301,2190043,th,บะนกะตะ
168633378,2190044,th,ชะกมิรปุร
168633532,2190046,th,ชะกะซกะระน
168633609,2190047,th,ะบดุลกะนิปุร
168633686,2190048,th,กะรซะวะน
168633840,2190050,th,ปะคระุลิ
168633917,2190051,th,มะคดุมปุร
168633994,2190052,th,ฮัสนาปูร์
168634071,2190053,th,ปะมระุลิ
168634148,2190054,th,ภควันปูร์
168634225,2190055,th,นะนดละลปุร
168634302,2190056,th,ปาฮาร์ปูร์
168634379,2190057,th,โมฮันปาร์
168634533,2190059,th,ดุนดระ
168634918,2190064,th,ปะเรทิ
168634995,2190065,th,ฮาริยาปุระ
168635072,2190066,th,ฮาริรัมปูร์
168635149,2190067,th,บะนะรซิ
168635226,2190068,th,ชัมปูร์
168635457,2190071,th,ทิทะุระ
168635534,2190072,th,เการี
168635688,2190074,th,ราวัตปุระ
168635842,2190076,th,ธมีนา
168635919,2190077,th,เบนจานี
168636150,2190080,th,ชัยปุระ
168636381,2190083,th,กิชชชา
168636535,2190085,th,โมฮัมมัดปูร์
168636689,2190087,th,มาดันปูร์
168636843,2190089,th,เกศปุระ
168636920,2190090,th,ธารุปูร์
168637074,2190092,th,กะรบะนซปุร
168637151,2190093,th,โนนิกะนกะปุรวะ
168637228,2190094,th,ซะรดะรปุร
168637613,2190099,th,ซะิรปุร
168637767,2190101,th,คะรเซนปุร
168637921,2190103,th,โมกะนเคระ
168637998,2190104,th,กัลยานปุระ
168638075,2190105,th,บกะรซะวะน
168638152,2190106,th,ซาฮิลี
168638537,2190111,th,ดะมะนปุร
168638614,2190112,th,มะรดะนปุร
168638691,2190113,th,กากา ไบรี
168638768,2190114,th,ดิวะนิปุร
168638845,2190115,th,นะรปะตปุร
168638922,2190116,th,จะคนิ
168639076,2190118,th,รานจิตปูร์
168639153,2190119,th,คานธี
168639307,2190121,th,ะลนะปุร
168639461,2190123,th,กุรุซติกะละ
168639615,2190125,th,มิรปุรกุระซติ
168639692,2190126,th,อัสถา
168639923,2190129,th,ุดะิระจปุร
168640077,2190131,th,มะกะนปุร
168640231,2190133,th,เบนิฮาร์ซิงห์ปูร์
168640308,2190134,th,มาโธปูร์
168640385,2190135,th,ชะุเมดนิปุร
168640462,2190136,th,ชะมปะตปุร
168640693,2190139,th,ซะระิคะรกุ
168641001,2190143,th,ซาไร ชาห์ซาดา
168641309,2190147,th,มาดาริปูร์ คูร์ด
168641386,2190148,th,ชะกปะิกะมบะรปุร
168641540,2190150,th,กังกุปูร์
168641925,2190155,th,บกะมะรวะดิ
168642002,2190156,th,ดาร์เคด
168642079,2190157,th,ดากัดวดี
168642233,2190159,th,ดะตตวะดิ
168642310,2190160,th,สังกรวดี
168642387,2190161,th,อุนดาร์วาดี
168642464,2190162,th,วะิตะกวะดิ
168642541,2190163,th,วะนดะน
168642618,2190164,th,นะิโกตะ
168642772,2190166,th,โบนดะรกโะน
168642849,2190167,th,ธมมุนี
168642926,2190168,th,เซลุ
168643003,2190169,th,โลนิ
168643157,2190171,th,กะระม
168643234,2190172,th,นิละ
168643311,2190173,th,เชนด้า
168643465,2190175,th,วาร์กาออน
