id,city_id,language_key,name
189905169,2466301,tl,Paharpur
189905246,2466302,tl,Nagla Tula
189905323,2466303,tl,Niwari Kalan
189905400,2466304,tl,Tarwa Ismailpur
189905708,2466308,tl,Sitaura
189905862,2466310,tl,Shekhpur Radharsingh
189906170,2466314,tl,Indarpur
189906401,2466317,tl,Niwari Khurd
189906478,2466318,tl,Indraokhi
189906632,2466320,tl,Sabalpur
189906709,2466321,tl,Hasanpur Ahiran
189906786,2466322,tl,Jagmohanpur
189906863,2466323,tl,Rahmanpur
189907017,2466325,tl,Aheripur
189907171,2466327,tl,Birpur Salempur
189907325,2466329,tl,Darbatpur
189907479,2466331,tl,Rampur Khuapur
189907710,2466334,tl,Chakarpur
189907787,2466335,tl,Balampur
189907941,2466337,tl,Rahatpur
189908403,2466343,tl,Chandupur
189908634,2466346,tl,Jagarnathpur
189908711,2466347,tl,Bhadsan
189908788,2466348,tl,Barwai
189908865,2466349,tl,Sanphar
189908942,2466350,tl,Sheopur
189909096,2466352,tl,Sahabpur Baindi
189909404,2466356,tl,Darbaspur
189909481,2466357,tl,Hazratpur
189909635,2466359,tl,Muhari
189909866,2466362,tl,Rasulpur Sujan Singh
189910328,2466368,tl,Chatkapur
189910559,2466371,tl,Gianpur Partab Singh
189910636,2466372,tl,Shahbazpur
189910790,2466374,tl,Amauta
189910867,2466375,tl,Sarai Imilia
189910944,2466376,tl,Malgawan
189911098,2466378,tl,Niamatpur
189911175,2466379,tl,Jajpur
189911252,2466380,tl,Gopalpur
189911406,2466382,tl,Shahpur
189911483,2466383,tl,Rajpur
189911560,2466384,tl,Gohani Khurd
189911637,2466385,tl,Harauli Bahdurpur
189911714,2466386,tl,Ramnagar
189911945,2466389,tl,Kaithuli
189912176,2466392,tl,Ikbalpur
189912253,2466393,tl,Mirpur Pitam Singh
189912561,2466397,tl,Chandnapur Dayal Singh
189912638,2466398,tl,Muradganj
189913254,2466406,tl,Jalupur
189913408,2466408,tl,Turkpur Bhagwan Das
189913485,2466409,tl,Purwa Dori
189913639,2466411,tl,Chapta
189913716,2466412,tl,Alipur
189913947,2466415,tl,Tidwa Biku
189914178,2466418,tl,Haidarpur
189914255,2466419,tl,Bilawan
189914563,2466423,tl,Bahadurpur Uncha
189914640,2466424,tl,Surjanpur
189914717,2466425,tl,Birhuni
189914948,2466428,tl,Muazzampur
189915102,2466430,tl,Bewra Nawalpur
189915256,2466432,tl,Chandpur
189915333,2466433,tl,Halipur
189915487,2466435,tl,Atsu
189915641,2466437,tl,Bisalpur
189915872,2466440,tl,Bighapur
189915949,2466441,tl,Rasulpur Kalan
189916103,2466443,tl,Ballapur
189916180,2466444,tl,Ajuapur
189916334,2466446,tl,Ratanpur Gadhia
189916488,2466448,tl,Rurua Auraiya
189916642,2466450,tl,Mudena Ramdutt
189916719,2466451,tl,Phutatal
189916796,2466452,tl,Puranpur
189916873,2466453,tl,Baghua
189916950,2466454,tl,Bhainsaul
189917027,2466455,tl,Nalhpur
189917104,2466456,tl,Ghangarpur
189917181,2466457,tl,Chandpura
189917258,2466458,tl,Rampur Bais
189917335,2466459,tl,Nagla Andhiari
189917412,2466460,tl,Manakpur
