id,city_id,language_key,name
174517259,2266458,to,Ramapur
174517490,2266461,to,Purwa Shiudat
174517567,2266462,to,Ganja
174517644,2266463,to,Malikpur
174517721,2266464,to,Purwa Devdat
174517798,2266465,to,Kazipur
174518260,2266471,to,Mahmutepu
174518491,2266474,to,Shiudaspur
174518568,2266475,to,Naktipur
174518799,2266478,to,Dharmdaspur
174518876,2266479,to,Purwa Bhagtin
174518953,2266480,to,Bangaon
174519261,2266484,to,Birauli
174519569,2266488,to,Khanpur
174520262,2266497,to,Ganja
174520493,2266500,to,Abanpur
174520570,2266501,to,Purwa Ramdayal
174520647,2266502,to,Purwa Goshain
174521417,2266512,to,Nandapur
174521494,2266513,to,Dharampur Saadat
174521879,2266518,to,Kishundaspur
174522033,2266520,to,Fatepu
174522187,2266522,to,Achari Purwa
174522264,2266523,to,Palasipu
174522418,2266525,to,Purwa Oudhbihari
174522495,2266526,to,Sarethi
174522572,2266527,to,Purwa Nagesar
174522649,2266528,to,Purwa Shiunarayan
174522803,2266530,to,Purwa Mayaram
174522957,2266532,to,Bhadokhar
174523188,2266535,to,Mirzapur
174523265,2266536,to,ʻItaula
174523342,2266537,to,Benipur
174523496,2266539,to,Chiraindhapur
174523573,2266540,to,Purwa Ramautar
174523727,2266542,to,Purwa Tikait
174523804,2266543,to,Sukapu
174523958,2266545,to,Dadera
174524035,2266546,to,Purwa Patak
174524343,2266550,to,Alawalpur
174524420,2266551,to,Yadgarpur
174524728,2266555,to,Rampur Sardha
174524959,2266558,to,Dugauli
174525113,2266560,to,Mitrsenpur
174525267,2266562,to,Purwa Bishunath
174525498,2266565,to,Bahoranpur
174525575,2266566,to,Baisingh
174525652,2266567,to,Chak Baisingh
174525883,2266570,to,Nariawan
174526037,2266572,to,Narayanpur
174526268,2266575,to,Sarai Chaimal
174526345,2266576,to,Mohtshampur
174526422,2266577,to,Santipu
174526730,2266581,to,Purwa Manu
174526807,2266582,to,Karman
174526961,2266584,to,Purwa Gobind
174527038,2266585,to,Surjibirwa
174527115,2266586,to,Modra
174527192,2266587,to,Bhawanipur
174527346,2266589,to,Surapur
174527423,2266590,to,Purkhepur
174527577,2266592,to,Purwa Dayal
174527654,2266593,to,Kangauli
174527731,2266594,to,Mahesipu
174527962,2266597,to,Pulua Lala
174528655,2266606,to,Purwa Pahalwan
174528809,2266608,to,Samaha Kala
174528963,2266610,to,Purwa Isri
174529271,2266614,to,Sanethu
174529810,2266621,to,Para Khan
174529887,2266622,to,Chatia
174530349,2266628,to,Ganjri
174530734,2266633,to,Pankatua
174531273,2266640,to,Dewa Patti
174531427,2266642,to,Chakaiwa
174531658,2266645,to,Sakatpu
174531735,2266646,to,Vidyapur
174531812,2266647,to,Matia
174531889,2266648,to,\N
174531966,2266649,to,Anjana
174532043,2266650,to,Hardaspur
174532120,2266651,to,Sherpur
174532505,2266656,to,Purwa Benimadho
174532582,2266657,to,Purwa Ramdin Singh
174532813,2266660,to,Purwa Durga
174532967,2266662,to,Purwa Kasehi
174533429,2266668,to,Nathanpur
174534353,2266680,to,Bhawanipur
174534661,2266684,to,Mahrai
174534815,2266686,to,Purwa Bodhi
174535046,2266689,to,Purwa Upadhia
174535354,2266693,to,Mahamatipu
174535431,2266694,to,Chandpur
174535508,2266695,to,Purwa Kewat
174535585,2266696,to,Purwa Bodha
174535970,2266701,to,Sonkhari
174536047,2266702,to,Mitanpur
174536124,2266703,to,Purwa Banmanas
174536278,2266705,to,Purwa Debi
174536432,2266707,to,Purwa Gayadin
174536663,2266710,to,Kanakipuli Sihakalauli
174536817,2266712,to,Naharpur
174537048,2266715,to,Purwa Bhakhai
174537125,2266716,to,Bijanpur Shajehra
174537356,2266719,to,Mahanmau
174537895,2266726,to,Kuti
174538896,2266739,to,Kutwa
174538973,2266740,to,Jitpur
174539127,2266742,to,Parmanandpur
174539358,2266745,to,Khemipur
174539512,2266747,to,Khemipur
174539589,2266748,to,Ghuritikar
174540359,2266758,to,Matia
174540436,2266759,to,Rasulabad
174540513,2266760,to,Purwa Bansi
174540590,2266761,to,Chak Hainsa
174540667,2266762,to,Haisa
174540744,2266763,to,Sonaisa
174540821,2266764,to,Datia
174540898,2266765,to,Keshopur
174540975,2266766,to,Purwa Goshain
174541437,2266772,to,Purwa Baba
174541514,2266773,to,Mahrampur Arti
174541591,2266774,to,Harnarayanpur
174541668,2266775,to,Sulehpur
174541822,2266777,to,Purwa Sridat
174541899,2266778,to,Purwa Bhikhi
174542284,2266783,to,Bhitaura
174542361,2266784,to,Pipri
174542438,2266785,to,Purwa Bhawanidin
174542515,2266786,to,Chakia
174542746,2266789,to,Purwa Budhai
174542900,2266791,to,Purwa Kalicharan
174543208,2266795,to,Purwa Kiryaram
174543824,2266803,to,Purwa Lachhman
174543901,2266804,to,Harnathpur
174544055,2266806,to,Purwa Prag
174544132,2266807,to,Satna
174544363,2266810,to,Purwa Murao
174544440,2266811,to,Rampur Bhagan
174544671,2266814,to,Purwa Darya Singh
174544902,2266817,to,Kakrahi
174544979,2266818,to,Gopalpur
174545287,2266822,to,Mahawan
174545595,2266826,to,Purwa Lachhman
174545749,2266828,to,Bhairopur Tikra
174546057,2266832,to,Purwa Ahiran
174546596,2266839,to,Purwa Ratipal Singh
174546750,2266841,to,Khonpur
174547366,2266849,to,Purwa Jagannath
174547443,2266850,to,Kopalapu
174548213,2266860,to,Purwa Paroti
174548598,2266865,to,Dihwari
174549214,2266873,to,Purwa Chauhan
174549291,2266874,to,Mau
174549599,2266878,to,Purwa Upadhia
174549753,2266880,to,Simri Balipur
174549907,2266882,to,Purwa Raghubar
174550215,2266886,to,Purwa Matau
174550292,2266887,to,Hasrampur
174550908,2266895,to,Pulua Janki
174551062,2266897,to,Basupur
174551293,2266900,to,Purwa Banesarilal
174551601,2266904,to,Purwa Jabar Singh
174551909,2266908,to,Purwa Bhairon
174551986,2266909,to,Beni Gadopur
174552063,2266910,to,Dharmpur
174552371,2266914,to,Purwa Ramhet
174552910,2266921,to,Keolapu urf Takimingini
174553064,2266923,to,Pachhiana
174553141,2266924,to,Purwa Matadin
174553295,2266926,to,Katra
174553680,2266931,to,Banghusra
174553911,2266934,to,Sarampur
174554142,2266937,to,Purwa Bishun
174554219,2266938,to,Purwa Khaderu
174554681,2266944,to,Madusudan Pur
174554758,2266945,to,\N
174554989,2266948,to,Purwa Todhakia
174555220,2266951,to,Barah
174555451,2266954,to,Pulua Lala
174555528,2266955,to,Kunwarpur
174555913,2266960,to,\N
174555990,2266961,to,Jadopur
174556144,2266963,to,Paragarib Shah
174556298,2266965,to,Purwa Deokali
174556375,2266966,to,Purwa Chamaru
174556991,2266974,to,Ghatampur
174557145,2266976,to,Palapu
174557222,2266977,to,Purwa Dhiru
174557453,2266980,to,Purwa Ashraflal
174557684,2266983,to,Nandapur
174557838,2266985,to,Ankampet
174557915,2266986,to,Chillapur
174558069,2266988,to,Ramakapet
174558223,2266990,to,Akkawaram
174558300,2266991,to,Gosapalli
174558377,2266992,to,Arepalli
174558531,2266994,to,Malkapur
