id,city_id,language_key,name
204923878,2661350,be,Чэгерд
204924032,2661352,be,цханф
204924417,2661357,be,Чахук
204924571,2661359,be,Чах-э Сагак
204924648,2661360,be,цхах паыаб
204924802,2661362,be,Ча Мішак
204924879,2661363,be,Ча Мазар-э Софла
204925033,2661365,be,цхах кху
204925110,2661366,be,Цхахкан
204925187,2661367,be,Чах Гаўі
204925418,2661370,be,Чах-э Сарду
204925726,2661374,be,Чах Калгар
204925803,2661375,be,Чах-э Джамал
204925957,2661377,be,Чах Барыш
204926034,2661378,be,цхах аллх дад
204926111,2661379,be,Чах-э Ахмад
204926188,2661380,be,Ча Дэраз
204926265,2661381,be,Чахчахе
204926419,2661383,be,цххар так
204926496,2661384,be,цххар тнг
204926804,2661388,be,Хір
204926881,2661389,be,Эсламабад-э Чагукдан
204927035,2661391,be,буты
204927266,2661394,be,Бутэх газ
204927343,2661395,be,Бутэгаў
204927574,2661398,be,Бор Сар
204927728,2661400,be,Бон цяпер
204927805,2661401,be,Бук
204928036,2661404,be,Бежган
204928267,2661407,be,Барындук
204928344,2661408,be,Бокраі
204928498,2661410,be,бнйар
204928652,2661412,be,Бон Дэ
204929191,2661419,be,Білінгі
204929268,2661420,be,Бігдаг
204929576,2661424,be,Безд
204929653,2661425,be,Басут
204929730,2661426,be,Бярыс
204929807,2661427,be,Бер'яні
204929884,2661428,be,Барашк
204929961,2661429,be,бпатан
204930038,2661430,be,Бенук
204930192,2661432,be,Бахцені
204930269,2661433,be,Бегдадзін
204930346,2661434,be,Пачаў
204930423,2661435,be,Недан
204930500,2661436,be,бзман
204930577,2661437,be,Дэх-э Басіран
204930731,2661439,be,Базанган
204931116,2661444,be,кажан
204931193,2661445,be,Барзіяр
204931270,2661446,be,Бору'и
204931501,2661449,be,Барэкат
204931578,2661450,be,Берду
204931655,2661451,be,бараны
204931732,2661452,be,Баранган
204931809,2661453,be,бракух
204931963,2661455,be,бр абад
204932040,2661456,be,банснт
204932348,2661460,be,Банд-э Сістан
204932425,2661461,be,Бандэган
204932502,2661462,be,цхабхар
204932656,2661464,be,Шэйбані
204932810,2661466,be,Бампур
204932887,2661467,be,бамцхнар
204932964,2661468,be,Бамбасары
204933041,2661469,be,Балурмаччы
204933580,2661476,be,Бал
204933734,2661478,be,Бахш
204934196,2661484,be,бхрам абад
204934273,2661485,be,бхр абад
204934350,2661486,be,Багх-э Сангі
204934427,2661487,be,багх снган
204934658,2661490,be,Багх-э Кешмір-э `Оля
204934812,2661492,be,Бад-Бозорг
204934889,2661493,be,Сумка
204934966,2661494,be,бафтан
204935043,2661495,be,Бадухі
204935120,2661496,be,Дрэнны Кучэк
204935197,2661497,be,Эбік
204935274,2661498,be,Аб Нэйе
204935351,2661499,be,Аваз
204935582,2661502,be,Азіяб
204935659,2661503,be,Ашыры
204935890,2661506,be,асдабад
204936275,2661511,be,Арвіз
204936429,2661513,be,ардкул
204936583,2661515,be,Дэх-э Арбаб
204936891,2661519,be,Анжырок
204937276,2661524,be,алмту
204937507,2661527,be,Алахабад
204937584,2661528,be,`Алейк
204937661,2661529,be,`Алі Махамад
204937738,2661530,be,алнйан
204937815,2661531,be,`Алі Хедые-е Софла
204937892,2661532,be,Алі Хедзье-і-Оля
204937969,2661533,be,`Алі Ахунд
204938046,2661534,be,`Аліабад-э Паін
204938123,2661535,be,Аліябад
204938277,2661537,be,Аліябад
204938662,2661542,be,ал грг
204939047,2661547,be,ахмд базар
204939124,2661548,be,Ахмадабад-э Саўлат
204939278,2661550,be,ахмд абад
204939432,2661552,be,Ахедад
204939586,2661554,be,Афзалабад
204939663,2661555,be,афсхан
204939740,2661556,be,Абтар
204939817,2661557,be,Абтар
204939894,2661558,be,Апэшкі
204939971,2661559,be,Абка
204940048,2661560,be,абгрм
204940125,2661561,be,абйкан
204940279,2661563,be,`Абдола Базар
204940356,2661564,be,`Абдолахабад
204940433,2661565,be,`Абд Зехі
204940510,2661566,be,`Абд Казі
204940587,2661567,be,'Абди
204940664,2661568,be,абдраз
204941126,2661574,be,Кендыклі
204941280,2661576,be,Камбель-і-Хаджы-галам
204941357,2661577,be,Чэхель Шахр
204941511,2661579,be,Кхеыри Кух
204941588,2661580,be,Сорга
204941742,2661582,be,Газук
204941973,2661585,be,Барг
204942050,2661586,be,клган
204942435,2661591,be,Сарикабад
204942589,2661593,be,Нуки
204942666,2661594,be,Ганзак
204942743,2661595,be,Докал
204942820,2661596,be,Шахрак
204943051,2661599,be,Іраці
204943205,2661601,be,Калат
