id,city_id,language_key,name
200773709,2607451,sl,Takht-e Qeysar
200776173,2607483,sl,Qalich
200779176,2607522,sl,Jakestan
200781332,2607550,sl,Chandar
200783411,2607577,sl,`Ali Akbar
200783873,2607583,sl,Boneh-ye `Alvan
200785567,2607605,sl,Shamsabad
200786953,2607623,sl,Qasabeh
200787338,2607628,sl,Mehdiabad
200787569,2607631,sl,Lavasan
200790033,2607663,sl,Bastak
200790110,2607664,sl,Baghcheh-je Haj Esma ' il
200790187,2607665,sl,Badreh
200790649,2607671,sl,ahmd abad
200790957,2607675,sl,Aliabad
200793498,2607708,sl,Mahidasht
200794037,2607715,sl,Kasan Taraz
200795654,2607736,sl,Boncheleh
200798734,2607776,sl,`Ali Darreh
200801737,2607815,sl,Bandbon
200801814,2607816,sl,Nafar Kheyl
200802199,2607821,sl,'Abdollahabad
200803354,2607836,sl,Yektasara
200803662,2607840,sl,latinščina
200805433,2607863,sl,Kordlar
200807897,2607895,sl,Tale`-e Pa'in
200808898,2607908,sl,Amiriyeh
200813441,2607967,sl,Zangoli
200816059,2608001,sl,Berenjestanak-e Bala
200816829,2608011,sl,Aliabad
200817214,2608016,sl,Kiasar-e Bala
200820140,2608054,sl,Basu
200821372,2608070,sl,Qoroq
200823143,2608093,sl,Pa'in Mahalleh-ye Nowdeh
200824606,2608112,sl,`Arus Koti
200824760,2608114,sl,Visok Nar
200827840,2608154,sl,Pa'in Gardanbori
200828302,2608160,sl,Bala Basra
200832768,2608218,sl,Sang Kor-e Golestan
200834924,2608246,sl,Malgeh-ye Fili
200835925,2608259,sl,Mantaqeh-ye Khanqah
200837080,2608274,sl,Humeh
200841700,2608334,sl,Asgharabad
200843933,2608363,sl,Bar Dakaleh
200845473,2608383,sl,Kafsh Kan Mahalleh
200846705,2608399,sl,Pa'in Mahalleh-ye Foshtom
200848707,2608425,sl,Lasku Kalayeh
200849477,2608435,sl,Khalifeh Kandi
200849862,2608440,sl,Heris
200850401,2608447,sl,Farqa
200851248,2608458,sl,Tak Neyzar
200851941,2608467,sl,Qasabeh
200853096,2608482,sl,Kheyrabad
200860180,2608574,sl,dinar
200860565,2608579,sl,Gowyzeh-ye Kavireh
200862798,2608608,sl,grmab
200863337,2608615,sl,Gandoman
200865108,2608638,sl,Mizab
200867649,2608671,sl,Kani Sur
200874117,2608755,sl,Tirkesh-e Pa'in
200874502,2608760,sl,Keleh Sepyan
200875041,2608767,sl,Chianeh
200876735,2608789,sl,Khalifan
200877351,2608797,sl,Mirabad
200877505,2608799,sl,Deh Shams-e Bozorg
200878891,2608817,sl,Tazeh Kand-e Jabal
200883896,2608882,sl,Kani Sur
200885436,2608902,sl,Qomchian
200885744,2608906,sl,Tazeh Kand
200889517,2608955,sl,Gol Soleymanabad
200890364,2608966,sl,Torkaman Kandi
200890903,2608973,sl,Turchi
200895215,2609029,sl,Hovanleh
200898680,2609074,sl,Eslamabad
200900143,2609093,sl,Zherizhah
200900297,2609095,sl,Buridar
200900374,2609096,sl,Nasanar
200904532,2609150,sl,Tazehabad
200909999,2609221,sl,Zagheh
200915851,2609297,sl,Zdaj Deh
200917160,2609314,sl,Shang
200927093,2609443,sl,Gav Savar
200929480,2609474,sl,aalwan
200930250,2609484,sl,Vari-ye Kalak
200931328,2609498,sl,Sarab
200933176,2609522,sl,RostamKhan
200933407,2609525,sl,Kalak-e Naqi
200933715,2609529,sl,Haft Cheshmeh
200933792,2609530,sl,glzar
200935024,2609546,sl,Čenareh
200935640,2609554,sl,Baskeleh Garmeh-ye Sofla
200939259,2609601,sl,qrh aghaj
200939490,2609604,sl,Gaz
200943032,2609650,sl,Rezaabad
200943186,2609652,sl,Kariz
200946805,2609699,sl,trkhas
200948653,2609723,sl,Saruq
200949269,2609731,sl,Rud Sarab
200949423,2609733,sl,raz qnd
200953196,2609782,sl,Keykhosrow
200956353,2609823,sl,Gaft
200958971,2609857,sl,bdagh abad
200962359,2609901,sl,`Isa Bagh
200962744,2609906,sl,`Aliabad-e Shur
200963976,2609922,sl,Punam
200964669,2609931,sl,Kalateh-ye Qanbar Qaraqoli
200965670,2609944,sl,Mahalleh-ye Qal`eh-ye Pa'in
200965824,2609946,sl,Cheshmeh Khan
200965901,2609947,sl,Alari
200966825,2609959,sl,Qaz
200967056,2609962,sl,qdr abad
200967133,2609963,sl,Qal`eh-ye Nur Mohammad
200967595,2609969,sl,Koruzhadeh
200969212,2609990,sl,Birak-e Bala
200969751,2609997,sl,Zarundeh
200970136,2610002,sl,Ziaru
200970752,2610010,sl,Varzan
200971214,2610016,sl,Valeh
200971522,2610020,sl,Turankola
200971676,2610022,sl,Teliran
200971830,2610024,sl,Tazehabad
200971907,2610025,sl,Tirestaq
200972061,2610027,sl,Tarsiab
200972677,2610035,sl,Tovidarreh
200972831,2610037,sl,Sorkhdar
200972985,2610039,sl,Tuleh Kola
200973062,2610040,sl,Shurestaq
200973447,2610045,sl,shmjaran
200973832,2610050,sl,Shah Kola-ye Surak
200974217,2610055,sl,Šárka
200974525,2610059,sl,Sang-e Bast
200974910,2610064,sl,talsh khyl
200974987,2610065,sl,Talaju
200975680,2610074,sl,Siah Rud
