id,city_id,language_key,name
215045097,2792794,ko,토보이아키 마을
215045174,2792795,ko,부타리타리
215045251,2792796,ko,우키안강 빌라게
215045328,2792797,ko,우반테만
215045405,2792798,ko,투아라부 마을
215045482,2792799,ko,테와이 빌라게
215045559,2792800,ko,테모투 마을
215045636,2792801,ko,테모투 마을
215045713,2792802,ko,테모투 마을
215045867,2792804,ko,마탕 마을
215045944,2792805,ko,마라케이
215046021,2792806,ko,아베마마
215046098,2792807,ko,마라케이
215046175,2792808,ko,아시가라카미군
215046252,2792809,ko,아바이앙
215046329,2792810,ko,테비케라이 마을
215046406,2792811,ko,마이아나섬
215046483,2792812,ko,마이아나섬
215046560,2792813,ko,테반가
215046637,2792814,ko,키리바시의 인구
215046714,2792815,ko,테오라에레케 마을
215046791,2792816,ko,타라타이 마을
215046868,2792817,ko,테마노쿠 빌라게
215046945,2792818,ko,부타리타리
215047022,2792819,ko,부타리타리
215047099,2792820,ko,오노토아
215047176,2792821,ko,타내앙 빌라게
215047253,2792822,ko,타마로아 마을
215047330,2792823,ko,타쿠 빌라게
215047407,2792824,ko,다카라노 마을
215047484,2792825,ko,타부토아
215047561,2792826,ko,타부라오 마을
215047638,2792827,ko,타부키니베루
215047715,2792828,ko,오노토아
215047792,2792829,ko,사우스타라와
215047869,2792830,ko,부타리타리
215047946,2792831,ko,타보누에아 빌라게
215048023,2792832,ko,타본테비케
215048100,2792833,ko,노노우티
215048177,2792834,ko,타보이아키 빌라게
215048254,2792835,ko,타비트에아 빌라게
215048331,2792836,ko,아베마마
215048408,2792837,ko,바나바섬
215048485,2792838,ko,아베마마
215048562,2792839,ko,타비앙마을
215048639,2792840,ko,로투마섬
215048716,2792841,ko,로투마 마을
215048793,2792842,ko,노라우에아 마을
215048947,2792844,ko,마라케이
215049024,2792845,ko,라와나위 마을
215049101,2792846,ko,바나바섬
215049178,2792847,ko,타베와 마을
215049255,2792848,ko,우뫄 빌라게
215049332,2792849,ko,테카비위 마을
215049409,2792850,ko,오노토아
215049486,2792851,ko,누아타부 빌라게
215049563,2792852,ko,니쿠토루 마을
215049640,2792853,ko,니쿠마누
215049717,2792854,ko,베누아로아 마을
215049794,2792855,ko,나베이나 빌라게
215049871,2792856,ko,무리베누아 마을
215049948,2792857,ko,모리카오 마을
215050025,2792858,ko,아레나비앙카
215050102,2792859,ko,아베마마
215050179,2792860,ko,쿠리아섬
215050256,2792861,ko,구마촌
215050333,2792862,ko,아바이앙
215050410,2792863,ko,부타리타리
215050487,2792864,ko,드래곤볼 에볼루션
215050564,2792865,ko,아베마마
215050641,2792866,ko,카리아테바이크 빌리지
215050718,2792867,ko,아베마마
215050795,2792868,ko,카반가키 빌라게
215050872,2792869,ko,사우스타라와
215050949,2792870,ko,부오타 마을
215051026,2792871,ko,부오타 마을
215051103,2792872,ko,부오타 마을
215051180,2792873,ko,부아리키 마을
215051257,2792874,ko,부아리키 마을
215051334,2792875,ko,사우스타라와
215051411,2792876,ko,마라케이
215051488,2792877,ko,사우스타라와
215051565,2792878,ko,타라와
215051642,2792879,ko,타라와
215051719,2792880,ko,아우투키아
215051796,2792881,ko,아우토키아 빌라게
215051873,2792882,ko,아오노부아카 빌라게
215051950,2792883,ko,아오니만 빌라게
215052027,2792884,ko,안타이 빌라게
215052104,2792885,ko,아바타오 빌라게
215052181,2792886,ko,아바오코로 마을
215052258,2792887,ko,타네코레 마을
215052335,2792888,ko,나피아마을
215052412,2792889,ko,나파리마을
215052489,2792890,ko,런던
215052566,2792891,ko,론돈
215052643,2792892,ko,아바이앙
215052720,2792893,ko,테라이나섬
215052797,2792894,ko,스에토에즈에
215052874,2792895,ko,테라이나섬
215052951,2792896,ko,아라바타 마을
215053028,2792897,ko,마케타리 마을
215053105,2792898,ko,타부아에란섬
215053182,2792899,ko,테레이타키 마을
215053259,2792900,ko,타부아에란섬
215053336,2792901,ko,아온테나 길버츠 빌리지
215053413,2792902,ko,폴란드 마을
215053490,2792903,ko,타봐케아
215053567,2792904,ko,중앙보스니아 주
215053721,2792906,ko,바카카
215053798,2792907,ko,바레부카 마을
215053875,2792908,ko,오노토아
215053952,2792909,ko,오노토아
215054029,2792910,ko,테마오 빌라게
215054106,2792911,ko,타내앙
215054183,2792912,ko,오노토아
215054260,2792913,ko,테라이나섬
215054337,2792914,ko,마타니비케
215054414,2792915,ko,타부아에란섬
215054491,2792916,ko,테네네보
215054568,2792917,ko,베타니아
215054645,2792918,ko,테카만 빌라게
215054799,2792920,ko,테나토루아 마을
215054876,2792921,ko,카부나 빌라게
215054953,2792922,ko,부오타 마을
215055030,2792923,ko,부오타 마을
215055107,2792924,ko,타운개아카 빌라게
215055184,2792925,ko,아라누카
215055261,2792926,ko,바우루아 빌리지
