id,city_id,language_key,name
215089291,2793368,ka,სამება
215089984,2793377,ka,სენდი პოინტის ქალაქი
215090138,2793379,ka,წმინდა პავლეს
215090215,2793380,ka,სადლერები
215091139,2793392,ka,ორტონები
215091216,2793393,ka,ძველი გზის ქალაქი
215091370,2793395,ka,ნიკოლა თაუნი
215091601,2793398,ka,ნიუკასლი
215091832,2793401,ka,მაიმუნის გორა
215091986,2793403,ka,შუა კუნძული
215092140,2793405,ka,მარკეტის მაღაზია
215092217,2793406,ka,მარდენბროუ
215092294,2793407,ka,\N
215092987,2793416,ka,კიტ სტოდარტი
215093372,2793421,ka,\N
215093834,2793427,ka,ერმიტაჟი
215093988,2793429,ka,ჰარისი
215094142,2793431,ka,\N
215094219,2793432,ka,ნახევარი გზა ხე
215094373,2793434,ka,ოქროს კლდე
215094450,2793435,ka,ჯინჯერლენდი
215094835,2793440,ka,ლეღვის ხე
215095066,2793443,ka,დიეპის ბეი ქალაქი
215095297,2793446,ka,კრადოკები
215095451,2793448,ka,ბამბის მიწა
215095759,2793452,ka,ეკლესიის მიწა
215095913,2793454,ka,ჩარლსთაუნი
215096067,2793456,ka,კაიონი
215096606,2793463,ka,ბრუმაირი
215096837,2793466,ka,ბრაუნსი
215097068,2793469,ka,ბოიდის
215097453,2793474,ka,ბასტერი
215097530,2793475,ka,ბარნს ღაუტი
215097761,2793478,ka,ფორტლენდები
215098069,2793482,ka,სტოუნი ჰილი
