id,city_id,language_key,name
215098416,2793486,tr,Taean
215098493,2793487,tr,Kangso
215100110,2793508,tr,Yurhwa-ri
215103190,2793548,tr,Ryulmok-tong
215103960,2793558,tr,Ryulgot-ri
215104961,2793571,tr,Yujong-ni
215107194,2793600,tr,Yudong-ni
215107348,2793602,tr,Yudok-maşa
215112276,2793666,tr,Yonhwa-ri
215116588,2793722,tr,yongsudong
215116819,2793725,tr,yongsudong
215117435,2793733,tr,Yongsong-ni
215118513,2793747,tr,yongsinli
215122363,2793797,tr,Yongp'o-ri
215123903,2793817,tr,Yongnang-ni
215125135,2793833,tr,yongmu
215126675,2793853,tr,Yongjong-ni
215126983,2793857,tr,Yongjong-ni
215127137,2793859,tr,yongjeongdong
215127445,2793863,tr,Raengjong
215127753,2793867,tr,yongjiwonli
215130833,2793907,tr,Yonghung-ni
215133374,2793940,tr,Yonghang-ni
215134683,2793957,tr,Yonggong-ni
215135145,2793963,tr,Ryonggang-up
215139226,2794016,tr,Yongch'ol-li
215140381,2794031,tr,yeongchon
215140689,2794035,tr,Yongbyon
215141998,2794052,tr,yongbau
215142229,2794055,tr,Yongak-tong
215142383,2794057,tr,Yongang-ni
215142845,2794063,tr,Yongam-ni
215143384,2794070,tr,Yongam-ni
215143538,2794072,tr,Yongam-ni
215143692,2794074,tr,Igo
215145078,2794092,tr,yeondong
215145232,2794094,tr,Chebiul
215146079,2794105,tr,Yongch'ang-ni
215146233,2794107,tr,Yonbong-ni
215146541,2794111,tr,Yonbong-ni
215147003,2794117,tr,Yonbong
215147157,2794119,tr,Yonan-yukarı
215147234,2794120,tr,Yonam-ni
215147773,2794127,tr,yeomogi
215148004,2794130,tr,Yomju
215150699,2794165,tr,yeodong
215150776,2794166,tr,Yodok-up
215151777,2794179,tr,Yennaru
215152624,2794190,tr,Yangum-ni
215152932,2794194,tr,lyangsuam
215153702,2794204,tr,yang-eodong
215154164,2794210,tr,Yangjong-dong
215154318,2794212,tr,Paengseong
215155165,2794223,tr,yangjima-eul
215158861,2794271,tr,Yangji
215159323,2794277,tr,Yangji
215161248,2794302,tr,yangcheon
215163866,2794336,tr,yachon
215164867,2794349,tr,Woryang-ni
215168255,2794393,tr,Wonsang-ni
215168948,2794402,tr,Wonsan
215172259,2794445,tr,Wonho-ri
215173876,2794466,tr,Won-dong
215174954,2794480,tr,Wonbung-maul
215175570,2794488,tr,Wonbok-tong
215176648,2794502,tr,wolsanchon
215176802,2794504,tr,wolsadong
215177033,2794507,tr,Wolp'o-ri
215177264,2794510,tr,wolpo
215177726,2794516,tr,Wollyong-ni
215178188,2794522,tr,wollidong
215178419,2794525,tr,Wollae-maul
215179343,2794537,tr,wolgang
215179420,2794538,tr,Wolch'ol-li
215179574,2794540,tr,Wolchong-ni
215179805,2794543,tr,wolcheon
215181653,2794567,tr,wauhyeon
215182577,2794579,tr,Wangsong-dong
215184579,2794605,tr,waamdong
215185657,2794619,tr,us-sandae
215186658,2794632,tr,Uptong-ni
215189045,2794663,tr,unpungli
215189276,2794666,tr,Unp'o-ri
215189969,2794675,tr,unjeon
215192433,2794707,tr,Unhak-tong
215193742,2794724,tr,Un'gong-ni
215194204,2794730,tr,unghyeondong
215194281,2794731,tr,eungdong
215195898,2794752,tr,undong
215196052,2794754,tr,Unch'on-up
215196283,2794757,tr,uncheondong
215196745,2794763,tr,eunbongdong
215198670,2794788,tr,umidong
215198978,2794792,tr,Umbyon-dong
215199055,2794793,tr,Ullyul
215199748,2794802,tr,Ukkamigae
215201134,2794820,tr,Ugok
215201365,2794823,tr,Udung-ni
215203290,2794848,tr,Turyongp'o
215203598,2794852,tr,Tup'yong-dong
215203752,2794854,tr,Tup'o-dong
215203906,2794856,tr,Tunjonp'yong
215204214,2794860,tr,Tunjon
215204445,2794863,tr,dungol
215205292,2794874,tr,Tunch'ang-ni
215205600,2794878,tr,Tumu-ri
215206139,2794885,tr,dumuhang
215206755,2794893,tr,Tumi-dong
215206909,2794895,tr,Tuksong-ni
215208141,2794911,tr,Tubaeng-ni
215208372,2794914,tr,Ttokchom-gol
215209142,2794924,tr,Tosum-ni
215209219,2794925,tr,Tosudae
215209527,2794929,tr,T'osong-ni
215209604,2794930,tr,toseongdong
215209912,2794934,tr,T'osong
215210066,2794936,tr,nansanli
215210220,2794938,tr,tosan
215211144,2794950,tr,Torangsom
215211606,2794956,tr,T'ook-kol
215211914,2794960,tr,Tongyok-tong
215212530,2794968,tr,Tongyang-dong
215212684,2794970,tr,dong-yangchon
215212992,2794974,tr,Tongwol-maşa
215213146,2794976,tr,Tongwol-li
215213531,2794981,tr,Tongu
215213839,2794985,tr,Tongso-ri
215213993,2794987,tr,Tongso-ri
215214147,2794989,tr,Tongsong-ni
215214917,2794999,tr,dongsinchon
215215225,2795003,tr,Tongsa-ri
215215379,2795005,tr,Tongsal-li
215215533,2795007,tr,Tongsal-li
215215687,2795009,tr,Tonghal-li
215215841,2795011,tr,T'ongsal-li
215215995,2795013,tr,Tongsanmol
215216303,2795017,tr,Tongsang-ni
215216611,2795021,tr,dongsang-gol
215216842,2795024,tr,dongsandong
215217304,2795030,tr,dongsandong
215217535,2795033,tr,dongsan
215218074,2795040,tr,dongsaemal
215219152,2795054,tr,Tongnyung-ni
215219306,2795056,tr,Tongnyong-ni
215219845,2795063,tr,Un'gok-tong
215220153,2795067,tr,Tongnim-dong
215222694,2795100,tr,Tongjong-ni
215222848,2795102,tr,Tongji-ri
215223002,2795104,tr,Tongjang
215223156,2795106,tr,dongjadong
215223310,2795108,tr,Tongyok-tong
215223695,2795113,tr,Tonghung-ni
215225081,2795131,tr,T'onghang
215225851,2795141,tr,dong-gol
215226390,2795148,tr,Tonggok
215226621,2795151,tr,Tonggil-maşa
215227083,2795157,tr,Tonggang-ni
215227699,2795165,tr,Tongdo-ri
215228084,2795170,tr,Tong-dong
215228777,2795179,tr,T'ongch'on-up
215229162,2795184,tr,Tongch'on-dong
215229547,2795189,tr,Tongch'ol-li
215229932,2795194,tr,Tongch'ang-ni
215230317,2795199,tr,Tongch'ang
215230779,2795205,tr,Tongbyo-ri
215232242,2795224,tr,Tonam-ni
215232473,2795227,tr,Tomak maşası
215232858,2795232,tr,Tolta-ri
215233320,2795238,tr,Tolsan-dong
215233859,2795245,tr,dolmol
215234244,2795250,tr,dolgogae
215234629,2795255,tr,Toldung
215234860,2795258,tr,doljidong
215235091,2795261,tr,Tolbak
215235707,2795269,tr,Tok-tong
215236323,2795277,tr,Toksung-ni
215236477,2795279,tr,namheungdong
215236631,2795281,tr,Toksongjong
215237170,2795288,tr,Toksang
215237632,2795294,tr,Deoksan
215238633,2795307,tr,Tokpong
215239788,2795322,tr,Tokhyol-li
215240096,2795326,tr,Tokhyol-li
215240481,2795331,tr,Tokhungnihyanggyo-dong
215240635,2795333,tr,Tokhung-ni
215240943,2795337,tr,Tokhung-ni
215241559,2795345,tr,Tokch'on
215242406,2795356,tr,Tokch'on-dong
215242637,2795359,tr,Tokch'o-gol
215242791,2795361,tr,Tokçi
215243407,2795369,tr,Tokchang
215245640,2795398,tr,Tohwa-ri
215246949,2795415,tr,Tohang-ni
215247565,2795423,tr,Togwal-li
215251030,2795468,tr,dodanggol
215251261,2795471,tr,Todae-ri
215252647,2795489,tr,Tchokpat
215252878,2795492,tr,Tasa-rodongjagu
215253417,2795499,tr,Tapto-ri
215253648,2795502,tr,Tap-tong
215254341,2795511,tr,T'apkol
215254572,2795514,tr,T'apkol
215254726,2795516,tr,T'apkogae
215255573,2795527,tr,Tapch'ol-li
215256574,2795540,tr,Tan'gu-ri
215257421,2795551,tr,Tangsang-ni
215258730,2795568,tr,Tangmol
215258884,2795570,tr,Tang-mal
215262503,2795617,tr,danggol
215262580,2795618,tr,danggol
215263812,2795634,tr,danggol
215264890,2795648,tr,dangbong
215265044,2795650,tr,dangbodong
215265506,2795656,tr,tandong
215265660,2795658,tr,Tach'ol-li
215267970,2795688,tr,Tajong
215268817,2795699,tr,taeyangdong
215269125,2795703,tr,Yukhwa-ri
215269356,2795706,tr,T'aet'an-up
215269741,2795711,tr,Taesong-ni
215269972,2795714,tr,Taesong-ni
215270203,2795717,tr,Taesong-dong
215271204,2795730,tr,daesandugol
215271358,2795732,tr,daesandong
215271743,2795737,tr,Taesamjong
215271974,2795740,tr,daesaengpalli
215272898,2795752,tr,Taeryong-dong
215274746,2795776,tr,T'aengsok-tong
215275054,2795780,tr,taemyogol
215275285,2795783,tr,Mogam-burak
215275439,2795785,tr,daemilli
215276209,2795795,tr,keunjung-gol
215276594,2795800,tr,Taejo-ri
