id,city_id,language_key,name
222170066,2885326,lv,shumaymat
222170143,2885327,lv,Az Zawr
222170451,2885331,lv,Hawalli
222170528,2885332,lv,duaydat
222170682,2885334,lv,dant
222170759,2885335,lv,Az Zawr
222170990,2885338,lv,Ar Ruhaytah kā Sufla
222171298,2885342,lv,Al Wafrah
222171375,2885343,lv,Al `Udayliyah
222171760,2885348,lv,Kuveita
222171914,2885350,lv,Džehra
222172068,2885352,lv,Al Funaytis
222172222,2885354,lv,alfntas
222172299,2885355,lv,Al Farvanija
222172376,2885356,lv,aalbidaʿ
222172607,2885359,lv,Al Ahmadi
222172838,2885362,lv,Ad Diba`iyah
222173146,2885366,lv,aabraq khaytan
222173223,2885367,lv,Kā Salihiyah
222174378,2885382,lv,Nāves lielceļš
222174609,2885385,lv,Mubaraks al Kabirs
222174686,2885386,lv,Al Adans
222174763,2885387,lv,Al-Masayel
222174840,2885388,lv,Al-Masayel
222174917,2885389,lv,Abu Fatira
222174994,2885390,lv,Abu Al Hasaniya
