id,city_id,language_key,name
222175053,2885391,he,והִטֶהַלל ֶסטַטֶס
222175130,2885392,he,ווסט אנד
222175207,2885393,he,וֶסט בַי
222175284,2885394,he,וַטֶרִנג פלַקֶ
222175515,2885397,he,ֻפפֶר לַנד
222175746,2885400,he,טִבבֶטטס טֻרן
222175823,2885401,he,ההר
222175900,2885402,he,המעגנים
222175977,2885403,he,טהֶ קֳממֳן
222176054,2885404,he,ספֳטטס
222176131,2885405,he,ספֳט בַי
222176208,2885406,he,סֳֻטה טֳון
222176285,2885407,he,סוואנה
222176362,2885408,he,סאנד בלוף
222176439,2885409,he,סנט ג'יימס
222176516,2885410,he,רֶד בַי ֶסטַטֶ
222176593,2885411,he,הגנה
222176670,2885412,he,פרוספקט
222176747,2885413,he,פדרו
222176824,2885414,he,פֶַסֶ בַי
222176901,2885415,he,ֳמֶגַ גַרדֶנס
222177055,2885417,he,ֳלד מַן בַי
222177132,2885418,he,נֳרטה וַרד
222177209,2885419,he,נורת ' סאונד אסטייטס
222177286,2885420,he,הצד הצפוני
222177363,2885421,he,נֶולַנדס
222177517,2885423,he,מולוסקה הייטס
222177594,2885424,he,מִדלַנד ַקרֶס
222177671,2885425,he,לֳוֶר וַללֶי
222177748,2885426,he,כנֳב הִלל
222177825,2885427,he,הֻטלַנד
222177902,2885428,he,הִגה רֳקך ֶסטַטֶס
222177979,2885429,he,הִגה רֳקך
222178133,2885431,he,הֶַד ֳף בַי
222178210,2885432,he,הַלף וַי גרֳֻנד
222178287,2885433,he,הַלף מֳֳן בַי
222178364,2885434,he,גן באי
222178441,2885435,he,גורג טאון
222178518,2885436,he,פֻרטהֶר גרֳֻנד
222178595,2885437,he,המבצר הצרפתי
222178672,2885438,he,פרַנך סֳֻנד
222178749,2885439,he,פוסטר לנד
222178826,2885440,he,מזרח גריפין
222178980,2885442,he,כפר דריפטווד
222179057,2885443,he,קריק
222179134,2885444,he,קֳרך לַנדִנג
222179288,2885446,he,קוליירים
222179365,2885447,he,קהַננֶל לַנד
222179442,2885448,he,קַימַן פַלמס
222179596,2885450,he,ברִנכלֶיס
222179750,2885452,he,ברֶַכֶרס
222179827,2885453,he,בוטאבנו
222179904,2885454,he,בֳדדֶן טֳון
222179981,2885455,he,בלֳססֳם פֳִנט
222180058,2885456,he,בלַכֶס
222180212,2885458,he,בֶלפֳרד ֶסטַטֶס
222180366,2885460,he,בַטטלֶ גרֳֻנד
222180443,2885461,he,בַנכסוִללֶ
222180520,2885462,he,ַללי לַנד
222180597,2885463,he,רֻם פֳִנט
222180674,2885464,he,לִטטלֶ קַימַן
222180751,2885465,he,סֶוֶן מִלֶס
222180828,2885466,he,פִפֶר וַי
