id,city_id,language_key,name
223211261,2898848,mh,Vientiane
223212416,2898863,mh,Ban Xiangie
223212493,2898864,mh,Ban Phonthong
223212878,2898869,mh,Ban Xiangxu
223213417,2898876,mh,Ban Xiang Ay
223213648,2898879,mh,Ban Xamtai
223213725,2898880,mh,Xam Nua
223214649,2898892,mh,Trapeang Popul
223214803,2898894,mh,Tong Veng
223215419,2898902,mh,Tien Niao
223217344,2898927,mh,Thac Hiet
223219885,2898960,mh,Ban Taophan
223220347,2898966,mh,Tao Chan
223220424,2898967,mh,Ban Tankouan
223221040,2898975,mh,Tamprill
223221887,2898986,mh,Suoi Lap
223223889,2899012,mh,Ban Sopkhao
223223966,2899013,mh,Sop Khan Nua
223224043,2899014,mh,Ban Sopkong
223224197,2899016,mh,Ban Sopkai
223224274,2899017,mh,Ban Sopka
223224351,2899018,mh,Ban Sop-Hao
223224736,2899023,mh,Ban Song-Kao
223224813,2899024,mh,Ban Sompoy
223224890,2899025,mh,Ban Koungtlim
223225506,2899033,mh,Sibane
223226045,2899040,mh,Ban Sensoukkha
223226430,2899045,mh,Ban Dapkachok
223226661,2899048,mh,Ban Senngeun
223227277,2899056,mh,Sen Luong Chang
223227431,2899058,mh,Sen Luong
223227585,2899060,mh,Sen Lat
223227739,2899062,mh,Sen Khoun
223228971,2899078,mh,Ban Sen-At
223229202,2899081,mh,Savannakhet
223229356,2899083,mh,Salavan
223230126,2899093,mh,Ban Samlang
223230742,2899101,mh,Sala Ming
223231204,2899107,mh,Sai Ngam
223231435,2899110,mh,Ban Va-Tai
223231666,2899113,mh,Ban Dakleun
223231974,2899117,mh,Ban Phoukho
223232436,2899123,mh,Ban Pachoudon
223233360,2899135,mh,Po Khoa Chay
223233591,2899138,mh,Ban Phiaxcu
223233822,2899141,mh,Ban Phiaxai
223233899,2899142,mh,Ban Phianghin
223234130,2899145,mh,Ban Phagnexi
223235131,2899158,mh,Ban Phougni
223235362,2899161,mh,Phong-Sathon
223235439,2899162,mh,Phongsali
223236209,2899172,mh,Pha Xiangthong
223236440,2899175,mh,Pha Niong
223237672,2899191,mh,Pe Re Ette
223237749,2899192,mh,Ban Loko
223237826,2899193,mh,Pe Hourr
223237903,2899194,mh,Ban Paicho
223238288,2899199,mh,Pang Kalom
223238365,2899200,mh,Pang Fat
223238519,2899202,mh,Ban Paleng
223238673,2899204,mh,Pakse
223239366,2899213,mh,Pakkading
223240521,2899228,mh,Ban Lixingxo
223242292,2899251,mh,No
223242754,2899257,mh,Navid
223242831,2899258,mh,Ban Khangviang
223244063,2899274,mh,Ban Namtiang
223244371,2899278,mh,Nam Phou
223244602,2899281,mh,Ban Namon
223244833,2899284,mh,Ban Nammong
223245218,2899289,mh,Nam Khong
223245372,2899291,mh,Nam Ka Lai
223245680,2899295,mh,Ban Namen
223245834,2899297,mh,Ban Kang
223245911,2899298,mh,Ban Nama
