id,city_id,language_key,name
224488419,2915435,aa,Vigie
224488496,2915436,aa,Vige
224488573,2915437,aa,Vieux Fort
224488650,2915438,aa,Inkiinoh Vale
224488727,2915439,aa,Union
224488881,2915441,aa,Tiroyis Piton
224489035,2915443,aa,Soufriere
224489112,2915444,aa,Soucis
224489343,2915447,aa,Saltibus
224489651,2915451,aa,Robloot
224489728,2915452,aa,River Doree
224489882,2915454,aa,Reduit
224489959,2915455,aa,Praslin
224490036,2915456,aa,Pomme
224490267,2915459,aa,Piaye
224490344,2915460,aa,Perou
224490421,2915461,aa,Sabri
224490498,2915462,aa,Old Settlement
224490652,2915464,aa,Morne Siyoon
224490729,2915465,aa,Morne Pawlos
224490806,2915466,aa,Morne Panache
224490883,2915467,aa,Mon Repos
224490960,2915468,aa,Monier
224491037,2915469,aa,Mongouge
224491191,2915471,aa,Monchy
224491268,2915472,aa,Millet
224491345,2915473,aa,Migni
224491422,2915474,aa,Micoud
224491499,2915475,aa,Massacre
224491807,2915479,aa,Marigot
224492192,2915484,aa,Londonderry
224492346,2915486,aa,L'Hermitaaj
224492423,2915487,aa,La Tourney
224492500,2915488,aa,La Resource
224492577,2915489,aa,La Resource
224492654,2915490,aa,La Pointe
224492962,2915494,aa,La Haut
224493039,2915495,aa,La Fargue
224493116,2915496,aa,La Croix Maingot
224493270,2915498,aa,Laborie
224493347,2915499,aa,Abbayee
224493424,2915500,aa,Jean Baptiste
224493501,2915501,aa,Jaluusi
224493578,2915502,aa,H'Erelle
224493732,2915504,aa,Guesneau
224493809,2915505,aa,Gros Islet
224493963,2915507,aa,Grande Ravine
224494040,2915508,aa,Kaxxa Anse
224494117,2915509,aa,Grace
224494271,2915511,aa,Jentil
224494348,2915512,aa,Garranxi
224494425,2915513,aa,Forestiere
224494810,2915518,aa,Durandeau
224494887,2915519,aa,Dugard
224494964,2915520,aa,Dugard
224495041,2915521,aa,Almaas
224495118,2915522,aa,Desruisseaux
224495195,2915523,aa,Despinoze
224495426,2915526,aa,Derriere Morne
224495580,2915528,aa,Derniyer Riviyer
224495657,2915529,aa,Dennery
224495734,2915530,aa,De Meeli
224495811,2915531,aa,Delser
224495888,2915532,aa,Deglos
224495965,2915533,aa,Debreuil
224496042,2915534,aa,Dawfiin
224496196,2915536,aa,Dame de Traversay
224496273,2915537,aa,Crown Lands
224496350,2915538,aa,Kolombeet
224496427,2915539,aa,Ciceron
224496504,2915540,aa,Choiseul
224496658,2915542,aa,Shaatoo Belayer
224496735,2915543,aa,Chaasiin
224496812,2915544,aa,Castries
224496889,2915545,aa,Cap Estate
224496966,2915546,aa,Canaries
224497043,2915547,aa,Cafeiere
224497120,2915548,aa,Kabiche
224497197,2915549,aa,Bouton
224497274,2915550,aa,Bongalo
224497428,2915552,aa,Bois d'Orange
224497505,2915553,aa,Bilanchardi
224497582,2915554,aa,Bexon
224497736,2915556,aa,Belveder
224497813,2915557,aa,Belmonti
224497890,2915558,aa,Belle Vue
224498044,2915560,aa,Belle Pilayin
224498121,2915561,aa,Belair
224498198,2915562,aa,Bezejour
224498275,2915563,aa,Bezejour
224498352,2915564,aa,Banse
224498429,2915565,aa,Balembouche
224498506,2915566,aa,Balca
224498583,2915567,aa,Balata
224498737,2915569,aa,Au Tabor
224498814,2915570,aa,Augier
224499045,2915573,aa,Anse La Raye
224499122,2915574,aa,Anse Ger
224499507,2915579,aa,Jakmel
224499584,2915580,aa,Kireslandi
224499661,2915581,aa,Cas en Baas
224499738,2915582,aa,Bocage
224499892,2915584,aa,Boyis d'Inde
224500046,2915586,aa,Rodney Bay
224500200,2915588,aa,Moulin a Vent
224500277,2915589,aa,Careffe
224500508,2915592,aa,Giraande Riviyer
224500585,2915593,aa,Americ
224500739,2915595,aa,Payiksi Buuche
224500816,2915596,aa,La Croix Chaubourg
224500893,2915597,aa,Theatiste
224500970,2915598,aa,Pays Perdu
224501278,2915602,aa,La Pelle
224501355,2915603,aa,Thomazo
224501509,2915605,aa,La Caye
224501586,2915606,aa,La Treille
224501663,2915607,aa,Morne Ciseaux
224501740,2915608,aa,Dubrassay
224501894,2915610,aa,Morne Saint Joseph
224501971,2915611,aa,Barre Duchawuse
224502048,2915612,aa,Fond Manger
224502125,2915613,aa,Coolietown
224502202,2915614,aa,Zenon
224502279,2915615,aa,Raviin Kilaar
224502356,2915616,aa,Saphire
224502510,2915618,aa,Boyis d'Inde
224502587,2915619,aa,Moka
224502741,2915621,aa,Morne Bonin
224502818,2915622,aa,Etangs
224502972,2915624,aa,Raveneau
224503049,2915625,aa,Viktoriya De Ville
224503126,2915626,aa,Esperansi
224503203,2915627,aa,Derriere Morne
224503357,2915629,aa,Ponyoon
224503434,2915630,aa,Martin
224503511,2915631,aa,Dakretin
224503588,2915632,aa,Morne Jacques
224503742,2915634,aa,Monzi
224503819,2915635,aa,Lamaze
224504127,2915639,aa,Sawzay
224504204,2915640,aa,Coolie Town
224504281,2915641,aa,Morne Vert
224504435,2915643,aa,Pierrot
224504589,2915645,aa,Daban
224504666,2915646,aa,Fond Berange
224504743,2915647,aa,Giraud
224504974,2915650,aa,Olibo
224505051,2915651,aa,Macdomel
224505128,2915652,aa,Gayabois
224505205,2915653,aa,Ti Rocher
224505359,2915655,aa,Mamiku
224505513,2915657,aa,Au Leon
224505590,2915658,aa,Sanaqata
224505744,2915660,aa,Plateau
224505821,2915661,aa,Boguis
