id,city_id,language_key,name
224488474,2915435,rw,Vigie
224488551,2915436,rw,Vige
224488628,2915437,rw,Vieux Fort
224488705,2915438,rw,Ubumwe Vale
224488782,2915439,rw,Union
224488936,2915441,rw,Trois Piton
224489090,2915443,rw,Soufriere
224489167,2915444,rw,Soucis
224489398,2915447,rw,Saltibus
224489706,2915451,rw,\N
224489783,2915452,rw,River Doree
224489937,2915454,rw,\N
224490014,2915455,rw,Praslin
224490091,2915456,rw,Pomme
224490322,2915459,rw,Piaye
224490399,2915460,rw,Perou
224490476,2915461,rw,Patience
224490553,2915462,rw,Old Settlement
224490707,2915464,rw,Morne Sion
224490784,2915465,rw,Morne Paul
224490861,2915466,rw,Morne Panache
224490938,2915467,rw,Mon Repos
224491015,2915468,rw,Monier
224491092,2915469,rw,Mongouge
224491246,2915471,rw,Monchy
224491323,2915472,rw,Millet
224491400,2915473,rw,Migny
224491477,2915474,rw,Micoud
224491554,2915475,rw,Massacre
224491862,2915479,rw,Marigot
224492247,2915484,rw,Londonderry
224492401,2915486,rw,L'Hermitage
224492478,2915487,rw,La Tourney
224492555,2915488,rw,La Resource
224492632,2915489,rw,\N
224492709,2915490,rw,La Pointe
224493017,2915494,rw,La Haut
224493094,2915495,rw,La Fargue
224493171,2915496,rw,La Croix Maingot
224493325,2915498,rw,Laborie
224493402,2915499,rw,L'Abbayee
224493479,2915500,rw,Jean Baptiste
224493556,2915501,rw,Jalousie
224493633,2915502,rw,H'Erelle
224493787,2915504,rw,Guesneau
224493864,2915505,rw,Gros Islet
224494018,2915507,rw,Grande Ravine
224494095,2915508,rw,Grand Anse
224494172,2915509,rw,Grace
224494326,2915511,rw,Gentil
224494403,2915512,rw,Garrand
224494480,2915513,rw,Forestiere
224494865,2915518,rw,Durandeau
224494942,2915519,rw,Dugard
224495019,2915520,rw,Dugard
224495096,2915521,rw,Diamond
224495173,2915522,rw,Desruisseaux
224495250,2915523,rw,Despinoze
224495481,2915526,rw,Derriere Morne
224495635,2915528,rw,Derniere Riviere
224495712,2915529,rw,Dennery
224495789,2915530,rw,De Mailly
224495866,2915531,rw,Delcer
224495943,2915532,rw,Deglos
224496020,2915533,rw,Debreuil
224496097,2915534,rw,Dauphin
224496251,2915536,rw,Dame de Traversay
224496328,2915537,rw,\N
224496405,2915538,rw,Colombette
224496482,2915539,rw,Ciceron
224496559,2915540,rw,Choiseul
224496713,2915542,rw,Chassin
224496790,2915543,rw,Chassin
224496867,2915544,rw,Castries
224496944,2915545,rw,Cap Estate
224497021,2915546,rw,Canaries
224497098,2915547,rw,Cafeiere
224497175,2915548,rw,Cabiche
224497252,2915549,rw,Bouton
224497329,2915550,rw,Bongalo
224497483,2915552,rw,Bois d'Orange
224497560,2915553,rw,Blanchard
224497637,2915554,rw,Bexon
224497791,2915556,rw,Belvedere
224497868,2915557,rw,Belmont
224497945,2915558,rw,Belle Vue
224498099,2915560,rw,\N
224498176,2915561,rw,Belair
224498253,2915562,rw,Beausejour
224498330,2915563,rw,Beausejour
224498407,2915564,rw,Banse
224498484,2915565,rw,Balembouche
224498561,2915566,rw,Balca
224498638,2915567,rw,Balata
224498792,2915569,rw,Batabo
224498869,2915570,rw,Augier
224499100,2915573,rw,Anse La Raye
224499177,2915574,rw,Anse Ger
224499562,2915579,rw,Jacmel
224499639,2915580,rw,Cresslands
224499716,2915581,rw,Cas en Bas
224499793,2915582,rw,Bocage
224499947,2915584,rw,Bois d'Inde
224500101,2915586,rw,Rodney Bay
224500255,2915588,rw,Moulin a Vent
224500332,2915589,rw,Careffe
224500563,2915592,rw,Grande Riviere
224500640,2915593,rw,Americ
224500794,2915595,rw,\N
224500871,2915596,rw,La Croix Chaubourg
224500948,2915597,rw,Theatiste
224501025,2915598,rw,Pays Perdu
224501333,2915602,rw,La Pelle
224501410,2915603,rw,Thomazo
224501564,2915605,rw,La Caye
224501641,2915606,rw,La Treille
224501718,2915607,rw,Morne Ciseaux
224501795,2915608,rw,Dubrassay
224501949,2915610,rw,Morne Mutagatifu Yozefu
224502026,2915611,rw,Barre Duchaussee
224502103,2915612,rw,Fond Manger
224502180,2915613,rw,Coolietown
224502257,2915614,rw,Zenon
224502334,2915615,rw,Ravine Claire
224502411,2915616,rw,Saphire
224502565,2915618,rw,Bois d'Inde
224502642,2915619,rw,Mukalla
224502796,2915621,rw,Morne Bonin
224502873,2915622,rw,Etangs
224503027,2915624,rw,Raveneau
224503104,2915625,rw,Victoria De Ville
224503181,2915626,rw,Esperance
224503258,2915627,rw,Derriere Morne
224503412,2915629,rw,Ponyon
224503489,2915630,rw,Martin
224503566,2915631,rw,Dacretin
224503643,2915632,rw,Morne Jacques
224503797,2915634,rw,Monzie
224503874,2915635,rw,Lamaze
224504182,2915639,rw,Sauzay
224504259,2915640,rw,Umujyi wa Coolie
224504336,2915641,rw,Morne Vert
224504490,2915643,rw,Pierrot
224504644,2915645,rw,Arak
224504721,2915646,rw,Fond Berange
224504798,2915647,rw,Giraud
224505029,2915650,rw,Olibo
224505106,2915651,rw,Macdomel
224505183,2915652,rw,El Guayabo
224505260,2915653,rw,Ti Rocher
224505414,2915655,rw,Mamiku
224505568,2915657,rw,Au Leon
224505645,2915658,rw,Inganda
224505799,2915660,rw,\N
224505876,2915661,rw,Boguis
