id,city_id,language_key,name
229898733,2985698,sv,Douar Souani
229898810,2985699,sv,Douar Baddou
229899118,2985703,sv,Douar Ajyar
229899349,2985706,sv,Assaqqif
229899426,2985707,sv,Ras Ettaref
229899503,2985708,sv,Oulad Amghar
229899580,2985709,sv,Oulad Amghar
229899657,2985710,sv,Tacherchourt
229899734,2985711,sv,Douar Imechta
229899811,2985712,sv,Douar Adra Oujemmad
229900042,2985715,sv,Iyya N-tazaghine
229900119,2985716,sv,Douar Iyya N-tadda
229900273,2985718,sv,Douar Andar Touzzaline
229900350,2985719,sv,Douar Ain Touzzacht
229900427,2985720,sv,Douar Hchirat
229900581,2985722,sv,Lmarsa Ou Jdid
229900735,2985724,sv,Tandint
229900812,2985725,sv,Aftis
229900966,2985727,sv,Iyya Oumzir
229901043,2985728,sv,Iyya Ameqrane
229901274,2985731,sv,Douar Timouarine
229901505,2985734,sv,Dar Ali Massaoud
229901582,2985735,sv,Douar Zrouft
229901659,2985736,sv,Douar Imerzouqene
229901813,2985738,sv,Dhar N- Taaqoufet
229902121,2985742,sv,Douar Idehmanene
229902198,2985743,sv,Douar Imakhkhoukhene
229902660,2985749,sv,Douar Akhechchab Oumghar
229902814,2985751,sv,Douar Taghzout Ou Hejjam
229903045,2985754,sv,Douar Mehdjioua
229903353,2985758,sv,Temsamane
229903430,2985759,sv,Temsamane
229903584,2985761,sv,Ajermam
229903738,2985763,sv,Douar Beni Bou Yaaqoub Liouqani
229903892,2985765,sv,Douar Ifzatene
229904046,2985767,sv,Douar Ihemmoudane
229904200,2985769,sv,Douar Hziyem-n-Ouadday
229904431,2985772,sv,Douar Taghzout
229904508,2985773,sv,Douar Hziyeme Oustani
229904662,2985775,sv,Douar Amarjae
229904816,2985777,sv,Douar Ighettassene
229904893,2985778,sv,Dhar n-Tizdam
229905509,2985786,sv,Douar Ifardassene
229905586,2985787,sv,Douar Iderrazene
229905663,2985788,sv,Douar Ikhettoutene
229905740,2985789,sv,Douar Tamrabeht
229905817,2985790,sv,Dhar n-Leari
229905894,2985791,sv,Douar Abelkhach
229906279,2985796,sv,Douar Leari n-Nej
229906818,2985803,sv,Douar Lkoucht
229907126,2985807,sv,Tiguermamine
229907203,2985808,sv,Douar Marmouch
229907357,2985810,sv,Douar Tabidast
229907819,2985816,sv,Douar Lemqouddam
229907973,2985818,sv,Douar Bou Qeoua
229908204,2985821,sv,Douar Ijettarene
229908435,2985824,sv,Douar Hziyeme-n-Nej
229908589,2985826,sv,Douar Khallouf
229908743,2985828,sv,Ileghmane
229908820,2985829,sv,Douar Oulad Youssef
229908897,2985830,sv,Dar El Hamdani
229908974,2985831,sv,Dar Ahmed Ben Sejai
229909051,2985832,sv,Douar Bourssi
229909128,2985833,sv,Dar Ben Abid
229909205,2985834,sv,Douar Oulad Bouabid Saquia
229909282,2985835,sv,Douar Oulad El Haouari
229909359,2985836,sv,Douar Oulad Abdellah
229909436,2985837,sv,Aïn Bida
229909667,2985840,sv,Douar Znaga
229909744,2985841,sv,Douar Lemfalisse
229909821,2985842,sv,Oulad Kheyyi
229910052,2985845,sv,Dar Driss Chettah
229910206,2985847,sv,Boufakrane
229910283,2985848,sv,Douar Bni Abdellah
229910360,2985849,sv,Douar Zouitna
229910437,2985850,sv,Douar Oulad Lekhdar
229910514,2985851,sv,Douar Oulad Moussa
229910668,2985853,sv,Douar Lefnideq
229910745,2985854,sv,Dar El Marnissi
229910822,2985855,sv,Dar Hlihel
229910899,2985856,sv,Douar Ait Ali Ou Zayed
229910976,2985857,sv,Douar Ait Moussa
229911053,2985858,sv,Douar Lekrama
229911361,2985862,sv,Rhafsai
229911515,2985864,sv,Ouixan
229911592,2985865,sv,Douar Ajiou
229911746,2985867,sv,Ouled Khlifa
229911823,2985868,sv,Dar el mouelda
229911900,2985869,sv,Mosquée
229911977,2985870,sv,Mnoud
229912054,2985871,sv,Tabas
229912285,2985874,sv,Akhfennir
229912362,2985875,sv,Gueltat Zemmour
229912439,2985876,sv,Stehat
229912670,2985879,sv,Sidi Boulfdail
229912747,2985880,sv,Imi Quaddar
229912824,2985881,sv,Imi Ouaddar
229913055,2985884,sv,Iqmachene Moufarrane
229913440,2985889,sv,Dar Mohamed Aachouch
229913594,2985891,sv,Sebt Amane Sayrrine
229913671,2985892,sv,Oulad Ben Hammi
229913748,2985893,sv,Ait El Abdi
229913902,2985895,sv,Oulad El Caid Haddou
229914287,2985900,sv,Id Lehmaych
229914364,2985901,sv,Mihhi
229914595,2985904,sv,Aguerd
229914903,2985908,sv,Ain Attelba
229915057,2985910,sv,Abdou Tnoutfi
229915211,2985912,sv,Id Fares
229915365,2985914,sv,Taghzout
229915519,2985916,sv,Id Essemouguene
229915673,2985918,sv,Tassila Iabbassene
229916443,2985928,sv,Tine Khazaz
229916520,2985929,sv,Tine Daoud
229916751,2985932,sv,Maalla
229916905,2985934,sv,Derb Chalet- One
229917059,2985936,sv,Lemteriya
229917136,2985937,sv,Takad Oabla
229917752,2985945,sv,Ait Melloul
229917906,2985947,sv,Hay Tamaziri
229918753,2985958,sv,Bouaallaga
229919138,2985963,sv,Tine Hafi
229919215,2985964,sv,Borj Said Ou Mbark
229919292,2985965,sv,Douar Hajoub
