id,city_id,language_key,name
229898736,2985698,th,โดุะรโซุะนิ
229898813,2985699,th,โดุะรบะดโดุ
229899121,2985703,th,โดุะระจยะร
229899352,2985706,th,ะซซะกกิฟ
229899429,2985707,th,ระซเตตะเรฟ
229899506,2985708,th,อูลาด อัมการ์
229899583,2985709,th,อูลาด อัมการ์
229899660,2985710,th,ตะเชรโชุรต
229899737,2985711,th,โดุะริเมชตะ
229899814,2985712,th,ดูอาร์ อาดรา อูเจมมัด
229900045,2985715,th,อิยา เอ็นทาซากีน
229900122,2985716,th,โดุะริยยะน-ตะดดะ
229900276,2985718,th,โดุะระนดะรโตุซซะลิเน
229900353,2985719,th,ดูอาร์ เอน ตูซัคท์
229900430,2985720,th,โดุะรกชิระต
229900584,2985722,th,มาร์ซา อูจดิด
229900738,2985724,th,ตะนดินต
229900815,2985725,th,ะฟติซ
229900969,2985727,th,อิยา อุมซีร
229901046,2985728,th,ิยยะะเมกระเน
229901277,2985731,th,โดุะรติโมุะริเน
229901508,2985734,th,ดะระลิมะซซโะุด
229901585,2985735,th,โดุะรซโรุฟต
229901662,2985736,th,โดุะริเมรโซุเกเน
229901816,2985738,th,ดกะรน- ตะะโกุเฟต
229902124,2985742,th,โดุะริเดกมะเนเน
229902201,2985743,th,โดุะริมะคโคุเคเน
229902663,2985749,th,โดุะระเคชชะบโุมคะร
229902817,2985751,th,ดัวร์ ตากซูต อู เฮจญาม
229903048,2985754,th,ดูอาร์ เมห์จิอัว
229903356,2985758,th,เทมซามาเน
229903433,2985759,th,เตมซะมะเน
229903587,2985761,th,ะเจรมะม
229903741,2985763,th,โดุะรเบนิโบุยะะโกุบลโิุกะนิ
229903895,2985765,th,โดุะริฟซะเตเน
229904049,2985767,th,โดุะริเกมโมุดะเน
229904203,2985769,th,ดัวร์ ซีเยม-น-วัดเดย์
229904434,2985772,th,ดูอาร์ ทากโซต์
229904511,2985773,th,ดูอาร์ ซีเยเม อุสตานี
229904665,2985775,th,โดุะระมะรจเะ
229904819,2985777,th,โดุะริเคตตะซเซเน
229904896,2985778,th,ดาร์ น-ทิสดัม
229905512,2985786,th,โดุะริฟะรดะซเซเน
229905589,2985787,th,โดุะริเดรระเซเน
229905666,2985788,th,โดุะริเคตโตุเตเน
229905743,2985789,th,โดุะรตะมระเบกต
229905820,2985790,th,ดกะรน-เละริ
229905897,2985791,th,โดุะระเบลคะช
229906282,2985796,th,โดุะรเละริน-เนจ
229906821,2985803,th,โดุะรลโกุชต
229907129,2985807,th,ติกเุรมะมิเน
229907206,2985808,th,โดุะรมะรโมุช
229907360,2985810,th,โดุะรตะบิดะซต
229907822,2985816,th,โดุะรเลมโกุดดะม
229907976,2985818,th,โดุะรโบุเกโุะ
229908207,2985821,th,โดุะริเจตตะเรเน
229908438,2985824,th,ดัวร์ ซีเยเม-น-เนจ
229908592,2985826,th,โดุะรคะลโลุฟ
229908746,2985828,th,ิเลคมะเน
229908823,2985829,th,โดุะรโุละดโยุซเซฟ
229908900,2985830,th,ดาร์ เอล ฮัมดานี
229908977,2985831,th,ดาร์ อาเหม็ด เบน เซไจ
229909054,2985832,th,โดุะรโบุรซซิ
229909131,2985833,th,ดะรเบนะบิด
229909208,2985834,th,โดุะรโุละดโบุะบิดซะกุิะ
229909285,2985835,th,ดูอาร์ อูลาด เอล เฮาอารี
229909362,2985836,th,ไอน์ บีดา
229909439,2985837,th,ไอน์ บีดา
229909670,2985840,th,ดูอาร์ ซนาก้า
229909747,2985841,th,โดุะรเลมฟะลิซเซ
229909824,2985842,th,โุละดเคยยิ
229910055,2985845,th,ดะรดริซซเชตตะก
229910209,2985847,th,โบุฟะกระเน
229910286,2985848,th,โดุะรบนิะบเดลละก
229910363,2985849,th,โดุะรโซุิตนะ
229910440,2985850,th,โดุะรโุละดเลคดะร
229910517,2985851,th,โดุะรโุละดโมุซซะ
229910671,2985853,th,โดุะรเลฟนิเดก
229910748,2985854,th,ดะรเลมะรนิซซิ
229910825,2985855,th,ดาร์ ฮลีเฮล
229910902,2985856,th,ดูอาร์ ไอต์ อาลี อู ซาเยด
229910979,2985857,th,โดุะระิตโมุซซะ
229911056,2985858,th,โดุะรเลกระมะ
229911364,2985862,th,รกะฟซะิ
229911518,2985864,th,อุยซาน
229911595,2985865,th,โดุะระจโิุ
229911749,2985867,th,อูลด คลิฟา
229911826,2985868,th,มัสยิด
229911903,2985869,th,มัสยิด
229911980,2985870,th,มนู๊ด
229912057,2985871,th,ทาบาส
229912288,2985874,th,เกลทัท เซมมูร์
229912365,2985875,th,เกลทัท เซมมูร์
229912442,2985876,th,ซเตกะต
229912673,2985879,th,ซิดิโบุลฟดะิล
229912750,2985880,th,ิมิกุะดดะร
229912827,2985881,th,ิมิโุะดดะร
229913058,2985884,th,ิกมะเชเนโมุฟะรระเน
229913443,2985889,th,ดะรโมกะเมดะะโชุช
229913597,2985891,th,เซบตะมะเนซะยรริเน
229913674,2985892,th,อูลาด เบน ฮามี
229913751,2985893,th,ไอท์ เอล อับดี
229913905,2985895,th,อูลาด เอล คาอิด ฮัดดู
229914290,2985900,th,ิดเลกมะยช
229914367,2985901,th,มิคิ
229914598,2985904,th,อากูร์ด
229914906,2985908,th,ะินะตเตลบะ
229915060,2985910,th,ะบโดุตโนุตฟิ
229915214,2985912,th,ิดฟะเรซ
229915368,2985914,th,แท็กเฮิสต์
229915522,2985916,th,อิด เอสเซมูเก็น
229915676,2985918,th,ตะซซิละิะบบะซเซเน
229916446,2985928,th,ไทน์ คาซาซ
229916523,2985929,th,ติเนดโะุด
