id,city_id,language_key,name
228662582,2969644,tr,Smara
228662659,2969645,tr,Oum Dreyga
228662736,2969646,tr,Ausserd
228662813,2969647,tr,lgli
228663352,2969654,tr,zribt
228663583,2969657,tr,Douar Zarzar
228663660,2969658,tr,Zrarka
228663891,2969661,tr,Zradna
228664045,2969663,tr,Ez Zourgane
228664122,2969664,tr,Zourek
228664199,2969665,tr,Zourag
228664276,2969666,tr,Zoumi
228664353,2969667,tr,Zoumi
228664584,2969670,tr,Douar Zouitinat
228664661,2969671,tr,Douar Zouizat
228664738,2969672,tr,Zouinate
228664815,2969673,tr,Zouidat
228664892,2969674,tr,Douar Zougara
228664969,2969675,tr,Zouaima
228665046,2969676,tr,Douar Zoualta
228665123,2969677,tr,Zoualta
228665277,2969679,tr,Zouaka
228665431,2969681,tr,Zouaid
228665508,2969682,tr,Zouaid
228665585,2969683,tr,Zouaher
228665662,2969684,tr,Douar Zoua
228665739,2969685,tr,Zoco el Tenin de Amel-lu
228665816,2969686,tr,Zoco el Tenin de Ait Ali
228666124,2969690,tr,Zmamra
228666201,2969691,tr,Zmamra
228666278,2969692,tr,Douar Zlayeh
228666432,2969694,tr,Douar Zouggara
228666740,2969698,tr,Zitanlar
228666817,2969699,tr,Zirara
228666971,2969701,tr,Zinat
228667125,2969703,tr,Zidania
228667202,2969704,tr,Ziazna
228667356,2969706,tr,Ziyyar
228667818,2969712,tr,Zguigui
228667972,2969714,tr,Zgassif
228668049,2969715,tr,Douar Zgaouta
228668280,2969718,tr,Zerzaia
228668588,2969722,tr,Zerhoun
228668665,2969723,tr,Zerba
228668742,2969724,tr,Douar Zrayeb
228668819,2969725,tr,Douar Zarradoune
228668896,2969726,tr,Zenngour
228669050,2969728,tr,Zemrane
228669127,2969729,tr,Zemrane
228669435,2969733,tr,Boubker
228669512,2969734,tr,Douar Lehrouch
228669589,2969735,tr,Zitouna
228669897,2969739,tr,Zhiyra
228669974,2969740,tr,Zayda
228670051,2969741,tr,Douar Zahriyine
228670205,2969743,tr,Zehamna
228670359,2969745,tr,Ayt Zegane
228670436,2969746,tr,Zbor el Mchit
228670513,2969747,tr,Zbirat
228670590,2969748,tr,Douar Zbayr
228670821,2969751,tr,Zawyat Oulmzi
228670898,2969752,tr,Zaouia Bouchnine
228671052,2969754,tr,Zawya
228671206,2969756,tr,Saddina
228671283,2969757,tr,Za'roura
228671360,2969758,tr,Zarouiet
228671437,2969759,tr,Zarhririne
228671976,2969766,tr,Zaouit Moulay Abdallah
228672207,2969769,tr,Zaouit a Bou-Lhassane
228672284,2969770,tr,Zaouite
228672361,2969771,tr,Douar Zaouiat Sidi Ali
228672438,2969772,tr,Zaouiet Sidi Tounsi
228672515,2969773,tr,Zaouiet Sidi Moussa
228672592,2969774,tr,Zaouiet Sidi Mohammed Ben Moumene
228672746,2969776,tr,Zouiet Sidi Daoud
228672900,2969778,tr,Zaouiat Sidi Abdelkhaleq
228673054,2969780,tr,Zaouiet Ouskour
228673131,2969781,tr,Zaouiet Oulad Sidi Hamdoun
228673285,2969783,tr,Douar Zaouit Moulat Abdellah Ben Hsine
228673593,2969787,tr,Zaouiet El Maachet
228673901,2969791,tr,Zaouiat Echarradi
228673978,2969792,tr,Zaouiet Dekhlaniya
228674132,2969794,tr,Zaouit Ait Ouekrim
228674286,2969796,tr,Sidi Abdelaziz Ben Iffou
228674363,2969797,tr,Zawyat Moulay Driss
228674440,2969798,tr,Zaouia Timguilcht
228674594,2969800,tr,Zaouiet El Kettani
228674671,2969801,tr,Tazlmimt
228674748,2969802,tr,Zaouia Tatrirt
228674825,2969803,tr,Zaouiet el Kediya
228674902,2969804,tr,Zawyat Safkoumt
228675056,2969806,tr,Tawrirt
228675133,2969807,tr,Zawyat Tamarout
228675287,2969809,tr,Talmest
228675364,2969810,tr,Zaouiat Taliza
228675595,2969813,tr,Zawyat Tagarkoust
228675672,2969814,tr,Zaouia-Taglaout
228675826,2969816,tr,Taddart
228675903,2969817,tr,Zawyat Tabgourt
228675980,2969818,tr,Setti Fatma
228676673,2969827,tr,Zawyat Sidi Waziz
228676750,2969828,tr,Za Sidi Ouaggag
228676827,2969829,tr,Zaouia Sidi Moha Ou Ayachi
228676981,2969831,tr,Zaouia Sidi Mohammed Ou Lahsene
228677058,2969832,tr,Zaouia Sidi Mohammed Ou Lahoussine
228677366,2969836,tr,Zaouiat Sidi Lahsene Ali
228677597,2969839,tr,Zawyat Sidi Hamza
228677905,2969843,tr,Zaouiat Sidi El Hawari
228678290,2969848,tr,Zaouia Sidi Cheikh
