id,city_id,language_key,name
232307659,3016983,ms,Rozaje
232307736,3016984,ms,Radetina
232307813,3016985,ms,Poroca
232308352,3016992,ms,Ibarac
232308429,3016993,ms,Grahovo
232309353,3017005,ms,Bac
232309584,3017008,ms,Bovan
232309661,3017009,ms,Dolina
232310200,3017016,ms,Donja Lovnica
232310508,3017020,ms,Plumci
232310662,3017022,ms,Halilovic
232310739,3017023,ms,Dubovik
232310893,3017025,ms,Kopiljaca [historical]
232310970,3017026,ms,Sredani
232311586,3017034,ms,Redzica Krlje
232311663,3017035,ms,Koljeno
232311740,3017036,ms,Visnjice
232311817,3017037,ms,Donji Besnik
232311894,3017038,ms,Dzudzevici
232312279,3017043,ms,Seosnica
232312356,3017044,ms,Tuzeva Luka
232312587,3017047,ms,Kacari
232312895,3017051,ms,Dracinovac
232313434,3017058,ms,Zupci
232313511,3017059,ms,Zukovica
232313588,3017060,ms,Zoganj
232313896,3017064,ms,Zirci
232313973,3017065,ms,Zidovici
232314050,3017066,ms,Zelenika
232314281,3017069,ms,Zankovici
232314435,3017071,ms,Zaljevo
232314589,3017073,ms,Zagrade
232314743,3017075,ms,Zagora
232315128,3017080,ms,Zabljak
232315205,3017081,ms,Vusane
232315359,3017083,ms,Vuksanlekici
232315744,3017088,ms,Vrela
232315821,3017089,ms,Gornja Vrbica
232315975,3017091,ms,Vrba
232316129,3017093,ms,Vranjina
232316206,3017094,ms,Vranj
232316668,3017100,ms,Vladni
232316899,3017103,ms,Visnjevo
232317053,3017105,ms,Virpazar
232317130,3017106,ms,Vinicka
232317284,3017108,ms,Vilusi
232317515,3017111,ms,Velje Selo
232317592,3017112,ms,Velje Selo
232317823,3017115,ms,Vaskovo
232318131,3017119,ms,Ulcinj
232318285,3017121,ms,Ugnji
232318362,3017122,ms,Ubli
232318439,3017123,ms,Ubli
232318747,3017127,ms,Tuzi Ljevorecke
232318824,3017128,ms,Tuzi
232319055,3017131,ms,Tudemili
232319132,3017132,ms,Tucane
232319363,3017135,ms,Trnovo
232319594,3017138,ms,Tresnjevo
232319825,3017141,ms,Trebesinj
232319902,3017142,ms,Trabojin
232320056,3017144,ms,Tomba
232320133,3017145,ms,Tomasevo
232320287,3017147,ms,Tivat
232320518,3017150,ms,Tejani
232320595,3017151,ms,Sveti Stefan
232320749,3017153,ms,Sveti Dorde
232320826,3017154,ms,Sutvara
232320903,3017155,ms,Sutomore
232321057,3017157,ms,Susuna
232321134,3017158,ms,Sustas
232321211,3017159,ms,Suscepan
232321288,3017160,ms,Donje Sume
232321442,3017162,ms,Sukobin
232321673,3017165,ms,Stube
232321827,3017167,ms,Strojtenica
232321904,3017168,ms,Strahinici
232322135,3017171,ms,Stedim
232322212,3017172,ms,Staro Selo
232322289,3017173,ms,Stari Bar
232322366,3017174,ms,Staniselici
232322520,3017176,ms,Srpska
232322597,3017177,ms,Sretnja
232322751,3017179,ms,Spuz
232322828,3017180,ms,Spina
232322905,3017181,ms,Sobaici
232323213,3017185,ms,Sljuke
232323367,3017187,ms,Slatina
232323752,3017192,ms,Sjenozeta
232323829,3017193,ms,Sjerogoste
232324522,3017202,ms,Sekulici
232324599,3017203,ms,Savnik
232324676,3017204,ms,Sasovici
232324753,3017205,ms,Sas
232325523,3017215,ms,Risan
232325600,3017216,ms,Rijeka Crnojevica
232325677,3017217,ms,Rijecani
232325754,3017218,ms,Resnik
232326062,3017222,ms,Ratisevina
232326139,3017223,ms,Rastovac
232326293,3017225,ms,Rakonje
232326524,3017228,ms,Radovici
232327063,3017235,ms,Provalija
232327217,3017237,ms,Prnjavor
232327294,3017238,ms,Pristan
232327371,3017239,ms,Prisoja
232327448,3017240,ms,Pripcici
232327525,3017241,ms,Prijevor
232327833,3017245,ms,Prifta
232327987,3017247,ms,Prevlaka
232328064,3017248,ms,Previs
232328141,3017249,ms,Prentin Do
232328295,3017251,ms,Prcan
232328372,3017252,ms,Pracica
232328603,3017255,ms,Pozeginja
232328680,3017256,ms,Donja Povija
232328834,3017258,ms,Potkrajci
232328911,3017259,ms,Poscenje
232329065,3017261,ms,Ponikvica
232329142,3017262,ms,Ponari
232329296,3017264,ms,Poljice
232329373,3017265,ms,Polje
232329681,3017269,ms,Podi
232329758,3017270,ms,Pothum
232329835,3017271,ms,Podgorica
232329989,3017273,ms,Poda
232330220,3017276,ms,Pluzine
232330297,3017277,ms,Pljevlja
232330374,3017278,ms,Plav
232330528,3017280,ms,Pikalja
232330605,3017281,ms,Pikalja
232330836,3017284,ms,Petrovac na Moru
232330913,3017285,ms,Petnik
232330990,3017286,ms,Pesca
232331067,3017287,ms,Perast
232331144,3017288,ms,Pelinkovici
232331221,3017289,ms,Pelev Brijeg
232331298,3017290,ms,Pecurice
232331683,3017295,ms,Papani
232331837,3017297,ms,Ozrinici
232332068,3017300,ms,Ovtocici
232332299,3017303,ms,Orlina
232332376,3017304,ms,Orja Luka
232332607,3017307,ms,Donji Orahovac
232332915,3017311,ms,Ocinici
232332992,3017312,ms,Obrov
232333146,3017314,ms,Oblatno
232333223,3017315,ms,Katuniste
232333300,3017316,ms,Novsici
232333377,3017317,ms,Novoselje
232333454,3017318,ms,Negusi
232333531,3017319,ms,Nikšić
232333608,3017320,ms,Nikmaras
232333685,3017321,ms,Nedakusi
232333762,3017322,ms,Nedajno
232333993,3017325,ms,Murino
232334070,3017326,ms,Muo
232334301,3017329,ms,Mrcevac
232334378,3017330,ms,Moticki Gaj
232334455,3017331,ms,Donje Morakovo
232334532,3017332,ms,Moraice
232334763,3017335,ms,Mokro
232334994,3017338,ms,Mojkovac
232335071,3017339,ms,Mojanovici
232335148,3017340,ms,Mljeticak
232335225,3017341,ms,Misici
232335379,3017343,ms,Milovo
232335456,3017344,ms,Milovo
232335533,3017345,ms,Milovici
232335841,3017349,ms,Mide
232335918,3017350,ms,Mezgalji
232336226,3017354,ms,Meljine
232336303,3017355,ms,Matesevo
232336380,3017356,ms,Mataguzi
232336457,3017357,ms,Martinovici
232336688,3017360,ms,Mandici
232336765,3017361,ms,Malenza
232336842,3017362,ms,Mala Gorana
232336996,3017364,ms,Mahala
232337227,3017367,ms,Donji Luzac
232337381,3017369,ms,Lubnice
232337458,3017370,ms,Lozna
232337766,3017374,ms,Liverovici
232337843,3017375,ms,Livari
232338074,3017378,ms,Lipci
232338459,3017383,ms,Lepetani
232338536,3017384,ms,Lepenac
232338613,3017385,ms,Leovo Brdo
232338690,3017386,ms,Lekici
232338921,3017389,ms,Lazarev Krst
232339152,3017392,ms,Kuti
232339229,3017393,ms,Kuti
232339306,3017394,ms,Kurilo
232339460,3017396,ms,Kunak
232339614,3017398,ms,Kujava
232339922,3017402,ms,Kruta
232340076,3017404,ms,Krusevo
232340153,3017405,ms,Krusevo
232340230,3017406,ms,Krusevice
232340384,3017408,ms,Kruce
232340923,3017415,ms,Krasici
232341000,3017416,ms,Krajnji Do
232341231,3017419,ms,Kovren
232341308,3017420,ms,Kotor
232341539,3017423,ms,Kostanica
232341924,3017428,ms,Kornet
232342232,3017432,ms,Komarno
232342309,3017433,ms,Kolenovici
232342386,3017434,ms,Kolasin
232342925,3017441,ms,Kanje
232343002,3017442,ms,Kameno
232343849,3017453,ms,Jabuka
232344234,3017458,ms,Hassi Berkane
232344311,3017459,ms,Igalo
232344388,3017460,ms,Herceg Novi
232344619,3017463,ms,Gusine
232344773,3017465,ms,Gruda
232344850,3017466,ms,Grbavci
232345081,3017469,ms,Gradina
232345235,3017471,ms,Gradani
232345697,3017477,ms,Gostilj
232345774,3017478,ms,Gostilj
232345928,3017480,ms,Gosici
232346159,3017483,ms,Gornji Stoj
232346236,3017484,ms,Gornji Rsojevici
232346313,3017485,ms,Gornji Orahovac
232346544,3017488,ms,Gornji Kokoti
232347237,3017497,ms,Goričani
232347314,3017498,ms,Golubovci
232347391,3017499,ms,Golemadi
232347545,3017501,ms,Godine
232347853,3017505,ms,Donji Frutak
232348007,3017507,ms,Farmaci
232348161,3017509,ms,Duzi
232348238,3017510,ms,Duske
232348392,3017512,ms,Durici
232348469,3017513,ms,Duravci
232348546,3017514,ms,Durasevici
232348623,3017515,ms,Dupilo
232348777,3017517,ms,Dulici
232349470,3017526,ms,Drusici
232349778,3017530,ms,Dragova Luka
232350163,3017535,ms,Dosude
232350240,3017536,ms,Donji Stoj
232350317,3017537,ms,Donji Rsojevici
232350394,3017538,ms,Donji Murici
232350471,3017539,ms,Donji Morinj
232350548,3017540,ms,Donji Kokoti
232350779,3017543,ms,Dona Lastva
232351010,3017546,ms,Dolac
232351164,3017548,ms,Dodosi
232351241,3017549,ms,Dobrsko Selo
232351395,3017551,ms,Dobrakovo
232351472,3017552,ms,Dinosa
232351626,3017554,ms,Dendinovici
232351703,3017555,ms,Denasi
232351857,3017557,ms,Darza
232351934,3017558,ms,Danilovgrad
232352011,3017559,ms,Dalovici
232352165,3017561,ms,Dajbabe
232352242,3017562,ms,Dabovici
232352319,3017563,ms,Dabezici
232352781,3017569,ms,Gornji Crnci
232352858,3017570,ms,Crnca
232353089,3017573,ms,Cetinje
232353320,3017576,ms,Celuga
232353474,3017578,ms,Buronji
232353551,3017579,ms,Bukovik
232353782,3017582,ms,Budva
232353859,3017583,ms,Buce
232354013,3017585,ms,Brsno
232354167,3017587,ms,Brijestovo
232354321,3017589,ms,Brezine
232354475,3017591,ms,Brca
232354706,3017594,ms,Brajse
232354937,3017597,ms,Botun
232355014,3017598,ms,Boronjina
232355168,3017600,ms,Boreti
232355245,3017601,ms,Boljevici
232355322,3017602,ms,Boljanina
232355861,3017609,ms,Bogisici
232355938,3017610,ms,Bogicevici
232356169,3017613,ms,Bogajici
232356246,3017614,ms,Boboviste
232356554,3017618,ms,Bjelosi
232356862,3017622,ms,Bioce
232356939,3017623,ms,Krusevice
232357016,3017624,ms,Bijelo Polje
232357093,3017625,ms,Bijelo Polje
232357170,3017626,ms,Bijelo Polje
232357247,3017627,ms,Bijela
232357324,3017628,ms,Bijedici
232357401,3017629,ms,Bigor
232357478,3017630,ms,Bezuje
232357632,3017632,ms,Bes
232357786,3017634,ms,Berislavci
232357940,3017636,ms,Becici
232358094,3017638,ms,Bartula
232358171,3017639,ms,Bare Sumanovica
232358248,3017640,ms,Beran Selo
232358325,3017641,ms,Bar
232358402,3017642,ms,Baosici
232358479,3017643,ms,Balabani
232359018,3017650,ms,Andrijevica
232359095,3017651,ms,Ambula
232359326,3017654,ms,Toljevina
232359557,3017657,ms,Stajista
232360019,3017663,ms,Senicista
232361174,3017678,ms,Bara
232361251,3017679,ms,Umac
232361482,3017682,ms,Rojevici
232361713,3017685,ms,Gornja Spila
232361867,3017687,ms,Unijerina
232362098,3017690,ms,Seveljski Do
232362406,3017694,ms,Ramadica Do
232362714,3017698,ms,Strpca
232362945,3017701,ms,Kumbor
232363946,3017714,ms,Mirac
232364408,3017720,ms,Selo
232365486,3017734,ms,Cukovici
232365794,3017738,ms,Baloci
232365948,3017740,ms,Dusici
232366179,3017743,ms,Rakica Kuce
232366949,3017753,ms,Crni Nugli
232367411,3017759,ms,Jasikovica
232368104,3017768,ms,Viti Jasen
232368181,3017769,ms,Krug
232368258,3017770,ms,Medede
232368335,3017771,ms,Savina Kruska
232368489,3017773,ms,Musterovici
232369413,3017785,ms,Ptic
232369952,3017792,ms,Prosica
232370953,3017805,ms,Petnjica
232371184,3017808,ms,Podbisce
232371261,3017809,ms,Ravna Rijeka
232372416,3017824,ms,Dobra Sela
232372801,3017829,ms,Trusina
232374033,3017845,ms,Meki Do
232374572,3017852,ms,Meteriz
232374880,3017856,ms,Kacunica
232375342,3017862,ms,Kamisevo
232376266,3017874,ms,Dolina
232376882,3017882,ms,Duli
232376959,3017883,ms,Strazice
232377652,3017892,ms,Denovici
232378191,3017899,ms,Avlija
232378422,3017902,ms,Rogaci
232378499,3017903,ms,Vojnici
232378576,3017904,ms,Hajlovina
232378653,3017905,ms,Vukasovici
232378884,3017908,ms,Donji Unac
232379269,3017913,ms,Madzarski Kraj
232379346,3017914,ms,Seoca
232379423,3017915,ms,Belusevac
232381040,3017936,ms,Guke
232381733,3017945,ms,Jezero
232381887,3017947,ms,Cardak
232381964,3017948,ms,Dvorista
232383196,3017964,ms,Kacak
232383504,3017968,ms,Ljubojevac
232383812,3017972,ms,Kukavice
232383889,3017973,ms,Potkamen
232383966,3017974,ms,Jasen
232384428,3017980,ms,Zaugline
232384967,3017987,ms,Zabrnjica
232385044,3017988,ms,Rogovina
232385121,3017989,ms,Iva
232385198,3017990,ms,Vijenac
232385275,3017991,ms,Kljun
232385429,3017993,ms,Pribakovici
232385660,3017996,ms,Klapusi
232385891,3017999,ms,Jahovici
232386430,3018006,ms,Priboj
232387123,3018015,ms,Krusevo
232388047,3018027,ms,Scepan-Polje
232388278,3018030,ms,Oglavina
232388740,3018036,ms,Dakovici
232389048,3018040,ms,Bara
232389125,3018041,ms,Gornje Mrcevo
232389356,3018044,ms,Suplja Stijena
232389510,3018046,ms,Lucice
232389664,3018048,ms,Ravne Smreke
232390126,3018054,ms,Strmecica
232390665,3018061,ms,Cipcije
232390742,3018062,ms,Omar
232390819,3018063,ms,Tepacko Polje
232391127,3018067,ms,Cardak
232391281,3018069,ms,Pitomine
232391589,3018073,ms,Sumanovac
232391666,3018074,ms,Virak
232391820,3018076,ms,Posleniste
232392513,3018085,ms,Merulja
232393283,3018095,ms,Kosorska Bukovica
232394284,3018108,ms,Curukaca
232394361,3018109,ms,Nabojine
232394823,3018115,ms,Dedovo Polje
232395516,3018124,ms,Palez
232396517,3018137,ms,Rasova
232396748,3018140,ms,Orasac
232396979,3018143,ms,Stancani
232397056,3018144,ms,Okruglica
232397133,3018145,ms,Dublje
232397364,3018148,ms,Kaljici
232397518,3018150,ms,Perotin
232397903,3018155,ms,Kucetina
232398211,3018159,ms,Lijeska
232398750,3018166,ms,Rasnovic
232400059,3018183,ms,Breza
232400521,3018189,ms,Sljucka Strana
232401830,3018206,ms,Sakovo Selo
232402446,3018214,ms,Besevina
232403447,3018227,ms,Racevo
232405141,3018249,ms,Kojovici
232405372,3018252,ms,Rudnice
232405449,3018253,ms,Zaviden
232405526,3018254,ms,Cavlovic Kula
232405603,3018255,ms,Raovici
232405680,3018256,ms,Loncari
232405757,3018257,ms,Podrudine
232405988,3018260,ms,Dobra Voda
232406296,3018264,ms,Potkovacica
232406450,3018266,ms,Adilovici
232406527,3018267,ms,Jagnila
232406604,3018268,ms,Bozici
232406758,3018270,ms,Klismerine
232406835,3018271,ms,Orevine
232407143,3018275,ms,Krnja
232407297,3018277,ms,Plijesi
232407528,3018280,ms,Slepac
232407682,3018282,ms,Kobiljaca
232408144,3018288,ms,Rasova
232408298,3018290,ms,Jelica Doline
232408452,3018292,ms,Male Sljeme
232409684,3018308,ms,Rajkovici Plavce brdo
232410069,3018313,ms,Sadici
232410377,3018317,ms,Majna Gora
232412148,3018340,ms,Dzafica Brdo
232412302,3018342,ms,Loznica
232412456,3018344,ms,Zaton
232412687,3018347,ms,Njegnjevo
232412764,3018348,ms,Sutivan
232412995,3018351,ms,Laljevici
232413303,3018355,ms,Gubavac
232413534,3018358,ms,Unevina
232413996,3018364,ms,Osoje
232414381,3018369,ms,Gornje Selo
232414458,3018370,ms,Lemes
232414535,3018371,ms,Kucetine
232414689,3018373,ms,Guvnista
232414766,3018374,ms,Krc
232415151,3018379,ms,Potrk
232415382,3018382,ms,Perovici
232416691,3018399,ms,Gomile
232416845,3018401,ms,Ubli
232417384,3018408,ms,Kostanica
232417923,3018415,ms,Donji Kosici
232418077,3018417,ms,Kupusci
232418231,3018419,ms,Rmuse
232418539,3018423,ms,Prisoja
232419001,3018429,ms,Donji Crnci
232419078,3018430,ms,Podlunjica
232419155,3018431,ms,Celinacki Dolovi
232419386,3018434,ms,Lastva
232419617,3018437,ms,Martinovici
232419694,3018438,ms,Brajici
232419848,3018440,ms,Belveder
232420926,3018454,ms,Kljajevici
232421003,3018455,ms,Begova Dol
232421080,3018456,ms,Jasenovi Do
232421157,3018457,ms,Cerovi Do
232421234,3018458,ms,Posajci
232422928,3018480,ms,Sabani
232424930,3018506,ms,Vodni Do
232425007,3018507,ms,Podazdrijelo
232425469,3018513,ms,Arbanasi
232425546,3018514,ms,Donja Brova
232425623,3018515,ms,Petrovici
232425700,3018516,ms,Papratni Do
232426239,3018523,ms,Kuciste
232426393,3018525,ms,Rovine
232426624,3018528,ms,Zaselje
232426701,3018529,ms,Nerim
232426855,3018531,ms,Zovina
232426932,3018532,ms,Jasikovac
232427548,3018540,ms,Ljeskovi Do
232427856,3018544,ms,Ovsine
232427933,3018545,ms,Krstace
232428087,3018547,ms,Blagojevic
232428241,3018549,ms,Zagvozdak
232428472,3018552,ms,Zmukici
232428703,3018555,ms,Dinov Do
